,entity,to_search,snippet,address,coordinates,name_location,class,type
6,Boyana Church,Boyana Church,"['...In 1979, the Boyana Church in Sofia was included onto the World Heritage List, and it was deconstructed in the Second Bulgarian Empire, holding much patrimonial symbolism to the Bulgarian Orthodox Church....', '...The Boyana Church, a UNESCO World Heritage site, contains realistic frescoes, depicting more than 240 human images and a total 89 scenes, were painted....']","Boyana church, 1-3, Boyansko ezero, кв. Бояна, Sofia, Sofia City, Sofia-City, 1616, Bulgaria","{""coordinates"": [23.266195, 42.644624], ""type"": ""Point""}","Boyana church, 1-3, Boyansko ezero, кв. Бояна, Sofia, Sofia City, Sofia-City, 1616, Bulgaria",amenity,place_of_worship
8,Serdica Amphitheatre,Serdica Amphitheatre,"['...With its cultural significance in Southeast Europe, Sofia is home to the National Opera and Ballet of Bulgaria, the National Palace of Culture, the Vasil Levski National Stadium, the Ivan Vazov National Theatre, the National Archaeological Museum, and the Serdica Amphitheatre....']","Amphitheatre of Serdica, Budapest, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.328222, 42.697473], ""type"": ""Point""}","Amphitheatre of Serdica, Budapest, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",tourism,attraction
12,Rila,Rila,"[""*...It takes its source in Rila, Bulgaria's highest mountain, and enters Sofia Valley near the village of German...."", '...The Bulgarian patron saint John of Rila was buried in Sredets by orders of Emperor Peter I in the mid 10th century....']","Rila, TETS Sofia, Serdika, Sofia, Sofia City, Sofia-City, 1250, Bulgaria","{""coordinates"": [23.325741, 42.707902], ""type"": ""Point""}","Rila, TETS Sofia, Serdika, Sofia, Sofia City, Sofia-City, 1250, Bulgaria",highway,residential
13,Sofia Airport,Sofia Airport,"['*...The Iskar flows north toward the Balkan Mountains, passing between the eastern city suburbs, next to the main building and below the runways of Sofia Airport, and flows out of the Sofia Valley at the town of Novi Iskar, where the scenic Iskar Gorge begins....', '*...Sofia Airport handled 7,107,096 passengers in 2019....', '*...In 2015 seven new stations were opened and the underground extended to Sofia Airport on its Northern branch and to Business Park Sofia on its Southern branch....']","Sofia Airport, 8-ма, кв. Враждебна, Kremikovci, Sofia City, Sofia-City, 1540, Bulgaria","{""coordinates"": [23.414218, 42.695575], ""type"": ""Point""}","Sofia Airport, 8-ма, кв. Враждебна, Kremikovci, Sofia City, Sofia-City, 1540, Bulgaria",aeroway,aerodrome
16,Eagles' Bridge,Eagles' Bridge,"[""*...A monitoring station on Eagles' Bridge, where some of the highest particulate matter values were measured, was moved away from the location and has measured sharply lower values since then....""]","Eagles' Bridge, ж.к. Яворов, Sredec, Sofia, Sofia City, Sofia-City, 1037, Bulgaria","{""coordinates"": [23.337433, 42.690646], ""type"": ""Point""}","Eagles' Bridge, ж.к. Яворов, Sredec, Sofia, Sofia City, Sofia-City, 1037, Bulgaria",highway,primary
21,Saint George,Saint George,"['*...Most prominent churches such as Saint Sofia and Saint George were converted into mosques, and a number of new ones were constructed, including Banya Bashi Mosque built by the renowned Ottoman architect Mimar Sinan....']","Saint George Rotunda, 2, bul. Knyaz Aleksandar Dondukov, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.322888, 42.696909], ""type"": ""Point""}","Saint George Rotunda, 2, bul. Knyaz Aleksandar Dondukov, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",amenity,place_of_worship
22,Banya Bashi Mosque,Banya Bashi Mosque,"['*...This is due to the fact that three temples of three major world religions—Christianity, Islam and Judaism—are situated close together: Sveta Nedelya Church, Banya Bashi Mosque and Sofia Synagogue....', '*...Most prominent churches such as Saint Sofia and Saint George were converted into mosques, and a number of new ones were constructed, including Banya Bashi Mosque built by the renowned Ottoman architect Mimar Sinan....']","Banya Bashi Mosque, bul. Knyaginya Mariya Luiza, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.322572, 42.6995], ""type"": ""Point""}","Banya Bashi Mosque, bul. Knyaginya Mariya Luiza, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",amenity,place_of_worship
27,Amphitheatre of Serdica,Amphitheatre of Serdica,"['*...These include the 4th century Rotunda of St. George, the walls of the Serdica fortress and the partially preserved Amphitheatre of Serdica....', '...The city center contains many remains of ancient Serdica that have been excavated and are on public display, including Complex Ancient Serdica, eastern gate,  western gate, city walls, thermal baths, 4th c. church of St. George Rotunda, amphitheatre of Serdica, the tombs and basilicas under the basilica of St. Sophia....', '*...Known as Serdica in Antiquity and Sredets in the Middle Ages, Sofia has been an area of human habitation since at least 7000 BC....', '*...The recorded history of the city begins with the attestation of the conquest of Serdica by the Roman Republic in 29 BC from the Celtic tribe Serdi....', '*...In 809, Serdica was incorporated into the Bulgarian Empire by Khan Krum and became known as Sredets....', '...With its cultural significance in Southeast Europe, Sofia is home to the National Opera and Ballet of Bulgaria, the National Palace of Culture, the Vasil Levski National Stadium, the Ivan Vazov National Theatre, the National Archaeological Museum, and the Serdica Amphitheatre....', '...For a long time the city possessed a Thracian name, Serdica (Ancient Greek:  Serdikē, or  Sardikē; Latin:  or ), derived from the tribe Serdi, who were either of Thracian, Celtic, or mixed Thracian-Celtic origin....', '...The emperor Marcus Ulpius Traianus (53–117 AD) gave the city the combinative name of Ulpia Serdica; Ulpia may be derived from an Umbrian cognate of the Latin word lupus, meaning ""wolf"" or from the Latin vulpes (fox)....', '...It seems that the first written mention of Serdica was made during his reign and the last mention was in the 19th century in a Bulgarian text (Сардакіи, Sardaki)....', ""...The earliest works where this latest name is registered are the duplicate of the Gospel of Serdica, in a dialogue between two salesmen from Dubrovnik around 1359, in the 14th-century Vitosha Charter of Bulgarian tsar Ivan Shishman and in a Ragusan merchant's notes of 1376...."", '*...In 27–29 BC, according do Dio Cassius, Pliny and Ptolemy, the region ""Segetike"" was attacked by Crassus, which is assumed to be Serdica, or the city of the Serdi....', '*...Serdica expanded, as turrets, protective walls, public baths, administrative and cult buildings, a civic basilica, an amphitheatre, a circus, the City council (Boulé), a large forum, a big circus (theatre), etc. were built....', '*...Serdica was a significant city on the Roman road Via Militaris, connecting Singidunum and Byzantium....', '*...In the 3rd century, it became the capital of Dacia Aureliana, and when Emperor Diocletian divided the province of Dacia Aureliana into Dacia Ripensis (at the banks of the Danube) and Dacia Mediterranea, Serdica became the capital of the latter....', ""*...Serdica's citizens of Thracian descent were referred to as Illyrians probably because it was at some time the capital of Eastern Illyria (Second Illyria).\nWhen Emperor Diocletian divided the province of Dacia into Dacia Ripensis (on the banks of the Danube) and Dacia Mediterranea, Serdica became the capital of the latter...."", '*...Roman emperors Aurelian (215–275) and Galerius (260–311) were born in Serdica....', '*...The Edict of Toleration by Galerius was issued in 311 in Serdica by the Roman emperor Galerius, officially ending the Diocletianic persecution of Christianity....', '*...Serdica was the capital of the Diocese of Dacia (337-602)....', ""*...For Constantine the Great it was 'Sardica mea Roma est' (Serdica is my Rome)...."", '*...He considered making Serdica the capital of the Byzantine Empire instead of Constantinople. which was already not dissimilar to a tetrarchic capital of the Roman Empire....', '*...Serdica became part of the First Bulgarian Empire during the reign of Khan Krum in 809, after a long siege....', '*...The city center contains many remains of ancient Serdica that have been excavated and are on public display, including Complex Ancient Serdica, eastern gate,  western gate, city walls, thermal baths, 4th c. church of St. George Rotunda, amphitheatre of Serdica, the tombs and basilicas under the basilica of St. Sophia....', '...Serdica Peak on Livingston Island in the South Shetland Islands, Antarctica is named after Serdica....']","Amphitheatre of Serdica, Budapest, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.328222, 42.697473], ""type"": ""Point""}","Amphitheatre of Serdica, Budapest, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",tourism,attraction
28,Largo,Largo,"['...Stalinist Gothic public buildings emerged in the centre, notably the spacious government complex around The Largo, Vasil Levski Stadium, the Cyril and Methodius National Library and others....', '*...The President, along with the Council of Ministers, is located on Independence Square, also known as The Largo or The Triangle of Power....']","Ларгото, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.322918, 42.697786], ""type"": ""Point""}","Ларгото, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",highway,pedestrian
29,Vasil Levski Stadium,Vasil Levski Stadium,"['*...Stalinist Gothic public buildings emerged in the centre, notably the spacious government complex around The Largo, Vasil Levski Stadium, the Cyril and Methodius National Library and others....']","Vasil Levski Stadium, Evlogi and Hristo Georgiev blvd., Centre, Sredec, Sofia, Sofia City, Sofia-City, 1160, Bulgaria","{""coordinates"": [23.332402, 42.686296], ""type"": ""Point""}","Vasil Levski Stadium, Evlogi and Hristo Georgiev blvd., Centre, Sredec, Sofia, Sofia City, Sofia-City, 1160, Bulgaria",railway,stop
