,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Castrum Danorum,Castrum Danorum,"['*...It has been widely considered a historical derivation of Taani-linna, meaning ""Danish-castle"" (Latin: Castrum Danorum), conceivably because the Danish invaders built the castle in place of the Estonian stronghold after the 1219 battle of Lyndanisse....']","Toompea Castle, 1a, Lossi plats, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia","{""coordinates"": [24.737375, 59.435744], ""type"": ""Point""}","Toompea Castle, 1a, Lossi plats, Vanalinn, Kesklinna linnaosa, Tallinn, Harju maakond, 15165, Estonia",historic,castle
5,Town Hall,Town Hall,"['*...A weather vane, the figure of an old warrior called Old Thomas, was put on top of the spire of the Tallinn Town Hall in 1530....', ""...Another historical museum that can be found at city's Old Town, just behind the Town Hall, is Tallinn City Museum...."", ""...Tallinn City Museum owns nine more departments and museums around the city, one of which is Tallinn's Museum of Photography, also located just behind the Town Hall...."", '...In 1695, marzipan was mentioned as a medicine, under the designation of Panis Martius, in the price lists of the Tallinn Town Hall Pharmacy....', '*...Major sights include the Town Hall square (Estonian: Raekoja plats), the city wall and towers (notably ""Fat Margaret"" and ""Kiek in de Kök"") as well as a number of medieval churches, including St Olaf\'s, St. Nicholas\' and the Church of the Holy Ghost....', '*...The Lennart Meri Tallinn Airport is about 4 kilometres (2 miles)  from Town Hall square (Raekoja plats)....']","Town Hall, 1, Raekoja plats, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10146, Estonia","{""coordinates"": [24.745312, 59.437007], ""type"": ""Point""}","Town Hall, 1, Raekoja plats, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10146, Estonia",amenity,townhall
6,Tallinn TV Tower,Tallinn TV Tower,"['...Many buildings, such as the Tallinn TV Tower, ""Olümpia"" hotel, the new Main Post Office building, and the Regatta Centre, were built for the Olympics....', '...Two kilometres inland are the Botanic Gardens and the Tallinn TV Tower....']","Tallinn TV Tower, 58а, Kloostrimetsa tee, Kloostrimetsa, Pirita linnaosa, Tallinn, Harju maakond, 15026, Estonia","{""coordinates"": [24.88744, 59.471193], ""type"": ""Point""}","Tallinn TV Tower, 58а, Kloostrimetsa tee, Kloostrimetsa, Pirita linnaosa, Tallinn, Harju maakond, 15026, Estonia",tourism,attraction
8,Old Town,Old Town,"['...Tallinn Old Town is one of the best-preserved medieval cities in Europe and is listed as a UNESCO World Heritage Site....', '...The Old Town became a World Heritage Site in 1997, and the city hosted the 2002 Eurovision Song Contest....', ""...The museum is located in the Old Town, inside one of Tallinn's former defensive structures – Fat Margaret's Tower...."", ""*...Another historical museum that can be found at city's Old Town, just behind the Town Hall, is Tallinn City Museum...."", '*...The city is also home to Estonian Museum of Natural History and the Museum of Health Care, both located in Old Town....', '*...What can arguably be considered to be Tallinn\'s main attractions are located in the Tallinn Old Town (divided into a ""lower town"" and Toompea hill) which is easily explored on foot....']","Old Town Maestro, 10, Suur-Karja, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10140, Estonia","{""coordinates"": [24.74611, 59.435663], ""type"": ""Point""}","Old Town Maestro, 10, Suur-Karja, All-linn, Kesklinna linnaosa, Tallinn, Harju maakond, 10140, Estonia",tourism,hotel
12,Härjapea,Härjapea,"['*...Historically, a smaller river, called Härjapea, flowed from Lake Ülemiste through the town into the sea, but the river was diverted into underground sewerage system in the 1930s and has since completely disappeared from the cityscape....']","Härjapea, Ristiku, Pelgulinn, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10611, Estonia","{""coordinates"": [24.717468, 59.437684], ""type"": ""Point""}","Härjapea, Ristiku, Pelgulinn, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10611, Estonia",highway,bus_stop
13,Jõe,Jõe,"['*...References to it still remain in the street names Jõe (from jõgi, river) and Kivisilla (from kivi sild, stone bridge)....']","Jõe, Sadama, Kesklinna linnaosa, Tallinn, Harju maakond, 10151, Estonia","{""coordinates"": [24.763381, 59.440018], ""type"": ""Point""}","Jõe, Sadama, Kesklinna linnaosa, Tallinn, Harju maakond, 10151, Estonia",highway,secondary
14,Kivisilla,Kivisilla,"['*...References to it still remain in the street names Jõe (from jõgi, river) and Kivisilla (from kivi sild, stone bridge)....']","Kivisilla, Gonsiori, Kompassi, Kesklinna linnaosa, Tallinn, Harju maakond, 10117, Estonia","{""coordinates"": [24.758763, 59.435614], ""type"": ""Point""}","Kivisilla, Gonsiori, Kompassi, Kesklinna linnaosa, Tallinn, Harju maakond, 10117, Estonia",highway,bus_stop
15,Lasnamäe,Lasnamäe,"['*...It can be seen at Toompea, Lasnamäe, and Astangu....', '*...Whole new city districts were built where the main intent of the then Soviet authorities was to accommodate Russian-speaking immigrants: Mustamäe, Väike-Õismäe, Pelguranna, and most notably, Lasnamäe, which in 1980s became, and is to this day, the most populous district of Tallinn....']","Lasnamäe, Sikupilli, Lasnamäe linnaosa, Tallinn, Harju maakond, 10115, Estonia","{""coordinates"": [24.779407, 59.427115], ""type"": ""Point""}","Lasnamäe, Sikupilli, Lasnamäe linnaosa, Tallinn, Harju maakond, 10115, Estonia",highway,tertiary
16,Astangu,Astangu,"['*...It can be seen at Toompea, Lasnamäe, and Astangu....']","Astangu, Väike-Õismäe, Haabersti linnaosa, Tallinn, Harju maakond, 13520, Estonia","{""coordinates"": [24.64411, 59.406608], ""type"": ""Point""}","Astangu, Väike-Õismäe, Haabersti linnaosa, Tallinn, Harju maakond, 13520, Estonia",highway,tertiary_link
17,Kopli,Kopli,"['*...It comprises three bigger peninsulas: Kopli, Paljassaare, and Kakumäe Peninsulas....']","Kopli, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10414, Estonia","{""coordinates"": [24.739192, 59.441344], ""type"": ""Point""}","Kopli, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10414, Estonia",highway,tertiary
