,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Palazzo Madama,Palazzo Madama,"[""...Many of Turin's public squares, castles, gardens and elegant palazzi, such as the Palazzo Madama, were built between the 16th and 18th centuries...."", ""*...Via Garibaldi traces the exact path of the Roman city's decumanus which began at the Porta Decumani, later incorporated into the Castello or Palazzo Madama...."", '...The half-pedestrianized square hosts some significant buildings such as Palazzo Reale (Former Savoy Royal House), the Palazzo Madama (which previously hosted the Savoy senate and, for few years, the Italian senate after Italian unification), the former Baroque Teatro Regio di Torino (rebuilt in modern style in the 1960s, after being destroyed by fire), the Royal Library of Turin which hosts the Leonardo da Vinci self-portrait, and the baroque Royal Church of San Lorenzo....', '*...Turin is home to Palazzo Chiablese, the Royal Armoury, the Royal Library, Palazzo Madama, Palazzo Carignano, Villa della Regina, and the Valentino Castle....']","Palazzo Madama, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy","{""coordinates"": [7.685805, 45.070965], ""type"": ""Point""}","Palazzo Madama, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy",tourism,attraction
5,Museo Egizio,Museo Egizio,"[""...In addition, the city is home to museums such as the Museo Egizio and the Mole Antonelliana, the city's architectonical symbol, which in turn hosts the Museo Nazionale del Cinema....""]","Egyptian Museum, 6, Via Accademia delle Scienze, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy","{""coordinates"": [7.684351, 45.068435], ""type"": ""Point""}","Egyptian Museum, 6, Via Accademia delle Scienze, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy",tourism,museum
6,Mole Antonelliana,Mole Antonelliana,"[""...In addition, the city is home to museums such as the Museo Egizio and the Mole Antonelliana, the city's architectonical symbol, which in turn hosts the Museo Nazionale del Cinema...."", '...Some of the most iconic landmarks of the city, like the Mole Antonelliana, the Egyptian Museum, the Gran Madre di Dio church and Piazza Vittorio Veneto were built in this period....', '...Not far from Via Po stands the symbol of Turin, namely the Mole Antonelliana, so named after the architect who built it, Alessandro Antonelli....', '...Main church of the district is the Chiesa di Nostra Signora del Suffragio e Santa Zita, which with its 83\xa0m (272\xa0ft) height of its bell tower, is well known to be the fifth tallest structure in the city of Turin, after the Mole Antonelliana, the Intesa-Sanpaolo skyscraper, the Torre Littoria and the two pennons of the Juventus Stadium....', '...1956 saw the opening of the National Museum of Cinema, first housed in the Palazzo Chiablese and then, from 2000, in the imposing headquarters of the Mole Antonelliana....']","Mole Antonelliana, Via Alessandro Riberi, Borgo Nuovo, Circoscrizione 1, Turin, Torino, Piedmont, 10124, Italy","{""coordinates"": [7.693192, 45.068989], ""type"": ""Point""}","Mole Antonelliana, Via Alessandro Riberi, Borgo Nuovo, Circoscrizione 1, Turin, Torino, Piedmont, 10124, Italy",tourism,attraction
9,Porta Palatina,Porta Palatina,"['...The Porta Palatina, on the north side of the current city centre, is still preserved in a park near the cathedral....']","Porta Palatina, Via Porta Palatina, Quadrilatero Romano, Circoscrizione 1, Turin, Torino, Piedmont, 10122, Italy","{""coordinates"": [7.684037, 45.073932], ""type"": ""Point""}","Porta Palatina, Via Porta Palatina, Quadrilatero Romano, Circoscrizione 1, Turin, Torino, Piedmont, 10122, Italy",amenity,bicycle_rental
10,Manica Nuova,Manica Nuova,['...Remains of the Roman-period theatre are preserved in the area of the Manica Nuova....'],"Manica Nuova di Palazzo Reale, Via Venti Settembre, Quadrilatero Romano, Circoscrizione 1, Turin, Torino, Piedmont, 10152, Italy","{""coordinates"": [7.686133, 45.07411], ""type"": ""Point""}","Manica Nuova di Palazzo Reale, Via Venti Settembre, Quadrilatero Romano, Circoscrizione 1, Turin, Torino, Piedmont, 10152, Italy",tourism,attraction
12,Piazza San Carlo,Piazza San Carlo,"['*...Piazza Reale (named Piazza San Carlo today) and Via Nuova (current Via Roma) were added along with the first enlargement of the walls, in the first half of the 17th century; in the same period the Palazzo Reale (Royal Palace of Turin) was also built....', '*...Buildings on the portion between Piazza Carlo Felice and Piazza San Carlo were designed by rationalist architect Marcello Piacentini....', '*...Porches are built in a continuous entablature and marked with double columns, to be consistent with those of Piazza San Carlo....', '*...The section of the street between Piazza San Carlo and Piazza Castello was built in an eclectic style, with arcades characterised by Serliana-type arches....', '*...Via Roma crosses one of the main squares of the city: the pedestrianized Piazza San Carlo, built by Carlo di Castellamonte in the 17th century....', '*...Piazza San Carlo arcades host the most ancient cafés of the city, such as Caffé Torino and Caffé San Carlo....']","Piazza San Carlo, Centro, Circoscrizione 1, Turin, Torino, Piedmont, Italy","{""coordinates"": [7.682571, 45.067715], ""type"": ""Point""}","Piazza San Carlo, Centro, Circoscrizione 1, Turin, Torino, Piedmont, Italy",highway,footway
13,Via Nuova,Via Nuova,"['*...Piazza Reale (named Piazza San Carlo today) and Via Nuova (current Via Roma) were added along with the first enlargement of the walls, in the first half of the 17th century; in the same period the Palazzo Reale (Royal Palace of Turin) was also built....']","Via Nuova, Nizza Millefonti, Circoscrizione 8, Cavoretto, Turin, Torino, Piedmont, 10133, Italy","{""coordinates"": [7.686503, 45.031128], ""type"": ""Point""}","Via Nuova, Nizza Millefonti, Circoscrizione 8, Cavoretto, Turin, Torino, Piedmont, 10133, Italy",highway,residential
14,Via Roma,Via Roma,"['*...Piazza Reale (named Piazza San Carlo today) and Via Nuova (current Via Roma) were added along with the first enlargement of the walls, in the first half of the 17th century; in the same period the Palazzo Reale (Royal Palace of Turin) was also built....', '*...Nonetheless, the main street of the city centre, Via Roma, was built during the Fascist era (from 1931 to 1937) as an example of Italian Rationalism, replacing former buildings already present in this area....', '*...Via Roma runs between Piazza Carlo Felice and Piazza Castello....', '*...To this day Via Roma is the street featuring the most fashionable boutiques of the city....', '*...Via Roma crosses one of the main squares of the city: the pedestrianized Piazza San Carlo, built by Carlo di Castellamonte in the 17th century....', '*...On the northern edge of Via Roma stands Piazza Castello, regarded as the heart of the city....', '*...As for the southern part of the street, Via Roma ends in Piazza Carlo Felice and in its Giardino Sambuy, a wide fenced garden right in the middle of the square....', '*...Parallel to Via Roma, the other two popular pedestrian streets, namely Via Lagrange and Via Carlo Alberto, cross the old town from Via Po to Corso Vittorio Emanuele II....', '*...The main street in the city centre, Via Roma, runs atop a tunnel built during the fascist era (when Via Roma itself was totally refurbished and took on its present-day aspect)....']","Via Roma, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10121, Italy","{""coordinates"": [7.680852, 45.065327], ""type"": ""Point""}","Via Roma, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10121, Italy",highway,residential
15,Palazzo Reale,Palazzo Reale,"['...Piazza Reale (named Piazza San Carlo today) and Via Nuova (current Via Roma) were added along with the first enlargement of the walls, in the first half of the 17th century; in the same period the Palazzo Reale (Royal Palace of Turin) was also built....', '*...The half-pedestrianized square hosts some significant buildings such as Palazzo Reale (Former Savoy Royal House), the Palazzo Madama (which previously hosted the Savoy senate and, for few years, the Italian senate after Italian unification), the former Baroque Teatro Regio di Torino (rebuilt in modern style in the 1960s, after being destroyed by fire), the Royal Library of Turin which hosts the Leonardo da Vinci self-portrait, and the baroque Royal Church of San Lorenzo....']","Palazzo Reale, Piazzetta Reale, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy","{""coordinates"": [7.686963, 45.073053], ""type"": ""Point""}","Palazzo Reale, Piazzetta Reale, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy",tourism,attraction
16,Via Po,Via Po,"['*...In the second half of that century, a second enlargement of the walls was planned and executed, with the building of the arcaded Via Po, connecting Piazza Castello with the bridge on the Po through the regular street grid....', '*...Among them, one of the most significant is the arcaded Via Po, built by Amedeo di Castellamonte in 1868 and featuring some interesting buildings, such as the first and original building of the University of Turin and the historical Caffè Fiorio, which was the favourite café of the 19th-century politicians....', '*...Via Po ends in Piazza Vittorio Veneto (simply called Piazza Vittorio locally), the largest Baroque square in Europe and today heart of Turin nightlife....', '*...Parallel to Via Roma, the other two popular pedestrian streets, namely Via Lagrange and Via Carlo Alberto, cross the old town from Via Po to Corso Vittorio Emanuele II....', '*...Not far from Via Po stands the symbol of Turin, namely the Mole Antonelliana, so named after the architect who built it, Alessandro Antonelli....']","Via Po, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy","{""coordinates"": [7.686896, 45.070385], ""type"": ""Point""}","Via Po, Centro, Circoscrizione 1, Turin, Torino, Piedmont, 10123, Italy",highway,tertiary
