,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Fraser Valley,Fraser Valley,"['...Greater Vancouver, along with the Fraser Valley, comprises the Lower Mainland with a regional population of over 3million....', '*...The larger Lower Mainland-Southwest economic region (which includes also the Squamish-Lillooet, Fraser Valley, and Sunshine Coast Regional District) has a population of over 3.04million....']","Fraser Valley Juice, Johnston Street, Granville Island, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6H, Canada","{""coordinates"": [-123.135369, 49.272632], ""type"": ""Point""}","Fraser Valley Juice, Johnston Street, Granville Island, Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, V6H, Canada",amenity,fast_food
1,Hastings Mill,Hastings Mill,"['*...The beginnings of the modern city, which was originally named Gastown, grew around the site of a makeshift tavern on the western edges of Hastings Mill that was built on July 1, 1867, and owned by proprietor Gassy Jack....', '...This mill, known as the Hastings Mill, became the nucleus around which Vancouver formed....', '*...The settlement, which came to be called Gastown, grew quickly around the original makeshift tavern established by Gassy Jack in 1867 on the edge of the Hastings Mill property....']","Pat's Pub, 403, East Hastings Street, Japantown, Strathcona, Vancouver, Metro Vancouver Regional District, British Columbia, V6A 1P6, Canada","{""coordinates"": [-123.094993, 49.281417], ""type"": ""Point""}","Pat's Pub, 403, East Hastings Street, Japantown, Strathcona, Vancouver, Metro Vancouver Regional District, British Columbia, V6A 1P6, Canada",amenity,pub
2,Burrard Inlet,Burrard Inlet,"['*...Gastown then formally registered as a townsite dubbed Granville, Burrard Inlet....', '*...The city takes its name from George Vancouver, who explored the inner harbour of Burrard Inlet in 1792 and gave various places British names....', '*...Became acquainted with the area of the future Vancouver when José María Narváez of Spain explored the coast of present-day Point Grey and parts of Burrard Inlet in 1791—although one author contends that Francis Drake may have visited the area in 1579....', '*...Located on the Burrard Peninsula, Vancouver lies between Burrard Inlet to the north and the Fraser River to the south....', '*...Only in Elliott Bay, Seattle, did the size of trees rival those of Burrard Inlet and English Bay....']","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 0A2, Canada","{""coordinates"": [-122.985641, 49.201232], ""type"": ""Point""}","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, British Columbia, V5J 0A2, Canada",office,company
6,Port of Vancouver,Port of Vancouver,"['...As of 2016[update], the Port of Vancouver is the fourth-largest port by tonnage in the Americas, the busiest and largest in Canada, and the most diversified port in North America....']","Port of Vancouver, Central Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W2, Canada","{""coordinates"": [-123.080224, 49.090991], ""type"": ""Point""}","Port of Vancouver, Central Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W2, Canada",office,government
8,Hollywood North,Hollywood North,"['*...Major film production studios in Vancouver and nearby Burnaby have turned Greater Vancouver and nearby areas into one of the largest film production centres in North America, earning it the nickname ""Hollywood North""....', '*...Vancouver has become a major film location, known as Hollywood North, as it has stood in for several U.S. cities....', '*...Nicknamed Hollywood North, a distinction it shares with Toronto, the city has been used as a film making location for nearly a century, beginning with the Edison Manufacturing Company....']","Hollywood North, 856, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 3L5, Canada","{""coordinates"": [-123.119671, 49.280017], ""type"": ""Point""}","Hollywood North, 856, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 3L5, Canada",amenity,bar
9,Fraser River,Fraser River,"['...They had villages in various parts of present-day Vancouver, such as Stanley Park, False Creek, Kitsilano, Point Grey and near the mouth of the Fraser River....', '...In 1808, they travelled from the east down the Fraser River, perhaps as far as Point Grey....', '...The Fraser Gold Rush of 1858 brought over 25,000 men, mainly from California, to nearby New Westminster (founded February 14, 1859) on the Fraser River, on their way to the Fraser Canyon, bypassing what would become Vancouver....', ""...Vancouver is among British Columbia's youngest cities; the first European settlement in what is now Vancouver was not until 1862 at McCleery's Farm on the Fraser River, just east of the ancient village of Musqueam in what is now Marpole...."", '...Located on the Burrard Peninsula, Vancouver lies between Burrard Inlet to the north and the Fraser River to the south....']","Fraser River Stories, Interurban Way, Marpole, Vancouver, Metro Vancouver Regional District, British Columbia, V5X, Canada","{""coordinates"": [-123.116863, 49.209226], ""type"": ""Point""}","Fraser River Stories, Interurban Way, Marpole, Vancouver, Metro Vancouver Regional District, British Columbia, V5X, Canada",tourism,artwork
10,Point Grey,Point Grey,"['*...They had villages in various parts of present-day Vancouver, such as Stanley Park, False Creek, Kitsilano, Point Grey and near the mouth of the Fraser River....', '*...Became acquainted with the area of the future Vancouver when José María Narváez of Spain explored the coast of present-day Point Grey and parts of Burrard Inlet in 1791—although one author contends that Francis Drake may have visited the area in 1579....', '*...In 1808, they travelled from the east down the Fraser River, perhaps as far as Point Grey....', '*...Amalgamation with Point Grey and South Vancouver gave the city its final boundaries not long before it became the third-largest metropolis in the country....']","Point Grey, Alma Street, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6R 1G0, Canada","{""coordinates"": [-123.185672, 49.263829], ""type"": ""Point""}","Point Grey, Alma Street, Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, V6R 1G0, Canada",amenity,post_office
13,Brockton Point,Brockton Point,"['*...Stamp, who had begun logging in the Port Alberni area, first attempted to run a mill at Brockton Point, but difficult currents and reefs forced the relocation of the operation in 1867 to a point near the foot of Dunlevy Street....']","Brockton Point, Stanley Park Seawall Bike Path, Coal Harbour, Vancouver, Metro Vancouver Regional District, British Columbia, V6G, Canada","{""coordinates"": [-123.117048, 49.300824], ""type"": ""Point""}","Brockton Point, Stanley Park Seawall Bike Path, Coal Harbour, Vancouver, Metro Vancouver Regional District, British Columbia, V6G, Canada",tourism,viewpoint
16,Hudson's Bay,Hudson's Bay,"[""*...One of those merchants, Charles Woodward, had opened the first Woodward's store at Abbott and Cordova Streets in 1892 and, along with Spencer's and the Hudson's Bay department stores, formed the core of the city's retail sector for decades....""]","Hudson's Bay, 674, Granville Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V7Y 1A1, Canada","{""coordinates"": [-123.116967, 49.282345], ""type"": ""Point""}","Hudson's Bay, 674, Granville Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V7Y 1A1, Canada",shop,department_store
17,Mission,Mission,"['*...The workers were arrested near Mission and interned in work camps for the duration of the Depression....', '...Its primary mission was to ensure that Vancouver would become the greenest city in the world by 2020....']","Potters Place Mission, 21, East Hastings Street, Chinatown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6A 1M9, Canada","{""coordinates"": [-123.103699, 49.28163], ""type"": ""Point""}","Potters Place Mission, 21, East Hastings Street, Chinatown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6A 1M9, Canada",amenity,place_of_worship
