,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Piave,Piave,"['*...The islands are in the shallow Venetian Lagoon, an enclosed bay lying between the mouths of the Po and the Piave rivers (more exactly between the Brenta and the Sile)....']","Calle Larga Piave, Cannaregio, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30121, Italy","{""coordinates"": [12.331791, 45.446696], ""type"": ""Point""}","Calle Larga Piave, Cannaregio, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30121, Italy",highway,pedestrian
2,Brenta,Brenta,"['*...The islands are in the shallow Venetian Lagoon, an enclosed bay lying between the mouths of the Po and the Piave rivers (more exactly between the Brenta and the Sile)....']","Farmacia al Brenta, 115, Via Cesare Beccaria, Catene, Marghera, Venice, Venezia, Veneto, 30175, Italy","{""coordinates"": [12.223101, 45.466179], ""type"": ""Point""}","Farmacia al Brenta, 115, Via Cesare Beccaria, Catene, Marghera, Venice, Venezia, Veneto, 30175, Italy",amenity,pharmacy
3,Sile,Sile,"['*...The islands are in the shallow Venetian Lagoon, an enclosed bay lying between the mouths of the Po and the Piave rivers (more exactly between the Brenta and the Sile)....']","Argine del Taglio del Sile, Venezia-Murano-Burano, Venice, Venezia, Veneto, 30024, Italy","{""coordinates"": [12.506103, 45.569279], ""type"": ""Point""}","Argine del Taglio del Sile, Venezia-Murano-Burano, Venice, Venezia, Veneto, 30024, Italy",highway,cycleway
6,San Giacomo,San Giacomo,"['*...The traditional founding is identified with the dedication of the first church, that of San Giacomo on the islet of Rialto (Rivoalto, ""High Shore"")—said to have taken place at the stroke of noon on 25 March 421 (the Feast of the Annunciation).\nBeginning as early as AD\xa0166–168, the Quadi and Marcomanni destroyed the main Roman town in the area, present-day Oderzo....']","Chiesa di San Giacomo Apostolo, Ruga dei Oresi, San Polo, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30125, Italy","{""coordinates"": [12.335462, 45.438497], ""type"": ""Point""}","Chiesa di San Giacomo Apostolo, Ruga dei Oresi, San Polo, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30125, Italy",amenity,place_of_worship
12,Mediterranean,Mediterranean,"['*...In building its maritime commercial empire, Venice dominated the trade in salt, acquired control of most of the islands in the Aegean, including Crete, and Cyprus in the Mediterranean, and \nbecame a major power-broker in the Near East....', '*...Venice subsequently carved out a sphere of influence in the Mediterranean known as the Duchy of the Archipelago, and captured Crete....', '*...At the peak of its power and wealth, it had 36,000 sailors operating 3,300 ships, dominating Mediterranean commerce....', '*...After the Fall of Constantinople, Sultan Mehmed II declared the first of a series of Ottoman-Venetian wars that cost Venice much of its eastern Mediterranean possessions....', '*...The Port of Venice (Italian: Porto di Venezia) is the eighth-busiest commercial port in Italy and was a major hub for the cruise sector in the Mediterranean, as since August 2021 ships of more 25,000 tons are forbidden to pass the Giudecca Canal....']","SKK Mediterranean Restaurant, 4253, San Marco, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30124, Italy","{""coordinates"": [12.334573, 45.43529], ""type"": ""Point""}","SKK Mediterranean Restaurant, 4253, San Marco, Venezia-Murano-Burano, Mestre, Venice, Venezia, Veneto, 30124, Italy",amenity,fast_food
15,St Mark's Basilica,St Mark's Basilica,"[""*...This plunder included the gilt bronze horses from the Hippodrome of Constantinople, which were originally placed above the entrance to the cathedral of Venice, St Mark's Basilica (The originals have been replaced with replicas, and are now stored within the basilica.)..."", ""*...The planned flood barrier would have prevented this incident according to various sources, including Marco Piana, the head of conservation at St Mark's Basilica...."", ""*...Today, there are numerous attractions in Venice, such as St Mark's Basilica, the Doge's Palace, the Grand Canal, and the Piazza San Marco...."", ""*...During the 16th century, Venice became one of the most important musical centres of Europe, marked by a characteristic style of composition (the Venetian school) and the development of the Venetian polychoral style under composers such as Adrian Willaert, who worked at St Mark's Basilica...."", ""*...Andrea Gabrieli (ca.1510–1586), Italian composer and organist at St Mark's Basilica ;..."", ""*...Giovanni Gabrieli (1554/1557–1612), composer and organist at St Mark's Basilica ;..."", ""*...If the barriers are closed at only 90 cm of high water, most of St Mark's will be flooded anyway; but if closed at very high levels only, then people will wonder at the logic of spending such sums on something that didn't solve the problem...."", ""...A 2013 ban would have allowed only cruise ships smaller than 40,000-gross tons to enter the Giudecca Canal and St Mark's basin....""]","St Mark's Basilica, Calle San Basso, San Marco, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30124, Italy","{""coordinates"": [12.339822, 45.434548], ""type"": ""Point""}","St Mark's Basilica, Calle San Basso, San Marco, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30124, Italy",amenity,place_of_worship
20,Torcello,Torcello,"['*...New ports were built, including those at Malamocco and Torcello in the Venetian lagoon....', '*...Those fleeing barbarian invasions who found refuge on the sandy islands of Torcello, Iesolo, and Malamocco, in this coastal lagoon, learned to build by driving closely spaced piles consisting of the trunks of alder trees, a wood noted for its water resistance, into the mud and sand, until they reached a much harder layer of compressed clay....']","Torcello, Fondamenta dei Borgognoni, Venezia-Murano-Burano, Burano, Venice, Venezia, Veneto, 30142, Italy","{""coordinates"": [12.4122, 45.495064], ""type"": ""Point""}","Torcello, Fondamenta dei Borgognoni, Venezia-Murano-Burano, Burano, Venice, Venezia, Veneto, 30142, Italy",amenity,ferry_terminal
21,Malamocco,Malamocco,"['*...New ports were built, including those at Malamocco and Torcello in the Venetian lagoon....', '*...During this period, the seat of the local Byzantine governor (the ""duke/dux"", later ""doge""), was at Malamocco....', '*...During the reign of duke Agnello Particiaco (811–827) the ducal seat moved from Malamocco to the more protected Rialto, within present-day Venice....', '*...Those fleeing barbarian invasions who found refuge on the sandy islands of Torcello, Iesolo, and Malamocco, in this coastal lagoon, learned to build by driving closely spaced piles consisting of the trunks of alder trees, a wood noted for its water resistance, into the mud and sand, until they reached a much harder layer of compressed clay....']","Malamocco, Campo della chiesa, Lido-Pellestrina, Malamocco, Venice, Venezia, Veneto, 30126, Italy","{""coordinates"": [12.337613, 45.372463], ""type"": ""Point""}","Malamocco, Campo della chiesa, Lido-Pellestrina, Malamocco, Venice, Venezia, Veneto, 30126, Italy",amenity,post_office
22,St. Mark's Basilica,St. Mark's Basilica,"[""*...Additionally, the lowest part of Venice, St. Mark's Basilica, is only 64 centimetres (25\xa0in) above sea level, and one of the most flood-prone parts of the city....""]","St Mark's Basilica, Calle San Basso, San Marco, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30124, Italy","{""coordinates"": [12.339822, 45.434548], ""type"": ""Point""}","St Mark's Basilica, Calle San Basso, San Marco, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30124, Italy",amenity,place_of_worship
23,Piazza San Marco,Piazza San Marco,"['...On 3 October 2020, the MOSE was activated for the first time in response to a predicted high tide event, preventing some of the low-lying parts of the city (in particular the Piazza San Marco) from being flooded....', ""...Today, there are numerous attractions in Venice, such as St Mark's Basilica, the Doge's Palace, the Grand Canal, and the Piazza San Marco...."", ""...Having failed in its 2013 bid to ban oversized cruise ships from the Giudecca Canal, the Italian inter-ministerial Comitatone overseeing Venice's lagoon released an official directive in November 2017 to keep the largest cruise ships away from the Piazza San Marco and the entrance to the Grand Canal...."", '...Andrea Tirali (ca. 1660 – 1737), architect. He designed the pavement in the Piazza San Marco....']","St. Mark's Square, San Marco, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30124, Italy","{""coordinates"": [12.338509, 45.434259], ""type"": ""Point""}","St. Mark's Square, San Marco, Venezia-Murano-Burano, Lido, Venice, Venezia, Veneto, 30124, Italy",highway,pedestrian
