,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Palace of the Grand Dukes of Lithuania,Palace of the Grand Dukes of Lithuania,"['...In 1548 Sigismund II finished the Renaissance style reconstruction of the Palace of the Grand Dukes of Lithuania which was started by his father, Sigismund I.\n""I saw as many jewels as I did not expect to find accumulated in one place; with them the treasures of Venice and the Pope, which I have also seen, cannot be compared.""...', '...On 28–29 November 2013, Vilnius hosted the Eastern Partnership Summit in the Palace of the Grand Dukes of Lithuania....', '...Musicians were presented at the Palace of the Grand Dukes of Lithuania as early as the 14th century as Grand Duke Gediminas daughter Aldona of Lithuania already was a large sympathizer of music and took court musicians, singers with her to Kraków after marrying King Casimir III the Great....', '...Pilies Street, the main artery, links the Palace of the Grand Dukes of Lithuania with Vilnius Town Hall....', ""*...The historic buildings are in Gothic (e.g. Church of St. Anne), Renaissance (e.g. Palace of the Grand Dukes of Lithuania), Baroque (e.g. Church of St. Peter and St. Paul with over 2,000 stucco figures interior, Vilnius University's main campus, which features 13 courtyards framed by 15th century buildings and splashed with 300-year-old frescoes, and the Church of St. Johns) and Classical styles (e.g. Vilnius Cathedral, Vilnius Town Hall, Šuazeliai Palace, Verkiai Palace) with splendid exteriors and interiors...."", '...Italian artists organized the first opera in Lithuania on 4 September 1636 at the Palace of the Grand Dukes by the order of Grand Duke Władysław IV Vasa....']","Palace of the Grand Dukes of Lithuania, 3, Cathedral Square, Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01143, Lithuania","{""coordinates"": [25.289448, 54.686178], ""type"": ""Point""}","Palace of the Grand Dukes of Lithuania, 3, Cathedral Square, Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01143, Lithuania",tourism,museum
9,Central Lithuania,Central Lithuania,"['...The city and its surroundings were designated as a separate state, called the Republic of Central Lithuania....', '*...On 20 February 1922, after the highly contested election in Central Lithuania, the entire area was annexed by Poland, with the city becoming the capital of the Wilno Voivodeship (Wilno being the name of Vilnius in Polish)....']","The Central Electoral Commission of the Republic of Lithuania, 8, Gynėjų g., Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01109, Lithuania","{""coordinates"": [25.264833, 54.691736], ""type"": ""Point""}","The Central Electoral Commission of the Republic of Lithuania, 8, Gynėjų g., Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01109, Lithuania",office,government
10,Vilnius Town Hall,Vilnius Town Hall,"['...A forced labour camp (Kailis) was also set up behind the Vilnius Town Hall as a factory to produce winter clothing for the Wehrmacht and another one later for vehicle repair (HKP 562) on 47 & 49 Subačiaus Street....', '...The theatre was initially located in the Oskierka Palace, but later moved to the Radziwiłł Palace and the Vilnius Town Hall....', '...The magisterial authority was headquartered at the Vilnius Town Hall....', '*...Pilies Street, the main artery, links the Palace of the Grand Dukes of Lithuania with Vilnius Town Hall....', ""*...The historic buildings are in Gothic (e.g. Church of St. Anne), Renaissance (e.g. Palace of the Grand Dukes of Lithuania), Baroque (e.g. Church of St. Peter and St. Paul with over 2,000 stucco figures interior, Vilnius University's main campus, which features 13 courtyards framed by 15th century buildings and splashed with 300-year-old frescoes, and the Church of St. Johns) and Classical styles (e.g. Vilnius Cathedral, Vilnius Town Hall, Šuazeliai Palace, Verkiai Palace) with splendid exteriors and interiors....""]","Vilnius Town Hall, 31, Didžioji g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01128, Lithuania","{""coordinates"": [25.286896, 54.678095], ""type"": ""Point""}","Vilnius Town Hall, 31, Didžioji g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01128, Lithuania",amenity,townhall
20,Baltics,Baltics,"['*...More than 75,000 new flats were built between 1995 and 2018 (including almost 50,000 new flats between 2003 and 2018), making Vilnius an absolute leader in construction sector in the Baltics of the last two decades....']","UAB Nestlé Baltics, 16A, J. Jasinskio g., Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 03163, Lithuania","{""coordinates"": [25.259757, 54.686563], ""type"": ""Point""}","UAB Nestlé Baltics, 16A, J. Jasinskio g., Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 03163, Lithuania",office,company
31,Church of Saint Nicholas,Church of Saint Nicholas,['...Walls paintings from the 16th centuries were also discovered in Vilnius (e.g. painting of the Church of St. Francis and St. Bernard vaults or in the Church of Saint Nicholas)....'],"Orthodox Church of St. Nicholas, 12, Didžioji g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01128, Lithuania","{""coordinates"": [25.288729, 54.679913], ""type"": ""Point""}","Orthodox Church of St. Nicholas, 12, Didžioji g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01128, Lithuania",amenity,place_of_worship
35,Naujamiestis,Naujamiestis,"['*...On the previously rural outskirts as well as in the very vicinity of the Old Town (industrial zones in Paupys, Markučiai, Naujamiestis), industrial areas were (re)designed and large Soviet plants were built, following a program of industrialization.[citation needed]...', ""*...In 1995, the world's first bronze cast of Frank Zappa was installed in the Naujamiestis district with the permission of the government...."", '*...Naujamiestis – includes bus and train stations ;...', '*...Neighbourhoods around the old town (Antakalnis, Žirmūnai, Naujamiestis, Žvėrynas) offer a wide variety prices flats, decent amount of greenery suitable for walks, bicycle roads and therefore are the most popular among the middle class residents....']","New Town, Kauno g., Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 03203, Lithuania","{""coordinates"": [25.262618, 54.670506], ""type"": ""Point""}","New Town, Kauno g., Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 03203, Lithuania",highway,bus_stop
37,Seimas of the,Seimas of the,"['...The first consideration of the First Statute of Lithuania took place in 1522 at the Seimas of the Grand Duchy of Lithuania in Vilnius....', '...Historically, the Seimas of the Grand Duchy of Lithuania mostly gathered in Vilnius....', '*...The present-day Seimas of the Republic of Lithuania is also located in Vilnius and meets at the Seimas Palace in Gediminas Avenue....', ""...In 2018 the Seimas of the Republic of Lithuania approved a new metro project with the president's agreement....""]","Parliament of the Republic of Lithuania, 53, Gediminas Avenue, Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01109, Lithuania","{""coordinates"": [25.261839, 54.691261], ""type"": ""Point""}","Parliament of the Republic of Lithuania, 53, Gediminas Avenue, Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01109, Lithuania",office,government
40,Literatų Street,Literatų Street,"[""*...Over 200 tiles and commemorative plaques to writers, who have lived and worked in Vilnius, and foreign authors, who have shared a connection with Vilnius and Lithuania, adorn walls on Literatų Street (Lithuanian: Literatų gatvė) in the Old Town, presenting a broad overview of the history of Lithuanian literature.\nThe Institute of Lithuanian Literature and Folklore and the Lithuanian Writers' Union are located in Vilnius.\nThe biggest book fair in Baltic states is annually held in Vilnius at LITEXPO, the Baltic's biggest exhibition centre.\nThe very first public film session in Vilnius was held in the Botanical Garden (now Bernardinai Garden) in the summer of 1897....""]","Literatų street project, Literatų g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01123, Lithuania","{""coordinates"": [25.290297, 54.682287], ""type"": ""Point""}","Literatų street project, Literatų g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01123, Lithuania",tourism,attraction
46,Cinema,Cinema,"['*...On stage, Cinema screening was sometimes mixed with theatrical performances, illusion shows....', '*...The purpose of this Cinema was to provide cultural education for students and adults....', '*...The popularity of this Cinema is evidenced by the numbers of viewers in 1926: 502,261 tickets were sold, 24,242 tickets were given free to boarding children, 778 to Vilnius guests and 8,385 to soldiers....', '...Vilnius Film Festival Kino Pavasaris is the biggest and most important Cinema event in Lithuania with international guests and thousands of visitors....']","Lithuanian Theater, Music and Cinema Museum, 41, Vilniaus g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01119, Lithuania","{""coordinates"": [25.28099, 54.681319], ""type"": ""Point""}","Lithuanian Theater, Music and Cinema Museum, 41, Vilniaus g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01119, Lithuania",tourism,museum
47,Lietuva,Lietuva,"['*...In 1965, the most modern movie theater in Lithuania called Lietuva was opened in Vilnius, which annually had over 1.84\xa0million visitors and profit of over 1\xa0million\xa0Rbls....']","Creditreform Lietuva, 9, A. Jakšto g., Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01105, Lithuania","{""coordinates"": [25.276424, 54.689331], ""type"": ""Point""}","Creditreform Lietuva, 9, A. Jakšto g., Naujamiestis, Naujamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01105, Lithuania",office,company
49,Gediminas Avenue,Gediminas Avenue,"['*...Lithuanian Academy of Music and Theatre is headquartered in Gediminas Avenue and also has its department at the Slushko Palace in Antakalnis....', ""*...The President of the Republic of Lithuania resides at the Presidential Palace in Daukanto Square, while the Prime Minister's seat is at the Government of Lithuania office in Gediminas Avenue...."", '*...The present-day Seimas of the Republic of Lithuania is also located in Vilnius and meets at the Seimas Palace in Gediminas Avenue....', ""*...The Constitutional Court of Lithuania (Lithuanian: Lietuvos Respublikos Konstitucinis Teismas), an advisory body with ultimate authority on the constitutionality of laws meets in the Constitutional Court's Palace in Gediminas Avenue...."", ""*...Martynas Mažvydas National Library of Lithuania (Lithuanian: Lietuvos nacionalinė Martyno Mažvydo biblioteka), located in Gediminas Avenue and founded in 1919, is a national cultural institution which collects, organizes and preserves Lithuania's written cultural heritage content, develops the collection of Lithuanian and foreign documents relevant to research, educational and cultural needs of Lithuania, and provides library information services to the public...."", '*...The first stationary radio station in Vilnius Rozgłośnia Wileńska was launched in Žvėrynas microdistrict on 28 November 1927, but was later moved to the present-day Gediminas Avenue in 1935....']","Gediminas Avenue, Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01103, Lithuania","{""coordinates"": [25.279748, 54.687113], ""type"": ""Point""}","Gediminas Avenue, Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01103, Lithuania",highway,secondary
50,Slushko Palace,Slushko Palace,['...Lithuanian Academy of Music and Theatre is headquartered in Gediminas Avenue and also has its department at the Slushko Palace in Antakalnis....'],"Słuszko palace, 10, T. Kosciuškos g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01100, Lithuania","{""coordinates"": [25.297305, 54.691142], ""type"": ""Point""}","Słuszko palace, 10, T. Kosciuškos g., Old Town, Senamiesčio seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 01100, Lithuania",historic,manor
