,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Emilia-Romagna,Emilia-Romagna,"[""...È un comune italiano di 387\xa0855 abitanti, capoluogo dell'omonima città metropolitana, a sua volta capoluogo dell'Emilia-Romagna, posta al centro di un'area metropolitana di oltre un milione di abitanti...."", '*...Fra il 1987 e il 1994 imperversò in Emilia-Romagna, e in particolare nel territorio bolognese, la banda della Uno bianca....', ""...Vi sono inoltre diverse biblioteche tematiche come quella sulla storia del Novecento dell'Istituto storico Parri Emilia-Romagna, quella dell'Istituto Gramsci, la Biblioteca Italiana delle Donne, la biblioteca del Museo internazionale della musica, la biblioteca emeroteca del MAMbo e numerose altre...."", ""...Segni particolari - Appunti per un film sull'Emilia-Romagna - 2003, Giuseppe Bertolucci ;..."", '...Nacque così il Fiera District, destinato a diventare la sede della Regione Emilia-Romagna, del Palazzo degli Affari, della Fiera di Bologna e di altre importanti istituzioni economiche....', ""*...Altre strade importanti che toccano la città sono la Strada statale 9 Via Emilia, che la collega con numerosi capoluoghi dell'Emilia-Romagna, oltre che con Lodi e Milano;...""]","ISTAT Ufficio Regionale Emilia Romagna, 9, Via Luigi Carlo Farini, Galvani, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia","{""coordinates"": [11.343514, 44.491454], ""type"": ""Point""}","ISTAT Ufficio Regionale Emilia Romagna, 9, Via Luigi Carlo Farini, Galvani, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia",office,research
4,Aeroporto Guglielmo Marconi,Aeroporto Guglielmo Marconi,"[""*...La temperatura minima assoluta, registrata all'Aeroporto Guglielmo Marconi, è di  registrata nel 1966 mentre la massima assoluta è stata di  registrata il 4 agosto 2017...."", ""...L'Aeroporto Guglielmo Marconi di Bologna, nel 2019 era l'ottavo Aeroporto italiano per numero di passeggeri...."", '*...L\'importanza dell\'Aeroporto (il cui bacino d\'utenza è stimato in almeno dieci milioni di persone) è dovuto prevalentemente alla posizione nel ""baricentro produttivo"" d\'Italia....', ""*...L'Aeroporto è collegato alla stazione di Bologna Centrale tramite il Marconi Express, un people mover sopraelevato....""]","Aeroporto di Bologna ""Guglielmo Marconi"", Via Crocetta, Lippo, Calderara di Reno, Unione Terre d'Acqua, Bologna, Emilia-Romagna, 40012, Italia","{""coordinates"": [11.288457, 44.534431], ""type"": ""Point""}","Aeroporto di Bologna ""Guglielmo Marconi"", Via Crocetta, Lippo, Calderara di Reno, Unione Terre d'Acqua, Bologna, Emilia-Romagna, 40012, Italia",aeroway,aerodrome
6,Basilica di San Petronio,Basilica di San Petronio,"[""*...Nel 1507 Bologna passò allo Stato Pontificio e nel 1530 nella Basilica di San Petronio venne celebrata l'incoronazione di Carlo V Imperatore per mano di Papa Clemente VII...."", '...In piazza Maggiore si trova la gotica e imponente basilica di San Petronio costruita per volere del Comune fra il 1390 e il 1659....', '*...In piazza Maggiore si trova la gotica e imponente basilica di San Petronio costruita per volere del Comune fra il 1390 e il 1659....']","Basilica di San Petronio, Via dell'Archiginnasio, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia","{""coordinates"": [11.343033, 44.492736], ""type"": ""Point""}","Basilica di San Petronio, Via dell'Archiginnasio, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia",amenity,place_of_worship
7,Porta Lame,Porta Lame,"[""*...L'episodio più celebre della Resistenza bolognese fu la battaglia di Porta Lame, combattuta il 7 novembre 1944....""]","Porta Lame, Tangenziale delle Biciclette, Saffi, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italia","{""coordinates"": [11.333308, 44.502334], ""type"": ""Point""}","Porta Lame, Tangenziale delle Biciclette, Saffi, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italia",historic,city_gate
8,Pilastro,Pilastro,"[""*...L'azione più sanguinosa della banda, nota come la strage del Pilastro, avvenne il 4 gennaio 1991, quando vennero uccisi in un agguato tre carabinieri...."", '...La Bolognina ed il Pilastro sono statisticamente i quartieri ove si concentra maggiormente la popolazione straniera di Bologna....', '*...Nacquero così popolosi quartieri periferici come la Barca (1962), il Pilastro (1966) o il Fossolo (1968), e si realizzarono grandi progetti di edilizia popolare, come ad esempio il grattacielo di San Vitale (1958-60), l\'insediamento ""Levante Emilia"" in via Napoli (1961), il Treno (1957-62) e lo Steccone (1968) alla Barca, il Virgolone (1976) al Pilastro....']","Pilastro, Via Tommaso Casini, Pilastro, San Donato-San Vitale, San Sisto, Bologna, Emilia-Romagna, 40127, Italia","{""coordinates"": [11.395447, 44.511132], ""type"": ""Point""}","Pilastro, Via Tommaso Casini, Pilastro, San Donato-San Vitale, San Sisto, Bologna, Emilia-Romagna, 40127, Italia",amenity,shelter
9,Palazzo d'Accursio,Palazzo d'Accursio,"[""*...Nel 1999 la tradizione dei sindaci di sinistra si interruppe con l'affermazione elettorale di Giorgio Guazzaloca, candidato civico di centro-destra, che rimane tuttora l'unico esponente di tale coalizione ad essersi insediato a Palazzo d'Accursio...."", ""*...Palazzo d'Accursio (o Comunale) ;..."", '*...Tra i primi maestri vi furono i giuristi Pepone, Accursio e Irnerio, che resero famosa in tutta Europa la scuola di giurisprudenza bolognese....', ""...Affacciati su piazza Maggiore sorgono il Palazzo Comunale (o d'Accursio) (XIII-XV secolo) e il Palazzo del Podestà (ampiamente rimaneggiato nel 1485), accanto al duecentesco Palazzo Re Enzo (il cui aspetto attuale si deve al restauro neogotico di Alfonso Rubbiani del 1905)....""]","Palazzo D' Accursio, Piazza del Nettuno, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italia","{""coordinates"": [11.342339, 44.494034], ""type"": ""Point""}","Palazzo D' Accursio, Piazza del Nettuno, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italia",historic,building
10,Basilica di San Francesco,Basilica di San Francesco,"['...Di notevole interesse la Basilica di San Francesco del XIII secolo (anche se ha subito notevoli interventi nel XIX secolo e nel secondo dopoguerra), primo esempio di gotico francese in Italia....']","Basilica di San Francesco, Piazza San Francesco, Malpighi, Porto-Saragozza, Bologna, Emilia-Romagna, 40123, Italia","{""coordinates"": [11.335652, 44.494774], ""type"": ""Point""}","Basilica di San Francesco, Piazza San Francesco, Malpighi, Porto-Saragozza, Bologna, Emilia-Romagna, 40123, Italia",amenity,place_of_worship
12,piazza Santo Stefano,piazza Santo Stefano,"['*...In piazza Santo Stefano spicca il complesso di Santo Stefano, noto anche come ""le Sette Chiese"" a causa della sua articolazione in numerose chiese e cappelle collegate da un cortile e da un chiostro....', '*...Ad esse si aggiunge Corte Isolani, una galleria medievale che collega piazza Santo Stefano a Strada Maggiore, sede di piccole boutique, caffè, ristoranti e un laboratorio di marionette....', '*...Giardino della Lunetta Gamberini\nNel quartiere Santo Stefano, è un Parco di 14,5 ettari inaugurato negli anni Settanta....', '*...Borgo Panigale-Reno, San Donato-San Vitale, Savena, Navile, Porto-Saragozza, Santo Stefano....']","Piazza Santo Stefano, Galvani, Santo Stefano, Bologna, Emilia-Romagna, Italia","{""coordinates"": [11.348289, 44.492128], ""type"": ""Point""}","Piazza Santo Stefano, Galvani, Santo Stefano, Bologna, Emilia-Romagna, Italia",highway,pedestrian
13,le Sette Chiese,le Sette Chiese,"['...In piazza Santo Stefano spicca il complesso di Santo Stefano, noto anche come ""le Sette Chiese"" a causa della sua articolazione in numerose chiese e cappelle collegate da un cortile e da un chiostro....']","Osteria Le Sette Chiese, 6/B, Via Borgonuovo, Galvani, Santo Stefano, Bologna, Emilia-Romagna, 40125, Italia","{""coordinates"": [11.35055, 44.491746], ""type"": ""Point""}","Osteria Le Sette Chiese, 6/B, Via Borgonuovo, Galvani, Santo Stefano, Bologna, Emilia-Romagna, 40125, Italia",amenity,restaurant
14,via Indipendenza,via Indipendenza,"[""*...La cattedrale cittadina dedicata a San Pietro, sita in via Indipendenza, fu costruita nel XVII secolo sulle rovine dell'antico edificio paleocristiano....""]","Via dell'Indipendenza, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italia","{""coordinates"": [11.342831, 44.495723], ""type"": ""Point""}","Via dell'Indipendenza, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italia",highway,secondary
