,entity,to_search,snippet,address,coordinates,name_location,class,type
6,Arges,Arges,"[""*...Bucarest è situata nella parte sudorientale del Paese in un'area di lievissime ondulazioni al centro della pianura Valacca, tra il Danubio a sud e i Carpazi a nord, ed è attraversata dal fiume Dîmbovita, affluente dell'Arges, in parte canalizzato, e da un affluente del Dîmbovita, il Colentina, il cui corso meandriforme si allarga a formare piccoli laghi anche all'interno del perimetro urbano....""]","Casă din Moșneni-Greci, Argeș, Intrarea Românești, Herăstrău, Sector 1, Bucarest, 011347, Romania","{""coordinates"": [26.079356, 44.469891], ""type"": ""Point""}","Casă din Moșneni-Greci, Argeș, Intrarea Românești, Herăstrău, Sector 1, Bucarest, 011347, Romania",building,house
7,Colentina,Colentina,"[""*...Bucarest è situata nella parte sudorientale del Paese in un'area di lievissime ondulazioni al centro della pianura Valacca, tra il Danubio a sud e i Carpazi a nord, ed è attraversata dal fiume Dîmbovita, affluente dell'Arges, in parte canalizzato, e da un affluente del Dîmbovita, il Colentina, il cui corso meandriforme si allarga a formare piccoli laghi anche all'interno del perimetro urbano...."", '*...Nella zona fra i fiumi Dâmbovița e Colentina appaiono alcune prove di insediamenti della cultura neolitica risalenti intorno al 1800 a.C. nelle aree di Dudești (Settore 3 di Bucarest), del Lago Tei (formato dal Colentina) e di Bucureștii Noi (Settore 1)....']","Șoseaua Colentina, Colentina, Sector 2, Bucarest, 021175, Romania","{""coordinates"": [26.131675, 44.459245], ""type"": ""Point""}","Șoseaua Colentina, Colentina, Sector 2, Bucarest, 021175, Romania",highway,primary
12,Curtea Veche,Curtea Veche,"[""*...Nel 1558-59 Mircea V il Pastore fonda nella Curtea Veche, l'antica residenza principesca, la Chiesa palatina, oggi la più antica Chiesa della città conservata nella sua forma originale...."", '*...Curtea Veche ;...']","Biserica Ortodoxă „Sfântul Anton - Curtea Veche”, 33, Strada Franceză, Centrul Istoric, Sector 3, Bucarest, 030103, Romania","{""coordinates"": [26.102062, 44.430101], ""type"": ""Point""}","Biserica Ortodoxă „Sfântul Anton - Curtea Veche”, 33, Strada Franceză, Centrul Istoric, Sector 3, Bucarest, 030103, Romania",amenity,place_of_worship
33,Sala Palatului,Sala Palatului,['*...Sala Palatului....'],"Sala Palatului, Strada Ion Câmpineanu, Sector 1, Bucarest, 010034, Romania","{""coordinates"": [26.094814, 44.437875], ""type"": ""Point""}","Sala Palatului, Strada Ion Câmpineanu, Sector 1, Bucarest, 010034, Romania",highway,bus_stop
46,Sinagoga Yeshua Tova,Sinagoga Yeshua Tova,['*...Sinagoga Yeshua Tova....'],"Sinagoga Eșua Tova, 9, Strada Tache Ionescu, Sector 1, Bucarest, 010351, Romania","{""coordinates"": [26.097441, 44.444473], ""type"": ""Point""}","Sinagoga Eșua Tova, 9, Strada Tache Ionescu, Sector 1, Bucarest, 010351, Romania",amenity,place_of_worship
48,"Arco di Trionfo
 ","Arco di Trionfo
 ","['*...Arco di Trionfo...', ""*...La Nazionale di rugby rumena gioca le sue partite allo Stadio Arcul de Triumf, situato nei pressi dell'omonimo Arco....""]","Arco di Trionfo, Piața Arcul de Triumf, Aviatorilor, Sector 1, Bucarest, 011344, Romania","{""coordinates"": [26.078123, 44.46717], ""type"": ""Point""}","Arco di Trionfo, Piața Arcul de Triumf, Aviatorilor, Sector 1, Bucarest, 011344, Romania",tourism,attraction
50,Teatro Nazionale di Bucarest,Teatro Nazionale di Bucarest,['*...Teatro Nazionale di Bucarest ;...'],"Teatro Nazionale di Bucarest, 2, Bulevardul Nicolae Bălcescu, Cartierul Evreiesc, Sector 1, Bucarest, 010051, Romania","{""coordinates"": [26.103804, 44.437298], ""type"": ""Point""}","Teatro Nazionale di Bucarest, 2, Bulevardul Nicolae Bălcescu, Cartierul Evreiesc, Sector 1, Bucarest, 010051, Romania",amenity,theatre
60,A1,A1,"['...Dalla capitale si diramano le principali autostrade della nazione, le A1, A2 e A3....']","A1, Strada Ana Davila, Cotroceni, Sector 5, Bucarest, 050514, Romania","{""coordinates"": [26.068167, 44.433299], ""type"": ""Point""}","A1, Strada Ana Davila, Cotroceni, Sector 5, Bucarest, 050514, Romania",building,yes
61,A2,A2,"['*...Dalla capitale si diramano le principali autostrade della nazione, le A1, A2 e A3....']","A2, Strada Ana Davila, Cotroceni, Sector 5, Bucarest, 050514, Romania","{""coordinates"": [26.068503, 44.433342], ""type"": ""Point""}","A2, Strada Ana Davila, Cotroceni, Sector 5, Bucarest, 050514, Romania",building,yes
62,A3,A3,"['*...Dalla capitale si diramano le principali autostrade della nazione, le A1, A2 e A3....']","Autostrada Bucuresti - Ploiesti, Sector 2, Bucarest, 023841, Romania","{""coordinates"": [26.134926, 44.478521], ""type"": ""Point""}","Autostrada Bucuresti - Ploiesti, Sector 2, Bucarest, 023841, Romania",highway,trunk
