,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Aeroporto di Istanbul,Aeroporto di Istanbul,"[""*...La città è servita dal nuovo Aeroporto di Istanbul (nella parte europea) e dall'Aeroporto Internazionale di Istanbul-Sabiha Gökçen (nella parte asiatica)....""]","Aeroporto di Istanbul-Atatürk, Yenibosna Kavşağı, Fevzi Çakmak Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34196, Turchia","{""coordinates"": [28.825102, 40.977983], ""type"": ""Point""}","Aeroporto di Istanbul-Atatürk, Yenibosna Kavşağı, Fevzi Çakmak Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34196, Turchia",aeroway,aerodrome
8,Lodos,Lodos,['*...I più famosi sono il Poyraz (vento fresco da nord-est) e il Lodos (vento caldo da sud-ovest)....'],"Lodos, 2427. Sokak, İSTOÇ, Mahmutbey Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34218, Turchia","{""coordinates"": [28.827795, 41.06703], ""type"": ""Point""}","Lodos, 2427. Sokak, İSTOÇ, Mahmutbey Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34218, Turchia",shop,houseware
9,Byzantium,Byzantium,"['*...Byzantium), è la città più popolosa della Turchia e capoluogo della provincia omonima, oltre ad essere il principale centro industriale, finanziario e culturale dello stato....', '*...Divenne Byzantium in latino e successivamente Bisanzio in italiano....']","Byzantium Hotel, Akbıyık Caddesi, Cankurtaran Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia","{""coordinates"": [28.980414, 41.005527], ""type"": ""Point""}","Byzantium Hotel, Akbıyık Caddesi, Cankurtaran Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia",tourism,hotel
12,Nova Roma,Nova Roma,"['*...Costantino la ribattezzò Nova Roma, ma questa denominazione non entrò mai nell\'uso comune, sebbene ancora oggi la denominazione ufficiale secondo la Chiesa ortodossa e il Patriarcato ecumenico sia ""Costantinopoli Nuova Roma""....', '...La posizione strategica di Bisanzio attrasse anche l\'imperatore Costantino I che, l\'11 maggio 330, la rifondò come ""Nova Roma"", anche se la città prese presto il nome di Costantinopoli....']","Nova Roma Hotel, Aksakal Sokağı, Küçük Ayasofya Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia","{""coordinates"": [28.973814, 41.002732], ""type"": ""Point""}","Nova Roma Hotel, Aksakal Sokağı, Küçük Ayasofya Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia",tourism,hotel
14,Gran Bazaar,Gran Bazaar,"['...Parallelamente, la città venne dotata di strutture per il commercio, come il Gran Bazaar e il Bazar Egiziano, e tornò a essere il crocevia dei traffici fra Europa e Asia....']","Gran Bazar, Çarşıkapı Nur-u Osmaniye Caddesi, Mahmutpaşa, Molla Fenari Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34120, Turchia","{""coordinates"": [28.969963, 41.010109], ""type"": ""Point""}","Gran Bazar, Çarşıkapı Nur-u Osmaniye Caddesi, Mahmutpaşa, Molla Fenari Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34120, Turchia",tourism,museum
16,piazza Taksim,piazza Taksim,"['*...In anni recenti la città è stata oggetto di diversi attacchi terroristici, come il massacro di piazza Taksim avvenuto nel 1977, e gli attacchi del 1999, del 2003 e del 2008, per un totale di più di 120 vittime e 1.000 feriti....', ""...Un nuovo attentato compiuto da un kamikaze in piazza Taksim porta, nell'ottobre 2010, alla morte del kamikaze e al ferimento di 15 agenti di polizia e 17 civili...."", ""*...Conseguenza di ciò sono stati fra l'altro i violenti scontri avvenuti nel giugno 2013 a piazza Taksim e a Beşiktaş tra studenti, intellettuali, e cittadini da una parte e la polizia dall'altra in difesa del Parco di Gezi (e dei suoi 600 alberi) che il governo cittadino vuole distruggere per ricostruire antiche caserme ottomane che dovranno ospitare un centro commerciale e una moschea....""]","Piazza Taksim, Taksim, Gümüşsuyu, Gümüşsuyu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34437, Turchia","{""coordinates"": [28.985204, 41.037955], ""type"": ""Point""}","Piazza Taksim, Taksim, Gümüşsuyu, Gümüşsuyu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34437, Turchia",highway,pedestrian
19,Aeroporto Atatürk,Aeroporto Atatürk,"[""*...Il 28 giugno 2016, all'Aeroporto Atatürk, due attentatori suicidi affiliati all'ISIS, si sono fatti saltare in aria dopo aver aperto il fuoco sui passeggeri nel terminal voli internazionali...."", ""...L'Aeroporto Atatürk è rimasto aperto solo per manutenzione / tecnica, aviazione generale, e voli speciali...."", ""...La linea è stata successivamente sviluppata fino a raggiungere l'Aeroporto Atatürk il 20 dicembre 2002...."", ""...La città è servita dal nuovo Aeroporto di Istanbul (nella parte europea) e dall'Aeroporto Internazionale di Istanbul-Sabiha Gökçen (nella parte asiatica)...."", ""*...Durante l'inverno cadono mediamente 60\xa0cm di neve sulla zona dell'Aeroporto e circa 5\xa0cm in centro città, anche se le temperature medie non sono particolarmente basse, grazie ai temporali nevosi generati dal passaggio dell'aria polare o artica sul Mar Nero...."", ""*...Il governo del presidente Erdoğan ha ultimato, proposto o sta portando avanti una serie di grandi opere (Tunnel ferroviario sotto il Bosforo, terzo ponte sul Bosforo, terzo Aeroporto, diverse linee di metropolitana, canale navigabile per decongestionare il Bosforo) le quali, se da una parte costituiscono un potente stimolo per l'economia, dall'altra stanno alterando irreparabilmente l'immagine della città, sfregiata al tempo stesso da una speculazione edilizia ormai senza freni...."", ""...Il numero totale di turisti che sono entrati in Turchia attraverso l'Aeroporto Internazionale Atatürk e di Sabiha Gökçen ha raggiunto i 5.346.658 di unità, passando dalle 4.849.353 del 2005...."", ""...Il più grande era l'Aeroporto Internazionale Atatürk, che si trova nel quartiere di Yeşilköy sul versante europeo a circa 24 chilometri a ovest dal centro della città...."", ""...Quando fu costruito, l'Aeroporto era situato al margine occidentale dell'area metropolitana ma ora si trova entro i confini della città...."", ""...Più piccolo è l'Aeroporto Internazionale di Istanbul-Sabiha Gökçen situato nel distretto di Pendik nella parte asiatica, vicino al circuito di Formula 1, si trova a circa 20 chilometri a est della parte asiatica e a 45\xa0km a est del centro della città europea...."", '*...Per rispondere all’insufficienza delle infrastrutture esistenti, è stato recentemente attivato un terzo Aeroporto, situato sulla sponda europea del Mar Nero....']","Aeroporto di Istanbul-Atatürk, Yenibosna Kavşağı, Fevzi Çakmak Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34196, Turchia","{""coordinates"": [28.825102, 40.977983], ""type"": ""Point""}","Aeroporto di Istanbul-Atatürk, Yenibosna Kavşağı, Fevzi Çakmak Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34196, Turchia",aeroway,aerodrome
20,Reina,Reina,"[""...Nella notte di capodanno fra il 2016 e il 2017 alle ore 1:40 locali, un uomo armato di Kalašnikov ha aperto il fuoco dentro il night club 'Reina', nel quartiere Beşiktaş, nella zona europea della città...."", '...I più popolari dei locali estivi a cielo aperto si trovano sul Bosforo, come ""Sortie"", ""Reina"" e ""Anjelique"" nel quartiere Ortaköy....']","La Reina Collection, Laleli Caddesi, Mesihpaşa Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34130, Turchia","{""coordinates"": [28.956172, 41.007477], ""type"": ""Point""}","La Reina Collection, Laleli Caddesi, Mesihpaşa Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34130, Turchia",shop,clothes
21,Hagia Sophia,Hagia Sophia,"['...La maggior basilica costantiniana, Hagia Sophia (Divina Sapienza), monumento di estrema rilevanza architettonica dedicato al Logos, da sempre centro religioso della città, divenne il centro della cristianità greco-ortodossa....', '*...Allo stesso modo, mentre Hagia Sophia e le moschee imperiali dominano gran parte del panorama cittadino, si possono trovare anche una serie di storiche chiese e sinagoghe....']","Santa Sofia, Soğukçeşme Sokağı, Cankurtaran Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia","{""coordinates"": [28.98001, 41.008509], ""type"": ""Point""}","Santa Sofia, Soğukçeşme Sokağı, Cankurtaran Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia",amenity,place_of_worship
25,Acquedotto di Valente,Acquedotto di Valente,"[""...Nella parte occidentale del quartiere Fatih rimane l'Acquedotto di Valente, costruito alla fine del IV secolo, pur 50 metri più breve che in passato...."", ""...I due più grandi acquedotti di epoca romana sono l'Acquedotto Mazulkemer e l'Acquedotto di Valente....""]","Acquedotto di Valente, Kendir Sokağı, Zeyrek Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34165, Turchia","{""coordinates"": [28.954968, 41.016293], ""type"": ""Point""}","Acquedotto di Valente, Kendir Sokağı, Zeyrek Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34165, Turchia",tourism,attraction
