,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Alzette,Alzette,"[""...È situata su uno sperone roccioso alla confluenza della Pétrusse con l'Alzette, e conta 124\xa0528 abitanti al 2021...."", ""*...Nel XX secolo, con l'allargarsi della città sono stati edificati più di cinquanta ponti, alcuni dei quali veri e propri modelli di ingegneria, come il ponte Adolphe, con l'arcata in pietra a volta più ampia del mondo, che scavalcano i fiumi Alzette e Pétrusse...."", '*...Quando si contempla dal fondo della vallata del fiume Alzette o dalle case del Grund, la parte ""vecchia"" della città di Lussemburgo s\'impone ancora oggi per le muraglie che fecero di lei nella storia un\'importante cittadella....', ""*...Le fortificazioni, imponenti muraglioni a strapiombo sull'Alzette, erette nel 1632 dagli Spagnoli e ampliate da Vauban nel 1685....""]","Boulevard de l'Alzette, Pfaffenthal, Lussemburgo, Canton Luxembourg, 2663, Lussemburgo","{""coordinates"": [6.13341, 49.614474], ""type"": ""Point""}","Boulevard de l'Alzette, Pfaffenthal, Lussemburgo, Canton Luxembourg, 2663, Lussemburgo",highway,residential
5,Forets,Forets,"[""*...Con la resa della guarnigione austriaca, Lussemburgo venne annessa alla Francia, all'interno del dipartimento delle Forets....""]","Administration de la Nature et des Forêts, 16, Rue Eugène Ruppert, Cloche d'Or, Gasperich, Lussemburgo, Canton Luxembourg, 2453, Lussemburgo","{""coordinates"": [6.115181, 49.587223], ""type"": ""Point""}","Administration de la Nature et des Forêts, 16, Rue Eugène Ruppert, Cloche d'Or, Gasperich, Lussemburgo, Canton Luxembourg, 2453, Lussemburgo",office,government
7,Pétrusse,Pétrusse,"[""*...È situata su uno sperone roccioso alla confluenza della Pétrusse con l'Alzette, e conta 124\xa0528 abitanti al 2021...."", ""*...Nel XX secolo, con l'allargarsi della città sono stati edificati più di cinquanta ponti, alcuni dei quali veri e propri modelli di ingegneria, come il ponte Adolphe, con l'arcata in pietra a volta più ampia del mondo, che scavalcano i fiumi Alzette e Pétrusse....""]","Pétrusse Casemates, Place de la Constitution, Ville-Haute, Lussemburgo, Canton Luxembourg, 2450, Lussemburgo","{""coordinates"": [6.129932, 49.609429], ""type"": ""Point""}","Pétrusse Casemates, Place de la Constitution, Ville-Haute, Lussemburgo, Canton Luxembourg, 2450, Lussemburgo",tourism,attraction
8,Alcide de Gasperi,Alcide de Gasperi,"['*...Oggi, il palazzo Alcide de Gasperi (detto Bâtiment Tour), le torri A et B – situate al Kirchberg\xa0– definiscono, con le fortificazioni, la Chiesa Saint-Michel e la cattedrale Notre-Dame, la ""skyline"" della città di Lussemburgo....']","Bâtiment Alcide de Gasperi, Place de l'Europe, Quartier Européen Sud, Kirchberg, Lussemburgo, Canton Luxembourg, 1499, Lussemburgo","{""coordinates"": [6.143969, 49.618354], ""type"": ""Point""}","Bâtiment Alcide de Gasperi, Place de l'Europe, Quartier Européen Sud, Kirchberg, Lussemburgo, Canton Luxembourg, 1499, Lussemburgo",building,yes
11,Kirchberg,Kirchberg,"['...Il plateau du Kirchberg è dalla fine degli anni ottanta in piena espansione....', '*...Oggi, il palazzo Alcide de Gasperi (detto Bâtiment Tour), le torri A et B – situate al Kirchberg\xa0– definiscono, con le fortificazioni, la Chiesa Saint-Michel e la cattedrale Notre-Dame, la ""skyline"" della città di Lussemburgo....', '*...Beggen, Belair, Bonnevoie-Nord-Verlorenkost, Bonnevoie-Sud, Ville-Haute, Cents, Cessange, Clausen, Dommeldange, Eich, Gare, Gasperich, Grund, Hamm, Hollerich, Kirchberg, Limpertsberg, Merl, Muhlenbach, Neudorf-Weimershof, Pfaffenthal, Pulvermuhl, Rollingergrund-Belair-Nord, Weimerskirch....']","Kirchberg, Rue des Maraîchers, Quartier Européen Nord, Kirchberg, Lussemburgo, Canton Luxembourg, 1513, Lussemburgo","{""coordinates"": [6.140118, 49.625115], ""type"": ""Point""}","Kirchberg, Rue des Maraîchers, Quartier Européen Nord, Kirchberg, Lussemburgo, Canton Luxembourg, 1513, Lussemburgo",amenity,post_office
13,Grund,Grund,"['*...Beggen, Belair, Bonnevoie-Nord-Verlorenkost, Bonnevoie-Sud, Ville-Haute, Cents, Cessange, Clausen, Dommeldange, Eich, Gare, Gasperich, Grund, Hamm, Hollerich, Kirchberg, Limpertsberg, Merl, Muhlenbach, Neudorf-Weimershof, Pfaffenthal, Pulvermuhl, Rollingergrund-Belair-Nord, Weimerskirch....', '*...Quando si contempla dal fondo della vallata del fiume Alzette o dalle case del Grund, la parte ""vecchia"" della città di Lussemburgo s\'impone ancora oggi per le muraglie che fecero di lei nella storia un\'importante cittadella....']","Montée du Grund, Ville-Haute, Lussemburgo, Canton Luxembourg, 1645, Lussemburgo","{""coordinates"": [6.133976, 49.60926], ""type"": ""Point""}","Montée du Grund, Ville-Haute, Lussemburgo, Canton Luxembourg, 1645, Lussemburgo",highway,living_street
19,Place Guillaume,Place Guillaume,"['...La Place Guillaume è la piazza principale della città dove si affaccia il Municipio, eretto in stile neoclassico nel 1830....']","Place Guillaume II, Ville-Haute, Lussemburgo, Canton Luxembourg, 1648, Lussemburgo","{""coordinates"": [6.130379, 49.610889], ""type"": ""Point""}","Place Guillaume II, Ville-Haute, Lussemburgo, Canton Luxembourg, 1648, Lussemburgo",highway,pedestrian
22,Musée national d'histoire naturelle,Musée national d'histoire naturelle,"[""...Tra questi il Musée national d'histoire et d'art o MNHA, il Musée national d'histoire naturelle o MNHN, il Musée d'art moderne Grand-Duc Jean o Mudam e il Musée d'histoire de la Ville de Luxembourg....""]","Musée national d'histoire naturelle, 25, Rue Munster, Grund, Lussemburgo, Canton Luxembourg, 2160, Lussemburgo","{""coordinates"": [6.135638, 49.60968], ""type"": ""Point""}","Musée national d'histoire naturelle, 25, Rue Munster, Grund, Lussemburgo, Canton Luxembourg, 2160, Lussemburgo",tourism,museum
23,Musée d'art moderne Grand-Duc Jean,Musée d'art moderne Grand-Duc Jean,"[""...Tra questi il Musée national d'histoire et d'art o MNHA, il Musée national d'histoire naturelle o MNHN, il Musée d'art moderne Grand-Duc Jean o Mudam e il Musée d'histoire de la Ville de Luxembourg....""]","MUDAM, 3, Park Dräi Eechelen, Quartier Européen Sud, Kirchberg, Lussemburgo, Canton Luxembourg, 1499, Lussemburgo","{""coordinates"": [6.140283, 49.616861], ""type"": ""Point""}","MUDAM, 3, Park Dräi Eechelen, Quartier Européen Sud, Kirchberg, Lussemburgo, Canton Luxembourg, 1499, Lussemburgo",tourism,museum
24,Musée d'histoire de la Ville de Luxembourg,Musée d'histoire de la Ville de Luxembourg,"[""...Tra questi il Musée national d'histoire et d'art o MNHA, il Musée national d'histoire naturelle o MNHN, il Musée d'art moderne Grand-Duc Jean o Mudam e il Musée d'histoire de la Ville de Luxembourg....""]","Musée d'Histoire de la Ville de Luxembourg, 14, Rue du Saint-Esprit, Ville-Haute, Lussemburgo, Canton Luxembourg, 2090, Lussemburgo","{""coordinates"": [6.1336, 49.609931], ""type"": ""Point""}","Musée d'Histoire de la Ville de Luxembourg, 14, Rue du Saint-Esprit, Ville-Haute, Lussemburgo, Canton Luxembourg, 2090, Lussemburgo",tourism,museum
