,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Palazzo reale di Madrid,Palazzo reale di Madrid,"['...Nel suo patrimonio culturale troviamo il Palazzo reale di Madrid, il Parco del Retiro, la Biblioteca nazionale di Spagna e tre importanti musei: il Museo del Prado, il Museo Nacional Centro de Arte Reina Sofía e il Museo Thyssen-Bornemisza....', '...Il Palazzo reale di Madrid (Palacio Real de Madrid) ;...', '...Tuttavia le origini della città moderna risalgono al 852, quando Muhammad I ordinò la costruzione di una piccola residenza reale nel medesimo luogo in cui oggi sorge il Palazzo reale....', ""...Dopo che l'Alcázar andò distrutto in un incendio nel 1734 si costruì nello stesso sito l'attuale Palazzo reale che fu ultimato nel 1755...."", '...A nord-ovest del Palazzo reale, su alcuni terreni ceduti dal sovrano, si formò la Ciudad Universitaria....', '...I giardini del Campo del Moro, posti dietro il Palazzo Reale ;...', ""*...Dopo che l'Alcázar andò distrutto in un incendio nel 1734 si costruì nello stesso sito l'attuale Palazzo reale che fu ultimato nel 1755...."", '*...A nord-ovest del Palazzo reale, su alcuni terreni ceduti dal sovrano, si formò la Ciudad Universitaria....']","Palazzo reale di Madrid, Plaza de la Armería, Barrio de la Latina, Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28013, Spagna","{""coordinates"": [-3.713584, 40.417312], ""type"": ""Point""}","Palazzo reale di Madrid, Plaza de la Armería, Barrio de la Latina, Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28013, Spagna",tourism,museum
4,Museo del Prado,Museo del Prado,"['...Nel suo patrimonio culturale troviamo il Palazzo reale di Madrid, il Parco del Retiro, la Biblioteca nazionale di Spagna e tre importanti musei: il Museo del Prado, il Museo Nacional Centro de Arte Reina Sofía e il Museo Thyssen-Bornemisza....', '*...Vanno ricordati anche il paseo de Recoletos, le fontane di Nettuno, Cibele e di Apollo, il Real Jardín Botánico, il Real Observatorio Astronómico o il Palazzo Villanueva, inizialmente destinato ad ospitare il Real Gabinete de Historia Natural, ma che poi divenne sede del noto Museo del Prado....', ""...Tra i luoghi da visitare ricordiamo il Museo del Prado, il Museo Thyssen-Bornemisza, il Centro d' arte della regina Sofía (dove si trova il famoso Guernica di Pablo Picasso), il Palacio Real, la Puerta del Sol, in cui è situata la placca del chilometro zero (utilizzata per il calcolo delle distanze nello Stato spagnolo) ed in cui i madrileni si riuniscono ogni fine anno per aspettare il nuovo anno mangiando un chicco di uva per ognuno dei dodici rintocchi della mezzanotte, la vicina Plaza Mayor (in cui tutti i week-end si svolge il mercatino numismatico e, nel periodo natalizio, quello dei presepi), il Parco del Retiro, e nelle vicinanze il Monastero dell'Escorial, Santa Cruz del Valle de los Caídos e le città di Toledo, Segovia, Avila e Aranjuez...."", '...Il Museo del Prado ;...', ""*...La realizzazione del paseo del Prado è probabilmente l'opera più importante del periodo e quella che trova ancor oggi maggior testimonianza nella città...."", ""...Nel 1860 si abbatté la cinta muraria eretta da Filippo IV e la città poté finalmente espandersi in principio ordinatamente, grazie al piano Castro e alla realizzazione di grandi opere di risanamento (ensanches) che frutteranno grandi affari facendo la fortuna del marchese José de Salamanca y Mayol, da cui prese nome il nuovo quartiere sorto ad est di quello che sarebbe diventato l'asse viario centrale della capitale, il Paseo de la Castellana, prolungamento del Paseo del Prado...."", '...Il Paseo del Prado ;...']","Museo del Prado, 23, Calle Ruiz de Alarcón, Jerónimos, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28014, Spagna","{""coordinates"": [-3.692474, 40.414615], ""type"": ""Point""}","Museo del Prado, 23, Calle Ruiz de Alarcón, Jerónimos, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28014, Spagna",shop,ticket
5,Museo Nacional Centro de Arte Reina Sofía,Museo Nacional Centro de Arte Reina Sofía,"['...Nel suo patrimonio culturale troviamo il Palazzo reale di Madrid, il Parco del Retiro, la Biblioteca nazionale di Spagna e tre importanti musei: il Museo del Prado, il Museo Nacional Centro de Arte Reina Sofía e il Museo Thyssen-Bornemisza....', '...Il Museo Nacional Centro de Arte Reina Sofía (dove è esposta la famosissima opera Guernica di Pablo Picasso) ;...']","Museo Nacional Centro de Arte Reina Sofía, 52, Calle de Santa Isabel, Lavapiés, Embajadores, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28012, Spagna","{""coordinates"": [-3.694422, 40.40805], ""type"": ""Point""}","Museo Nacional Centro de Arte Reina Sofía, 52, Calle de Santa Isabel, Lavapiés, Embajadores, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28012, Spagna",tourism,museum
6,Museo Thyssen-Bornemisza,Museo Thyssen-Bornemisza,"['...Nel suo patrimonio culturale troviamo il Palazzo reale di Madrid, il Parco del Retiro, la Biblioteca nazionale di Spagna e tre importanti musei: il Museo del Prado, il Museo Nacional Centro de Arte Reina Sofía e il Museo Thyssen-Bornemisza....', ""...Tra i luoghi da visitare ricordiamo il Museo del Prado, il Museo Thyssen-Bornemisza, il Centro d' arte della regina Sofía (dove si trova il famoso Guernica di Pablo Picasso), il Palacio Real, la Puerta del Sol, in cui è situata la placca del chilometro zero (utilizzata per il calcolo delle distanze nello Stato spagnolo) ed in cui i madrileni si riuniscono ogni fine anno per aspettare il nuovo anno mangiando un chicco di uva per ognuno dei dodici rintocchi della mezzanotte, la vicina Plaza Mayor (in cui tutti i week-end si svolge il mercatino numismatico e, nel periodo natalizio, quello dei presepi), il Parco del Retiro, e nelle vicinanze il Monastero dell'Escorial, Santa Cruz del Valle de los Caídos e le città di Toledo, Segovia, Avila e Aranjuez...."", '...Il Museo Thyssen-Bornemisza ;...']","Museo Thyssen-Bornemisza, 8, Paseo del Prado, Barrio de las Letras, Cortes, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28014, Spagna","{""coordinates"": [-3.694932, 40.416216], ""type"": ""Point""}","Museo Thyssen-Bornemisza, 8, Paseo del Prado, Barrio de las Letras, Cortes, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28014, Spagna",tourism,museum
10,Culebro,Culebro,"['*...Uscendo dalla città di Madrid, il fiume entra nella parte orientale della città di Getafe, dove riceve le acque del torrente Culebro, per sfociare poco dopo nel Jarama, nelle vicinanze di Rivas-Vaciamadrid....']","Arroyo Culebro, Calle Humanes de Madrid, Arroyo Culebro, Leganés, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28941, Spagna","{""coordinates"": [-3.789312, 40.310043], ""type"": ""Point""}","Arroyo Culebro, Calle Humanes de Madrid, Arroyo Culebro, Leganés, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28941, Spagna",amenity,school
11,Jarama,Jarama,"['*...Uscendo dalla città di Madrid, il fiume entra nella parte orientale della città di Getafe, dove riceve le acque del torrente Culebro, per sfociare poco dopo nel Jarama, nelle vicinanze di Rivas-Vaciamadrid....', '*...Oltre al Manzanarre esistono altri piccoli fiumi nella città di Madrid e nei suoi dintorni, come il Moraleja, il Vega, il Valdelamasa e il Viñuelas, che sfociano direttamente nel Jarama o come il torrente Cedrón, che sfocia nel Guadarrama....']","Jarama, Plaza de Guernica, San Fernando de Henares, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28830, Spagna","{""coordinates"": [-3.525363, 40.423373], ""type"": ""Point""}","Jarama, Plaza de Guernica, San Fernando de Henares, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28830, Spagna",railway,station
12,Moraleja,Moraleja,"['*...Oltre al Manzanarre esistono altri piccoli fiumi nella città di Madrid e nei suoi dintorni, come il Moraleja, il Vega, il Valdelamasa e il Viñuelas, che sfociano direttamente nel Jarama o come il torrente Cedrón, che sfocia nel Guadarrama....']","Calle de Moraleja de Coca, Casco Histórico de Vallecas, Villa de Vallecas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28031, Spagna","{""coordinates"": [-3.623247, 40.371582], ""type"": ""Point""}","Calle de Moraleja de Coca, Casco Histórico de Vallecas, Villa de Vallecas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28031, Spagna",highway,residential
13,Vega,Vega,"['*...Oltre al Manzanarre esistono altri piccoli fiumi nella città di Madrid e nei suoi dintorni, come il Moraleja, il Vega, il Valdelamasa e il Viñuelas, che sfociano direttamente nel Jarama o come il torrente Cedrón, che sfocia nel Guadarrama....']","Vega, 9, Calle de la Luna, Malasaña, Universidad, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28004, Spagna","{""coordinates"": [-3.706097, 40.422314], ""type"": ""Point""}","Vega, 9, Calle de la Luna, Malasaña, Universidad, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28004, Spagna",amenity,restaurant
14,Valdelamasa,Valdelamasa,"['*...Oltre al Manzanarre esistono altri piccoli fiumi nella città di Madrid e nei suoi dintorni, come il Moraleja, il Vega, il Valdelamasa e il Viñuelas, che sfociano direttamente nel Jarama o come il torrente Cedrón, che sfocia nel Guadarrama....']","Calle de Valdelamasa, Ciudad Jardín, Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28002, Spagna","{""coordinates"": [-3.67247, 40.450687], ""type"": ""Point""}","Calle de Valdelamasa, Ciudad Jardín, Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28002, Spagna",highway,pedestrian
15,Viñuelas,Viñuelas,"['*...Oltre al Manzanarre esistono altri piccoli fiumi nella città di Madrid e nei suoi dintorni, come il Moraleja, il Vega, il Valdelamasa e il Viñuelas, che sfociano direttamente nel Jarama o come il torrente Cedrón, che sfocia nel Guadarrama....']","Calle Viñuelas, Legazpi, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28045, Spagna","{""coordinates"": [-3.692406, 40.388406], ""type"": ""Point""}","Calle Viñuelas, Legazpi, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28045, Spagna",highway,residential
