,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Estaque,Estaque,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud....""]","Lotissement de L'Estaque Bleue, ZAC Saumaty, L'Estaque, 16e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13016, Francia","{""coordinates"": [5.321119, 43.359132], ""type"": ""Point""}","Lotissement de L'Estaque Bleue, ZAC Saumaty, L'Estaque, 16e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13016, Francia",highway,residential
5,Etoile,Etoile,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud....""]","Rue de l'Étoile, Belsunce, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia","{""coordinates"": [5.376315, 43.300444], ""type"": ""Point""}","Rue de l'Étoile, Belsunce, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia",highway,residential
6,Garlaban,Garlaban,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud....""]","Le Garlaban, Traverse des Bonnets, La Rose, 13e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13013, Francia","{""coordinates"": [5.423055, 43.32936], ""type"": ""Point""}","Le Garlaban, Traverse des Bonnets, La Rose, 13e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13013, Francia",amenity,social_facility
7,Saint-Cyr,Saint-Cyr,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud....""]","Le Saint-Cyr, Boulevard de Pont de Vivaux, Pont-de-Vivaux, 10e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13010, Francia","{""coordinates"": [5.417264, 43.27968], ""type"": ""Point""}","Le Saint-Cyr, Boulevard de Pont de Vivaux, Pont-de-Vivaux, 10e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13010, Francia",amenity,bar
8,Puget,Puget,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud...."", ""...Il Museo di belle arti di Marsiglia conserva dipinti di artisti come Perugino, Giulio Romano, Annibale Carracci, Luca Giordano, Canaletto, Giandomenico Tiepolo, Jusepe de Ribera, Rubens, Jacob Jordaens, Charles Le Brun, Jacques-Louis David, Gustave Courbet, Camille Corot e una grande collezione di opere dello scultore barocco Pierre Puget, nativo di Marsiglia. Vi si trova anche il quadro l'Idolatria di Salomone, opera di Paolo Pagani ;...""]","Halle Puget, Rue Puvis de Chavannes, Belsunce, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia","{""coordinates"": [5.375264, 43.299681], ""type"": ""Point""}","Halle Puget, Rue Puvis de Chavannes, Belsunce, 1er Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13001, Francia",tourism,attraction
9,Marseilleveyre,Marseilleveyre,"[""*...È bagnata dal Mediterraneo a ovest e a sud, racchiusa da un anfiteatro di alture calcaree formato dal massiccio dell'Estaque e dell'Etoile a nord, dal massiccio del Garlaban a est, dal massiccio del Saint-Cyr e dal monte Puget a sud-est, il massiccio del Marseilleveyre a sud....""]","Marseilleveyre, Avenue du Corail, La Pointe-Rouge, 8e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13008, Francia","{""coordinates"": [5.375507, 43.239174], ""type"": ""Point""}","Marseilleveyre, Avenue du Corail, La Pointe-Rouge, 8e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13008, Francia",highway,bus_stop
10,Huveaune,Huveaune,"[""*...L'area metropolitana marsigliese è bagnata dal fiume Huveaune e dal suo affluente Jarret...."", '*...Il fiume cittadino si chiama Huveaune....']","Sentier Pédestre de l'Huveaune, Saint-Giniez, 8e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13008, Francia","{""coordinates"": [5.38504, 43.263017], ""type"": ""Point""}","Sentier Pédestre de l'Huveaune, Saint-Giniez, 8e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13008, Francia",highway,track
11,Jarret,Jarret,"[""*...L'area metropolitana marsigliese è bagnata dal fiume Huveaune e dal suo affluente Jarret....""]","Boulevard Rabatau, Le Rouet, 8e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13008, Francia","{""coordinates"": [5.398194, 43.276927], ""type"": ""Point""}","Boulevard Rabatau, Le Rouet, 8e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13008, Francia",highway,primary
18,rue de Lyon,rue de Lyon,"['*...Durante la seconda guerra mondiale Marsiglia venne colpita il 1º giugno 1940 da un bombardamento tedesco che causò 32 morti e una sessantina di feriti, lo stesso giorno in cui il battaglione di pompieri della marina militare, recentemente creato, lasciò la caserma temporanea nella rue de Lyon e prese possesso quella del Boulevard de Strasbourg....']","Rue de Lyon, Les Crottes, 15e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13015, Francia","{""coordinates"": [5.367362, 43.324064], ""type"": ""Point""}","Rue de Lyon, Les Crottes, 15e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13015, Francia",highway,tertiary
19,Boulevard de Strasbourg,Boulevard de Strasbourg,"['...Durante la seconda guerra mondiale Marsiglia venne colpita il 1º giugno 1940 da un bombardamento tedesco che causò 32 morti e una sessantina di feriti, lo stesso giorno in cui il battaglione di pompieri della marina militare, recentemente creato, lasciò la caserma temporanea nella rue de Lyon e prese possesso quella del Boulevard de Strasbourg....']","Boulevard de Strasbourg, Saint-Lazare, 3e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13003, Francia","{""coordinates"": [5.375084, 43.307001], ""type"": ""Point""}","Boulevard de Strasbourg, Saint-Lazare, 3e Arrondissement, Marsiglia, Marseille, Bouches-du-Rhône, Provenza-Alpi-Costa Azzurra, Francia metropolitana, 13003, Francia",highway,residential
