,entity,to_search,snippet,address,coordinates,name_location,class,type
0,' moscovita,' moscovita,"[""*...Il Cremlino e la Piazza Rossa sono uno dei vari siti Patrimonio dell'umanità situati nel territorio dell'oblast' moscovita....""]","Московский институт теплотехники, Отрадная улица, район Отрадное, Mosca, Distretto Federale Centrale, 127273, Russia","{""coordinates"": [37.604038, 55.855636], ""type"": ""Point""}","Московский институт теплотехники, Отрадная улица, район Отрадное, Mosca, Distretto Federale Centrale, 127273, Russia",amenity,research_institute
1,Terra,Terra,"[""*...Con più di 13 milioni di abitanti (18 milioni considerando l'area metropolitana), è la città più popolosa del Paese, la seconda città d'Europa per popolazione e superficie dopo Istanbul, la decima città più popolosa del mondo, la città con oltre di 10 milioni di persone più settentrionale al mondo nonché, a causa del suo rigido clima continentale, la megalopoli più settentrionale e fredda della Terra....""]","Greca Terra, 3, Таганская улица, Таганский район, Mosca, Distretto Federale Centrale, 109147, Russia","{""coordinates"": [37.658261, 55.741203], ""type"": ""Point""}","Greca Terra, 3, Таганская улица, Таганский район, Mosca, Distretto Federale Centrale, 109147, Russia",shop,wine
2,Cattedrale di San Basilio,Cattedrale di San Basilio,"[""*...Mosca è rinomata per i suoi stili architettonici unici e ammirabili in un gran numero di edifici storici, fra cui la celebre Cattedrale di San Basilio con le sue cupole a cipolla colorate, la Cattedrale di Cristo Salvatore, i magazzini GUM e l'Esposizione delle conquiste dell'economia nazionale...."", '...La città è nota soprattutto per la Cattedrale di San Basilio, con le sue fastose cupole a cipolla, così come la Cattedrale di Cristo Salvatore e le Sette Sorelle....']","Cattedrale di San Basilio, 2, Piazza Rossa, 2, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia","{""coordinates"": [37.623063, 55.752488], ""type"": ""Point""}","Cattedrale di San Basilio, 2, Piazza Rossa, 2, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia",place,house
8,Moscova,Moscova,"[""*...Fu fondata nell'anno 1147 da Jurij Dolgorukij sulle sponde del fiume Moscova...."", '*...Mosca giace sulle rive del fiume Moscova;...', '*...La sua posizione favorevole sulle rive del fiume Moscova contribuì a una rapida espansione....', '*...Affacciata sul fiume Moscova la promenade è immaginata come un luogo di aggregazione con ristoranti, bar e negozi, collegata alla vicina Kutuzovskiy Prospekt tramite un Parco che prevede zone pubbliche, semi-pubbliche, private con diverse tipologie di verde, prati, vegetazione bassa, bosco alberato....', ""*...La parte principale (689\xa0000 metri quadrati) lungo il fiume Moscova contiene attrazioni per bambini (compresi una ruota panoramica, specchi d'acqua con barche e biciclette d'acqua)...."", ""*...Il complesso include otto aree tematiche e un centro commerciale, tutto sotto lo stesso tetto, un'estensione di 30 ettari, all'esterno c'è un Parco ampio 44 ettari, una sala concerti polifunzionale da 3.500 posti, una passeggiata lungo il fiume Moscova di 2 chilometri, una scuola di vela per bambini e un hotel 4 stelle con 410 camere...."", ""*...La galleria Tret'jakov antica, che è la galleria originale e si trova sulla riva sud del fiume Moscova, ed espone lavori della classica tradizione russa...."", '*...Sulla Moscova, che attraversa la città, vi sono i due porti fluviali cittadini, uno a sud e uno a nord del tratto urbano del fiume....', ""*...Molte rotte sulla Moscova e sull'Oka, vengono utilizzate principalmente per crociere di intrattenimento...."", '*...Il 26 novembre 2018 il Sindaco della capitale russa Sobjanin ha ufficialmente inaugurato il sistema di cabinovia operante sopra il fiume Moscova....']","Università statale di Mosca, район Хамовники, Mosca, Distretto Federale Centrale, 119234, Russia","{""coordinates"": [37.531798, 55.702297], ""type"": ""Point""}","Università statale di Mosca, район Хамовники, Mosca, Distretto Federale Centrale, 119234, Russia",amenity,university
9,Parco Izmajlovskij,Parco Izmajlovskij,"[""...La città possiede alcuni tra i più grandi parchi al mondo, come il Parco Izmajlovskij, il Parco Timiriazevskij, il Parco Fili, il Parco Zamoskvoreckij, il Parco Ljublino, il Parco Butovskij, l'orto botanico, il Parco Neskučnyj, il Parco Bitcevskij, il Parco Caricyno, il Parco Kolomenskoe, il Parco Kuz'minki, il Parco Kuskovo, il Parco Sokol'niki e molte altre aree verdi....""]","Parco di Izmajlovo, Московский проспект, район Измайлово, Mosca, Distretto Federale Centrale, 105187, Russia","{""coordinates"": [37.748219, 55.77661], ""type"": ""Point""}","Parco di Izmajlovo, Московский проспект, район Измайлово, Mosca, Distretto Federale Centrale, 105187, Russia",highway,bus_stop
26,Mausoleo di Lenin,Mausoleo di Lenin,"['...Particolarmente degni di nota furono gli architetti costruttivisti della Vchutemas, realizzatori di importanti edifici come il Mausoleo di Lenin....']","Mausoleo di Lenin, Piazza Rossa, 4, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia","{""coordinates"": [37.619902, 55.753731], ""type"": ""Point""}","Mausoleo di Lenin, Piazza Rossa, 4, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia",tourism,attraction
28,GUM,GUM,"[""*...Mosca è rinomata per i suoi stili architettonici unici e ammirabili in un gran numero di edifici storici, fra cui la celebre Cattedrale di San Basilio con le sue cupole a cipolla colorate, la Cattedrale di Cristo Salvatore, i magazzini GUM e l'Esposizione delle conquiste dell'economia nazionale...."", '*...Progettò spaziose gallerie di negozi, in particolare i grandi magazzini GUM sulla Piazza Rossa....']","GUM (centro commerciale), 3, Piazza Rossa, 4, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia","{""coordinates"": [37.621456, 55.754694], ""type"": ""Point""}","GUM (centro commerciale), 3, Piazza Rossa, 4, Китай-город, Тверской район, Mosca, Distretto Federale Centrale, 109012, Russia",tourism,attraction
36,Nautilius,Nautilius,"['...Alcuni esempi di edifici realizzati durante il governo di Lužkov sono: il centro commerciale ""Nautilius"" sulla Piazza Lubjanka, la Casa-uovo in via Mashkov, il centro commerciale ""Okhotny Ryad"" in Piazza del Maneggio, il centro commerciale ""Evropejskij"" in Piazza della stazione Kievskaja, il Teatro ""Et Cetera"" nel vicolo Frolov....']","Наутилус, Крымская набережная, район Якиманка, Mosca, Distretto Federale Centrale, 119049, Russia","{""coordinates"": [37.60751, 55.736638], ""type"": ""Point""}","Наутилус, Крымская набережная, район Якиманка, Mosca, Distretto Federale Centrale, 119049, Russia",tourism,artwork
40,Okhotny Ryad,Okhotny Ryad,"['...Alcuni esempi di edifici realizzati durante il governo di Lužkov sono: il centro commerciale ""Nautilius"" sulla Piazza Lubjanka, la Casa-uovo in via Mashkov, il centro commerciale ""Okhotny Ryad"" in Piazza del Maneggio, il centro commerciale ""Evropejskij"" in Piazza della stazione Kievskaja, il Teatro ""Et Cetera"" nel vicolo Frolov....']","Охотный Ряд, улица Охотный Ряд, 18, 62, Тверской район, Mosca, Distretto Federale Centrale, 103265, Russia","{""coordinates"": [37.616497, 55.757767], ""type"": ""Point""}","Охотный Ряд, улица Охотный Ряд, 18, 62, Тверской район, Mosca, Distretto Federale Centrale, 103265, Russia",railway,station
42,Evropejskij,Evropejskij,"['...Alcuni esempi di edifici realizzati durante il governo di Lužkov sono: il centro commerciale ""Nautilius"" sulla Piazza Lubjanka, la Casa-uovo in via Mashkov, il centro commerciale ""Okhotny Ryad"" in Piazza del Maneggio, il centro commerciale ""Evropejskij"" in Piazza della stazione Kievskaja, il Teatro ""Et Cetera"" nel vicolo Frolov....']","Европейский банк развития, 1-й Зачатьевский переулок, район Хамовники, Mosca, Distretto Federale Centrale, 119034, Russia","{""coordinates"": [37.604773, 55.739396], ""type"": ""Point""}","Европейский банк развития, 1-й Зачатьевский переулок, район Хамовники, Mosca, Distretto Federale Centrale, 119034, Russia",office,bank
