,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Miglio d'Oro,Miglio d'Oro,"[""*...Nel 1997 l'apparato vulcanico Somma-Vesuvio è stato eletto dalla stessa agenzia internazionale (con il vicino Miglio d'Oro, in cui ricadono anche i quartieri orientali della città) tra le riserve mondiali della biosfera....""]","Miglio d'Oro, Via Emanuele Gianturco, Portici, Napoli, Campania, 80055, Italia","{""coordinates"": [14.335845, 40.81251], ""type"": ""Point""}","Miglio d'Oro, Via Emanuele Gianturco, Portici, Napoli, Campania, 80055, Italia",amenity,restaurant
3,Punta Campanella,Punta Campanella,"['*...Napoli sorge quasi al centro dell\'omonimo golfo ""dominato"" dal vulcano Vesuvio e delimitato a est dalla penisola sorrentina con Punta Campanella, a ovest dai Campi Flegrei con Monte di Procida, a nord ovest-est dal versante meridionale della piana campana che si estende dal lago Patria al nolano....']","Punta Campanella, Sentiero del cuore, Marciano, Massa Lubrense, Napoli, Campania, 80061, Italia","{""coordinates"": [14.324743, 40.56948], ""type"": ""Point""}","Punta Campanella, Sentiero del cuore, Marciano, Massa Lubrense, Napoli, Campania, 80061, Italia",man_made,lighthouse
4,Monte di Procida,Monte di Procida,"['*...Napoli sorge quasi al centro dell\'omonimo golfo ""dominato"" dal vulcano Vesuvio e delimitato a est dalla penisola sorrentina con Punta Campanella, a ovest dai Campi Flegrei con Monte di Procida, a nord ovest-est dal versante meridionale della piana campana che si estende dal lago Patria al nolano....']","Comune di Monte di Procida, Via Panoramica, Monte di Procida, Napoli, Campania, 80070, Italia","{""coordinates"": [14.055263, 40.794716], ""type"": ""Point""}","Comune di Monte di Procida, Via Panoramica, Monte di Procida, Napoli, Campania, 80070, Italia",amenity,townhall
5,Patria,Patria,"['*...Napoli sorge quasi al centro dell\'omonimo golfo ""dominato"" dal vulcano Vesuvio e delimitato a est dalla penisola sorrentina con Punta Campanella, a ovest dai Campi Flegrei con Monte di Procida, a nord ovest-est dal versante meridionale della piana campana che si estende dal lago Patria al nolano....', ""...Risparmiare a questa Patria carissima gli orrori dei disordini interni e i disastri della guerra civile», e fu tentata una prima difesa con la battaglia del Volturno e quindi con l'assedio di Gaeta...."", ""...Altre biblioteche, archivi o raccolte della città sono quelle dell'Università di Napoli (BUN), del conservatorio di San Pietro a Majella, della raccolta appartenente dell'archivio di Stato, della Fondazione Biblioteca Benedetto Croce, dell'Istituto Italiano per gli Studi Storici, della Società Napoletana di Storia Patria, della biblioteca Tarsia, della biblioteca del MANN, della biblioteca di storia dell'arte Bruno Molajoli e di molte altre ancora....""]","Via Lago Patria, Casoria, Napoli, Campania, 80026, Italia","{""coordinates"": [14.294822, 40.90195], ""type"": ""Point""}","Via Lago Patria, Casoria, Napoli, Campania, 80026, Italia",highway,residential
6,Camaldoli,Camaldoli,"['*...Il territorio di Napoli è composto da molti rilievi collinari (la collina dei Camaldoli, il più alto, raggiunge i ), ma anche da isole e penisole a strapiombo sul Mar Tirreno....', ""*...Sulla collina dei Camaldoli inizia invece il Parco Metropolitano delle colline di Napoli (2215 ettari), il quale occupa un quinto dell'intera superficie comunale fino al Parco del Poggio ai Colli Aminei...."", ""*...Capodichino, Camaldoli e Agnano), dell'Hub di Direzione Strategica per il fronte sud (Nord Africa, il Sahel e il Medio Oriente) dell'Alleanza Atlantica, della Apple Developer Academy, della Cisco Networking Academy e co-innovation Hub, dell'Osservatorio internazionale per l'Economia del mare e della Lazarus Union Italia, un ramo diretto della ONG internazionale....""]","Camaldoli, Tangenziale di Napoli, Rione Alto, Municipalità 5, Napoli, Campania, 80128, Italia","{""coordinates"": [14.218658, 40.853916], ""type"": ""Point""}","Camaldoli, Tangenziale di Napoli, Rione Alto, Municipalità 5, Napoli, Campania, 80128, Italia",highway,motorway_junction
9,Csa,Csa,"['*...Secondo la classificazione Köppen, Napoli, nella sua fascia costiera, appartiene alla zona Cfa e Csa, perché un mese di estate riceve una quantità di precipitazioni superiore a 40 millimetri....']","CSA energy, Via del Consorzio, Fracta Labor - Consorzio d'Imprese, Frattamaggiore, Napoli, Campania, 80028, Italia","{""coordinates"": [14.26728, 40.934197], ""type"": ""Point""}","CSA energy, Via del Consorzio, Fracta Labor - Consorzio d'Imprese, Frattamaggiore, Napoli, Campania, 80028, Italia",office,company
11,Cumano,Cumano,"[""...Parthènope venne fondata come epineion (approdo e caposaldo) cumano alla fine dell'VIII secolo a.C. (anche se la più antica documentazione archeologica è datata nel II-III quarto dell'VIII secolo, ossia tra il 750 e il 720 a.C.), a guardia dell'accesso meridionale del golfo...."", '*...La Nuova Città, infatti, seppe immediatamente sia sostituirsi alla città madre nei commerci marittimi, sia assumere il controllo sul golfo che da Cumano divenne Golfo Neapolitano, mentre con l\'arrivo del navarca ateniese Diotimo inaugurò il suo ruolo sempre più egemone su tutto il litorale campano ed ""internazionale"" nel Mediterraneo....']","Anfiteatro di Cuma, Via Cuma, Cuma, Bacoli, Napoli, Campania, 80072, Italia","{""coordinates"": [14.05604, 40.841985], ""type"": ""Point""}","Anfiteatro di Cuma, Via Cuma, Cuma, Bacoli, Napoli, Campania, 80072, Italia",historic,archaeological_site
16,palazzo Diomede Carafa,palazzo Diomede Carafa,"[""*...In questo periodo furono anche costruiti importanti monumenti cittadini, come l'arco del Maschio Angioino (iniziativa che diede origine al cosiddetto clima dell'Arco), palazzo Diomede Carafa, palazzo Filomarino, porta Capuana, palazzo Como e la scomparsa villa di Poggioreale, che diverrà un paradigma per numerose ville, anche oltre i confini italiani....""]","Palazzo Diomede Carafa, Via San Biagio dei Librai, Pendino, Municipalità 2, Napoli, Campania, 80138, Italia","{""coordinates"": [14.256798, 40.848786], ""type"": ""Point""}","Palazzo Diomede Carafa, Via San Biagio dei Librai, Pendino, Municipalità 2, Napoli, Campania, 80138, Italia",building,yes
17,palazzo Filomarino,palazzo Filomarino,"[""*...In questo periodo furono anche costruiti importanti monumenti cittadini, come l'arco del Maschio Angioino (iniziativa che diede origine al cosiddetto clima dell'Arco), palazzo Diomede Carafa, palazzo Filomarino, porta Capuana, palazzo Como e la scomparsa villa di Poggioreale, che diverrà un paradigma per numerose ville, anche oltre i confini italiani...."", ""*...L'Istituto italiano per gli studi storici, fondato da Benedetto Croce, con sede a palazzo Filomarino;...""]","Palazzo Filomarino, Via Benedetto Croce, San Giuseppe, Municipalità 2, Napoli, Campania, 80138, Italia","{""coordinates"": [14.253406, 40.847912], ""type"": ""Point""}","Palazzo Filomarino, Via Benedetto Croce, San Giuseppe, Municipalità 2, Napoli, Campania, 80138, Italia",building,yes
18,porta Capuana,porta Capuana,"[""*...In questo periodo furono anche costruiti importanti monumenti cittadini, come l'arco del Maschio Angioino (iniziativa che diede origine al cosiddetto clima dell'Arco), palazzo Diomede Carafa, palazzo Filomarino, porta Capuana, palazzo Como e la scomparsa villa di Poggioreale, che diverrà un paradigma per numerose ville, anche oltre i confini italiani...."", ""...Porta Medina (1640) nell'attuale Montesanto, porta San Gennaro (1573) nell'attuale piazza Cavour, porta Capuana di vetuste origini, port'Alba (1625) nell'attuale piazza Dante...."", ""*...Porta Medina (1640) nell'attuale Montesanto, porta San Gennaro (1573) nell'attuale piazza Cavour, porta Capuana di vetuste origini, port'Alba (1625) nell'attuale piazza Dante...."", ""*...L'evoluzione fu possibile grazie ai quattro prestigiosi conservatori di Santa Maria di Loreto, della Pietà dei Turchini, di Sant'Onofrio a Capuana e dei Poveri di Gesù Cristo, dai quali uscirono importanti compositori del panorama europeo, i quali contribuirono considerevolmente allo sviluppo dell'opera e diedero origine alla scuola musicale napoletana....""]","Porta Capuana, Piazza San Francesco di Paola, Borgo Sant'Antonio Abate, Municipalità 4, Napoli, Campania, 80139, Italia","{""coordinates"": [14.265434, 40.854399], ""type"": ""Point""}","Porta Capuana, Piazza San Francesco di Paola, Borgo Sant'Antonio Abate, Municipalità 4, Napoli, Campania, 80139, Italia",historic,city_gate
