,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Colosseo,Colosseo,"['*...Nel 2007 il Colosseo, simbolo della città, è stato inserito tra le Nuove sette meraviglie del mondo....', ""*...I primi secoli dell'impero, in cui governarono, oltre ad Ottaviano Augusto, gli imperatori delle dinastie Giulio-Claudia, Flavia (a cui si deve la costruzione dell'omonimo anfiteatro, noto come Colosseo) e gli Antonini, furono caratterizzati anche dalla diffusione della religione cristiana, predicata in Giudea da Gesù Cristo nella prima metà del I secolo (sotto Tiberio) e divulgata dai suoi apostoli in gran parte dell'impero...."", ""*...Il duce fece abbattere diversi edifici medievali e rinascimentali per permettere l'apertura di alcune grandi strade (via dei Fori Imperiali, via del Teatro di Marcello e via della Conciliazione) e l'isolamento di monumenti antichi (Mausoleo di Augusto, Campidoglio, Colosseo)...."", '*...Il Colosseo, il più grande anfiteatro del mondo romano, riconosciuto, nel 2007, come una delle sette meraviglie del mondo moderno (unica in Europa);...', ""...Nel corso della sua plurisecolare storia, Roma è stata sede di centinaia di teatri (il più antico in muratura era il Teatro di Pompeo e si possono menzionare tra gli altri il Teatro di Marcello e quello di Ostia) ed altri edifici ludici, come i circhi (il più celebre dei quali è il Circo Massimo, capace di ospitare circa  spettatori) e gli anfiteatri (tra cui è degno di nota il Colosseo, divenuto simbolo della città e dell'anfiteatro stesso)...."", ""...A non molta distanza si trova il Colosseo, il monumento simbolo dell'antica Roma;..."", '*...Tipici della zona del Colosseo, per esempio, sono i gatti, dichiarati dal 2001 ""patrimonio bioculturale di Roma"" (unico esempio in Italia di un provvedimento del genere)....', '...In particolare la Basilica di San Pietro e il Colosseo sono rispettivamente il 2º e il 5º tra i monumenti più visitati al mondo....']","Colosseo, Largo Gaetana Agnesi, Monti, Municipio Roma I, Roma, Lazio, 00184, Italia","{""coordinates"": [12.491415, 41.891643], ""type"": ""Point""}","Colosseo, Largo Gaetana Agnesi, Monti, Municipio Roma I, Roma, Lazio, 00184, Italia",railway,subway_entrance
3,Vulcano Laziale,Vulcano Laziale,"[""...Il substrato recente è costituito dal materiale piroclastico prodotto dai vulcani, ormai spenti, che cingono l'area della città a sudest, il Vulcano Laziale negli attuali Colli Albani, e a nord-ovest, i Monti Sabatini, tra  e  anni fa....""]","Ippovia del Vulcano Laziale, Monte Cavo - Madonnella, Rocca di Papa, Roma, Lazio, 00079, Italia","{""coordinates"": [12.738496, 41.756087], ""type"": ""Point""}","Ippovia del Vulcano Laziale, Monte Cavo - Madonnella, Rocca di Papa, Roma, Lazio, 00079, Italia",tourism,information
4,Colli Albani,Colli Albani,"[""*...Il substrato recente è costituito dal materiale piroclastico prodotto dai vulcani, ormai spenti, che cingono l'area della città a sudest, il Vulcano Laziale negli attuali Colli Albani, e a nord-ovest, i Monti Sabatini, tra  e  anni fa....""]","Colli Albani, Via Appia Nuova, Municipio Roma VII, Roma, Lazio, 00179, Italia","{""coordinates"": [12.529273, 41.869255], ""type"": ""Point""}","Colli Albani, Via Appia Nuova, Municipio Roma VII, Roma, Lazio, 00179, Italia",railway,subway_entrance
5,Monti Sabatini,Monti Sabatini,"[""...Il substrato recente è costituito dal materiale piroclastico prodotto dai vulcani, ormai spenti, che cingono l'area della città a sudest, il Vulcano Laziale negli attuali Colli Albani, e a nord-ovest, i Monti Sabatini, tra  e  anni fa....""]","Via Monti Sabatini, Centro Storico, Anguillara Sabazia, Roma, Lazio, 00061, Italia","{""coordinates"": [12.275918, 42.087894], ""type"": ""Point""}","Via Monti Sabatini, Centro Storico, Anguillara Sabazia, Roma, Lazio, 00061, Italia",highway,residential
6,Gianicolo,Gianicolo,"['*...Il centro storico comprende anche i colli Gianicolo, Pincio e Vaticano, oltre ai rilievi artificiali di Monte Testaccio e Monte Giordano....', ""*...Durò solo pochi mesi, nonostante la difesa guidata da Giuseppe Garibaldi sul Gianicolo, a causa dell'intervento dell'esercito francese di Luigi Napoleone Bonaparte comandato dal generale Oudinot...."", '...Dopo le mura romulee, quelle serviane (poi ricostruite in epoca repubblicana), aureliane, leonine (medievali, intorno al Vaticano e a Borgo) e gianicolensi (seicentesche, intorno a Trastevere e al Gianicolo)....', '...Per le sue peculiari caratteristiche, una delle zone di Roma in cui è ancora possibile rintracciare frammenti e stimoli della cultura popolare è il pittoresco rione di Trastevere, con i suoi stretti vicoli, le trattorie, le chiese medievali e il colle Gianicolo;...']","Fontana Dell'Acqua Paola, Via Garibaldi, Trastevere, Municipio Roma I, Roma, Lazio, 00120, Italia","{""coordinates"": [12.464295, 41.888807], ""type"": ""Point""}","Fontana Dell'Acqua Paola, Via Garibaldi, Trastevere, Municipio Roma I, Roma, Lazio, 00120, Italia",tourism,attraction
7,Pincio,Pincio,"['*...Il centro storico comprende anche i colli Gianicolo, Pincio e Vaticano, oltre ai rilievi artificiali di Monte Testaccio e Monte Giordano....']","Chiesa di Trinità dei Monti, Scalinata della Trinità dei Monti, Campo Marzio, Municipio Roma I, Roma, Lazio, 00187, Italia","{""coordinates"": [12.483684, 41.906292], ""type"": ""Point""}","Chiesa di Trinità dei Monti, Scalinata della Trinità dei Monti, Campo Marzio, Municipio Roma I, Roma, Lazio, 00187, Italia",amenity,place_of_worship
8,Monte Giordano,Monte Giordano,"['*...Il centro storico comprende anche i colli Gianicolo, Pincio e Vaticano, oltre ai rilievi artificiali di Monte Testaccio e Monte Giordano....']","Via di Monte Giordano, Ponte, Municipio Roma I, Roma, Lazio, 00186, Italia","{""coordinates"": [12.469434, 41.899468], ""type"": ""Point""}","Via di Monte Giordano, Ponte, Municipio Roma I, Roma, Lazio, 00186, Italia",highway,service
9,Monte Antenne,Monte Antenne,"[""*...Fuori dalle mura si estendono colline più alte, fra cui Monte Mario (che con i suoi 139 metri d'altezza è il rilievo più imponente di Roma, da cui si possono godere i più bei panorami della città), Monte Antenne, i Monti Parioli, Montesacro e Monteverde....""]","Monte Antenne, Viale della Moschea, Parioli, Municipio Roma II, Roma, Lazio, 00197, Italia","{""coordinates"": [12.496373, 41.939062], ""type"": ""Point""}","Monte Antenne, Viale della Moschea, Parioli, Municipio Roma II, Roma, Lazio, 00197, Italia",railway,station
10,Monti Parioli,Monti Parioli,"[""...Fuori dalle mura si estendono colline più alte, fra cui Monte Mario (che con i suoi 139 metri d'altezza è il rilievo più imponente di Roma, da cui si possono godere i più bei panorami della città), Monte Antenne, i Monti Parioli, Montesacro e Monteverde...."", ""*...Oltre al cristianesimo la città è un punto di riferimento anche per la comunità islamica, dopo la realizzazione nel quartiere Parioli della più grande moschea d'Europa, che occupa una superficie di  e per la comunità ebraica, grazie al Tempio Maggiore di Roma, completato nei primi anni del Novecento nel ghetto ebraico...."", ""*...Il 6 ottobre 1924 Ines Viviani Donarelli lesse l'annuncio iniziale della prima trasmissione radiofonica italiana della URI dallo studio romano di palazzo Corrodi (quartiere Parioli)....""]","Monti Parioli, Via dei Monti Parioli, Pinciano, Municipio Roma II, Roma, Lazio, 00197, Italia","{""coordinates"": [12.477503, 41.923231], ""type"": ""Point""}","Monti Parioli, Via dei Monti Parioli, Pinciano, Municipio Roma II, Roma, Lazio, 00197, Italia",highway,bus_stop
11,Almone,Almone,"[""...La città, oltre che dal Tevere, è attraversata anche dall'Aniene, suo affluente a nord dell'odierno territorio urbano, e da piccoli corsi d'acqua come l'Almone e i numerosi fossi o marrane dell'Agro romano....""]","Almone, Via dell'Almone, Municipio Roma VIII, Roma, Lazio, 00179, Italia","{""coordinates"": [12.531452, 41.856221], ""type"": ""Point""}","Almone, Via dell'Almone, Municipio Roma VIII, Roma, Lazio, 00179, Italia",highway,bus_stop
