,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Sestra,Sestra,"[""*...Oltre alla Neva e ai suoi affluenti, altri importanti fiumi del soggetto federale di San Pietroburgo sono il Sestra, l'Ochta e l'Ižora....""]","Сестрорецкая рыббаза ООО ""Сестра"", улица Инструментальщиков, Разлив, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia","{""coordinates"": [29.945157, 60.087308], ""type"": ""Point""}","Сестрорецкая рыббаза ООО ""Сестра"", улица Инструментальщиков, Разлив, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia",shop,seafood
4,Ižora,Ižora,"[""...Oltre alla Neva e ai suoi affluenti, altri importanti fiumi del soggetto federale di San Pietroburgo sono il Sestra, l'Ochta e l'Ižora....""]","Ижора, 21 к2А, Садовая улица, Металлострой, San Pietroburgo, Северо-Западный федеральный округ, 196641, Russia","{""coordinates"": [30.57757, 59.81426], ""type"": ""Point""}","Ижора, 21 к2А, Садовая улица, Металлострой, San Pietroburgo, Северо-Западный федеральный округ, 196641, Russia",shop,car_repair
5,Sestroreckij razliv,Sestroreckij razliv,"['...Il lago più grande è il Sestroreckij razliv a nord, seguito dal Laсhtinskij razliv e da altri più piccoli....']","Сестрорецкий разлив, дорога на Глухое озеро, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia","{""coordinates"": [30.052961, 60.100744], ""type"": ""Point""}","Сестрорецкий разлив, дорога на Глухое озеро, Сестрорецк, San Pietroburgo, Северо-Западный федеральный округ, 197706, Russia",tourism,information
12,Ladoga,Ladoga,"[""*...Durante la seconda guerra mondiale, la città venne inizialmente circondata dal lato terra e fu fatto rimanere libero solo il passaggio attraverso il lago Ladoga e poi venne assediata dall'esercito tedesco dall'8 settembre 1941 fino al 27 gennaio 1944, per un totale di 29 mesi...."", ""*...(del Baltico, di Finlandia, di Ladoga, di Mosca e di Vitebsk), così come decine di stazioni ferroviarie non terminali all'interno del soggetto federale....""]","Ladoga, 1/44, Большая Зеленина улица, Петроградская сторона, Петровский округ, San Pietroburgo, Северо-Западный федеральный округ, 197110, Russia","{""coordinates"": [30.295655, 59.95964], ""type"": ""Point""}","Ladoga, 1/44, Большая Зеленина улица, Петроградская сторона, Петровский округ, San Pietroburgo, Северо-Западный федеральный округ, 197110, Russia",shop,copyshop
16,City,City,"['...La ""Torre Leader"" (), L\'""Aleksandr Nevskij"" () e l\'""Atlantic City"" (), tutti e tre sono situati lontano dal centro storico....']","City, 16, улица Маяковского, Литейный округ, San Pietroburgo, Северо-Западный федеральный округ, 191000, Russia","{""coordinates"": [30.35468, 59.936067], ""type"": ""Point""}","City, 16, улица Маяковского, Литейный округ, San Pietroburgo, Северо-Западный федеральный округ, 191000, Russia",shop,hairdresser
23,Fortezza di Pietro e Paolo,Fortezza di Pietro e Paolo,"[""*...L'insieme della Fortezza di Pietro e Paolo con la Cattedrale di Pietro e Paolo prendono una posizione dominante sull'isola delle Lepri lungo la riva destra del fiume Neva....""]","Fortezza di Pietro e Paolo, Кронверкская набережная, Петроградская сторона, округ Кронверкское, San Pietroburgo, Северо-Западный федеральный округ, 197101, Russia","{""coordinates"": [30.316449, 59.950054], ""type"": ""Point""}","Fortezza di Pietro e Paolo, Кронверкская набережная, Петроградская сторона, округ Кронверкское, San Pietroburgo, Северо-Западный федеральный округ, 197101, Russia",tourism,attraction
30,Birževoj most,Birževoj most,"[""*...La Piazza della Borsa, anche nota come la Punta (Strelka) dell'isola Vasil'evskij, che divide il fiume Neva in due grandi bracci, la Grande Neva (Bol'šaja Neva) e la Piccola Neva (Malaja Neva), è collegata all'Isola di Pietrogrado attraverso il ponte della Borsa (Birževoj most)...."", ""...Al 2011, l'Aeroporto era il quarto più trafficato in Russia dopo gli aeroporti di Aeroporto di Mosca-Domodedovo, Mosca-Šeremet'evo e Mosca-Vnukovo....""]","Биржевой мост, округ № 7, San Pietroburgo, Северо-Западный федеральный округ, 199034, Russia","{""coordinates"": [30.303347, 59.945214], ""type"": ""Point""}","Биржевой мост, округ № 7, San Pietroburgo, Северо-Западный федеральный округ, 199034, Russia",highway,primary
31,Kunstkamera,Kunstkamera,"[""...La costa meridionale dell'isola Vasil'evskij, lungo la Grande Neva, presenta alcuni degli edifici più antichi della città, risalenti al XVIII secolo, tra cui il Kunstkamera, i Dodici collegi, il Palazzo Menšikov e l'Accademia russa di belle arti...."", '...La Kunstkamera, con la sua collezione iniziata nel 1714 da Pietro il Grande per raccogliere curiosità provenienti da tutto il mondo, a volte è considerato il primo Museo della Russia....']","Музей антропологии и этнографии имени Петра Великого Российской Академии наук, 3 литБ, Университетская набережная, округ № 7, San Pietroburgo, Северо-Западный федеральный округ, 199034, Russia","{""coordinates"": [30.303677, 59.941528], ""type"": ""Point""}","Музей антропологии и этнографии имени Петра Великого Российской Академии наук, 3 литБ, Университетская набережная, округ № 7, San Pietroburgo, Северо-Западный федеральный округ, 199034, Russia",tourism,museum
32,Palazzo Menšikov,Palazzo Menšikov,"[""...La costa meridionale dell'isola Vasil'evskij, lungo la Grande Neva, presenta alcuni degli edifici più antichi della città, risalenti al XVIII secolo, tra cui il Kunstkamera, i Dodici collegi, il Palazzo Menšikov e l'Accademia russa di belle arti....""]","Palazzo Menšikov, 15, Университетская набережная, округ № 7, San Pietroburgo, Северо-Западный федеральный округ, 199034, Russia","{""coordinates"": [30.29531, 59.938935], ""type"": ""Point""}","Palazzo Menšikov, 15, Университетская набережная, округ № 7, San Pietroburgo, Северо-Западный федеральный округ, 199034, Russia",tourism,museum
35,Museo dell'Ermitage,Museo dell'Ermitage,"[""*...Al sud, sulla riva sinistra del Neva, collegata all'isola Vasil'evskij attraverso il Ponte del Palazzo (Dvorcovskij Most), si trovano il palazzo dell'Ammiragliato, il vasto complesso dell'Museo dell'Ermitage che si estende lungo il lungoneva del Palazzo e che comprende il barocco Palazzo d'Inverno, ex residenza ufficiale degli zar, così come il neoclassico Palazzo di Marmo neoclassico...."", ""*...La città non è solo sede del famoso Museo dell'Ermitage e del Museo di Stato Russo con la sua ricca collezione di arte russa ma anche di palazzi e monumenti prestigiosi...."", ""...Il più grande di essi è il Museo dell'Ermitage, all'interno della ex residenza imperiale e con una vasta collezione di arte....""]","Museo dell'Ermitage, Дворцовая набережная, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191186, Russia","{""coordinates"": [30.315487, 59.941208], ""type"": ""Point""}","Museo dell'Ermitage, Дворцовая набережная, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191186, Russia",tourism,museum
40,Moika,Moika,"[""...La Prospettiva Nevskij attraversa il Moika (ponte verde), il canale Griboedov, la via Sadovaja, il canale Fontanka, incontra la Prospettiva Litejnyj e procede alla piazza dell'Insurrezione vicino alla stazione ferroviaria di Mosca, dove si incrocia con la Prospettiva Ligovskij e si volge verso il Monastero di Aleksandr Nevskij....""]","Кемпински Мойка 22, набережная реки Мойки, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191186, Russia","{""coordinates"": [30.320627, 59.939516], ""type"": ""Point""}","Кемпински Мойка 22, набережная реки Мойки, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191186, Russia",tourism,hotel
46,Passage,Passage,"['*...I Grandi magazzini Passage (il termine russo Passaž è la traslitterazione dal francese), la Chiesa cattolica di Santa Caterina, la ""casa dei libri"" (ex edificio dell\'azienda Singer in stile Art Nouveau), il Grand Hotel Europa, la Chiesa Luterana di San Pietro e San Paolo, la biblioteca nazionale russa, il Teatro Aleksandrinskij la statua di Caterina la Grande, la Cattedrale di Kazan\', il palazzo Stroganov, il palazzo Aničkov e il palazzo Beloselskij-Belozerskij sono tutti situati lungo quel viale....']","Пассаж, 48, Невский проспект, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191023, Russia","{""coordinates"": [30.334669, 59.935738], ""type"": ""Point""}","Пассаж, 48, Невский проспект, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191023, Russia",shop,mall
47,Passaž,Passaž,"['*...I Grandi magazzini Passage (il termine russo Passaž è la traslitterazione dal francese), la Chiesa cattolica di Santa Caterina, la ""casa dei libri"" (ex edificio dell\'azienda Singer in stile Art Nouveau), il Grand Hotel Europa, la Chiesa Luterana di San Pietro e San Paolo, la biblioteca nazionale russa, il Teatro Aleksandrinskij la statua di Caterina la Grande, la Cattedrale di Kazan\', il palazzo Stroganov, il palazzo Aničkov e il palazzo Beloselskij-Belozerskij sono tutti situati lungo quel viale....']","Пассаж, 48, Невский проспект, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191023, Russia","{""coordinates"": [30.334669, 59.935738], ""type"": ""Point""}","Пассаж, 48, Невский проспект, Дворцовый округ, San Pietroburgo, Северо-Западный федеральный округ, 191023, Russia",shop,mall
51,Teatro Aleksandrinskij,Teatro Aleksandrinskij,"['...I Grandi magazzini Passage (il termine russo Passaž è la traslitterazione dal francese), la Chiesa cattolica di Santa Caterina, la ""casa dei libri"" (ex edificio dell\'azienda Singer in stile Art Nouveau), il Grand Hotel Europa, la Chiesa Luterana di San Pietro e San Paolo, la biblioteca nazionale russa, il Teatro Aleksandrinskij la statua di Caterina la Grande, la Cattedrale di Kazan\', il palazzo Stroganov, il palazzo Aničkov e il palazzo Beloselskij-Belozerskij sono tutti situati lungo quel viale....', '...I più importanti teatri di prosa sono il Teatro Aleksandrinskij e il Malyj dramatičeskij Teatr....']","Teatro Aleksandrinskij, 6, площадь Островского, Апраксин двор, округ № 78, San Pietroburgo, Северо-Западный федеральный округ, 191011, Russia","{""coordinates"": [30.336182, 59.931796], ""type"": ""Point""}","Teatro Aleksandrinskij, 6, площадь Островского, Апраксин двор, округ № 78, San Pietroburgo, Северо-Западный федеральный округ, 191011, Russia",amenity,theatre
53,Stroganov,Stroganov,"['*...I Grandi magazzini Passage (il termine russo Passaž è la traslitterazione dal francese), la Chiesa cattolica di Santa Caterina, la ""casa dei libri"" (ex edificio dell\'azienda Singer in stile Art Nouveau), il Grand Hotel Europa, la Chiesa Luterana di San Pietro e San Paolo, la biblioteca nazionale russa, il Teatro Aleksandrinskij la statua di Caterina la Grande, la Cattedrale di Kazan\', il palazzo Stroganov, il palazzo Aničkov e il palazzo Beloselskij-Belozerskij sono tutti situati lungo quel viale....']","Строгановский дворец, 17, Невский проспект, Апраксин двор, округ № 78, San Pietroburgo, Северо-Западный федеральный округ, 191186, Russia","{""coordinates"": [30.320029, 59.93561], ""type"": ""Point""}","Строгановский дворец, 17, Невский проспект, Апраксин двор, округ № 78, San Pietroburgo, Северо-Западный федеральный округ, 191186, Russia",tourism,museum
60,Palazzo di Tauride,Palazzo di Tauride,"[""...Sul terreno tra la Neva e la prospettiva Nevskij si trovano la Chiesa del Salvatore sul Sangue Versato, il palazzo Michajlovskij (che ospita il Museo Russo), il Campo di Marte, il castello Michajlovskij, il Giardino d'estate, il Palazzo di Tauride, l'Istituto Smol'nyj e il convento Smol'nyj....""]","Palazzo di Tauride, 47, Шпалерная улица, Пески, округ Смольнинское, San Pietroburgo, Северо-Западный федеральный округ, 191015, Russia","{""coordinates"": [30.37593, 59.947941], ""type"": ""Point""}","Palazzo di Tauride, 47, Шпалерная улица, Пески, округ Смольнинское, San Pietroburgo, Северо-Западный федеральный округ, 191015, Russia",historic,palace
