,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Giralda,Giralda,"[""...In particolare la Giralda, la Cattedrale, l'Alcázar e l'Archivio delle Indie sono stati dichiarati patrimonio dell'umanità dall'UNESCO nel 1987...."", ""...A quest'ultimo periodo del dominio islamico si devono la costruzione di monumenti come la Giralda, la Torre dell'Oro, l'Alcazar e le mura della Macarena...."", ""...La Giralda è l'antico minareto della moschea divenuto poi la torre campanaria della cattedrale ed ora è il monumento simbolo di Siviglia...."", ""...Fu costruita dove sorgeva la grande moschea di cui rimangono solo la Giralda e il Patio de los Naranjos (Cortile degli aranci) che corrispondeva all'antico patio delle abluzioni...."", ""...Sempre all'interno del tempio ha sede il mausoleo di Cristoforo Colombo, sotto il grande orologio ottocentesco, ed è esposto l'autentico Giraldillo della Giralda...."", ""...Un ex-collegio di gesuiti, affacciato sulla stessa piazza dove si trova la Giralda, ospita la Chiesa dell'incarnazione, costruita in stile rinascimentale negli anni 1565-1579 su progetto di Bartolomé de Bustamante...."", '*...La Torre del Oro è, assieme alla Giralda, il monumento più emblematico di Siviglia;...']","Great apt super close to the Cathedral and Giralda!, 2, Calle Rodríguez Zapata, Santa Cruz, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna","{""coordinates"": [-5.99333, 37.387264], ""type"": ""Point""}","Great apt super close to the Cathedral and Giralda!, 2, Calle Rodríguez Zapata, Santa Cruz, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna",tourism,apartment
3,Guadalquivir,Guadalquivir,"[""*...Situata nella parte sud-occidentale della penisola iberica, nell'Andalusia di cui è capoluogo, la città sorge sulle rive del fiume Guadalquivir...."", '*...Siviglia sorge nelle fertili pianure del fiume Guadalquivir a circa  s.l.m....', ""*...Con la scoperta dell'America Siviglia raggiunse l'apice della sua storia dato che vi si stabilì la Casa de Contratación, l'organismo commerciale che deteneva il monopolio delle merci delle colonie americane Giunte a bordo di poderosi bastimenti alla foce del Guadalquivir dopo la traversata atlantica, le navi risalivano il fiume raggiungendo l'immenso scalo della città...."", ""*...Tre fatti importanti segnarono il XVII secolo quali la Grande peste del 1649, che ridusse di metà la popolazione cittadina, l'illuminazione delle zone più importanti della città con lampade ad olio e l'impantanamento del Guadalquivir che dal 1680 non fu più navigabile, determinando il trasferimento della flotta delle Indie e della Casa de Contratación nel porto di Cadice agli inizi del XVIII secolo...."", ""*...Si tratta di un'antica torre di sorveglianza sulle sponde del Guadalquivir...."", ""*...I lavori subirono ritardi per varie ragioni tra cui il rinvenimento di alcuni reperti archeologici e le difficoltà tecniche dovute al passaggio del fiume Guadalquivir a profondità sufficiente per evitare infiltrazioni d'acqua....""]","Guadalquivir Inmobiliaria, 45, Calle San Jacinto, Triana Casco Antiguo, Triana, Siviglia, Sevilla, Andalusia, 41010, Spagna","{""coordinates"": [-6.00494, 37.383717], ""type"": ""Point""}","Guadalquivir Inmobiliaria, 45, Calle San Jacinto, Triana Casco Antiguo, Triana, Siviglia, Sevilla, Andalusia, 41010, Spagna",office,estate_agent
4,Europa,Europa,"[""*...Quindi la città è una delle più calde d'Europa...."", '*...In questo periodo Siviglia divenne la città più ricca e cosmopolita della Spagna, monarchia che nel 1519, essendo stato incoronato Carlo V a imperatore del Sacro Romano Impero, divenne di fatto la più potente di tutta Europa....', ""*...La Cattedrale di Siviglia, per ampiezza dell'aula, è la più grande della Spagna e la terza del mondo cristiano dopo San Pietro a Roma e Saint Paul a Londra e ciò rispecchia bene l'ambizione e l'entusiasmo di coloro che ne seguirono la costruzione verso la fine del XIV secolo quando la città era una delle più importanti d'Europa....""]","Europa, 35, Calle Siete Revueltas, Alfalfa, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna","{""coordinates"": [-5.992079, 37.390422], ""type"": ""Point""}","Europa, 35, Calle Siete Revueltas, Alfalfa, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna",amenity,bar
5,Italica,Italica,"['*...Il vincitore Scipione decise allora di fondare una città in cui tenere le truppe e la chiamò Italica, che si trovava a pochi chilometri da Ispal, che sotto dominio romano venne chiamata Hispalis....', ""...Nonostante l'importanza di Hispalis in epoca romana oggi a Siviglia ci sono pochissime testimonianze di questo periodo, fatta eccezione per dei resti di un antico acquedotto, a differenza di Italica di cui rimangono tuttora grandi resti del passato romano...."", ""...All'interno del Parco di Maria Luisa, uno dei padiglioni ospita il Museo de Artes y Costumbres Populares. Di fronte a questo, il padiglione delle belle arti ospita attualmente il Museo archeologico di Siviglia, che ospita una collezione di oggetti d'oro dall'età del rame alla romanizzazione, numerose statue provenienti dagli scavi di Italica e alcune leggi romane incise su lastre di bronzo....""]","Calle Itálica, Alfalfa, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41001, Spagna","{""coordinates"": [-5.996467, 37.391138], ""type"": ""Point""}","Calle Itálica, Alfalfa, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41001, Spagna",highway,pedestrian
6,Hispalis,Hispalis,"['*...Dopo la conquista, i Romani latinizzarono il nome in Hispalis, che in epoca andalusa variò in Ishbiliya (dall\'arabo أشبيليّة), dovuto alla sostituzione della ""p"" (fonema inesistente in arabo) con ""b"" e della ""a"" tonica con ""i"" (fenomeno caratteristico dell\'arabo ispanico conosciuto come Imāla), da cui deriva la forma attuale Sevilla....', '*...Il vincitore Scipione decise allora di fondare una città in cui tenere le truppe e la chiamò Italica, che si trovava a pochi chilometri da Ispal, che sotto dominio romano venne chiamata Hispalis....', '*...Questi due nuclei conobbero epoche di grande splendore e nel 45 a.C. Giulio Cesare concesse a Hispalis il rango di colonia romana, facendone una delle città più importanti della Spagna....', ""...Nonostante l'importanza di Hispalis in epoca romana oggi a Siviglia ci sono pochissime testimonianze di questo periodo, fatta eccezione per dei resti di un antico acquedotto, a differenza di Italica di cui rimangono tuttora grandi resti del passato romano...."", ""...Lo stesso Gunderico morì in città due anni più tardi e il suo successore, il figlio Genserico, decise di abbandonare la Spagna per dirigersi alla conquista dell'Africa lasciando Hispalis in mano ai visigoti...."", '*...Il nome della città proviene dal nome indigeno tartessiano Spal o Ispal, dal significato di ""terra pianeggiante""....', ""*...Furono i Tartessi i primi a fondare un insediamento nella zona dell'odierna Siviglia, intorno all'VIII secolo a.C., chiamandolo Ispal....""]","Hispalis, 3, Calle Cefiro, La Calzada, Nervión, Siviglia, Sevilla, Andalusia, 41018, Spagna","{""coordinates"": [-5.975252, 37.387515], ""type"": ""Point""}","Hispalis, 3, Calle Cefiro, La Calzada, Nervión, Siviglia, Sevilla, Andalusia, 41018, Spagna",leisure,sauna
7,Africa,Africa,"[""*...Lo stesso Gunderico morì in città due anni più tardi e il suo successore, il figlio Genserico, decise di abbandonare la Spagna per dirigersi alla conquista dell'Africa lasciando Hispalis in mano ai visigoti....""]","África de Vicente, 23, Calle Virgen de Regla, Los Remedios, Siviglia, Sevilla, Andalusia, 41011, Spagna","{""coordinates"": [-5.99903, 37.377348], ""type"": ""Point""}","África de Vicente, 23, Calle Virgen de Regla, Los Remedios, Siviglia, Sevilla, Andalusia, 41011, Spagna",craft,dressmaker
8,Occidente,Occidente,"[""*...Sotto il dominio di questi ultimi, nel VI e VII secolo Siviglia tornò ad essere un importante centro culturale dell'Occidente....""]","Parking Catalana Occidente, Calle Camilo José Cela, La Buhaira, Nervión, Siviglia, Sevilla, Andalusia, 41018, Spagna","{""coordinates"": [-5.974871, 37.379893], ""type"": ""Point""}","Parking Catalana Occidente, Calle Camilo José Cela, La Buhaira, Nervión, Siviglia, Sevilla, Andalusia, 41018, Spagna",amenity,parking
9,Betis,Betis,"['*...Sotto il dominio arabo la città venne chiamata Ishbīliya (in arabo: \u200e, Ishbīliya) e anche il fiume, che in epoca romana si chiamava Betis, venne chiamato Wādī al-kabīr (fiume grande), vocaboli dai quali derivano le loro denominazioni attuali....', '...Due sono le squadre di calcio che giocano nel più importante campionato di calcio spagnolo, il Real Betis e il Sevilla FC....']","096 Calle Betis, Calle Betis, Triana Casco Antiguo, Triana, Siviglia, Sevilla, Andalusia, 41120, Spagna","{""coordinates"": [-6.000031, 37.38373], ""type"": ""Point""}","096 Calle Betis, Calle Betis, Triana Casco Antiguo, Triana, Siviglia, Sevilla, Andalusia, 41120, Spagna",amenity,bicycle_rental
11,Alcazar,Alcazar,"[""...A quest'ultimo periodo del dominio islamico si devono la costruzione di monumenti come la Giralda, la Torre dell'Oro, l'Alcazar e le mura della Macarena...."", ""*...Ferdinando III decise inoltre di spostare la corte del Regno di Castiglia nell'Alcazar, la fortezza araba, che divenne così la prima residenza reale....""]","Casa Fabiola, 5, Calle Fabiola, San Bartolomé, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna","{""coordinates"": [-5.989281, 37.387204], ""type"": ""Point""}","Casa Fabiola, 5, Calle Fabiola, San Bartolomé, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41004, Spagna",tourism,museum
16,Avenida Constitución,Avenida Constitución,"[""*...L'area monumentale del centro storico è stata dichiarata area pedonale e da ottobre 2007 la mobilità si completa con una linea di metro in superficie (MetroCentro) che collega le stazioni della Metropolitana di Prado de San Sebastián e Puerta de Jerez, con Avenida Constitución e la Plaza Nueva....""]","Avenida de la Constitución, El Arenal, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41001, Spagna","{""coordinates"": [-5.994159, 37.386648], ""type"": ""Point""}","Avenida de la Constitución, El Arenal, Casco Antiguo, Siviglia, Sevilla, Andalusia, 41001, Spagna",highway,cycleway
