,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Val di Susa,Val di Susa,"['*...Val di Susa, che collega la città con la vicina Francia attraverso i trafori del Frejus (ferroviario e stradale) , Valli di Lanzo, Val Sangone....']","Oasi xerotermiche della Val di Susa - Orrido di Chianocco, Via Leopoldo Agnès, Borgo Nuovo, Regione Ricciarda, Susa, Torino, Piemonte, 10059, Italia","{""coordinates"": [7.137748, 45.152467], ""type"": ""Point""}","Oasi xerotermiche della Val di Susa - Orrido di Chianocco, Via Leopoldo Agnès, Borgo Nuovo, Regione Ricciarda, Susa, Torino, Piemonte, 10059, Italia",leisure,nature_reserve
2,Valli di Lanzo,Valli di Lanzo,"['*...Val di Susa, che collega la città con la vicina Francia attraverso i trafori del Frejus (ferroviario e stradale) , Valli di Lanzo, Val Sangone....']","Valli di Lanzo, 11, Via Roma, Vana, Ceres, Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone, Torino, Piemonte, 10070, Italia","{""coordinates"": [7.388193, 45.314655], ""type"": ""Point""}","Valli di Lanzo, 11, Via Roma, Vana, Ceres, Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone, Torino, Piemonte, 10070, Italia",amenity,restaurant
3,Val Sangone,Val Sangone,"['*...Val di Susa, che collega la città con la vicina Francia attraverso i trafori del Frejus (ferroviario e stradale) , Valli di Lanzo, Val Sangone....']","Via Val Sangone, Candiolo, Torino, Piemonte, 10048, Italia","{""coordinates"": [7.586231, 44.956379], ""type"": ""Point""}","Via Val Sangone, Candiolo, Torino, Piemonte, 10048, Italia",highway,residential
4,Dora Riparia,Dora Riparia,"[""...Oltre ai tre corsi d'acqua prima citati che ne incorniciano il territorio, abbiamo la Dora Riparia che taglia la città da ovest a est, scorrendo prossima al centro storico....""]","Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia","{""coordinates"": [7.570888, 45.089228], ""type"": ""Point""}","Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia",highway,bus_stop
6,Faro della Vittoria,Faro della Vittoria,"['*..., nei pressi del Faro della Vittoria....']","Faro della Vittoria, Viale Monfalcone, Circoscrizione 8, Torino, Piemonte, 10131, Italia","{""coordinates"": [7.721651, 45.031158], ""type"": ""Point""}","Faro della Vittoria, Viale Monfalcone, Circoscrizione 8, Torino, Piemonte, 10131, Italia",man_made,lighthouse
7,Monviso,Monviso,"[""...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana....""]","Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia","{""coordinates"": [7.648686, 45.032323], ""type"": ""Point""}","Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia",amenity,pharmacy
8,Rocciamelone,Rocciamelone,"[""...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana....""]","Rocciamelone, GTA / 529 / SI, Trucco, Mompantero, Torino, Piemonte, 10059, Italia","{""coordinates"": [7.090921, 45.176468], ""type"": ""Point""}","Rocciamelone, GTA / 529 / SI, Trucco, Mompantero, Torino, Piemonte, 10059, Italia",leisure,nature_reserve
9,Gran Paradiso,Gran Paradiso,"[""*...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana....""]","Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia","{""coordinates"": [7.658099, 45.092788], ""type"": ""Point""}","Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia",building,apartments
10,Monte Rosa,Monte Rosa,"[""...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana....""]","Monte Rosa, Via Giambattista Pergolesi, Rebaudengo, Circoscrizione 6, Torino, Piemonte, 10154, Italia","{""coordinates"": [7.701151, 45.098024], ""type"": ""Point""}","Monte Rosa, Via Giambattista Pergolesi, Rebaudengo, Circoscrizione 6, Torino, Piemonte, 10154, Italia",highway,bus_stop
11,Cervino,Cervino,"[""*...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana....""]","Cervino, Via Torino, Santena, Torino, Piemonte, 10026, Italia","{""coordinates"": [7.775424, 44.95475], ""type"": ""Point""}","Cervino, Via Torino, Santena, Torino, Piemonte, 10026, Italia",highway,bus_stop
