,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Turia,Turia,"['*...Sorge sul golfo che reca il suo nome, lungo la costa centro-orientale della Spagna e alla foce del fiume Turia....', '*...Valentia Edetanorum venne fondata dai romani nel 138 a.C., sotto il console Decimo Giunio Bruto Callaico, lungo la riva destra del fiume Turia, sul luogo di un antico insediamento iberico....', '*...Il 14 ottobre 1957 il fiume Turia straripò, uccidendo molti valenciani in quella che viene considerata la peggiore alluvione della storia della città....', '*...Il vecchio letto asciutto venne convertito in un Parco, i giardini del Turia, che attraversano la città e sono una delle principali attrattive....', '*...Palau de la Música, inaugurato nel 1987, è un auditorium situato sul vecchio letto del fiume Turia....', ""...Il progetto dell'alta velocità dell'AVE prevede l'attraversamento di Valencia con un tunnel a tre corsie (due per i treni AV e una per i pendolari), che passerà sotto il tracciato ferroviario in corrispondenza delle stazioni di Germanías e Marqués del Turia, e che sarà interconnesso alle stazioni dei pendolari di Avenida de Aragón e di Campus Tarongers...."", ""...La stazione è servita da un'autorimessa dei taxi e dalla fermato di Turia della MetroValencia....""]","Túria, Gran Via de Ferran el Catòlic, la Petxina, Extramurs, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46008, Spagna","{""coordinates"": [-0.390028, 39.476915], ""type"": ""Point""}","Túria, Gran Via de Ferran el Catòlic, la Petxina, Extramurs, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46008, Spagna",highway,bus_stop
4,Carmen,Carmen,"[""*...Fu costruito il palazzo della Rusàfa (che diede il nome a uno dei quartieri della città, riprendendo il nome d'una residenza califfale a Damasco), venne creata una prima cerniera di coltivazioni al di fuori della città (in corrispondenza dell'attuale barrio del Carmen) e l'antica sede episcopale visigota fu convertita nella piazza della residenza del governatore (wālī), nominato dal califfo di Cordova nel periodo del califfato di Cordova....""]","Carmen, 2, Calle del Mar, Alboraia / Alboraya, l'Horta Nord, Valencia, Comunità Valenzana, 46120, Spagna","{""coordinates"": [-0.347164, 39.501564], ""type"": ""Point""}","Carmen, 2, Calle del Mar, Alboraia / Alboraya, l'Horta Nord, Valencia, Comunità Valenzana, 46120, Spagna",shop,greengrocer
6,Europa,Europa,"[""*...Grazie al suo porto sul Mediterraneo, Valencia divenne uno dei principali centri commerciali d'Europa...."", ""...Il boom vero e proprio, tuttavia, si ebbe a cavallo tra la fine del XX secolo e l'inizio del XXI, con l'attrattiva internazionale dell'America's Cup e del Gran Premio d'Europa di Formula 1 svoltisi nel Circuito urbano di Valencia, con la costruzione del Bioparc Valencia, del Palazzo della Musica e di quello dei congressi, nonché della Città delle Arti e delle Scienze...."", '*...Secondo fonti del Ministero dello sviluppo, dal 2006 il porto di Valencia è il primo porto spagnolo nel traffico di container, il quinto in Europa e uno dei primi cinquanta al mondo....', ""*...L'Aeroporto ospita voli per tutta la Spagna, l'Europa e le città del Nord Africa...."", ""...Il 24 agosto 2008 la città ha ospitato il suo primo Gran Premio d'Europa di Formula 1, su un circuito cittadino ricavato dalle strade nella zona del porto, con i box localizzati presso gli hangar utilizzati dalle squadre della Louis Vuitton Cup e della XXXII America's Cup....""]","Edificio Europa, 30, Avinguda d'Aragó, Mestalla, el Pla del Real, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46010, Spagna","{""coordinates"": [-0.35715, 39.471647], ""type"": ""Point""}","Edificio Europa, 30, Avinguda d'Aragó, Mestalla, el Pla del Real, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46010, Spagna",building,commercial
7,Consolat de Mar,Consolat de Mar,"['...Già dal 1283 era attivo il Consolat de Mar, istituzione mercantile che regolava il commercio marittimo....']","Consolat de Mar, Carrer de Fray Luis Amigó, Benaguasil, el Camp de Túria, Valencia, Comunità Valenzana, 46180, Spagna","{""coordinates"": [-0.581418, 39.601482], ""type"": ""Point""}","Consolat de Mar, Carrer de Fray Luis Amigó, Benaguasil, el Camp de Túria, Valencia, Comunità Valenzana, 46180, Spagna",shop,musical_instrument
9,Lonja de la Seda,Lonja de la Seda,"['...La Lonja de la Seda (""Loggia della Seta""), edificio gotico destinato alle contrattazioni mercantili, venne costruita alla fine del secolo;...']","Llotja de la Seda, 2, Carrer de la Llotja, el Mercat, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46001, Spagna","{""coordinates"": [-0.378259, 39.47441], ""type"": ""Point""}","Llotja de la Seda, 2, Carrer de la Llotja, el Mercat, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46001, Spagna",tourism,attraction
11,Micalet,Micalet,"['*...Oltre alla Lonja, risalgono a quel periodo il Micalet (il campanile della cattedrale di Santa Maria) e le Torres dels Serrans....']","Torre del Micalet, Plaça de la Reina, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46003, Spagna","{""coordinates"": [-0.375608, 39.475326], ""type"": ""Point""}","Torre del Micalet, Plaça de la Reina, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46003, Spagna",tourism,attraction
12,Torres dels Serrans,Torres dels Serrans,"['...Oltre alla Lonja, risalgono a quel periodo il Micalet (il campanile della cattedrale di Santa Maria) e le Torres dels Serrans....', '*...Torres dels Serrans;...']","Torres dels Serrans, Carrer del Comte de Trénor, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46003, Spagna","{""coordinates"": [-0.375188, 39.479056], ""type"": ""Point""}","Torres dels Serrans, Carrer del Comte de Trénor, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46003, Spagna",highway,bus_stop
13,Oceano Atlantico,Oceano Atlantico,"[""*...Con la scoperta dell'America l'asse del commercio mondiale si spostò dal Mediterraneo all'Oceano Atlantico....""]","Calle Oceano Atlantico, Plà del Mar, Moraira, Teulada, la Marina Alta, Alacant / Alicante, Comunità Valenzana, 03724, Spagna","{""coordinates"": [0.141869, 38.68821], ""type"": ""Point""}","Calle Oceano Atlantico, Plà del Mar, Moraira, Teulada, la Marina Alta, Alacant / Alicante, Comunità Valenzana, 03724, Spagna",highway,residential
14,els Furs,els Furs,"['*...Il Re promulgò nuove leggi per la città, note come els Furs, che in seguito vennero estese a tutto il regno....', ""*...Dopo la vittoria dei Borboni nella battaglia di Almansa il 25 aprile 1707, la città ed il regno persero i privilegi (els Furs) concessi quattro secoli prima da Giacomo I d'Aragona e dovette accettare le leggi e gli usi della Castiglia....""]","Calle de Los Fueros, Alboraia / Alboraya, l'Horta Nord, Valencia, Comunità Valenzana, 46120, Spagna","{""coordinates"": [-0.349474, 39.493735], ""type"": ""Point""}","Calle de Los Fueros, Alboraia / Alboraya, l'Horta Nord, Valencia, Comunità Valenzana, 46120, Spagna",highway,residential
15,Ensanche,Ensanche,"[""*...Fu creato il quartiere modernista dell'Ensanche o Eixample....""]","Calle Ensanche, Albal, l'Horta Sud, Valencia, Comunità Valenzana, 46470, Spagna","{""coordinates"": [-0.415045, 39.396743], ""type"": ""Point""}","Calle Ensanche, Albal, l'Horta Sud, Valencia, Comunità Valenzana, 46470, Spagna",highway,residential
16,Eixample,Eixample,"[""*...Fu creato il quartiere modernista dell'Ensanche o Eixample....""]","Calle Ensanche, Albal, l'Horta Sud, Valencia, Comunità Valenzana, 46470, Spagna","{""coordinates"": [-0.415045, 39.396743], ""type"": ""Point""}","Calle Ensanche, Albal, l'Horta Sud, Valencia, Comunità Valenzana, 46470, Spagna",highway,residential
17,Mercato centrale,Mercato centrale,['...Vennero costruiti il Mercato centrale e il Mercado de Colón;...'],"Mercato Centrale, 5, Carrer de Blanes, el Mercat, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46001, Spagna","{""coordinates"": [-0.378896, 39.473499], ""type"": ""Point""}","Mercato Centrale, 5, Carrer de Blanes, el Mercat, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46001, Spagna",tourism,attraction
18,Mercado de Colón,Mercado de Colón,"['...Vennero costruiti il Mercato centrale e il Mercado de Colón;...', '*...Mercado de Colón, il Mercato Ruzafa, il Mercato Benicalap, il Mercato Algirós, il Mercato Castilla, il Mercato Cabanyal e il Mercato di Torrefiel, unitamente alle vie dei negozi di abbigliamento in Calle Colón e dei prodotti tecnologici in Calle Islas Canarias....']","Mercat de Colón, 19, Carrer de Jorge Juan, el Pla del Remei, l'Eixample, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46004, Spagna","{""coordinates"": [-0.368345, 39.468958], ""type"": ""Point""}","Mercat de Colón, 19, Carrer de Jorge Juan, el Pla del Remei, l'Eixample, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46004, Spagna",amenity,marketplace
19,Estación del Norte,Estación del Norte,['*...Nel 1921 venne terminata la stazione ferroviaria detta Estación del Norte....'],"València - Estació del Nord, 24, Carrer de Xàtiva, Russafa, l'Eixample, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46007, Spagna","{""coordinates"": [-0.377374, 39.466316], ""type"": ""Point""}","València - Estació del Nord, 24, Carrer de Xàtiva, Russafa, l'Eixample, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46007, Spagna",building,train_station
20,Cattedrale di Valencia,Cattedrale di Valencia,"[""*...Cattedrale di Valencia; consacrata nel 1238 dopo la Reconquista, è dedicata all'Assunzione di Maria e venne costruita sull'antica moschea di Balansiya....""]","Cattedrale di Valencia, Carrer de la Barcella, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46003, Spagna","{""coordinates"": [-0.375124, 39.475576], ""type"": ""Point""}","Cattedrale di Valencia, Carrer de la Barcella, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46003, Spagna",amenity,place_of_worship
25,Santos Juanes,Santos Juanes,"['*...Chiesa dei Santi Giovanni (iglesia de los Santos Juanes); dedicata a san Giovanni Battista e san Giovanni evangelista, fu costruita su una moschea esistente prima del 1240....']","Parroquia Santos Juanes, Carrer del Dalt, Urbanización Solmar, Sant Antoni, Cullera, la Ribera Baixa, Valencia, Comunità Valenzana, 46400, Spagna","{""coordinates"": [-0.254327, 39.165057], ""type"": ""Point""}","Parroquia Santos Juanes, Carrer del Dalt, Urbanización Solmar, Sant Antoni, Cullera, la Ribera Baixa, Valencia, Comunità Valenzana, 46400, Spagna",amenity,place_of_worship
29,Plaza de Toros,Plaza de Toros,"[""*...Plaza de Toros; costruita in stile neoclassico tra il 1850 e il 1860, è un'arena che si ispira agli anfiteatri romani come anche il Colosseo....""]","Plaza de toros, Avinguda del Racó, Urbanización Bahía Park, Sant Antoni, Cullera, la Ribera Baixa, Valencia, Comunità Valenzana, 46400, Spagna","{""coordinates"": [-0.24204, 39.176768], ""type"": ""Point""}","Plaza de toros, Avinguda del Racó, Urbanización Bahía Park, Sant Antoni, Cullera, la Ribera Baixa, Valencia, Comunità Valenzana, 46400, Spagna",amenity,theatre
32,Palacio del Marqués de Dos Aguas,Palacio del Marqués de Dos Aguas,"['*...Palacio del Marqués de Dos Aguas; in stile rococò, fu costruito attorno al 1740, ed è ora la sede del Museo della Ceramica González Martí....']","Palacio del Marques de Dos Aguas, Carrer de Vidal, Sant Francesc, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46001, Spagna","{""coordinates"": [-0.374421, 39.473292], ""type"": ""Point""}","Palacio del Marques de Dos Aguas, Carrer de Vidal, Sant Francesc, Ciutat Vella, Valencia, Comarca de València, Valencia, Comunità Valenzana, 46001, Spagna",tourism,attraction
