,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Fraser,Fraser,"[""*...Vancouver (AFI: ) è una città canadese, sulla costa Pacifica della provincia canadese della Columbia Britannica, situata nella parte meridionale della provincia, uno dei maggiori porti dell'Oceano Pacifico, delimitata dallo Stretto di Georgia, dal fiume Fraser, e dalla catena montuosa delle Montagne Costiere...."", ""*...È adiacente allo stretto di Georgia e all'isola di Vancouver (Vancouver Island), a sud è delimitata dalla foce del fiume Fraser e al nord dai fiordi Burrard Inlet, Indian Arm e le montagne costiere...."", '*...Il commerciante Simon Fraser della Compagnia del Nord-Ovest e il suo equipaggio furono i primi europei nel 1808 a mettere piede sul sito della città odierna, avendo prima disceso il fiume Fraser....', ""*...La corsa all'oro nel 1861 portò 25\xa0000 uomini, provenienti soprattutto dalla California, alla foce del Fraser e di quella che sarebbe diventata Vancouver...."", ""*...Il primo insediamento europeo fu creato nel 1862 presso McLeery's Farm sul fiume Fraser, appena ad est dell'antico villaggio di Musqueam in quello che ora è Mariole...."", '*...Dal 1º gennaio 1929 la popolazione di Vancouver era di 228\xa0193 abitanti tanto da occupare tutta la penisola tra il Burrard Inlet e il fiume Fraser....', ""...Vancouver è sede di due Università notevoli, l'Università della Columbia Britannica e la Simon Fraser University....""]","Fraser Hall, East Road, Forest Knolls, Township of Langley, Metro Vancouver Regional District, Columbia Britannica, V1M 2J6, Canada","{""coordinates"": [-122.598543, 49.140793], ""type"": ""Point""}","Fraser Hall, East Road, Forest Knolls, Township of Langley, Metro Vancouver Regional District, Columbia Britannica, V1M 2J6, Canada",building,residential
7,Burrard Inlet,Burrard Inlet,"[""*...È adiacente allo stretto di Georgia e all'isola di Vancouver (Vancouver Island), a sud è delimitata dalla foce del fiume Fraser e al nord dai fiordi Burrard Inlet, Indian Arm e le montagne costiere...."", '*...Point Grey, nel 1791, fu il primo punto esplorato da un europeo, più precisamente dallo spagnolo José María Narváez, seguito da George Vancouver, che si spinse fino al porto interno di Burrard Inlet nel 1792 e diede diversi nomi inglesi ai luoghi....', '...Dal 1º gennaio 1929 la popolazione di Vancouver era di 228\xa0193 abitanti tanto da occupare tutta la penisola tra il Burrard Inlet e il fiume Fraser....']","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, Columbia Britannica, V5J 0A2, Canada","{""coordinates"": [-122.985641, 49.201232], ""type"": ""Point""}","Burrard Inlet Rail Services, 5489, Byrne Creek Urban Trail, Big Bend, Burnaby, Metro Vancouver Regional District, Columbia Britannica, V5J 0A2, Canada",office,company
8,Indian Arm,Indian Arm,"[""*...È adiacente allo stretto di Georgia e all'isola di Vancouver (Vancouver Island), a sud è delimitata dalla foce del fiume Fraser e al nord dai fiordi Burrard Inlet, Indian Arm e le montagne costiere....""]","Indian Arm Trail Connector, District of North Vancouver, Metro Vancouver Regional District, Columbia Britannica, V7G 2T1, Canada","{""coordinates"": [-122.934763, 49.346536], ""type"": ""Point""}","Indian Arm Trail Connector, District of North Vancouver, Metro Vancouver Regional District, Columbia Britannica, V7G 2T1, Canada",highway,path
10,East Side,East Side,"['*...Nonostante la città goda di un elevato tenore e qualità di vita, fenomeni come il vagabondaggio e i senzatetto, sono molto diffusi, specialmente nel East Side e a sud del Downtown, tanto da essere indicati nelle maggiori guide turistiche come possibili fonti di problemi per i visitatori....']","East Side Craft House, East 41st Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5P 1J8, Canada","{""coordinates"": [-123.07612, 49.232915], ""type"": ""Point""}","East Side Craft House, East 41st Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5P 1J8, Canada",amenity,pub
11,East Hastings Street,East Hastings Street,['*...Le aree più a rischio si trovano nella zona compresa tra East Hastings Street e Nord Main Street....'],"East Hastings Street, Grandview-Woodland, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5L, Canada","{""coordinates"": [-123.059933, 49.281177], ""type"": ""Point""}","East Hastings Street, Grandview-Woodland, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5L, Canada",highway,primary
13,Downtown,Downtown,"['*...Nonostante la città goda di un elevato tenore e qualità di vita, fenomeni come il vagabondaggio e i senzatetto, sono molto diffusi, specialmente nel East Side e a sud del Downtown, tanto da essere indicati nelle maggiori guide turistiche come possibili fonti di problemi per i visitatori....', '*...Entrambe le strade formano un incrocio nella zona Est del Downtown della città....', ""*...La via più famosa della città è senz'altro Robson Street, situata nel cuore del Downtown, e può essere paragonata a via Toledo a Napoli, via Monte Napoleone a Milano o via del Corso a Roma;..."", ""*...Un'ottima rete di trasporto pubblico che comprende la metropolitana, autobus e traghetti che fanno la spola quotidianamente tra il Downtown e il quartiere di North Vancouver...."", ""*...Seabus: Un'efficiente flotta di traghetti che ogni 10 minuti fanno la spola tra il Downtown cittadino ed il quartiere di Nord Vancouver, situato a nord della Baia cittadina...."", ""*...SkyTrain: Si tratta di un innovativo sistema di trasporto su rotaia che, tramite tre linee metropolitane (più una quarta in via di costruzione), collega i quartieri periferici della città al Downtown. Particolarità di questo sistema è il fatto che non esistono conducenti sui convogli, ma l'intera rete viene gestita da un apposito quanto avanzato software che controlla ogni singolo convoglio (come nella città di Torino e Brescia)...."", '*...Aquabus: flotta di piccoli battelli che collegano piccoli moli del Downtown di Vancouver ....']","Hampton Inn & Suites by Hilton Vancouver-Downtown, 111, Robson Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 2A7, Canada","{""coordinates"": [-123.113987, 49.277907], ""type"": ""Point""}","Hampton Inn & Suites by Hilton Vancouver-Downtown, 111, Robson Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 2A7, Canada",tourism,hotel
14,East End,East End,"['*...Anche l\'area dell\'East End si compone di alcune zone a rischio, ma come sopracitato, se comparate con gli USA e l\'Europa, queste zone possono essere definite a ""rischio ridotto""....']","East End Pharmacy, 2021, Commercial Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5N, Canada","{""coordinates"": [-123.0699, 49.266486], ""type"": ""Point""}","East End Pharmacy, 2021, Commercial Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V5N, Canada",amenity,pharmacy
15,Europa,Europa,"['*...Anche l\'area dell\'East End si compone di alcune zone a rischio, ma come sopracitato, se comparate con gli USA e l\'Europa, queste zone possono essere definite a ""rischio ridotto""....']","Europa, 63, Keefer Place, Chinatown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 0C9, Canada","{""coordinates"": [-123.106444, 49.279847], ""type"": ""Point""}","Europa, 63, Keefer Place, Chinatown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 0C9, Canada",building,yes
16,Scotia Tower,Scotia Tower,"['...Fino alla metà degli anni novanta del XX secolo, la città di Vancouver disponeva di un ridottissimo numero di grattacieli, tra cui spiccava la Scotia Tower, sede locale della Banca della Nova Scotia ( - 34 piani)....']","Scotia Tower, 753, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 2B7, Canada","{""coordinates"": [-123.117931, 49.281873], ""type"": ""Point""}","Scotia Tower, 753, Seymour Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6B 2B7, Canada",building,commercial
17,One Wall Centre,One Wall Centre,['*...One Wall Centre  - 48 piani;...'],"One Wall Centre, 938, Nelson Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6Z 2R9, Canada","{""coordinates"": [-123.12592, 49.280256], ""type"": ""Point""}","One Wall Centre, 938, Nelson Street, Yaletown, Downtown, Vancouver, Metro Vancouver Regional District, Columbia Britannica, V6Z 2R9, Canada",building,hotel
