,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Strada,Strada,"[""*...L'anello (Ring) che circonda il centro storico è oggi una Strada che ricalca le scomparse antiche mura della città...."", '...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....']","La Strada 27/29, 8, Clusiusgasse, Althangrund, KG Alsergrund, Alsergrund, Vienna, 1090, Austria","{""coordinates"": [16.364514, 48.225546], ""type"": ""Point""}","La Strada 27/29, 8, Clusiusgasse, Althangrund, KG Alsergrund, Alsergrund, Vienna, 1090, Austria",amenity,restaurant
3,Ringstraße,Ringstraße,"['...La Ringstraße è uno dei più raffinati e monumentali viali europei, dove si affacciano prestigiosi palazzi e splendidi edifici storici, capolavoro di urbanistica e architettura....', '*...A ""Vienna fin de siècle"" il sovrano operò una rivoluzione urbanistica, demolendo le mura già in parte distrutte da Napoleone ed edificando al loro posto la monumentale Ringstraße, il viale che circonda la città ad anello e ancora oggi arteria principale della città....', ""*...L'anello (Ring) che circonda il centro storico è oggi una Strada che ricalca le scomparse antiche mura della città....""]","Kärntner Ring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370025, 48.202379], ""type"": ""Point""}","Kärntner Ring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",railway,subway_entrance
4,Gürtel,Gürtel,"['*...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....']","Arbeitergasse, Gürtel, Gießaufgasse, Hundsturm, KG Margareten, Margareten, Vienna, 1050, Austria","{""coordinates"": [16.345745, 48.184431], ""type"": ""Point""}","Arbeitergasse, Gürtel, Gießaufgasse, Hundsturm, KG Margareten, Margareten, Vienna, 1050, Austria",railway,platform
5,U6,U6,"['*...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....', '...Le linee (attualmente U1, U2, U3, U4, U6) nel week-end sono in servizio 24 ore su 24, dal 2010....']","U6, Mariahilfer Gürtel, Neu-Fünfhaus, KG Fünfhaus, Rudolfsheim-Fünfhaus, Vienna, 1150, Austria","{""coordinates"": [16.338137, 48.192154], ""type"": ""Point""}","U6, Mariahilfer Gürtel, Neu-Fünfhaus, KG Fünfhaus, Rudolfsheim-Fünfhaus, Vienna, 1150, Austria",railway,subway
6,Donaukanal,Donaukanal,"['*...La città è attraversata nella sua parte orientale dal Danubio, mentre un piccolo canale artificiale (il Donaukanal) lambisce il centro storico a est, seguendo la tratta di un antico ramo del Danubio....']","Donaukanal, B14, KG Brigittenau, KG Nussdorf, Döbling, Vienna, 1200, Austria","{""coordinates"": [16.369938, 48.255322], ""type"": ""Point""}","Donaukanal, B14, KG Brigittenau, KG Nussdorf, Döbling, Vienna, 1200, Austria",man_made,monitoring_station
7,Alte Donau,Alte Donau,"['*...Dalla parte opposta del Danubio, un altro ramo storico del Danubio, chiamato Alte Donau (Vecchio Danubio), tagliato dal corso del Danubio in seguito alla sua regolazione, è diventato un lago....']","Alte Donau, Wagramer Straße, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria","{""coordinates"": [16.424823, 48.236373], ""type"": ""Point""}","Alte Donau, Wagramer Straße, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria",highway,bus_stop
9,Neue Donau,Neue Donau,"['*...Ed infine, tra il 1972 e il 1988, una seconda regolazione del Danubio ha creato un canale artificiale parallelo chiamato Neue Donau (Nuovo Danubio), sbarrato formando un lungo lago in tempi normali, ma atto a scaricare rapidamente le acque alte del Danubio e decongestionare così il Danubio stesso....']","Neue Donau, Georg-Danzer-Steg, Bruckhaufen, KG Donaufeld, Floridsdorf, Vienna, 1210, Austria","{""coordinates"": [16.394562, 48.246178], ""type"": ""Point""}","Neue Donau, Georg-Danzer-Steg, Bruckhaufen, KG Donaufeld, Floridsdorf, Vienna, 1210, Austria",railway,subway_entrance
12,Hofburg,Hofburg,"[""*...Nel 1533 la sede del potere venne spostata nell'edificio della Hofburg, il tradizionale palazzo imperiale di Vienna...."", ""*...Sotto Carlo VI fu costruita la Karlskirche, il sontuoso castello del Belvedere, le residenze dei nobili intorno all'Hofburg...."", '*...Hofburg ;...', ""*...Volksgarten (nell'Hofburg) ;..."", ""*...Burggarten (all'Hofburg) e la Palmenhaus ;..."", ""*...La Hofburg ospita la Tesoreria imperiale, che raccoglie il tesoro sacro e profano degli Asburgo, nonché il Museo di Sissi e gli appartamenti dell'imperatore (Kaiserappartements)...."", ""*...Di fianco alla Hofburg si trovano i due edifici simmetrici del Museo di Storia dell'Arte (Kunsthistorisches Museum) e del Museo di Storia Naturale (Naturhistorisches Museum Wien)....""]","Hofburg, Reitschulgasse, Widmerviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.365626, 48.206329], ""type"": ""Point""}","Hofburg, Reitschulgasse, Widmerviertel, Innere Stadt, Vienna, 1010, Austria",tourism,attraction
14,Mexikoplatz,Mexikoplatz,"[""*...Soltanto il Messico protestò presso la Società delle Nazioni per l'avvenuta annessione, motivo per il quale la città di Vienna ha denominato Mexikoplatz la piazza antistante la Chiesa di S. Francesco d'Assisi....""]","Mexikoplatz, Nordbahnviertel, KG Leopoldstadt, Leopoldstadt, Vienna, 1020, Austria","{""coordinates"": [16.401996, 48.225495], ""type"": ""Point""}","Mexikoplatz, Nordbahnviertel, KG Leopoldstadt, Leopoldstadt, Vienna, 1020, Austria",highway,residential
20,Maria am Gestade,Maria am Gestade,['*...Santa Maria sulla Riva (Maria am Gestade) ;...'],"Kirche Maria am Gestade, Salvatorgasse, Textilviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370658, 48.212866], ""type"": ""Point""}","Kirche Maria am Gestade, Salvatorgasse, Textilviertel, Innere Stadt, Vienna, 1010, Austria",amenity,place_of_worship
28,Kapuzinergruft,Kapuzinergruft,"['*...Chiesa dei Cappuccini (Kapuzinerkirche – con al suo interno la Kapuzinergruft, luogo di sepoltura della dinastia asburgica) ;...']","Kaisergruft, Neuer Markt, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370165, 48.205773], ""type"": ""Point""}","Kaisergruft, Neuer Markt, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",tourism,attraction
30,Jesuitenkirche,Jesuitenkirche,['*...Jesuitenkirche (Chiesa dei gesuiti) ;...'],"Jesuitenkirche (St. Ignatius), Sonnenfelsgasse, Stubenviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.377685, 48.209126], ""type"": ""Point""}","Jesuitenkirche (St. Ignatius), Sonnenfelsgasse, Stubenviertel, Innere Stadt, Vienna, 1010, Austria",amenity,place_of_worship
32,Augustinerkirche,Augustinerkirche,"[""*...Augustinerkirche, nella quale è custodito il monumento funebre a Maria Cristina d'Austria del Canova ;...""]","Augustinerkirche, Dorotheergasse, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.367708, 48.205694], ""type"": ""Point""}","Augustinerkirche, Dorotheergasse, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",amenity,place_of_worship
43,Stadttempel,Stadttempel,"[""*...Stadttempel: costruita nel 1824-26 è l'unica sinagoga superstite tra le 93 esistenti a Vienna e distrutte durante l'Olocausto ....""]","Stadttempel, Fleischmarkt, Bermudadreieck, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.374741, 48.211462], ""type"": ""Point""}","Stadttempel, Fleischmarkt, Bermudadreieck, Innere Stadt, Vienna, 1010, Austria",amenity,place_of_worship
46,Schloss Belvedere,Schloss Belvedere,['*...Castello del Belvedere (Schloss Belvedere) ;...'],"Schloss Belvedere, 42, Prinz-Eugen-Straße, Wieden, KG Wieden, Wieden, Vienna, 1040, Austria","{""coordinates"": [16.378492, 48.192816], ""type"": ""Point""}","Schloss Belvedere, 42, Prinz-Eugen-Straße, Wieden, KG Wieden, Wieden, Vienna, 1040, Austria",amenity,charging_station
54,Altes Rathaus,Altes Rathaus,['*...Altes Rathaus ;...'],"Altes Rathaus, 6-8, Wipplingerstraße, Textilviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.371422, 48.211669], ""type"": ""Point""}","Altes Rathaus, 6-8, Wipplingerstraße, Textilviertel, Innere Stadt, Vienna, 1010, Austria",amenity,cafe
60,Theseustempel,Theseustempel,['*...Theseustempel (1819-22) ;...'],"Theseustempel, Josef-Meinrad-Platz, Schottenviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.361687, 48.208411], ""type"": ""Point""}","Theseustempel, Josef-Meinrad-Platz, Schottenviertel, Innere Stadt, Vienna, 1010, Austria",tourism,museum
64,Österreichische Postsparkasse,Österreichische Postsparkasse,['*...Österreichische Postsparkasse (di Otto Wagner) ;...'],"Österreichische Postsparkasse, 2, Georg-Coch-Platz, Stubenviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.380648, 48.209978], ""type"": ""Point""}","Österreichische Postsparkasse, 2, Georg-Coch-Platz, Stubenviertel, Innere Stadt, Vienna, 1010, Austria",building,yes
66,Millennium Tower,Millennium Tower,['*...Millennium Tower ;...'],"Millennium Tower, Handelskai, KG Brigittenau, Brigittenau, Vienna, 1200, Austria","{""coordinates"": [16.387031, 48.240323], ""type"": ""Point""}","Millennium Tower, Handelskai, KG Brigittenau, Brigittenau, Vienna, 1200, Austria",building,tower
67,Karl-Marx-Hof,Karl-Marx-Hof,"['*...Karl-Marx-Hof, il più grande edificio abitativo al mondo ;...', ""...Si hanno così manifestazioni che riguardano ogni campo dalle feste di quartiere nel leggendario Karl-Marx-Hof fino a variopinte rappresentazioni quali l'Internationales Musikfest, che viene allestita ogni anno a turno dal Musikverein o dalla Konzerthaus....""]","Karl-Marx-Hof, Felix-Braun-Gasse, KG Heiligenstadt, Döbling, Vienna, 1190, Austria","{""coordinates"": [16.364539, 48.25016], ""type"": ""Point""}","Karl-Marx-Hof, Felix-Braun-Gasse, KG Heiligenstadt, Döbling, Vienna, 1190, Austria",tourism,attraction
68,Hundertwasserhaus,Hundertwasserhaus,"[""*...Hundertwasserhaus (dall'architetto e artista Friedensreich Hundertwasser) ;...""]","Hundertwasserhaus, Kegelgasse, Weißgerber, KG Landstraße, Landstraße, Vienna, 1030, Austria","{""coordinates"": [16.393941, 48.207384], ""type"": ""Point""}","Hundertwasserhaus, Kegelgasse, Weißgerber, KG Landstraße, Landstraße, Vienna, 1030, Austria",tourism,attraction
73,Villa Wagner II,Villa Wagner II,"['*...Villa Wagner II ;...', '*...Villa Wagner I ;...']","Otto Wagner Villa II, 28, Hüttelbergstraße, Planetenviertel, KG Hütteldorf, Penzing, Vienna, 1140, Austria","{""coordinates"": [16.254975, 48.210539], ""type"": ""Point""}","Otto Wagner Villa II, 28, Hüttelbergstraße, Planetenviertel, KG Hütteldorf, Penzing, Vienna, 1140, Austria",tourism,attraction
74,Villa Hermes,Villa Hermes,['*...Villa Hermes 1882-86 ;...'],"Hermesvilla, Hermesvillaweg, KG Auhof, Hietzing, Vienna, 1130, Austria","{""coordinates"": [16.246177, 48.170683], ""type"": ""Point""}","Hermesvilla, Hermesvillaweg, KG Auhof, Hietzing, Vienna, 1130, Austria",tourism,museum
84,Palmenhaus,Palmenhaus,"[""*...Burggarten (all'Hofburg) e la Palmenhaus ;...""]","Palmenhaus, Hanuschgasse, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.366797, 48.205054], ""type"": ""Point""}","Palmenhaus, Hanuschgasse, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",amenity,restaurant
86,Tiergarten Schönbrunn,Tiergarten Schönbrunn,['*...Parco del Castello di Schonbrunn e Tiergarten Schönbrunn ....'],"Tiergarten Schönbrunn, Tiroler Weg, KG Schönbrunn, Hietzing, Vienna, 1130, Austria","{""coordinates"": [16.308914, 48.181657], ""type"": ""Point""}","Tiergarten Schönbrunn, Tiroler Weg, KG Schönbrunn, Hietzing, Vienna, 1130, Austria",shop,ticket
93,Kaiserappartements,Kaiserappartements,"[""*...La Hofburg ospita la Tesoreria imperiale, che raccoglie il tesoro sacro e profano degli Asburgo, nonché il Museo di Sissi e gli appartamenti dell'imperatore (Kaiserappartements)....""]","Kaiserappartements, Ochsentor, Widmerviertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.364559, 48.208015], ""type"": ""Point""}","Kaiserappartements, Ochsentor, Widmerviertel, Innere Stadt, Vienna, 1010, Austria",tourism,museum
97,MUMOK,MUMOK,"[""*...In particolare vi si trovano il Museo arte moderna e contemporanea, comunemente detto MUMOK, il Museo Leopold di opere della Sezession e dell'Espressionismo, il Museo di architettura (AzW) e lo ZOOM, Museo dei bambini....""]","Museum Moderner Kunst Stiftung Ludwig Wien, 1, Museumsplatz, KG Neubau, Neubau, Vienna, 1070, Austria","{""coordinates"": [16.357833, 48.20374], ""type"": ""Point""}","Museum Moderner Kunst Stiftung Ludwig Wien, 1, Museumsplatz, KG Neubau, Neubau, Vienna, 1070, Austria",tourism,museum
