,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Piazza Cordusio,Piazza Cordusio,"['*...Questo legame quasi esclusivo fra la nuova classe dominante e il nuovo stile architettonico e il netto distacco dai modelli architettonici della ""vecchia"" classe aristocratica appaiono quanto mai evidenti quando si osservi che, mentre la nuova borghesia innalzava dimore à la page seguendo i nuovi dettami del Liberty, nello stesso periodo le tradizionali e più conservatrici committenze legate al vecchio mondo finanziario ed ecclesiastico – su tutte spiccano le nuove sedi bancarie nella zona di Piazza Cordusio – rimanevano invece legate all\'ormai decadente e più conservatore stile eclettico in voga nell\'Ottocento....']","Piazza Cordusio, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.186868, 45.465459], ""type"": ""Point""}","Piazza Cordusio, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",tourism,information
1,palazzo Castiglioni,palazzo Castiglioni,"['*...La stagione milanese dello stile Liberty fu inaugurata con la costruzione di palazzo Castiglioni terminata nel 1903 su progetto di Giuseppe Sommaruga, successivamente tra i maggiori interpreti del modernismo in Italia....', ""*...Esse suscitarono grande scandalo al punto che il palazzo venne ribattezzato dai milanesi la ca' di ciapp (la casa delle chiappe, con preciso riferimento al posteriore nudo delle due donne raffigurate) e l'architetto fu costretto a rimuoverle e trasferirle nell'allora periferica villa Faccanoni, ottimo esempio di villa suburbana Liberty progettata sempre dal Sommaruga e in cui vengono ripresi le sculture di putti e il motivo delle finestre a colonna dell'ultimo piano di palazzo Castiglioni...."", ""*...La composizione della facciata mostra a livello generale una forte ispirazione al lavoro del Sommaruga, in particolare per le sculture di figure femminili all'ingresso, omaggio esplicito al portale del palazzo Castiglioni....""]","Palazzo Castiglioni, 47, Corso Venezia, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.201022, 45.471166], ""type"": ""Point""}","Palazzo Castiglioni, 47, Corso Venezia, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",historic,castle
3,Casa Guazzoni,Casa Guazzoni,"['...A pochi metri di distanza si trova la Casa Guazzoni, sempre del Bossi, che pur conservando lo stile tipicamente floreale della facciata presenta una decorazione completamente incentrata sulla scultura con elaborati apparati di putti, figure femminili e forme vegetali realizzati sempre in cemento e ferro battuto con balconi sovrapposti....']","Casa Guazzoni, Via Melzo, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20219, Italia","{""coordinates"": [9.208066, 45.474757], ""type"": ""Point""}","Casa Guazzoni, Via Melzo, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20219, Italia",building,residential
4,Casa Campanini,Casa Campanini,"[""*...Esempio quanto mai raro di autocommittenza fu Casa Campanini, progettata dall'architetto e imprenditore edile Alfredo Campanini come propria abitazione nel 1904...."", ""*...Il mastro ferraio realizzò a ogni modo un elevatissimo numero di opere sparse per la città, integrate con l'architettura circostante come nel caso dei balconi di Casa Ferrario, o semplicemente ornamentali come la cancellata di Casa Campanini, la cancellata del villino Maria Luisa o lo Scalone delle rose di casa Morganti....""]","Casa Campanini, Via Livorno, Guastalla, Municipio 1, Milano, Lombardia, 20219, Italia","{""coordinates"": [9.204229, 45.465733], ""type"": ""Point""}","Casa Campanini, Via Livorno, Guastalla, Municipio 1, Milano, Lombardia, 20219, Italia",building,yes
5,Casa Ferrario,Casa Ferrario,"['*...Slegata dalla logica di creazione di nuove zone di abitazione dedicata alla classe borghese, Casa Ferrario sorse a partire dal 1902 su progetto di Ernesto Pirovano in Via Spadari, una delle vie più centrali e antiche di Milano....', ""*...Il mastro ferraio realizzò a ogni modo un elevatissimo numero di opere sparse per la città, integrate con l'architettura circostante come nel caso dei balconi di Casa Ferrario, o semplicemente ornamentali come la cancellata di Casa Campanini, la cancellata del villino Maria Luisa o lo Scalone delle rose di casa Morganti....""]","Casa Ferrario, Via Spadari, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia","{""coordinates"": [9.187237, 45.46329], ""type"": ""Point""}","Casa Ferrario, Via Spadari, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",building,yes
6,Via Spadari,Via Spadari,"['*...Slegata dalla logica di creazione di nuove zone di abitazione dedicata alla classe borghese, Casa Ferrario sorse a partire dal 1902 su progetto di Ernesto Pirovano in Via Spadari, una delle vie più centrali e antiche di Milano....']","Via Spadari, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia","{""coordinates"": [9.187609, 45.463184], ""type"": ""Point""}","Via Spadari, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",highway,residential
7,Casa Donzelli,Casa Donzelli,"[""...Contrapposto al filone floreale del Liberty milanese capeggiato dal Sommaruga si possono citare la Casa Donzelli di Ulisse Stacchini, dove nonostante le chiare influenze del maestro Sommaruga si nota una composizione con linee austere tipiche del Liberty di area tedesca, e la Casa Agostoni dove alcuni elementi tipici del Liberty come il tema naturale e la scultura in cemento vengono affiancati a un'impostazione della facciata tipicamente ottocentesca e a elementi classicheggianti come bassorilievi....""]","Casa Donzelli, Via Vincenzo Gioberti, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia","{""coordinates"": [9.170935, 45.468087], ""type"": ""Point""}","Casa Donzelli, Via Vincenzo Gioberti, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",building,apartments
8,Casa Agostoni,Casa Agostoni,"[""...Contrapposto al filone floreale del Liberty milanese capeggiato dal Sommaruga si possono citare la Casa Donzelli di Ulisse Stacchini, dove nonostante le chiare influenze del maestro Sommaruga si nota una composizione con linee austere tipiche del Liberty di area tedesca, e la Casa Agostoni dove alcuni elementi tipici del Liberty come il tema naturale e la scultura in cemento vengono affiancati a un'impostazione della facciata tipicamente ottocentesca e a elementi classicheggianti come bassorilievi....""]","Casa Agostoni, Via Lodovico Ariosto, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20145, Italia","{""coordinates"": [9.165935, 45.470404], ""type"": ""Point""}","Casa Agostoni, Via Lodovico Ariosto, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20145, Italia",building,apartments
9,Casa Dugnani,Casa Dugnani,"['*...Esempi di questo tipo di committenza sono Casa Dugnani e Casa Biraghi, in cui spiccano le maioliche a tema floreale realizzate in serie dalla Richard Ginori....']","Casa Dugnani, Via Aurelio Saffi, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia","{""coordinates"": [9.171311, 45.46862], ""type"": ""Point""}","Casa Dugnani, Via Aurelio Saffi, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",building,apartments
11,Casa Laugier,Casa Laugier,"['*...Si può citare per esempio Casa Laugier, costruita per la famiglia valdostana Laugier per ospitare oltre alla abitazione la farmacia di famiglia....']","Casa Laugier, Piazzale Francesco Baracca, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia","{""coordinates"": [9.166284, 45.466258], ""type"": ""Point""}","Casa Laugier, Piazzale Francesco Baracca, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",building,apartments
