regione Piemonte,"Regione Piemonte, Via Palazzo di Città, Centro, Circoscrizione 1, Torino, Piemonte, 10122, Italia",emergency,defibrillator,0.32010000000000005,"/toˈrino/ , ; Turin in piemontese [tyˈriŋ] , ) è un comune italiano di 844 056 abitanti (al 31 agosto 2022), quarto comune italiano per popolazione e capoluogo della regione Piemonte e dell'omonima città metropolitana. Cuore di un'area metropolitana che conta circa 1,7 milioni di abitanti, Torino è il terzo complesso economico-produttivo del Paese (insieme a Milano e Genova componeva il triangolo industriale negli anni del boom economico) e costituisce uno dei maggiori poli universitari, artistici, turistici, scientifici e culturali d'Italia."
Città,"Torino, Piazza Carlo Emanuele Secondo, Borgo Nuovo, Circoscrizione 1, Torino, Piemonte, 10123, Italia",tourism,information,0.11010000000000002,"alcuni palazzi e zone facenti parte del circuito di residenze sabaude in Piemonte (patrimonio dell'umanità) e l'area delle colline del Po (riserva della biosfera). Città dalla storia bimillenaria, fu fondata probabilmente nei pressi della posizione attuale, attorno al III secolo a.C., dai Taurini, quindi trasformata in colonia romana da Augusto col nome di Iulia Augusta Taurinorum nel I secolo a. C"
Città,"Torino, Piazza Carlo Emanuele Secondo, Borgo Nuovo, Circoscrizione 1, Torino, Piemonte, 10123, Italia",tourism,information,0.11010000000000002,"Dopo il dominio ostrogoto, fu capitale di un importante ducato longobardo, per poi passare, dopo essere divenuta capitale di marca carolingia, sotto la signoria nominale dei Savoia nell'XI secolo. Città dell'omonimo ducato, nel 1563 ne divenne capitale. Dal 1720 fu capitale del Regno di Sardegna (anche se solo de facto fino alla fusione perfetta del 1847, quando lo divenne anche formalmente), Stato che nel XIX secolo avrebbe portato all'unificazione italiana e che fece di Torino la prima capitale del Regno d'Italia (dal 1861 al 1865)."
Città,"Torino, Piazza Carlo Emanuele Secondo, Borgo Nuovo, Circoscrizione 1, Torino, Piemonte, 10123, Italia",tourism,information,0.11010000000000002,"Lo stemma della Città di Torino, approvato dallo Stato con decreto dell'11 agosto 1931, è costituito da uno scudo svizzero azzurro a cui è sovrapposto un toro rampante d'oro, con le corna d'argento e con la corona comitale a nove perle. La città di Torino è la quinta tra le ventisette Città decorate di medaglia d'oro come ""benemerite del Risorgimento nazionale"" per le azioni patriottiche che ebbero luogo nella città nel periodo del Risorgimento: Torino figura inoltre tra le Città decorate al valor militare per la guerra di liberazione, insignita della medaglia d'oro al valor militare per i sacrifici delle sue popolazioni e per la sua attività nella lotta partigiana durante la seconda guerra mondiale:"
Città,"Torino, Piazza Carlo Emanuele Secondo, Borgo Nuovo, Circoscrizione 1, Torino, Piemonte, 10123, Italia",tourism,information,0.11010000000000002,"La città di Torino è la quinta tra le ventisette Città decorate di medaglia d'oro come ""benemerite del Risorgimento nazionale"" per le azioni patriottiche che ebbero luogo nella città nel periodo del Risorgimento: Torino figura inoltre tra le Città decorate al valor militare per la guerra di liberazione, insignita della medaglia d'oro al valor militare per i sacrifici delle sue popolazioni e per la sua attività nella lotta partigiana durante la seconda guerra mondiale: A differenza della stragrande maggioranza delle città italiane, che hanno una struttura viaria concentrica, con uno sviluppo di arterie radiali culminanti nel centro cittadino, sede delle principali attività pubbliche, il reticolo viario della città di Torino disegna una pianta a scacchiera, le sue vie cioè si sviluppano in linea retta incrociandosi a 90° con un orientamento simile a quello del castrum romano:"
Stura di Lanzo,"Stura di Lanzo, Torino, Piemonte, 10074, Italia",waterway,river,0.7672249460811544,"La costante crescita d'importanza a livello internazionale ha fatto raggiungere a Torino il rango di città globale (terza città italiana dopo Milano e Roma) nella categoria Gamma . Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine: Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone."
Sangone,"Sangone, Corso Trieste, Moncalieri, Torino, Piemonte, 10024, Italia",highway,bus_stop,0.22010000000000002,"La costante crescita d'importanza a livello internazionale ha fatto raggiungere a Torino il rango di città globale (terza città italiana dopo Milano e Roma) nella categoria Gamma . Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine: Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone."
Val di Susa,"Val di Susa, Torino, Piemonte, 10050, Italia",natural,valley,0.838099508346291,"Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine: Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone. Torino è detta ""la città dei quattro fiumi"":"
Val Sangone,"Val Sangone, Coazze, Torino, Piemonte, 10094, Italia",natural,valley,0.51,"Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine: Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone. Torino è detta ""la città dei quattro fiumi"":"
Dora Riparia,"Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia",highway,bus_stop,0.31010000000000004,"Torino è detta ""la città dei quattro fiumi"": oltre ai tre corsi d'acqua prima citati che ne incorniciano il territorio, abbiamo la Dora Riparia che taglia la città da ovest a est, scorrendo prossima al centro storico. Il fiume Po accentua la divisione tra la parte collinare e quella, quasi pianeggiante, della città, collocata tra i 220 e i 280 metri s.l.m.;"
