,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Mediterranean,Mediterranean,"['*...Athens ( ATH-inz; Greek: Αθήνα, romanized:\xa0Athína  ; Ancient Greek: Ἀθῆναι, romanized:\xa0Athênai (pl.) ) is a major coastal city in the Mediterranean and is both the capital and largest city of Greece....', '*...Athens has a hot-summer Mediterranean climate (Köppen climate classification: Csa)....', ""*...The city has Greece's largest airport and its largest port; Piraeus, too, is the largest container transport port in the Mediterranean, and the largest passenger port in Europe....""]","Mediterranean college, Κοδριγκτώνος, Μουσείο, 1st District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 104 34, Greece","{""coordinates"": [23.732573, 37.995479], ""type"": ""Point""}","Mediterranean college, Κοδριγκτώνος, Μουσείο, 1st District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 104 34, Greece",amenity,university
1,Attica,Attica,"[""*...Athens dominates and is the capital of the Attica region and is one of the world's oldest cities, with its recorded history spanning over 3,400 years and its earliest human presence beginning somewhere between the 11th and 7th millennia BCE...."", '...The root of the word is probably not of Greek or Indo-European origin, and is possibly a remnant of the Pre-Greek substrate of Attica....', '...However, this did not prevent Athens from being captured and sacked twice by the Persians within one year, after a heroic but ultimately failed resistance at Thermopylae by Spartans and other Greeks led by King Leonidas, after both Boeotia and Attica fell to the Persians....', '*...Athens sprawls across the central plain of Attica that is often referred to as the Athens Basin or the Attica Basin (Greek: Λεκανοπέδιο Αθηνών/Αττικής)....', '...Lycabettus is one of the tallest hills of the city proper and provides a view of the entire Attica Basin....', '...Measures taken by the Greek authorities throughout the 1990s have improved the quality of air over the Attica Basin....', '*...In late June 2007, the Attica region experienced a number of brush fires, including a blaze that burned a significant portion of a large forested national park in Mount Parnitha, considered critical to maintaining a better air quality in Athens all year round....', '*...Syntagma, Syntagma Square, (Greek: Σύνταγμα/Constitution Square), is the capital\'s central and largest square, lying adjacent to the Greek Parliament (the former Royal Palace) and the city\'s most notable hotels. Ermou Street, an approximately one-kilometre-long (-mile) pedestrian road connecting Syntagma Square to Monastiraki, is a consumer paradise for both Athenians and tourists. Complete with fashion shops and shopping centres promoting most international brands, it now finds itself in the top five most expensive shopping streets in Europe, and the tenth most expensive retail street in the world. Nearby, the renovated Army Fund building in Panepistimiou Street includes the ""Attica"" department store and several upmarket designer stores....', ""...Athens' largest zoo is the Attica Zoological Park, a 20-hectare (49-acre) private zoo located in the suburb of Spata...."", '...The regional units of Central Athens, North Athens, South Athens, West Athens and Piraeus with part of East and West Attica regional units combined make up the continuous Athens Urban Area, also called the ""Urban Area of the Capital"" or simply ""Athens"" (the most common use of the term), spanning over 412\xa0km2 (159\xa0sq\xa0mi), with a population of  3,059,764 people as of 2021....', '*...The Athens metropolitan area spans 2,928.717\xa0km2 (1,131\xa0sq\xa0mi) within the Attica region and includes a total of 58 municipalities, which are organized in seven regional units (those outlined above, along with East Attica and West Attica), having reached a population of 3,744,059 according to the 2021 census....', '...The municipality (Center) of Athens is the most populous in Greece, with a population of 643,452 people (in 2021) and an area of 38.96\xa0km2 (15.04\xa0sq\xa0mi), forming the core of the Athens Urban Area within the Attica Basin....', '*...The Athens Metropolitan Area, with an area of 2,928.717\xa0km2 (1,131\xa0sq\xa0mi) and inhabited by  3,744,059  people in 2021, consists of the Athens Urban Area with the addition of the towns and villages of East and West Attica, which surround the dense urban area of the Greek capital....', '*...It actually sprawls over the whole peninsula of Attica, which is the best part of the region of Attica, excluding the islands....', '*...During the Classical period, Athens denotes both the urban area of the city proper and its subject territory (the Athenian city-state) extending across most of the modern Attica region except the territory of the city-state of Megaris and the island section....', '*...The expansion is now particularly toward the East and North East (a tendency greatly related to the new Eleftherios Venizelos International Airport and the Attiki Odos, the freeway that cuts across Attica)....', '*...By this process Athens has engulfed many former suburbs and villages in Attica, and continues to do so....', '*...The municipality (City) of Athens is also the capital of the Attica region....', '...The University of West Attica is the second largest university in Athens....', '...There are overall ten state-supported Institutions of Higher (or Tertiary) education located in the Athens Urban Area, these are by chronological order: Athens School of Fine Arts (1837), National Technical University of Athens (1837), National and Kapodistrian University of Athens (1837), Agricultural University of Athens (1920), Athens University of Economics and Business (1920), Panteion University of Social and Political Sciences (1927), University of Piraeus (1938), Harokopio University of Athens (1990), School of Pedagogical and Technological Education (2002), University of West Attica (2018)....', '*...Beyond Athens and across the prefecture of Attica, outdoor activities include skiing, rock climbing, hang gliding and windsurfing....']","Attica, 28ης Οκτωβρίου, Μουσείο, 1st District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 106 82, Greece","{""coordinates"": [23.731185, 37.990164], ""type"": ""Point""}","Attica, 28ης Οκτωβρίου, Μουσείο, 1st District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 106 82, Greece",amenity,bank
2,Lyceum,Lyceum,"[""*...It was a centre for the arts, learning and philosophy, and the home of Plato's Academy and Aristotle's Lyceum....""]","Aristotle's Lyceum, Ρηγίλλης, Pangrati, 2nd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 106 74, Greece","{""coordinates"": [23.743362, 37.973872], ""type"": ""Point""}","Aristotle's Lyceum, Ρηγίλλης, Pangrati, 2nd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 106 74, Greece",historic,archaeological_site
5,Europe,Europe,"['...Athens is a Beta-status global city according to the Globalization and World Cities Research Network, and is one of the biggest economic centers in Southeastern Europe....', '*...It also has a large financial sector, and its port Piraeus is both the largest passenger port in Europe, and the third largest in the world....', '*...Athens is also the southernmost capital on the European mainland and the warmest major city in continental Europe with an average annual temperature of up to 19.8\xa0°C (67.6\xa0°F) locally....', '*...Athens is the hottest city in mainland Europe\n and according to the Hellenic National Meteorological Service the Athens Basin is also the warmest area of Greece with an average annual temperature of 19.8\xa0°C (67.6\xa0°F)....', '*...Athens holds the official World Meteorological Organization record for the highest temperature ever recorded in Europe, at 48\xa0°C (118.4\xa0°F), which was recorded in the Elefsina and Tatoi suburbs of Athens on 10 July 1977....', '*...Syntagma, Syntagma Square, (Greek: Σύνταγμα/Constitution Square), is the capital\'s central and largest square, lying adjacent to the Greek Parliament (the former Royal Palace) and the city\'s most notable hotels. Ermou Street, an approximately one-kilometre-long (-mile) pedestrian road connecting Syntagma Square to Monastiraki, is a consumer paradise for both Athenians and tourists. Complete with fashion shops and shopping centres promoting most international brands, it now finds itself in the top five most expensive shopping streets in Europe, and the tenth most expensive retail street in the world. Nearby, the renovated Army Fund building in Panepistimiou Street includes the ""Attica"" department store and several upmarket designer stores....', '*...Work is underway to transform the grounds of the old Athens Airport – named Elliniko – in the southern suburbs, into one of the largest landscaped parks in Europe, to be named the Hellenikon Metropolitan Park.\nMany of the southern suburbs (such as Alimos, Palaio Faliro, Elliniko, Glyfada, Voula, Vouliagmeni and Varkiza) known as the Athens Riviera, host a number of sandy beaches, most of which are operated by the Greek National Tourism Organisation and require an entrance fee....', '*...The Athens Urban Area is considered to form the city of Athens as a whole, despite its administrative divisions, which is the largest in Greece and one of the most populated urban areas in Europe....', '*...Athens is one of the major economic centres in south-eastern Europe and is considered a regional economic power....', ""*...Tourism is also a leading contributor to the economy of the city, as one of Europe's top destinations for city-break tourism, and also the gateway for excursions to both the islands and other parts of the mainland...."", ""*...Greece attracted 26.5\xa0million visitors in 2015, 30.1\xa0million visitors in 2017, and over 33\xa0million in 2018, making Greece one of the most visited countries in Europe and the world, and contributing 18% to the country's GDP...."", ""*...The city has Greece's largest airport and its largest port; Piraeus, too, is the largest container transport port in the Mediterranean, and the largest passenger port in Europe...."", '*...Of those 2,375, 619 buses run on compressed natural gas, making up the largest fleet of natural gas-powered buses in Europe, and 354 are electric-powered (trolleybuses)....', '*...The airport, awarded the ""European Airport of the Year 2004"" Award, is intended as an expandable hub for air travel in southeastern Europe and was constructed in 51 months, costing 2.2\xa0billion euros....', '*...The Port of Piraeus is the largest port in Greece and one of the largest in Europe....', '*...The Athens area encompasses a variety of terrain, notably hills and mountains rising around the city, and the capital is the only major city in Europe to be bisected by a mountain range....']","Ευρώπη, 25, Γαλατσίου, Άνω Πατήσια, 5th District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 111 41, Greece","{""coordinates"": [23.739961, 38.016075], ""type"": ""Point""}","Ευρώπη, 25, Γαλατσίου, Άνω Πατήσια, 5th District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 111 41, Greece",amenity,language_school
6,Parthenon,Parthenon,"['*...The heritage of the Classical Era is still evident in the city, represented by ancient monuments, and works of art, the most famous of all being the Parthenon, considered a key landmark of early Western civilization....', '...Guided by Pericles, who promoted the arts and fostered democracy, Athens embarked on an ambitious building program that saw the construction of the Acropolis of Athens (including the Parthenon), as well as empire-building via the Delian League....', '...In this era, the first Christian churches were built in Athens, and the Parthenon and other temples were converted into churches.[citation needed]...', '*...By the late 1970s, the pollution of Athens had become so destructive that according to the then Greek Minister of Culture, Constantine Trypanis, ""...the carved details on the five the caryatids of the Erechtheum had seriously degenerated, while the face of the horseman on the Parthenon\'s west side was all but obliterated.""...', '...The route in its entirety provides visitors with views of the Parthenon and the Agora (the meeting point of ancient Athenians), away from the busy City Centre....', '*...The Kallimarmaro is a replica of the ancient Athenian stadiums, and the only major stadium (in its capacity of 60,000) to be made entirely of white marble from Mount Penteli, the same material used for construction of the Parthenon....']","Parthenon, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Anafiotika, Upper Petralona, 3rd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 58, Greece","{""coordinates"": [23.726618, 37.971503], ""type"": ""Point""}","Parthenon, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Anafiotika, Upper Petralona, 3rd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 58, Greece",tourism,attraction
8,Daphni Monastery,Daphni Monastery,"['*...Athens is home to two UNESCO World Heritage Sites, the Acropolis of Athens and the medieval Daphni Monastery....']","Μονή Δαφνίου, Αθηνών, Δαφνί, Chaidari, Municipality of Chaidari, Regional Unit of West Athens, Attica, 124 62, Greece","{""coordinates"": [23.635926, 38.012979], ""type"": ""Point""}","Μονή Δαφνίου, Αθηνών, Δαφνί, Chaidari, Municipality of Chaidari, Regional Unit of West Athens, Attica, 124 62, Greece",amenity,place_of_worship
10,Kerameikos,Kerameikos,"['*...Iron Age burials, in the Kerameikos and other locations, are often richly provided for and demonstrate that from 900\xa0BCE onwards Athens was one of the leading centres of trade and prosperity in the region....', '*...The first modern city plan consisted of a triangle defined by the Acropolis, the ancient cemetery of Kerameikos and the new palace of the Bavarian king (now housing the Greek Parliament), so as to highlight the continuity between modern and ancient Athens....', '*...The Municipality of Athens, the City Centre of the Athens Urban Area, is divided into several districts: Omonoia, Syntagma, Exarcheia, Agios Nikolaos, Neapolis, Lykavittos, Lofos Strefi, Lofos Finopoulou, Lofos Filopappou, Pedion Areos, Metaxourgeio, Aghios Kostantinos, Larissa Station, Kerameikos, Psiri, Monastiraki, Gazi, Thission, Kapnikarea, Aghia Irini, Aerides, Anafiotika, Plaka, Acropolis, Pnyka, Makrygianni, Lofos Ardittou, Zappeion, Aghios Spyridon, Pangrati, Kolonaki, Dexameni, Evaggelismos, Gouva, Aghios Ioannis, Neos Kosmos, Koukaki, Kynosargous, Fix, Ano Petralona, Kato Petralona, Rouf, Votanikos, Profitis Daniil, Akadimia Platonos, Kolonos, Kolokynthou, Attikis Square, Lofos Skouze, Sepolia, Kypseli, Aghios Meletios, Nea Kypseli, Gyzi, Polygono, Ampelokipoi, Panormou-Gerokomeio, Pentagono, Ellinorosson, Nea Filothei, Ano Kypseli, Tourkovounia-Lofos Patatsou, Lofos Elikonos, Koliatsou, Thymarakia, Kato Patisia, Treis Gefyres, Aghios Eleftherios, Ano Patisia, Kypriadou, Menidi, Prompona, Aghios Panteleimonas, Pangrati, Goudi, Vyronas and Ilisia....', '*...The neighborhood is located north of the historical centre of Athens, between Kolonos to the east and Kerameikos to the west, and north of Gazi....', '*...The Gazi (Greek: Γκάζι) area, one of the latest in full redevelopment, is located around a historic gas factory, now converted into the Technopolis cultural multiplex, and also includes artists\' areas, active nightlife and night clubs, small clubs, cafeterias, bars and restaurants, as well as Athens\'s ""Gay village"". The metro\'s expansion to the western suburbs of the city has brought easier access to the area since spring 2007, as the line 3 now stops at Gazi (Kerameikos station)....', '*...The spring 2007 extension from Monastiraki westwards to Egaleo connected some of the main night life hubs of the city, namely those of Gazi (Kerameikos station) with Psirri (Monastiraki station) and the city centre (Syntagma station)....', '*...Alongside national academic institutions, such as the Athens University and the Archaeological Society, it is home to multiple archaeological museums, taking in the National Archaeological Museum, the Cycladic Museum, the Epigraphic Museum, the Byzantine & Christian Museum, as well as museums at the ancient Agora, Acropolis, Kerameikos, and the Kerameikos Archaeological Museum....', '*...The Kerameikos Archaeological Museum, a museum which displays artifacts from the burial site of Kerameikos. Much of the pottery and other artifacts relate to Athenian attitudes towards death and the afterlife, throughout many ages....']","Archaeological site of Kerameikos, Σαλαμίνος, Κεραμεικός, Lower Petralona Region, Upper Petralona, 3rd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 53, Greece","{""coordinates"": [23.718221, 37.978634], ""type"": ""Point""}","Archaeological site of Kerameikos, Σαλαμίνος, Κεραμεικός, Lower Petralona Region, Upper Petralona, 3rd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 53, Greece",tourism,attraction
11,Acropolis,Acropolis,"['...Athens is home to two UNESCO World Heritage Sites, the Acropolis of Athens and the medieval Daphni Monastery....', ""...Athens is also home to several museums and cultural institutions, such as the National Archeological Museum, featuring the world's largest collection of ancient Greek antiquities, the Acropolis Museum, the Museum of Cycladic Art, the Benaki Museum, and the Byzantine and Christian Museum...."", '...By 1400\xa0BCE, the settlement had become an important centre of the Mycenaean civilization, and the Acropolis was the site of a major Mycenaean fortress, whose remains can be recognised from sections of the characteristic Cyclopean walls....', '*...The leading position of Athens may well have resulted from its central location in the Greek world, its secure stronghold on the Acropolis and its access to the sea, which gave it a natural advantage over inland rivals such as Thebes and Sparta.[citation needed]...', '...Guided by Pericles, who promoted the arts and fostered democracy, Athens embarked on an ambitious building program that saw the construction of the Acropolis of Athens (including the Parthenon), as well as empire-building via the Delian League....', '*...At the time, after the extensive destruction it had suffered during the war of independence, it was reduced to a town of about 4,000 people (less than half its earlier population) in a loose swarm of houses along the foot of the Acropolis....', '*...The first modern city plan consisted of a triangle defined by the Acropolis, the ancient cemetery of Kerameikos and the new palace of the Bavarian king (now housing the Greek Parliament), so as to highlight the continuity between modern and ancient Athens....', '...Heavy snow fell in the Greater Athens area and Athens itself between 14–17 February 2021, when snow blanketed the entire city and its suburbs from the north to the furthest south, coastal suburbs, with depth ranges up to 25 centimetres (9.8\xa0in) in Central Athens., and with even the Acropolis of Athens completely covered with snow....', '...The Municipality of Athens, the City Centre of the Athens Urban Area, is divided into several districts: Omonoia, Syntagma, Exarcheia, Agios Nikolaos, Neapolis, Lykavittos, Lofos Strefi, Lofos Finopoulou, Lofos Filopappou, Pedion Areos, Metaxourgeio, Aghios Kostantinos, Larissa Station, Kerameikos, Psiri, Monastiraki, Gazi, Thission, Kapnikarea, Aghia Irini, Aerides, Anafiotika, Plaka, Acropolis, Pnyka, Makrygianni, Lofos Ardittou, Zappeion, Aghios Spyridon, Pangrati, Kolonaki, Dexameni, Evaggelismos, Gouva, Aghios Ioannis, Neos Kosmos, Koukaki, Kynosargous, Fix, Ano Petralona, Kato Petralona, Rouf, Votanikos, Profitis Daniil, Akadimia Platonos, Kolonos, Kolokynthou, Attikis Square, Lofos Skouze, Sepolia, Kypseli, Aghios Meletios, Nea Kypseli, Gyzi, Polygono, Ampelokipoi, Panormou-Gerokomeio, Pentagono, Ellinorosson, Nea Filothei, Ano Kypseli, Tourkovounia-Lofos Patatsou, Lofos Elikonos, Koliatsou, Thymarakia, Kato Patisia, Treis Gefyres, Aghios Eleftherios, Ano Patisia, Kypriadou, Menidi, Prompona, Aghios Panteleimonas, Pangrati, Goudi, Vyronas and Ilisia....', '*...Plaka, Monastiraki, and Thission – Plaka (Greek: Πλάκα), lying just beneath the Acropolis, is famous for its plentiful neoclassical architecture, making up one of the most scenic districts of the city. It remains a prime tourist destination with tavernas, live performances and street salesmen. Nearby Monastiraki (Greek: Μοναστηράκι), for its part, is known for its string of small shops and markets, as well as its crowded flea market and tavernas specialising in souvlaki. Another district known for its student-crammed, stylish cafés is Theseum or Thission (Greek: Θησείο), lying just west of Monastiraki. Thission is home to the ancient Temple of Hephaestus, standing atop a small hill. This area also has a picturesque 11th-century Byzantine church, as well as a 15th-century Ottoman mosque....', '...The route starts from the Temple of Olympian Zeus at Vasilissis Olgas Avenue, continues under the southern slopes of the Acropolis near Plaka, and finishes just beyond the Temple of Hephaestus in Thiseio....', '...The ancient site of the main city is centred on the rocky hill of the acropolis....', '*...Alongside national academic institutions, such as the Athens University and the Archaeological Society, it is home to multiple archaeological museums, taking in the National Archaeological Museum, the Cycladic Museum, the Epigraphic Museum, the Byzantine & Christian Museum, as well as museums at the ancient Agora, Acropolis, Kerameikos, and the Kerameikos Archaeological Museum....', '*...A visitor will quickly notice the absence of tall buildings: Athens has very strict height restriction laws in order to ensure the Acropolis hill is visible throughout the city....', '*...The New Acropolis Museum, opened in 2009, and replacing the old museum on the Acropolis. The new museum has proved considerably popular; almost one million people visited during the summer period June–October 2009 alone. A number of smaller and privately owned museums focused on Greek culture and arts are also to be found....']","Acropolis, Αρχαίος Περίπατος, Αστεροσκοπείο, Anafiotika, Upper Petralona, 3rd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 55, Greece","{""coordinates"": [23.72632, 37.971689], ""type"": ""Point""}","Acropolis, Αρχαίος Περίπατος, Αστεροσκοπείο, Anafiotika, Upper Petralona, 3rd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 55, Greece",tourism,attraction
12,Temple of Olympian,Temple of Olympian,"['...In the second century AD, The Roman emperor Hadrian, himself an Athenian citizen, ordered the construction of a library, a gymnasium, an aqueduct which is still in use, several temples and sanctuaries, a bridge and financed the completion of the Temple of Olympian Zeus....', '...The route starts from the Temple of Olympian Zeus at Vasilissis Olgas Avenue, continues under the southern slopes of the Acropolis near Plaka, and finishes just beyond the Temple of Hephaestus in Thiseio....']","Temple of Olympian Zeus, Ανδρέα Συγγρού, Κυνοσάργους, 2nd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 58, Greece","{""coordinates"": [23.733095, 37.969437], ""type"": ""Point""}","Temple of Olympian Zeus, Ανδρέα Συγγρού, Κυνοσάργους, 2nd District of Athens, Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 58, Greece",tourism,attraction
14,Athens Metro,Athens Metro,"[""...A series of anti-pollution measures taken by the city's authorities in the 1990s, combined with a substantial improvement of the city's infrastructure (including the Attiki Odos motorway, the expansion of the Athens Metro, and the new Athens International Airport), considerably alleviated pollution and transformed Athens into a much more functional city...."", '...The port of Piraeus, where big investments by COSCO have already been delivered during the recent decade, the completion of the new Cargo Centre in Thriasion, the expansion of the Athens Metro and the Athens Tram, as well as the Hellenikon metropolitan park redevelopment in Elliniko and other urban projects, are the economic landmarks of the upcoming years....', '...The Athens Metro is operated by STASY S.A (Greek: ΣΤΑΣΥ) (Statheres Sygkoinonies S.A), a subsidiary company of OASA (Athens urban transport organisation), which provides public transport throughout the Athens Urban Area....', '...The Athens Metro runs three metro lines, namely Line 1 (Green Line), Line 2 (Red Line) and Line 3 (Blue Line) lines, of which the first was constructed in 1869, and the other two largely during the 1990s, with the initial new sections opened in January 2000....', '...Line 1 (Green Line) serves 24 stations, and is the oldest line of the Athens metro network....', '*...The Greek Government, aided by the EU, has funded major infrastructure projects such as the state-of-the-art Eleftherios Venizelos International Airport, the expansion of the Athens Metro system, and the new Attiki Odos Motorway....']","Athens Metro Mall, Αϊδινίου, Άγιος Δημήτριος, Municipality of Agios Dimitrios, Regional Unit of South Athens, Attica, 173 43, Greece","{""coordinates"": [23.740015, 37.93946], ""type"": ""Point""}","Athens Metro Mall, Αϊδινίου, Άγιος Δημήτριος, Municipality of Agios Dimitrios, Regional Unit of South Athens, Attica, 173 43, Greece",shop,mall
