,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Llobregat,Llobregat,"['*...It is one of the largest metropolises on the Mediterranean Sea, located on the coast between the mouths of the rivers Llobregat and Besòs, and bounded to the west by the Serra de Collserola mountain range....', '...Barcelona is located on the northeast coast of the Iberian Peninsula, facing the Mediterranean Sea, on a plain approximately 5\xa0km (3\xa0mi) wide limited by the mountain range of Collserola, the Llobregat river to the southwest and the Besòs river to the north....', ""...The city borders on the municipalities of Santa Coloma de Gramenet and Sant Adrià de Besòs to the north; the Mediterranean Sea to the east; El Prat de Llobregat and L'Hospitalet de Llobregat to the south; and Sant Feliu de Llobregat, Sant Just Desvern, Esplugues de Llobregat, Sant Cugat del Vallès, and Montcada i Reixac to the west...."", '...The port is undergoing an enlargement that will double its size thanks to diverting the mouth of the Llobregat river 2 kilometres (1 mile) to the south....']","Llobregat, Carrer del Llobregat, Can Ros, Sant Vicenç dels Horts, Baix Llobregat, Barcelona, Catalonia, 08620, Spain","{""coordinates"": [2.006485, 41.399937], ""type"": ""Point""}","Llobregat, Carrer del Llobregat, Can Ros, Sant Vicenç dels Horts, Baix Llobregat, Barcelona, Catalonia, 08620, Spain",highway,bus_stop
2,Besòs,Besòs,"['*...It is one of the largest metropolises on the Mediterranean Sea, located on the coast between the mouths of the rivers Llobregat and Besòs, and bounded to the west by the Serra de Collserola mountain range....', '...Barcelona is located on the northeast coast of the Iberian Peninsula, facing the Mediterranean Sea, on a plain approximately 5\xa0km (3\xa0mi) wide limited by the mountain range of Collserola, the Llobregat river to the southwest and the Besòs river to the north....', ""...The city borders on the municipalities of Santa Coloma de Gramenet and Sant Adrià de Besòs to the north; the Mediterranean Sea to the east; El Prat de Llobregat and L'Hospitalet de Llobregat to the south; and Sant Feliu de Llobregat, Sant Just Desvern, Esplugues de Llobregat, Sant Cugat del Vallès, and Montcada i Reixac to the west....""]","Besòs, Gran Via de les Corts Catalanes, el Besòs i el Maresme, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.209713, 41.420369], ""type"": ""Point""}","Besòs, Gran Via de les Corts Catalanes, el Besòs i el Maresme, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",railway,station
3,Serra de Collserola,Serra de Collserola,"['*...It is one of the largest metropolises on the Mediterranean Sea, located on the coast between the mouths of the rivers Llobregat and Besòs, and bounded to the west by the Serra de Collserola mountain range....']","Parc de Collserola, Sant Cugat del Vallès, Vallès Occidental, Barcelona, Catalonia, 08196, Spain","{""coordinates"": [2.116408, 41.434798], ""type"": ""Point""}","Parc de Collserola, Sant Cugat del Vallès, Vallès Occidental, Barcelona, Catalonia, 08196, Spain",leisure,nature_reserve
4,Europe,Europe,"['*...Barcelona is a major cultural, economic, and financial centre in southwestern Europe, as well as the main biotech hub in Spain....', ""*...Barcelona is a transport hub, with the Port of Barcelona being one of Europe's principal seaports and busiest European passenger port, an international airport, Barcelona–El Prat Airport, which handles over 50 million passengers per year, an extensive motorway network, and a high-speed rail line with a link to France and the rest of Europe...."", '*...The Bank of Barcelona or Taula de canvi, often viewed as the oldest public bank in Europe, was established by the city magistrates in 1401....', '*...Barcelona is one of the most densely populated cities in Europe....', '*...The most important region of origin of migrants is Europe, with many coming from Italy (26,676) or France (13,506)....', '*...The Barcelona metropolitan area comprises over 66% of the people of Catalonia, one of the richer regions in Europe and the fourth richest region per capita in Spain, with a GDP per capita amounting to €28,400 (16% more than the EU average)....', ""*...Furthermore, Barcelona was Europe's fourth best business city and fastest improving European city, with growth improved by 17% per year as of 2009[update]...."", '*...It also has several congress halls, notably Fira de Barcelona – the second largest trade fair and exhibition centre in Europe, that host a quickly growing number of national and international events each year (at present above 50)....', '*...Barcelona was the 20th-most-visited city in the world by international visitors and the fifth most visited city in Europe after London, Paris, Istanbul and Rome, with 5.5\xa0million international visitors in 2011....', ""*...Barcelona's oldest and main online newspaper VilaWeb is also the oldest one in Europe (with Catalan and English editions)...."", ""*...Barcelona has three UEFA elite stadiums: FC Barcelona's Camp Nou, the largest stadium in Europe with a capacity of 99,354; the publicly owned Estadi Olímpic Lluís Companys, with a capacity of 55,926; used for the 1992 Olympics; and Estadi Cornellà-El Prat, with a capacity of 40,500...."", ""*...It is Europe's ninth largest container port, with a trade volume of 1.72\xa0million TEU's in 2013...."", ""*...The Port Vell area also houses the Maremagnum (a commercial mall), a multiplex Cinema, the IMAX Port Vell and one of Europe's largest aquariums – Aquarium Barcelona, containing 8,000 fish and 11 sharks contained in 22 basins filled with 4 million litres of sea water...."", '*...Catalan modernista architecture (related to the movement known as Art Nouveau in the rest of Europe) developed between 1885 and 1950 and left an important legacy in Barcelona....', ""*...PortAventura World, one of the largest resort in Europe, with 5,837,509 visitors per year, is located one hour's drive from Barcelona....""]","Ducasse Industrial Europe, 200, 4º 1ª, Carrer de Balmes, Galvany, Sant Gervasi - Galvany, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.15262, 41.397252], ""type"": ""Point""}","Ducasse Industrial Europe, 200, 4º 1ª, Carrer de Balmes, Galvany, Sant Gervasi - Galvany, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",office,company
6,Barcelona–El Prat Airport,Barcelona–El Prat Airport,"[""*...Barcelona is a transport hub, with the Port of Barcelona being one of Europe's principal seaports and busiest European passenger port, an international airport, Barcelona–El Prat Airport, which handles over 50 million passengers per year, an extensive motorway network, and a high-speed rail line with a link to France and the rest of Europe....""]","Barcelona El Prat Josep Tarradellas Airport, Carretera de la Platja, el Prat de Llobregat, Baix Llobregat, Barcelona, Catalonia, 08820, Spain","{""coordinates"": [2.079047, 41.296944], ""type"": ""Point""}","Barcelona El Prat Josep Tarradellas Airport, Carretera de la Platja, el Prat de Llobregat, Baix Llobregat, Barcelona, Catalonia, 08820, Spain",aeroway,aerodrome
7,Barcelona-El Prat Airport,Barcelona-El Prat Airport,"[""...Another common abbreviation is 'BCN', which is also the IATA airport code of the Barcelona-El Prat Airport...."", '*...Barcelona is served by Barcelona-El Prat Airport, about 17\xa0km (11\xa0mi) south-west of the centre of Barcelona....']","Barcelona El Prat Josep Tarradellas Airport, Carretera de la Platja, el Prat de Llobregat, Baix Llobregat, Barcelona, Catalonia, 08820, Spain","{""coordinates"": [2.079047, 41.296944], ""type"": ""Point""}","Barcelona El Prat Josep Tarradellas Airport, Carretera de la Platja, el Prat de Llobregat, Baix Llobregat, Barcelona, Catalonia, 08820, Spain",aeroway,aerodrome
10,Plaça de Sant Jaume,Plaça de Sant Jaume,"['*...The Roman Forum, at the crossing of the Cardo Maximus and Decumanus Maximus, was approximately placed where current Plaça de Sant Jaume is....', '...The seat of the city council is on the Plaça de Sant Jaume, opposite the seat of Generalitat de Catalunya....']","Sant Jaume Square, Gothic Quarter, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.176991, 41.38265], ""type"": ""Point""}","Sant Jaume Square, Gothic Quarter, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",highway,pedestrian
11,Plaça del Rei,Plaça del Rei,"['*...Important Roman vestiges are displayed in Plaça del Rei underground, as a part of the Barcelona City History Museum (MUHBA); the typically Roman grid plan is still visible today in the layout of the historical centre, the Barri Gòtic (Gothic Quarter)....']","Plaça del Rei, Gothic Quarter, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.177395, 41.384156], ""type"": ""Point""}","Plaça del Rei, Gothic Quarter, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",highway,pedestrian
14,La Seu,La Seu,"['*...The cathedral, Catedral Basílica Metropolitana de Barcelona, is also sometimes called La Seu, which simply means cathedral (and see, among other things) in Catalan....']","La Seu, 8, Carrer de l'Illa de Cuba, Sitges, Garraf, Barcelona, Catalonia, 08870, Spain","{""coordinates"": [1.810107, 41.237351], ""type"": ""Point""}","La Seu, 8, Carrer de l'Illa de Cuba, Sitges, Garraf, Barcelona, Catalonia, 08870, Spain",amenity,restaurant
15,Americas,Americas,['*...Madrid became the centre of political power whilst the colonisation of the Americas reduced the financial importance (at least in relative terms) of Mediterranean trade....'],"Las Americas, Galvany, Sant Gervasi - Galvany, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","{""coordinates"": [2.145854, 41.395889], ""type"": ""Point""}","Las Americas, Galvany, Sant Gervasi - Galvany, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",amenity,parking
