,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Northern Italy,Northern Italy,"['*...Bologna (, , Italian:\xa0 ; Emilian: Bulåggna ; Latin: Bononia) is a city in and the capital of the Emilia-Romagna region in Northern Italy, of which it is also its largest....', '...Subsequently, the town began to expand rapidly and became one of the main commercial trade centres of northern Italy thanks to a system of canals that allowed barges and ships to come and go....']","Northern Italy Pipeline System, Via Ca' Rosa, Pescarola, Navile, Bologna, Emilia-Romagna, 40129, Italy","{""coordinates"": [11.338772, 44.536738], ""type"": ""Point""}","Northern Italy Pipeline System, Via Ca' Rosa, Pescarola, Navile, Bologna, Emilia-Romagna, 40129, Italy",man_made,pipeline
1,Europe,Europe,"['*...Bologna is an important agricultural, industrial, financial and transport hub, where many large mechanical, electronic and food companies have their headquarters as well as one of the largest permanent trade fairs in Europe....', '*...The university was losing students, who once came from all over Europe, because of the illiberal attitudes of the Church towards culture (especially after the trial of Galileo)....', ""*...Until the late 19th century, when a large-scale urban renewal project was undertaken, Bologna was one of the few remaining large walled cities in Europe; to this day and despite having suffered considerable bombing damage in 1944, Bologna's 142 hectares (350 acres) historic centre is Europe's second largest, containing an immense wealth of important medieval, renaissance, and baroque artistic monuments...."", '*...The University of Bologna, conventionally said to have been founded in 1088 by glossators Irnerius and Pepo, is the oldest university in continuous operation, and the first university in the sense of a higher-learning and degree-awarding institute, as the word universitas was coined at its foundation, as well as one of the leading academic institutions in Italy and Europe....', '*...It was an important centre of European intellectual life during the Middle Ages, attracting scholars from Italy and throughout Europe....', '*...Laura Bassi, appointed in 1732, became the first woman to officially teach at a university in Europe....', ""*...The university's botanical garden, the Orto Botanico dell'Università di Bologna, was established in 1568; it is the fourth oldest in Europe...."", '*...SAIS Bologna was founded in 1955 as the first campus of a US post-graduate school to open in Europe....', '*...It was inspired by Marshall Plan efforts to build a cultural bridge between America and Europe....', '*...Laura Bassi (scientist, first female appointed to university chair in Europe, 1711–1788) ;...']","Heli Protection Europe Srl, 4B, Viale della Mercanzia, Funo di Argelato, Argelato, Unione Reno Galliera, Bologna, Emilia-Romagna, 40013, Italy","{""coordinates"": [11.376518, 44.587633], ""type"": ""Point""}","Heli Protection Europe Srl, 4B, Viale della Mercanzia, Funo di Argelato, Argelato, Unione Reno Galliera, Bologna, Emilia-Romagna, 40013, Italy",office,company
2,Palazzo Re Enzo,Palazzo Re Enzo,"['*...Though the emperor demanded his release, Enzo was thenceforth kept a knightly prisoner in Bologna, in a palace that came to be named Palazzo Re Enzo after him....', '*...Enzio of Sardinia (born c.\u20091218, King of Sardinia and illegitimate son of Emperor Frederick II, was imprisoned in Palazzo Re Enzo from 1249 until his death in 1272) ;...']","Palazzo Re Enzo, Voltone del Podestà, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italy","{""coordinates"": [11.343292, 44.494361], ""type"": ""Point""}","Palazzo Re Enzo, Voltone del Podestà, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italy",tourism,attraction
3,Piazza del Nettuno,Piazza del Nettuno,"['...In 1564, the Piazza del Nettuno and the Palazzo dei Banchi were built, along with the Archiginnasio, the main building of the university....']","Piazza del Nettuno, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, Italy","{""coordinates"": [11.342669, 44.494527], ""type"": ""Point""}","Piazza del Nettuno, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, Italy",highway,pedestrian
5,Archiginnasio,Archiginnasio,"['*...In 1564, the Piazza del Nettuno and the Palazzo dei Banchi were built, along with the Archiginnasio, the main building of the university....']","Via dell'Archiginnasio, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italy","{""coordinates"": [11.343484, 44.492665], ""type"": ""Point""}","Via dell'Archiginnasio, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italy",highway,pedestrian
6,Atlantic,Atlantic,['*...The economy of Bologna started to show signs of severe decline as the global centres of trade shifted towards the Atlantic....'],"Atlantic, 64, Via Aldo Moro, Casalecchio di Reno, Unione dei comuni Valli del Reno, Lavino e Samoggia, Bologna, Emilia-Romagna, 40033, Italy","{""coordinates"": [11.270765, 44.483592], ""type"": ""Point""}","Atlantic, 64, Via Aldo Moro, Casalecchio di Reno, Unione dei comuni Valli del Reno, Lavino e Samoggia, Bologna, Emilia-Romagna, 40033, Italy",amenity,bar
10,Reno,Reno,"['*...Bologna is situated on the edge of the Po Plain at the foot of the Apennine Mountains, at the meeting of the Reno and Savena river valleys....']","Via Riva di Reno, Manifattura delle Arti, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italy","{""coordinates"": [11.3316, 44.498245], ""type"": ""Point""}","Via Riva di Reno, Manifattura delle Arti, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italy",highway,tertiary
11,Savena,Savena,"['*...Bologna is situated on the edge of the Po Plain at the foot of the Apennine Mountains, at the meeting of the Reno and Savena river valleys....']","Savena, Via Primo Maggio, Rivabella, Altedo, Malalbergo, Unione Terre di Pianura, Bologna, Emilia-Romagna, 40116, Italy","{""coordinates"": [11.503609, 44.667234], ""type"": ""Point""}","Savena, Via Primo Maggio, Rivabella, Altedo, Malalbergo, Unione Terre di Pianura, Bologna, Emilia-Romagna, 40116, Italy",building,yes
15,Corno alle Scale,Corno alle Scale,"['*...The Province of Bologna stretches from the Po Plain into the Apennines; the highest point in the province is the peak of Corno alle Scale (in Lizzano in Belvedere) at 1,945 metres (6,381\xa0ft) above sea level....']","Corno alle Scale, Balzi dell'Ora, Lizzano in Belvedere, Unione dell'Alto Reno, Bologna, Emilia-Romagna, 51020, Italy","{""coordinates"": [10.830402, 44.119827], ""type"": ""Point""}","Corno alle Scale, Balzi dell'Ora, Lizzano in Belvedere, Unione dell'Alto Reno, Bologna, Emilia-Romagna, 51020, Italy",tourism,information
18,Metro,Metro,"['*...The new Metro municipalities, giving large urban areas the administrative powers of a province, are conceived for improving the performance of local administrations and to slash local spending by better co-ordinating the municipalities in providing basic services (including transport, school and social programs) and environment protection....', '*...In this policy framework, the Mayor of Bologna is designated to exercise the functions of Metropolitan mayor (Sindaco metropolitano), presiding over a Metropolitan Council formed by 18 mayors of municipalities within the Metro municipality....']","METRO, Via Saliceto, Primo Maggio, Castel Maggiore, Unione Reno Galliera, Bologna, Emilia-Romagna, 40013, Italy","{""coordinates"": [11.373125, 44.55324], ""type"": ""Point""}","METRO, Via Saliceto, Primo Maggio, Castel Maggiore, Unione Reno Galliera, Bologna, Emilia-Romagna, 40013, Italy",shop,wholesale
19,Via Emilia,Via Emilia,"['...Bologna developed along the Via Emilia as an Etruscan and later Roman colony; the Via Emilia still runs straight through the city under the changing names of Strada Maggiore, Rizzoli, Ugo Bassi, and San Felice....']","Via Emilia, Osteria Grande, Castel San Pietro Terme, Nuovo Circondario Imolese, Bologna, Emilia-Romagna, 40024, Italy","{""coordinates"": [11.509568, 44.43242], ""type"": ""Point""}","Via Emilia, Osteria Grande, Castel San Pietro Terme, Nuovo Circondario Imolese, Bologna, Emilia-Romagna, 40024, Italy",highway,primary
