,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Europe,Europe,"['...It is described as the cultural, financial, entertainment, and media center in the country with a significant influence in Eastern and Southeastern Europe as well....', '...It is also one of the most populated cities of the European Union (EU) within city limits and the most populated capital in Southeastern Europe....', '*...It is one of the fastest-growing high-tech cities in Europe, according to the Financial Times, CBRE, TechCrunch, and others....', '...Bucharest hosts the largest high tech summit in South-Eastern Europe,  Romania Blockchain Summit....', ""*...By 2050, certain economic studies reveal the fact that Bucharest will emerge as Europe's richest city in terms of GDP per capita, followed by Luxembourg City and Groningen...."", '*...Furthermore, a new report by Grosvenor, revealed that Bucharest will already be the 3rd richest city in Europe by 2040....', '*...One of its best known locations are Hard Rock Cafe Bucharest and Berăria H (one of the largest beer halls in Europe)....', ""*...Bucharest's public transport system is the largest in Romania and one of the largest in Europe...."", '*...The overpass took five years to build and is the longest cable-stayed bridge in Romania and the widest such bridge in Europe; upon completion, traffic on the Grant Bridge and in the Gara de Nord area became noticeably more fluid....', '...In 2005, Bucharest was the first city in Southeastern Europe to host the international CowParade, which resulted in dozens of decorated cow sculptures being placed across the city....', '*...In 2004, Bucharest imposed in the circle of important festivals in Eastern Europe with the Bucharest International Film Festival, an event widely acknowledged in Europe, having as guests of honour famous names from the world Cinema: Andrei Konchalovsky, Danis Tanović, Nikita Mikhalkov, Rutger Hauer, Jerzy Skolimowski, Jan Harlan, Radu Mihăileanu, and many others....', '...Arena Națională, a new stadium inaugurated on 6 September 2011, hosted the 2012 Europa League Final and has a 55,600-seat capacity, making it one of the largest stadiums in Southeastern Europe and one of the few with a roof....', '*...Since 2009, Bucharest has the largest Ferrari Shop in Eastern Europe and the 2nd largest in Europe after Milan shop....', '...Octavian Morariu (b. 1961), President of Rugby Europe ;...']","Credit Europe Bank, 25, Bulevardul Nicolae Bălcescu, Sector 1, Bucharest, 010045, Romania","{""coordinates"": [26.09996, 44.439431], ""type"": ""Point""}","Credit Europe Bank, 25, Bulevardul Nicolae Bălcescu, Sector 1, Bucharest, 010045, Romania",amenity,bank
5,Curtea Veche,Curtea Veche,"['*...The Old Princely Court (Curtea Veche) was erected by Mircea Ciobanul in the mid-16th century....', ""*...This precinct contains notable buildings such as Manuc's Inn (Hanul lui Manuc) and the ruins of the Old Court (Curtea Veche); during the late Middle Ages, this area was the heart of commerce in Bucharest....""]","Biserica Ortodoxă „Sfântul Anton - Curtea Veche”, 33, Strada Franceză, Centrul Istoric, Sector 3, Bucharest, 030103, Romania","{""coordinates"": [26.102062, 44.430101], ""type"": ""Point""}","Biserica Ortodoxă „Sfântul Anton - Curtea Veche”, 33, Strada Franceză, Centrul Istoric, Sector 3, Bucharest, 030103, Romania",amenity,place_of_worship
8,Calea Victoriei,Calea Victoriei,"[""...The extravagant architecture and cosmopolitan high culture of this period won Bucharest the nickname of 'Paris of the East' (Parisul Estului), with the Calea Victoriei as its Champs-Élysées...."", ""*...Palatul Telefoanelor ('The Telephone Palace') was the first major modernist building on Calea Victoriei in the city's centre, and the massive, unfinished communist-era Casa Radio looms over a park a block away from the Opera....""]","Calea Victoriei, Sector 1, Bucharest, 010082, Romania","{""coordinates"": [26.097886, 44.43637], ""type"": ""Point""}","Calea Victoriei, Sector 1, Bucharest, 010082, Romania",highway,secondary
10,Arcul de Triumf,Arcul de Triumf,"[""*...Also, some of the city's main landmarks were built in this period, including Arcul de Triumf and Palatul Telefoanelor...."", '*...Another landmark in Bucharest is Arcul de Triumf (The Triumphal Arch), built in its current form in 1935 and modelled after the Arc de Triomphe in Paris....', '...Rugby games are held in different locations, but the most modern stadium is Arcul de Triumf Stadium, which is also home to the Romanian national rugby team....']","Arcul de Triumf, Bulevardul Mareșal Constantin Prezan, Sector 1, Bucharest, 011448, Romania","{""coordinates"": [26.079279, 44.466919], ""type"": ""Point""}","Arcul de Triumf, Bulevardul Mareșal Constantin Prezan, Sector 1, Bucharest, 011448, Romania",highway,bus_stop
11,Palatul Telefoanelor,Palatul Telefoanelor,"[""*...Also, some of the city's main landmarks were built in this period, including Arcul de Triumf and Palatul Telefoanelor...."", ""*...Palatul Telefoanelor ('The Telephone Palace') was the first major modernist building on Calea Victoriei in the city's centre, and the massive, unfinished communist-era Casa Radio looms over a park a block away from the Opera....""]","Palatul Telefoanelor, Calea Victoriei, Sector 1, Bucharest, 010082, Romania","{""coordinates"": [26.097463, 44.436304], ""type"": ""Point""}","Palatul Telefoanelor, Calea Victoriei, Sector 1, Bucharest, 010082, Romania",building,commercial
15,Palace of the Parliament,Palace of the Parliament,"[""...During Nicolae Ceaușescu's leadership (1965–89), a part of the historic part of the city was demolished and replaced by 'Socialist realism' style development: (1) the Centrul Civic (the Civic Centre) and (2) the Palace of the Parliament, for which an entire historic quarter was razed to make way for Ceaușescu's megalomaniac plans...."", '...Perhaps the most prominent of these is the Palace of the Parliament, built in the 1980s during the rule of Communist dictator Nicolae Ceaușescu....', '...The National Museum of Contemporary Art (MNAC), situated in a wing of the Palace of the Parliament, was opened in 2004 and contains Romanian and international contemporary art....', ""...A major part of Bucharest's architecture is made up of buildings constructed during the Communist era replacing the historical architecture with high-density apartment blocks – significant portions of the historic centre of Bucharest were demolished to construct one of the largest buildings in the world, the Palace of the Parliament (then officially called the House of the Republic)...."", '...Bucharest hosted annual races along a temporary urban track surrounding the Palace of the Parliament, called Bucharest Ring....']","Palace of the Parliament, 2-4, Strada Izvor, Centrul Civic, Sector 5, Bucharest, 050563, Romania","{""coordinates"": [26.087248, 44.42751], ""type"": ""Point""}","Palace of the Parliament, 2-4, Strada Izvor, Centrul Civic, Sector 5, Bucharest, 050563, Romania",tourism,attraction
16,Colectiv,Colectiv,"['*...In 2015, 64 people were killed in the Colectiv nightclub fire....']","Colectiv, Splaiul Unirii, Centrul Civic, Sector 4, Bucharest, 040039, Romania","{""coordinates"": [26.110662, 44.419694], ""type"": ""Point""}","Colectiv, Splaiul Unirii, Centrul Civic, Sector 4, Bucharest, 040039, Romania",highway,bus_stop
27,Tineretului Park,Tineretului Park,"['*...Bucharest parks and gardens also include Herăstrău Park, Tineretului Park and the Botanical Garden....', '*...Tineretului Park was created in 1965 and designed as the main recreational space for southern Bucharest....']","Skate Park Tineretului, Strada Nicopole, Sector 4, Bucharest, 040585, Romania","{""coordinates"": [26.102891, 44.407659], ""type"": ""Point""}","Skate Park Tineretului, Strada Nicopole, Sector 4, Bucharest, 040585, Romania",leisure,pitch
28,Botanical Garden,Botanical Garden,"['...Bucharest parks and gardens also include Herăstrău Park, Tineretului Park and the Botanical Garden....', '...The Botanical Garden, located in the Cotroceni neighbourhood a bit west of the city centre, is the largest of its kind in Romania and contains over 10,000 species of plants (many of them exotic); it originated as the pleasure park of the royal family....']","""Dimitrie Brandza"" Botanic Garden, Șoseaua Cotroceni, Cotroceni, Sector 6, Bucharest, 060115, Romania","{""coordinates"": [26.066362, 44.4369], ""type"": ""Point""}","""Dimitrie Brandza"" Botanic Garden, Șoseaua Cotroceni, Cotroceni, Sector 6, Bucharest, 060115, Romania",tourism,museum
33,Carol Park,Carol Park,"['*...Alexandru Ioan Cuza Park, Kiseleff Park, Carol Park, Izvor Park, Grădina Icoanei, Circului Park and Moghioroș Park are a few of them....']","ATM Euronet Carol Park Residence, Bulevardul Mărășești, Sector 4, Bucharest, 040251, Romania","{""coordinates"": [26.096392, 44.418571], ""type"": ""Point""}","ATM Euronet Carol Park Residence, Bulevardul Mărășești, Sector 4, Bucharest, 040251, Romania",amenity,atm
40,Eroilor Park,Eroilor Park,"['*...Other large parks in Bucharest are: National Park, Tei Park, Eroilor Park and Crângași Park with Morii Lake....']","Carol Park Mausoleum, Strada General Candiano Popescu, Sector 4, Bucharest, 040585, Romania","{""coordinates"": [26.096873, 44.411248], ""type"": ""Point""}","Carol Park Mausoleum, Strada General Candiano Popescu, Sector 4, Bucharest, 040585, Romania",tourism,attraction
50,University Square,University Square,"['*...The city has a roughly round shape, with the centre situated in the cross-way of the main north–south/east-west axes at University Square....', ""*...The milestone for Romania's Kilometre Zero is placed just south of University Square in front of the New St. George Church (Sfântul Gheorghe Nou) at St. George Square (Piața Sfântul Gheorghe)...."", ""*...Bucharest's radius, from University Square to the city limits in all directions, varies from  10 to 12\xa0km (6 to 7\xa0mi)...."", '*...InterContinental Bucharest is a high-rise five-star hotel near University Square and is also a landmark of the city....']","University Square, Cartierul Evreiesc, Sector 3, Bucharest, 030142, Romania","{""coordinates"": [26.102439, 44.435674], ""type"": ""Point""}","University Square, Cartierul Evreiesc, Sector 3, Bucharest, 030142, Romania",highway,primary
54,Piața Sfântul Gheorghe,Piața Sfântul Gheorghe,"[""*...The milestone for Romania's Kilometre Zero is placed just south of University Square in front of the New St. George Church (Sfântul Gheorghe Nou) at St. George Square (Piața Sfântul Gheorghe)....""]","Piața Sfântul Gheorghe, Bulevardul Ion Constantin Brătianu, Centrul Istoric, Sector 3, Bucharest, 040583, Romania","{""coordinates"": [26.1037, 44.432626], ""type"": ""Point""}","Piața Sfântul Gheorghe, Bulevardul Ion Constantin Brătianu, Centrul Istoric, Sector 3, Bucharest, 040583, Romania",highway,bus_stop
57,Gara de Nord,Gara de Nord,"[""*...The main railway station is Gara de Nord ('North Station'), which provides connections to all major cities in Romania, as well as international destinations: Belgrade, Sofia, Varna, Chișinău, Kyiv, Chernivtsi, Lviv, Thessaloniki, Vienna, Budapest, Istanbul, Moscow etc...."", '*...The overpass took five years to build and is the longest cable-stayed bridge in Romania and the widest such bridge in Europe; upon completion, traffic on the Grant Bridge and in the Gara de Nord area became noticeably more fluid....', ""...Many large-scale constructions such as the Gara de Nord, the busiest railway station in the city, National Bank of Romania's headquarters, and the Telephones Company Building date from these times....""]","Gara de Nord, Bulevardul Dinicu Golescu, Gara de Nord, Sector 1, Bucharest, 010863, Romania","{""coordinates"": [26.075601, 44.444759], ""type"": ""Point""}","Gara de Nord, Bulevardul Dinicu Golescu, Gara de Nord, Sector 1, Bucharest, 010863, Romania",highway,bus_stop
59,Basarab,Basarab,"['*...The city has five other railway stations run by CFR, of which the most important are Basarab (adjacent to North Station), Obor, Băneasa, and Progresul....', '...On 17 June 2011, the Basarab Overpass was inaugurated and opened to traffic, thus completing the inner city traffic ring....']","Basarab (M4), Șoseaua Nicolae Titulescu, Grivița, Sector 1, Bucharest, 011146, Romania","{""coordinates"": [26.069497, 44.450753], ""type"": ""Point""}","Basarab (M4), Șoseaua Nicolae Titulescu, Grivița, Sector 1, Bucharest, 011146, Romania",railway,subway_entrance
60,Obor,Obor,"['*...Sector 2 (population 357,338): Pantelimon, Colentina, Iancului, Tei, Floreasca, Moșilor, Obor, Vatra Luminoasă, Fundeni, Plumbuita, Ștefan cel Mare, Baicului ;...', '*...The city has five other railway stations run by CFR, of which the most important are Basarab (adjacent to North Station), Obor, Băneasa, and Progresul....']","Obor, Pasajul Obor, Obor, Sector 2, Bucharest, 021324, Romania","{""coordinates"": [26.125273, 44.448773], ""type"": ""Point""}","Obor, Pasajul Obor, Obor, Sector 2, Bucharest, 021324, Romania",railway,subway_entrance
61,Băneasa,Băneasa,"['*...Sector 1 (population 227,717): Dorobanți, Băneasa, Aviației, Pipera, Aviatorilor, Primăverii, Romană, Victoriei, Herăstrău Park, Bucureștii Noi, Dămăroaia, Străulești, Grivița, 1 Mai, Băneasa Forest, Pajura, Domenii, Chibrit ;...', '...Malls and large shopping centres have been built since the late 1990s, such as Băneasa Shopping City, AFI Palace Cotroceni, Mega Mall, București Mall, ParkLake Shopping Centre, Sun Plaza, Promenada Mall and longest Unirea Shopping Centre....', '*...The city has five other railway stations run by CFR, of which the most important are Basarab (adjacent to North Station), Obor, Băneasa, and Progresul....']","Sediul Partidului Social Democrat, Băneasa, Bulevardul Ion Ionescu de la Brad, Băneasa, Sector 1, Bucharest, 013813, Romania","{""coordinates"": [26.072076, 44.498192], ""type"": ""Point""}","Sediul Partidului Social Democrat, Băneasa, Bulevardul Ion Ionescu de la Brad, Băneasa, Sector 1, Bucharest, 013813, Romania",building,yes
62,Progresul,Progresul,"['*...Sector 4 (population 300,331): Berceni, Olteniței, Giurgiului, Progresul, Văcărești, Timpuri Noi, Tineretului ;...', '*...The city has five other railway stations run by CFR, of which the most important are Basarab (adjacent to North Station), Obor, Băneasa, and Progresul....']","Complex Agroalimentar Progresul, Șoseaua Giurgiului, Giurgiului, Sector 4, Bucharest, 040674, Romania","{""coordinates"": [26.094245, 44.392562], ""type"": ""Point""}","Complex Agroalimentar Progresul, Șoseaua Giurgiului, Giurgiului, Sector 4, Bucharest, 040674, Romania",shop,department_store
63,Filaret,Filaret,['*...The oldest station in Bucharest is Filaret....'],"Strada Mitropolit Filaret, Centrul Civic, Sector 4, Bucharest, 040183, Romania","{""coordinates"": [26.092459, 44.420369], ""type"": ""Point""}","Strada Mitropolit Filaret, Centrul Civic, Sector 4, Bucharest, 040183, Romania",highway,residential
65,Aurel Vlaicu International Airport,Aurel Vlaicu International Airport,"[""*...Aurel Vlaicu International Airport (IATA: BBU, ICAO: LRBS) is Bucharest's business and VIP airport. It is situated only 8\xa0km (5.0\xa0mi) north of the Bucharest city centre, within city limits....""]","Aurel Vlaicu International Airport, 40, Șoseaua București-Ploiești, Băneasa, Sector 1, Bucharest, 013695, Romania","{""coordinates"": [26.090228, 44.500292], ""type"": ""Point""}","Aurel Vlaicu International Airport, 40, Șoseaua București-Ploiești, Băneasa, Sector 1, Bucharest, 013695, Romania",aeroway,aerodrome
66,A1,A1,"['*...The A1 to Pitești, and from Sibiu to the Hungarian border, the A2 Sun Motorway to the Dobrogea region and Constanța, and the A3 to Ploiești all start from Bucharest....']","A1, Strada Ana Davila, Cotroceni, Sector 5, Bucharest, 050514, Romania","{""coordinates"": [26.068167, 44.433299], ""type"": ""Point""}","A1, Strada Ana Davila, Cotroceni, Sector 5, Bucharest, 050514, Romania",building,yes
68,A3,A3,"['*...The A1 to Pitești, and from Sibiu to the Hungarian border, the A2 Sun Motorway to the Dobrogea region and Constanța, and the A3 to Ploiești all start from Bucharest....']","Autostrada Bucuresti - Ploiesti, Sector 2, Bucharest, 023841, Romania","{""coordinates"": [26.134926, 44.478521], ""type"": ""Point""}","Autostrada Bucuresti - Ploiesti, Sector 2, Bucharest, 023841, Romania",highway,trunk
73,Black Sea,Black Sea,"['...The unfinished Danube-Bucharest Canal, which is 73\xa0km (45\xa0mi) long and around 70% completed, could link Bucharest to the Danube River, and via the Danube-Black Sea Canal, to the Black Sea....', ""*...Unlike other parts of Romania, such as the Black Sea coast or Transylvania, Bucharest's cultural scene has no defined style, and instead incorporates elements of Romanian and international culture....""]","Black Sea Suppliers, 367-379, Bulevardul Iuliu Maniu, Militari, Sector 6, Bucharest, 061129, Romania","{""coordinates"": [25.977359, 44.434317], ""type"": ""Point""}","Black Sea Suppliers, 367-379, Bulevardul Iuliu Maniu, Militari, Sector 6, Bucharest, 061129, Romania",building,commercial
74,Arc de Triomphe,Arc de Triomphe,"['...Another landmark in Bucharest is Arcul de Triumf (The Triumphal Arch), built in its current form in 1935 and modelled after the Arc de Triomphe in Paris....']","Arc De Triomphe, 19, Strada Clucerului, Aviatorilor, Sector 1, Bucharest, 011362, Romania","{""coordinates"": [26.077394, 44.460795], ""type"": ""Point""}","Arc De Triomphe, 19, Strada Clucerului, Aviatorilor, Sector 1, Bucharest, 011362, Romania",tourism,hotel
75,Memorial of Rebirth,Memorial of Rebirth,"['...A newer landmark of the city is the Memorial of Rebirth, a stylised marble pillar unveiled in 2005 to commemorate the victims of the Romanian Revolution of 1989, which overthrew Communism....']","Memorial of Rebirth, Calea Victoriei, Sector 1, Bucharest, 010092, Romania","{""coordinates"": [26.097448, 44.438888], ""type"": ""Point""}","Memorial of Rebirth, Calea Victoriei, Sector 1, Bucharest, 010092, Romania",historic,monument
77,Casa Scânteii,Casa Scânteii,"['...House of the Spark (Casa Scânteii) is a replica of the Lomonosov Moscow State University....', ""*...Popularly known as Casa Scânteii ('House of the Spark') after the name of the official gazette of the Central Committee of the Romanian Communist Party, Scânteia, it was made for the purpose of bringing together under one roof all of Bucharest's official press and publishing houses...."", '*...A number of newspapers and media publications are based in House of the Free Press (Casa Presei Libere), a landmark of northern Bucharest, originally named Casa Scânteii after the Communist Romania-era official newspaper Scînteia....']","Casa Presei Libere corp D, Piața Presei Libere, Herăstrău, Sector 1, Bucharest, 013701, Romania","{""coordinates"": [26.071243, 44.480913], ""type"": ""Point""}","Casa Presei Libere corp D, Piața Presei Libere, Herăstrău, Sector 1, Bucharest, 013701, Romania",building,office
79,Eastern Europe,Eastern Europe,"['...Bucharest hosts the largest high tech summit in South-Eastern Europe,  Romania Blockchain Summit....', '*...In 2004, Bucharest imposed in the circle of important festivals in Eastern Europe with the Bucharest International Film Festival, an event widely acknowledged in Europe, having as guests of honour famous names from the world Cinema: Andrei Konchalovsky, Danis Tanović, Nikita Mikhalkov, Rutger Hauer, Jerzy Skolimowski, Jan Harlan, Radu Mihăileanu, and many others....', '*...Since 2009, Bucharest has the largest Ferrari Shop in Eastern Europe and the 2nd largest in Europe after Milan shop....']","Netcentric Eastern Europe S.R.L, 165, Splaiul Unirii, Dudeşti, Sector 3, Bucharest, 030133, Romania","{""coordinates"": [26.114984, 44.416563], ""type"": ""Point""}","Netcentric Eastern Europe S.R.L, 165, Splaiul Unirii, Dudeşti, Sector 3, Bucharest, 030133, Romania",office,it
82,Lipscani,Lipscani,"['*...Sector 3 (population 399,231): Vitan, Dudești, Titan, Centrul Civic, Dristor, Lipscani, Muncii, Unirii ;...', '*...With no central nightlife strip, entertainment venues are dispersed throughout the city, with clusters in Lipscani and Regie....', '*...Some medieval and renaissance edifices remain, the most notable are in the Lipscani area....', '*...In 2005, the Lipscani area was restored....']","Strada Lipscani, Centrul Istoric, Sector 3, Bucharest, 030038, Romania","{""coordinates"": [26.105001, 44.432208], ""type"": ""Point""}","Strada Lipscani, Centrul Istoric, Sector 3, Bucharest, 030038, Romania",highway,residential
87,Crețulescu Palace,Crețulescu Palace,"[""...Two buildings from this time are the Crețulescu Palace, housing cultural institutions including UNESCO's European Centre for Higher Education, and the Cotroceni Palace, the residence of the Romanian President....""]","Kretzulescu Palace, 39, Strada Știrbei Vodă, Sector 1, Bucharest, 010102, Romania","{""coordinates"": [26.088721, 44.439536], ""type"": ""Point""}","Kretzulescu Palace, 39, Strada Știrbei Vodă, Sector 1, Bucharest, 010102, Romania",historic,castle
92,House of the Free Press,House of the Free Press,"['...Buildings constructed in this era followed the Soviet Stalinist trend of Socialist Realism, and include the House of the Free Press (which was named Casa Scînteii during communism)....', '*...A number of newspapers and media publications are based in House of the Free Press (Casa Presei Libere), a landmark of northern Bucharest, originally named Casa Scânteii after the Communist Romania-era official newspaper Scînteia....', '...The House of the Free Press is not the only Bucharest landmark that grew out of the media and communications industry....']","House of the Free Press, Piața Presei Libere, Herăstrău, Sector 1, Bucharest, 013701, Romania","{""coordinates"": [26.071284, 44.480827], ""type"": ""Point""}","House of the Free Press, Piața Presei Libere, Herăstrău, Sector 1, Bucharest, 013701, Romania",tourism,attraction
96,Plaza Romania,Plaza Romania,"['*...Modern shopping malls such as the Unirea Shopping Centre, Bucharest Mall, Plaza Romania, and City Mall emerged on pre-existent structures of former hunger circuses....']","Plaza România, 26, Bulevardul Timișoara, Tudor Vladimirescu, Sector 6, Bucharest, 061331, Romania","{""coordinates"": [26.035145, 44.428457], ""type"": ""Point""}","Plaza România, 26, Bulevardul Timișoara, Tudor Vladimirescu, Sector 6, Bucharest, 061331, Romania",shop,mall
97,City Mall,City Mall,"['*...Modern shopping malls such as the Unirea Shopping Centre, Bucharest Mall, Plaza Romania, and City Mall emerged on pre-existent structures of former hunger circuses....']","Mega Image, 2, Șoseaua Olteniței, Berceni, Sector 4, Bucharest, 041341, Romania","{""coordinates"": [26.097616, 44.401588], ""type"": ""Point""}","Mega Image, 2, Șoseaua Olteniței, Berceni, Sector 4, Bucharest, 041341, Romania",shop,supermarket
