,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Amager,Amager,"['*...The city is on the islands of Zealand and Amager, separated from Malmö, Sweden, by the Øresund strait....', '*...The northern part of Amager and Valby were also incorporated into the City of Copenhagen in 1901–02....', '*...In the 1990s, large-scale housing developments were realised in the harbour area and in the west of Amager....', '*...The bridge has brought about considerable changes in the public transport system and has led to the extensive redevelopment of Amager....', '*...It is located on the eastern shore of the island of Zealand, partly on the island of Amager and on a number of natural and artificial islets between the two....', '...Amager Strandpark, which opened in 2005, is a 2\xa0km (1\xa0mi) long artificial island, with a total of 4.6\xa0km (2.9\xa0mi) of beaches....', '...Copenhagen Municipality is divided into ten districts (bydele): Indre By, Østerbro, Nørrebro, Vesterbro/Kongens Enghave, Valby, Vanløse, Brønshøj-Husum, Bispebjerg, Amager Øst, and Amager Vest....', '*...Amagerbro (also known as Sønderbro) is the district located immediately south-east of Christianshavn at northernmost Amager....', '...Other teams of more significant stature are FC Nordsjælland (from suburban Farum), Fremad Amager, B93, AB, Lyngby and Hvidovre IF....', ""*...Copenhagen Airport, opened in 1925, is Scandinavia's largest airport, located in Kastrup on the island of Amager...."", '...Other large hospitals in the city include Amager Hospital (1997), Herlev Hospital (1976), Hvidovre Hospital (1970), and Gentofte Hospital (1927)....']","Amager Boulevard, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1421, Denmark","{""coordinates"": [12.588497, 55.6676], ""type"": ""Point""}","Amager Boulevard, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1421, Denmark",highway,tertiary
4,Gammel Strand,Gammel Strand,"['*...Originally a Viking fishing village established in the 10th century in the vicinity of what is now Gammel Strand, Copenhagen became the capital of Denmark in the early 15th century....', ""*...The first habitations were probably centred on Gammel Strand (literally 'old shore') in the 11th century or even earlier....""]","Gammel Strand, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1202, Denmark","{""coordinates"": [12.578741, 55.677647], ""type"": ""Point""}","Gammel Strand, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1202, Denmark",highway,living_street
5,Scandinavia,Scandinavia,"['*...The city flourished as the cultural and economic centre of Scandinavia under the union for well over 120 years, starting in the 15th century up until the beginning of the 16th century when the union was dissolved with Sweden leaving the union through a rebellion....', '*...Located near Copenhagen Airport, it currently boasts one of the largest malls in Scandinavia and a variety of office and residential buildings as well as the IT University and a high school....', '*...With its 53 aquariums, it is the largest facility of its kind in Scandinavia....', '*...Apart from being the national capital, Copenhagen also serves as the cultural hub of Denmark and wider Scandinavia....', ""*...Copenhagen Airport, opened in 1925, is Scandinavia's largest airport, located in Kastrup on the island of Amager...."", '*...Other important media corporations include Aller Media which is the largest publisher of weekly and monthly magazines in Scandinavia, the Egmont media group and Gyldendal, the largest Danish publisher of books....']","Scandinavia Kiosk, Jagtvej, Nørrebro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 2200, Denmark","{""coordinates"": [12.545659, 55.691681], ""type"": ""Point""}","Scandinavia Kiosk, Jagtvej, Nørrebro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 2200, Denmark",shop,kiosk
7,Tivoli Gardens,Tivoli Gardens,"[""*...Copenhagen's landmarks such as Tivoli Gardens, The Little Mermaid statue, the Amalienborg and Christiansborg palaces, Rosenborg Castle, Frederik's Church, Børsen and many museums, restaurants and nightclubs are significant tourist attractions...."", ""...Vesterbro, to the southwest of Indre By, begins with the Tivoli Gardens, the city's top tourist attraction with its fairground atmosphere, its Pantomime Theatre, its Concert Hall and its many rides and restaurants...."", '...Another important venue for classical music is the Tivoli Concert Hall located in the Tivoli Gardens....', '...The Tivoli Gardens is an amusement park and pleasure garden located in central Copenhagen between the City Hall Square and the Central Station....', '*...Tivoli Gardens also serves as a venue for various performing arts and as an active part of the cultural scene in Copenhagen....']","Tivoli Gardens, Ved Glyptoteket, Postbyen, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1575, Denmark","{""coordinates"": [12.569042, 55.673343], ""type"": ""Point""}","Tivoli Gardens, Ved Glyptoteket, Postbyen, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1575, Denmark",tourism,theme_park
8,Little Mermaid,Little Mermaid,"[""...Copenhagen's landmarks such as Tivoli Gardens, The Little Mermaid statue, the Amalienborg and Christiansborg palaces, Rosenborg Castle, Frederik's Church, Børsen and many museums, restaurants and nightclubs are significant tourist attractions...."", ""*...Langelinie, a park and promenade along the inner Øresund coast, is home to one of Copenhagen's most-visited tourist attractions, the Little Mermaid statue...."", '...The district stretches from Nørrebro to the waterfront where The Little Mermaid statue can be seen from the promenade known as Langelinie....', '...Not far from the Little Mermaid, the old Citadel (Kastellet) can be seen....', ""...In addition to The Little Mermaid on the waterfront, there are two historic equestrian statues in the city centre: Jacques Saly's Frederik V on Horseback (1771) in Amalienborg Square and the statue of Christian V on Kongens Nytorv created by Abraham-César Lamoureux in 1688 who was inspired by the statue of Louis XIII in Paris....""]","The Little Mermaid, Frederiksberggade, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1459, Denmark","{""coordinates"": [12.570963, 55.677117], ""type"": ""Point""}","The Little Mermaid, Frederiksberggade, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1459, Denmark",shop,confectionery
9,Rosenborg Castle,Rosenborg Castle,"[""*...Copenhagen's landmarks such as Tivoli Gardens, The Little Mermaid statue, the Amalienborg and Christiansborg palaces, Rosenborg Castle, Frederik's Church, Børsen and many museums, restaurants and nightclubs are significant tourist attractions...."", '*...Not quite so high are the Renaissance spires of Rosenborg Castle and the ""dragon spire"" of Christian IV\'s former stock exchange, so named because it resembles the intertwined tails of four dragons....', ""*...King's Garden (Kongens Have), the garden of Rosenborg Castle, is the oldest and most frequented of them all...."", '*...Rosenborg Castle on Øster Voldgade was built by Christian IV in 1606 as a summer residence in the Renaissance style....', ""...Rosenborg Castle Gardens contains several sculptures and monuments including August Saabye's Hans Christian Andersen, Aksel Hansen's Echo, and Vilhelm Bissen's Dowager Queen Caroline Amalie....""]","Rosenborg Castle, Husalléen, Nyboder, Frederiksstaden, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1307, Denmark","{""coordinates"": [12.57742, 55.685693], ""type"": ""Point""}","Rosenborg Castle, Husalléen, Nyboder, Frederiksstaden, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1307, Denmark",tourism,attraction
11,Børsen,Børsen,"[""*...Copenhagen's landmarks such as Tivoli Gardens, The Little Mermaid statue, the Amalienborg and Christiansborg palaces, Rosenborg Castle, Frederik's Church, Børsen and many museums, restaurants and nightclubs are significant tourist attractions...."", '*...On his initiative at the beginning of the 17th century, two important buildings were completed on Slotsholmen: the Tøjhus Arsenal and Børsen, the stock exchange....', '*...Børsen on Slotsholmen and Frederiksborg Palace in Hillerød are prominent examples of the Dutch Renaissance style in Copenhagen....']","Børsen, Børsgade, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1216, Denmark","{""coordinates"": [12.582588, 55.676323], ""type"": ""Point""}","Børsen, Børsgade, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1216, Denmark",highway,bus_stop
16,Kastrup,Kastrup,"['*...Serving roughly 2.5 million passengers a month, Copenhagen Airport, Kastrup, is the busiest airport in the Nordic countries....', '*...Not far from Copenhagen Airport on the Kastrup coast, The Blue Planet completed in March 2013 now houses the national aquarium....', ""*...Copenhagen Airport, opened in 1925, is Scandinavia's largest airport, located in Kastrup on the island of Amager....""]","Kastrup Fort, Amager Strandvej, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 2300, Denmark","{""coordinates"": [12.639837, 55.648473], ""type"": ""Point""}","Kastrup Fort, Amager Strandvej, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 2300, Denmark",tourism,attraction
18,Kopenhagen,Kopenhagen,"['*...However, the English term for the city was adapted from its Low German name, Kopenhagen....']","Church of Our Saviour, Copenhagen, Dronningensgade, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1416, Denmark","{""coordinates"": [12.594252, 55.672908], ""type"": ""Point""}","Church of Our Saviour, Copenhagen, Dronningensgade, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1416, Denmark",amenity,place_of_worship
19,Köpenhamn,Köpenhamn,"[""*...Copenhagen's Swedish name is Köpenhamn, a direct translation of the mutually intelligible Danish name....""]","Church of Our Lady, Dyrkøb, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1166, Denmark","{""coordinates"": [12.572727, 55.679377], ""type"": ""Point""}","Church of Our Lady, Dyrkøb, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1166, Denmark",amenity,place_of_worship
