,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Southern California,Southern California,"[""*...Los Angeles ( lawss AN-jəl-əs; Spanish: Los Ángeles , lit.\u2009'The Angels'), often referred to by its initials L.A., is the commercial, financial, and cultural center of Southern California...."", '*...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', '...Maritime explorer Juan Rodríguez Cabrillo claimed the area of southern California for the Spanish Empire in 1542 while on an official military exploring expedition moving northward along the Pacific coast from earlier colonizing bases of New Spain in Central and South America....', '...Further afield, the highest point in southern California is San Gorgonio Mountain, 81 miles (130\xa0km) east of downtown Los Angeles, with a height of 11,503 feet (3,506\xa0m)....', '*...The geologic instability has produced numerous faults, which cause approximately 10,000 earthquakes annually in Southern California, though most of them are too small to be felt....', '*...The segment of the fault passing through Southern California experiences a major earthquake roughly every 110 to 140 years, and seismologists have warned about the next ""big one"", as the last major earthquake was the 1857 Fort Tejon earthquake....', ""*...One of the five major film studios, only Paramount Pictures is within Los Angeles' city limits; it is located in the so-called Thirty-Mile Zone of entertainment headquarters in Southern California...."", '...Southern California Institute of Architecture (SCI-Arc) ;...', '...University of Southern California (USC) ;...']","Southern California Institute of Architecture, Santa Fe Avenue, Arts District, Downtown, Los Angeles, Los Angeles County, California, 90013, United States","{""coordinates"": [-118.232807, 34.043179], ""type"": ""Point""}","Southern California Institute of Architecture, Santa Fe Avenue, Arts District, Downtown, Los Angeles, Los Angeles County, California, 90013, United States",amenity,university
1,Pacific Ocean,Pacific Ocean,"['...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', '...The eastern end of the Santa Monica Mountains stretches from Downtown to the Pacific Ocean and separates the Los Angeles Basin from the San Fernando Valley....', '...The river begins in the Canoga Park district of the city, flows east from the San Fernando Valley along the north edge of the Santa Monica Mountains, and turns south through the city center, flowing to its mouth in the Port of Long Beach at the Pacific Ocean....', '...In 2016, the E Line was extended to the Pacific Ocean at Santa Monica....']","Pacific Ocean Center, Ocean Avenue, Walteria, Torrance, Los Angeles County, California, 90505, United States","{""coordinates"": [-118.353959, 33.806703], ""type"": ""Point""}","Pacific Ocean Center, Ocean Avenue, Walteria, Torrance, Los Angeles County, California, 90505, United States",office,yes
2,Santa Monica Mountains,Santa Monica Mountains,"['...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', '...The eastern end of the Santa Monica Mountains stretches from Downtown to the Pacific Ocean and separates the Los Angeles Basin from the San Fernando Valley....', '...The river begins in the Canoga Park district of the city, flows east from the San Fernando Valley along the north edge of the Santa Monica Mountains, and turns south through the city center, flowing to its mouth in the Port of Long Beach at the Pacific Ocean....', '...The majority of the Non-Hispanic White population is living in areas along the Pacific coast as well as in neighborhoods near and on the Santa Monica Mountains from the Pacific Palisades to Los Feliz....']","Santa Monica Mountains Cyclery, Ventura Boulevard, Woodland Hills, Los Angeles, Los Angeles County, California, 91364, United States","{""coordinates"": [-118.599314, 34.168004], ""type"": ""Point""}","Santa Monica Mountains Cyclery, Ventura Boulevard, Woodland Hills, Los Angeles, Los Angeles County, California, 91364, United States",shop,bicycle
3,San Fernando Valley,San Fernando Valley,"['...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', '...After the end of World War II Los Angeles grew more rapidly than ever, sprawling into the San Fernando Valley....', '...In 2002, Mayor James Hahn led the campaign against secession, resulting in voters defeating efforts by the San Fernando Valley and Hollywood to secede from the city....', '...The highest point in the city proper is Mount Lukens at 5,074\xa0ft (1,547\xa0m), located at the northeastern end of the San Fernando Valley....', '...The eastern end of the Santa Monica Mountains stretches from Downtown to the Pacific Ocean and separates the Los Angeles Basin from the San Fernando Valley....', '...The river begins in the Canoga Park district of the city, flows east from the San Fernando Valley along the north edge of the Santa Monica Mountains, and turns south through the city center, flowing to its mouth in the Port of Long Beach at the Pacific Ocean....', '*...Within the City of Los Angeles, the highest temperature ever officially recorded is 121\xa0°F (49\xa0°C), on September 6, 2020, at the weather station at Pierce College in the San Fernando Valley neighborhood of Woodland Hills....', '...The Los Angeles Basin and the San Fernando Valley are susceptible to atmospheric inversion, which holds in the exhausts from road vehicles, airplanes, locomotives, shipping, manufacturing, and other sources....', ""...Many of Los Angeles's Jews now live on the Westside and in the San Fernando Valley, though Boyle Heights once had a large Jewish population prior to World War II due to restrictive housing covenants...."", '...There are also a number of smaller regional newspapers, alternative weeklies and magazines, including the Los Angeles Register, Los Angeles Community News, (which focuses on coverage of the greater Los Angeles area), Los Angeles Daily News (which focuses coverage on the San Fernando Valley), LA Weekly, L.A. Record (which focuses coverage on the music scene in the Greater Los Angeles Area), Los Angeles Magazine, the Los Angeles Business Journal, the Los Angeles Daily Journal (legal industry paper), The Hollywood Reporter, Variety (both entertainment industry papers), and Los Angeles Downtown News....']","North Hollywood Branch Boys Club of San Fernando Valley, Ensign Avenue, North Hollywood, Los Angeles, Los Angeles County, California, 91601, United States","{""coordinates"": [-118.370903, 34.172669], ""type"": ""Point""}","North Hollywood Branch Boys Club of San Fernando Valley, Ensign Avenue, North Hollywood, Los Angeles, Los Angeles County, California, 91601, United States",building,retail
4,San Gabriel Valley,San Gabriel Valley,"['...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', ""...Chinese people, which make up 1.8% of Los Angeles's population, reside mostly outside of Los Angeles city limits and rather in the San Gabriel Valley of eastern Los Angeles County, but make a sizable presence in the city, notably in Chinatown....""]","West San Gabriel Valley YMCA, Corto Street, Alhambra, Los Angeles County, California, 91802, United States","{""coordinates"": [-118.118889, 34.090833], ""type"": ""Point""}","West San Gabriel Valley YMCA, Corto Street, Alhambra, Los Angeles County, California, 91802, United States",leisure,sports_centre
5,Los Angeles Aqueduct,Los Angeles Aqueduct,"['...The city was further expanded with the completion of the Los Angeles Aqueduct in 1913, which delivers water from Eastern California....', '...The completion of the Los Angeles Aqueduct in 1913, under the supervision of William Mulholland, ensured the continued growth of the city....']","Los Angeles Aqueduct, Placerita Canyon Road, Newhall, Santa Clarita, Los Angeles County, California, 91321, United States","{""coordinates"": [-118.498772, 34.377518], ""type"": ""Point""}","Los Angeles Aqueduct, Placerita Canyon Road, Newhall, Santa Clarita, Los Angeles County, California, 91321, United States",man_made,pipeline
7,Americas,Americas,['*...It has the busiest container port in the Americas....'],"Americas Best Value Inn, Garvey Avenue, Five Points, El Monte, Los Angeles County, California, 91732, United States","{""coordinates"": [-118.017428, 34.062584], ""type"": ""Point""}","Americas Best Value Inn, Garvey Avenue, Five Points, El Monte, Los Angeles County, California, 91732, United States",tourism,motel
10,Los Angeles Pueblo Plaza,Los Angeles Pueblo Plaza,"['*...Today, the pueblo is commemorated in the historic district of Los Angeles Pueblo Plaza and Olvera Street, the oldest part of Los Angeles....']","El Pueblo Los Angeles Plaza Historic Park, El Pueblo, Chinatown, Los Angeles, Los Angeles County, California, United States","{""coordinates"": [-118.238778, 34.056567], ""type"": ""Point""}","El Pueblo Los Angeles Plaza Historic Park, El Pueblo, Chinatown, Los Angeles, Los Angeles County, California, United States",highway,pedestrian
11,Olvera Street,Olvera Street,"['*...Today, the pueblo is commemorated in the historic district of Los Angeles Pueblo Plaza and Olvera Street, the oldest part of Los Angeles....', ""*...Important landmarks in Los Angeles include the Hollywood Sign, Walt Disney Concert Hall, Capitol Records Building, the Cathedral of Our Lady of the Angels, Angels Flight, Grauman's Chinese Theatre, Dolby Theatre, Griffith Observatory, Getty Center, Getty Villa, Stahl House, the Los Angeles Memorial Coliseum, L.A. Live, the Los Angeles County Museum of Art, the Venice Canal Historic District and boardwalk, Theme Building, Bradbury Building, U.S. Bank Tower, Wilshire Grand Center, Hollywood Boulevard, Los Angeles City Hall, Hollywood Bowl, battleship USS\xa0Iowa, Watts Towers, Staples Center, Dodger Stadium, and Olvera Street....""]","Olvera Street, El Pueblo, Chinatown, Los Angeles, Los Angeles County, California, 90012, United States","{""coordinates"": [-118.237825, 34.057593], ""type"": ""Point""}","Olvera Street, El Pueblo, Chinatown, Los Angeles, Los Angeles County, California, 90012, United States",highway,pedestrian
12,Southern Pacific,Southern Pacific,['*...Railroads arrived with the completion of the transcontinental Southern Pacific line from New Orleans to Los Angeles in 1876 and the Santa Fe Railroad in 1885....'],"McGarry Street, Downtown, Los Angeles, Los Angeles County, California, 90021, United States","{""coordinates"": [-118.24016, 34.02927], ""type"": ""Point""}","McGarry Street, Downtown, Los Angeles, Los Angeles County, California, 90021, United States",highway,residential
