,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Rhône,Rhône,"['*...It is located at the confluence of the rivers Rhône and Saône, to the northwest of the French Alps, 391\xa0km (243\xa0mi) southeast of Paris, 278\xa0km (173\xa0mi) north of Marseille, 113\xa0km (70\xa0mi) southwest of Geneva, 50\xa0km (31\xa0mi) northeast of Saint-Étienne.\nThe City of Lyon proper had a population of 522,228 in 2020 within its small municipal territory of 48\xa0km2 (19\xa0sq\xa0mi), but together with its suburbs and exurbs the Lyon metropolitan area had a population of 2,293,180 that same year, the second most populated in France....', '...Lyon is the prefecture of the Auvergne-Rhône-Alpes region and seat of the Departmental Council of Rhône (whose jurisdiction, however, no longer extends over the Metropolis of Lyon since 2015)....', '*...These refugees had been expelled from Vienne and were now encamped at the confluence of the Saône and Rhône rivers....', '*...The Rhône and Saône converge to the south of the historic city centre, forming a peninsula – the ""Presqu\'île"" – bounded by two large hills to the west and north and a large plain eastward....', ""*...East of the Rhône from the Presqu'île is a large flat area upon which sits much of modern Lyon and contains most of the city's population...."", '...Between 1867 and 1959, the third arrondissement (which originally covered the whole of the Left Bank of the Rhône) was split three times, creating a new arrondissement in each case....', ""*...Geographically, Lyon's two main rivers, the Saône and the Rhône, divide the arrondissements into three groups:..."", '*...To the east of the Rhône, are the third, sixth, seventh, and eighth arrondissements....', '...The 14 electoral wards are the following (see map for location):\n\xa0Lônes et coteaux \xa0Lyon-Centre (Lyon-Centre) \xa0Lyon-Est (Lyon-East) \xa0Lyon-Nord (Lyon-North) \xa0Lyon-Ouest \xa0Lyon-Sud \xa0Lyon-Sud-Est \xa0Ouest \xa0Plateau Nord-Caluire \xa0Porte des Alpes \xa0Portes du Sud \xa0Rhône Amont \xa0Val de Saône \xa0Villeurbanne\nThe six wards with names starting with ""Lyon"" are all located within the commune of Lyon....', '...Lyon and its region Rhône-Alpes represent one of the most important economies in Europe and, according to Loughborough University, can be compared to Philadelphia, Mumbai or Athens with regard to its international position....', '...The city is home to the headquarters of many large companies such as Groupe SEB, Sanofi Pasteur, Renault Trucks, Norbert Dentressangle, LCL S.A., Descours & Cabaud, Merial, Point S, BioMérieux, Iveco Bus, Compagnie Nationale du Rhône, GL Events, April Group, Boiron, Feu Vert, Panzani, Babolat, Euronews, Lyon Airports, LVL Medical, and inter-governmental agencies IARC, Interpol....', ""...Two of France's best known wine-growing regions are located near the city: the Beaujolais region to the north and the Côtes du Rhône region to the south...."", ""...ISARA (Institut Supérieur d'Agriculture Rhône Alpes);..."", '...It is a key transport facility for the entire Rhône-Alpes region, with coach links to other cities in the area....', '...And Rhône Express tramline from Part-Dieu to Lyon–Saint-Exupéry Airport....']","Piscine du Rhône, VL1, Chevreul, 7th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69007, France","{""coordinates"": [4.837952, 45.753599], ""type"": ""Point""}","Piscine du Rhône, VL1, Chevreul, 7th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69007, France",building,sports_centre
1,Saône,Saône,"['*...It is located at the confluence of the rivers Rhône and Saône, to the northwest of the French Alps, 391\xa0km (243\xa0mi) southeast of Paris, 278\xa0km (173\xa0mi) north of Marseille, 113\xa0km (70\xa0mi) southwest of Geneva, 50\xa0km (31\xa0mi) northeast of Saint-Étienne.\nThe City of Lyon proper had a population of 522,228 in 2020 within its small municipal territory of 48\xa0km2 (19\xa0sq\xa0mi), but together with its suburbs and exurbs the Lyon metropolitan area had a population of 2,293,180 that same year, the second most populated in France....', '*...Further down, in the current Saint-Vincent district, was the Gallic village of Condate, probably a simple hamlet of sailors or fishermen living on the banks of the Saône....', '*...These refugees had been expelled from Vienne and were now encamped at the confluence of the Saône and Rhône rivers....', '*...The Rhône and Saône converge to the south of the historic city centre, forming a peninsula – the ""Presqu\'île"" – bounded by two large hills to the west and north and a large plain eastward....', ""*...Geographically, Lyon's two main rivers, the Saône and the Rhône, divide the arrondissements into three groups:..."", ""*...To the west of the Saône, the fifth arrondissement covers the old city of Vieux Lyon, Fourvière hill and the plateau beyond. The 9th is immediately to the north, and stretches from Gorge de Loup, through Vaise to the neighbouring suburbs of Écully, Champagne-au-Mont-d'Or, Saint-Didier-au-Mont-d'Or, Saint-Cyr-au-Mont-d'Or and Collonges-au-Mont-d'Or...."", '...The 14 electoral wards are the following (see map for location):\n\xa0Lônes et coteaux \xa0Lyon-Centre (Lyon-Centre) \xa0Lyon-Est (Lyon-East) \xa0Lyon-Nord (Lyon-North) \xa0Lyon-Ouest \xa0Lyon-Sud \xa0Lyon-Sud-Est \xa0Ouest \xa0Plateau Nord-Caluire \xa0Porte des Alpes \xa0Portes du Sud \xa0Rhône Amont \xa0Val de Saône \xa0Villeurbanne\nThe six wards with names starting with ""Lyon"" are all located within the commune of Lyon....', '*...The traboules allowed the inhabitants to get from their homes to the Saône quickly and allowed the canuts on the Croix-Rousse hill to get from their workshops to the textile merchants at the foot of the hill....']","Saône, Allée Jacques Monod, Parc Technologique, Village, Saint-Priest, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69800, France","{""coordinates"": [4.928963, 45.712007], ""type"": ""Point""}","Saône, Allée Jacques Monod, Parc Technologique, Village, Saint-Priest, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69800, France",building,retail
5,Presqu'île,Presqu'île,"[""*...The city is recognised for its cuisine and gastronomy, as well as historical and architectural landmarks; as such, the districts of Old Lyon, the Fourvière hill, the Presqu'île and the slopes of the Croix-Rousse are inscribed on the UNESCO World Heritage List...."", '*...The Rhône and Saône converge to the south of the historic city centre, forming a peninsula – the ""Presqu\'île"" – bounded by two large hills to the west and north and a large plain eastward....', ""*...Place Bellecour is located on the Presqu'île between the two rivers and is the third-largest public square in France...."", ""*...Fourvière, along with portions of the Presqu'île and much of La Croix-Rousse, is designated as a UNESCO World Heritage Site...."", ""*...East of the Rhône from the Presqu'île is a large flat area upon which sits much of modern Lyon and contains most of the city's population...."", ""*...Between the two rivers, on the Presqu'île, are the second, first, and fourth arrondissements. The second includes most of the city centre, Bellecour and Perrache railway station, and reaches as far as the confluence of the two rivers. The first is directly to the north of the second and covers part of the city centre (including the Hôtel de Ville) and the slopes of La Croix-Rousse. To the north of the Boulevard is the fourth arrondissement, which covers the Plateau of La Croix-Rousse, up to its boundary with the commune of Caluire-et-Cuire...."", ""*...The specific regions comprising the historic site include the Roman district and Fourvière, the Renaissance district (Vieux Lyon), the silk district (slopes of Croix-Rousse), and the Presqu'île, which features architecture from the 12th century to modern times....""]","Laverie Presqu'Île, Rue Sainte-Hélène, Ainay, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","{""coordinates"": [4.830468, 45.754587], ""type"": ""Point""}","Laverie Presqu'Île, Rue Sainte-Hélène, Ainay, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France",shop,laundry
6,Croix-Rousse,Croix-Rousse,"[""...The city is recognised for its cuisine and gastronomy, as well as historical and architectural landmarks; as such, the districts of Old Lyon, the Fourvière hill, the Presqu'île and the slopes of the Croix-Rousse are inscribed on the UNESCO World Heritage List...."", '...The northern hill is La Croix-Rousse, known as ""the hill that works"" because it is traditionally home to many small silk workshops, an industry for which the city has long been renowned....', ""...Fourvière, along with portions of the Presqu'île and much of La Croix-Rousse, is designated as a UNESCO World Heritage Site...."", '...Five arrondissements were originally created in 1852, when three neighbouring communes (La Croix-Rousse, La Guillotière, and Vaise) were annexed by Lyon....', '...1st arrondissement: Slopes of La Croix-Rousse, Terreaux, Martinière/St-Vincent ;...', '...4th arrondissement: Plateau de la Croix-Rousse, Serin ;...', ""...Between the two rivers, on the Presqu'île, are the second, first, and fourth arrondissements. The second includes most of the city centre, Bellecour and Perrache railway station, and reaches as far as the confluence of the two rivers. The first is directly to the north of the second and covers part of the city centre (including the Hôtel de Ville) and the slopes of La Croix-Rousse. To the north of the Boulevard is the fourth arrondissement, which covers the Plateau of La Croix-Rousse, up to its boundary with the commune of Caluire-et-Cuire...."", ""*...The specific regions comprising the historic site include the Roman district and Fourvière, the Renaissance district (Vieux Lyon), the silk district (slopes of Croix-Rousse), and the Presqu'île, which features architecture from the 12th century to modern times...."", '*...Both Vieux Lyon and the slopes of Croix-Rousse are known for their narrow passageways (named traboules) that pass through buildings and link streets on either side....', '...The traboules allowed the inhabitants to get from their homes to the Saône quickly and allowed the canuts on the Croix-Rousse hill to get from their workshops to the textile merchants at the foot of the hill....']","Croix-Rousse, Boulevard de la Croix-Rousse, Gros Caillou, 4th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69004, France","{""coordinates"": [4.832014, 45.774297], ""type"": ""Point""}","Croix-Rousse, Boulevard de la Croix-Rousse, Gros Caillou, 4th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69004, France",railway,subway_entrance
8,Franche-Comté,Franche-Comté,"['*...Julius Pokorny associates the first part of the word with the Indo-European radical *lūg (""dark, black, swamp"") and associates it with Ludza in Latvia, Lusatia in Germany (from Sorbian Łužica), Lužice in the Czech Republic; on this basis, it could also be compared to Luze in Franche-Comté and various hydronyms such as Louge....']","Rue de Franche Comté, Sainte-Foy-lès-Lyon, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69110, France","{""coordinates"": [4.802822, 45.748157], ""type"": ""Point""}","Rue de Franche Comté, Sainte-Foy-lès-Lyon, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69110, France",highway,footway
10,Lugdunum,Lugdunum,"['*...The old Lugdun, Lugdunon, Latinized in Lugdunum is composed of two Gallic words: from Lug a Celtic god (in charge of order and law) and dunos (""fortress"", ""hill""), the whole thus designating "" Lug\'s fortress....', '*...Lugdunum therefore originally designates the hill of Fourvière, on which the ancient city of Lyon is founded....', '...The city became increasingly referred to as Lugdunum (and occasionally Lugudunum)....', ""...The Romans recognised that Lugdunum's strategic location at the convergence of two navigable rivers made it a natural communications hub...."", '*...In 443 the Romans established the Kingdom of the Burgundians, and Lugdunum became its capital in 461....', '*...The Gallo-Roman Museum displaying many valuable objects and artworks found on the site of Roman Lyon (Lugdunum) such as Circus Games Mosaic, Coligny calendar and the Taurobolic Altar ;...']","Lugdunum, Place du Général Brosset, Bellecombe, 6th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69006, France","{""coordinates"": [4.858549, 45.766636], ""type"": ""Point""}","Lugdunum, Place du Général Brosset, Bellecombe, 6th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69006, France",building,office
11,Fourvière,Fourvière,"[""...The city is recognised for its cuisine and gastronomy, as well as historical and architectural landmarks; as such, the districts of Old Lyon, the Fourvière hill, the Presqu'île and the slopes of the Croix-Rousse are inscribed on the UNESCO World Heritage List...."", '*...Lugdunum therefore originally designates the hill of Fourvière, on which the ancient city of Lyon is founded....', '...The foundation was built on Fourvière hill and officially called Colonia Copia Felix Munatia, a name invoking prosperity and the blessing of the gods....', '*...The western hill is Fourvière, known as ""the hill that prays"" because it is the location for Basilica of Notre-Dame de Fourvière, several convents, and Archbishop residence....', ""*...Fourvière, along with portions of the Presqu'île and much of La Croix-Rousse, is designated as a UNESCO World Heritage Site...."", '*...5th arrondissement: Vieux Lyon (Saint-Paul, Saint-Jean, Saint-Georges), Saint-Just, Saint-Irénée, Fourvière, Point du Jour, Ménival, Battières, Champvert (south) ;...', ""...To the west of the Saône, the fifth arrondissement covers the old city of Vieux Lyon, Fourvière hill and the plateau beyond. The 9th is immediately to the north, and stretches from Gorge de Loup, through Vaise to the neighbouring suburbs of Écully, Champagne-au-Mont-d'Or, Saint-Didier-au-Mont-d'Or, Saint-Cyr-au-Mont-d'Or and Collonges-au-Mont-d'Or...."", '...The Roman ruins on the hillside near the Fourvière Basilica, with the Ancient Theatre of Fourvière, the Odeon of Lyon and the accompanying Gallo-Roman museum ;...', '...Basilica of Notre-Dame de Fourvière, large 19th-century basilica on the top of Fourvière Hill ;...', '...Tour métallique de Fourvière (1894) ;...', ""...The festivals most important for attracting tourists are the Fête des lumières, the Nuits de Fourvière every summer, the Biennale d'art contemporain and the Nuits Sonores...."", ""*...The specific regions comprising the historic site include the Roman district and Fourvière, the Renaissance district (Vieux Lyon), the silk district (slopes of Croix-Rousse), and the Presqu'île, which features architecture from the 12th century to modern times...."", '*...A double motorway tunnel passes under Fourvière, connecting the A6 and the A7 autoroutes, both forming the ""Autoroute du Soleil""....', '*...There are also two funicular lines from Vieux Lyon to Saint-Just and Fourvière....']","Fourvière, Place de Fourvière, Fourvière, 5th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69005, France","{""coordinates"": [4.822432, 45.761891], ""type"": ""Point""}","Fourvière, Place de Fourvière, Fourvière, 5th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69005, France",tourism,information
12,Saint-Vincent,Saint-Vincent,"['*...Further down, in the current Saint-Vincent district, was the Gallic village of Condate, probably a simple hamlet of sailors or fishermen living on the banks of the Saône....', '...Église Notre Dame Saint-Vincent (18th century), Neo-classical church ....']","Saint-Vincent, Quai Saint-Vincent, Terreaux, 1st Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69001, France","{""coordinates"": [4.828024, 45.767935], ""type"": ""Point""}","Saint-Vincent, Quai Saint-Vincent, Terreaux, 1st Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69001, France",highway,bus_stop
13,Confluence,Confluence,"['...It is located at the confluence of the rivers Rhône and Saône, to the northwest of the French Alps, 391\xa0km (243\xa0mi) southeast of Paris, 278\xa0km (173\xa0mi) north of Marseille, 113\xa0km (70\xa0mi) southwest of Geneva, 50\xa0km (31\xa0mi) northeast of Saint-Étienne.\nThe City of Lyon proper had a population of 522,228 in 2020 within its small municipal territory of 48\xa0km2 (19\xa0sq\xa0mi), but together with its suburbs and exurbs the Lyon metropolitan area had a population of 2,293,180 that same year, the second most populated in France....', '*...Condate is a Gallic word meaning confluence, which gave its name to the Confluence district....', '...These refugees had been expelled from Vienne and were now encamped at the confluence of the Saône and Rhône rivers....', '*...2nd arrondissement: Cordeliers, Bellecour, Ainay, Perrache, Confluence, Sainte-Blandine ;...', ""...Between the two rivers, on the Presqu'île, are the second, first, and fourth arrondissements. The second includes most of the city centre, Bellecour and Perrache railway station, and reaches as far as the confluence of the two rivers. The first is directly to the north of the second and covers part of the city centre (including the Hôtel de Ville) and the slopes of La Croix-Rousse. To the north of the Boulevard is the fourth arrondissement, which covers the Plateau of La Croix-Rousse, up to its boundary with the commune of Caluire-et-Cuire...."", '*...The district of Confluence, in the south of the historic centre, is a new pole of economical and cultural development....']","Confluence, Place Nautique, Confluence, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","{""coordinates"": [4.818915, 45.741596], ""type"": ""Point""}","Confluence, Place Nautique, Confluence, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France",amenity,ferry_terminal
14,Allobroges,Allobroges,"['*...French Fourth Republic, 1944–1958\nFrance, 1958–present\nAccording to the historian Dio Cassius, in 43 BC, the Roman Senate ordered the creation of a settlement for Roman refugees of war with the Allobroges....']","Allobroges, Avenue du 24 Août 1944, Corbas, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69960, France","{""coordinates"": [4.916252, 45.678389], ""type"": ""Point""}","Allobroges, Avenue du 24 Août 1944, Corbas, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69960, France",highway,bus_stop
