,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Medlock,Medlock,"['*...The history of Manchester began with the civilian settlement associated with the Roman fort (castra) of Mamucium or Mancunium, established in about AD 79 on a sandstone bluff near the confluence of the rivers Medlock and Irwell....', ""...For example, casting and machining expertise at Beyer, Peacock & Company's locomotive works in Gorton was switched to bomb making; Dunlop's rubber works in Chorlton-on-Medlock made barrage balloons; and just outside the city in Trafford Park, engineers Metropolitan-Vickers made Avro Manchester and Avro Lancaster bombers and Ford built the Rolls-Royce Merlin engines to power them...."", '...Manchester regained its borough status in 1838, and comprised the townships of Beswick, Cheetham Hill, Chorlton upon Medlock and Hulme....', '...The city centre is on the east bank of the River Irwell, near its confluences with the Rivers Medlock and Irk, and is relatively low-lying, being between 35 to 42 metres (115 to 138 feet) above sea level....']","Medlock Street, Petersfield, City Centre, Manchester, Greater Manchester, England, M15 4RL, United Kingdom","{""coordinates"": [-2.248204, 53.473084], ""type"": ""Point""}","Medlock Street, Petersfield, City Centre, Manchester, Greater Manchester, England, M15 4RL, United Kingdom",highway,primary
4,Irwell,Irwell,"['*...The history of Manchester began with the civilian settlement associated with the Roman fort (castra) of Mamucium or Mancunium, established in about AD 79 on a sandstone bluff near the confluence of the rivers Medlock and Irwell....', '...The Brigantes were the major Celtic tribe in what is now known as Northern England; they had a stronghold in the locality at a sandstone outcrop on which Manchester Cathedral now stands, opposite the bank of the  River Irwell....', '*...After the Roman withdrawal and Saxon conquest, the focus of settlement shifted to the confluence of the Irwell and Irk sometime before the arrival of the Normans after 1066....', '*...The Irwell and Mersey were made navigable by 1736, opening a route from Manchester to the sea docks on the Mersey....', '...The Manchester Ship Canal was built between 1888 and 1894, in some sections by canalisation of the Rivers Irwell and Mersey, running 36 miles (58\xa0km) from Salford to Eastham Locks on the tidal Mersey....', '...The city centre is on the east bank of the River Irwell, near its confluences with the Rivers Medlock and Irk, and is relatively low-lying, being between 35 to 42 metres (115 to 138 feet) above sea level....']","Irwell Street, St. Johns, City Centre, Manchester, Greater Manchester, England, M60 9HL, United Kingdom","{""coordinates"": [-2.255828, 53.480568], ""type"": ""Point""}","Irwell Street, St. Johns, City Centre, Manchester, Greater Manchester, England, M60 9HL, United Kingdom",highway,primary
5,River Mersey,River Mersey,"['...Historically part of Lancashire, areas of Cheshire south of the River Mersey were incorporated into Manchester in the 20th century, including Wythenshawe in 1931....', '...In 1931, the Cheshire civil parishes of Baguley, Northenden and Northen Etchells from the south of the River Mersey were added....', '...The River Mersey flows through the south of Manchester....', '...Due to being already highly urban, the city contains limited portions of protected green-belt area within greenfield throughout the borough, with minimal development opportunities, at Clayton Vale, Heaton Park, Chorlton Water Park along with the Chorlton Ees & Ivy Green nature reserve and the floodplain surrounding the River Mersey, as well as the southern area around Manchester Airport....']","River Mersey Cable Bridge, Fairy Lane, Sale Moor, Sale, Trafford, Greater Manchester, England, M33 2JU, United Kingdom","{""coordinates"": [-2.275785, 53.423545], ""type"": ""Point""}","River Mersey Cable Bridge, Fairy Lane, Sale Moor, Sale, Trafford, Greater Manchester, England, M33 2JU, United Kingdom",man_made,pipeline
6,Manchester Ship Canal,Manchester Ship Canal,"['...The Manchester Ship Canal opened in 1894, creating the Port of Manchester and linking the city to the Irish Sea, 36 miles (58\xa0km) to the west....', '...The Manchester Ship Canal was built between 1888 and 1894, in some sections by canalisation of the Rivers Irwell and Mersey, running 36 miles (58\xa0km) from Salford to Eastham Locks on the tidal Mersey....', '...An extensive canal network, including the Manchester Ship Canal, was built to carry freight from the Industrial Revolution onward; the canals are still maintained, though now largely repurposed for leisure use....']","Manchester Ship Canal, Trafford Road, Ordsall, Salford, Greater Manchester, England, M50 3XB, United Kingdom","{""coordinates"": [-2.282671, 53.471794], ""type"": ""Point""}","Manchester Ship Canal, Trafford Road, Ordsall, Salford, Greater Manchester, England, M50 3XB, United Kingdom",historic,memorial
9,Manchester Liverpool Road,Manchester Liverpool Road,"[""*...Manchester Liverpool Road railway station was the world's first inter-city passenger railway station...."", ""*...Manchester Liverpool Road was the world's first purpose-built passenger and goods railway station and served as the Manchester terminus on the Liverpool & Manchester Railway – the world's first inter-city passenger railway....""]","Manchester Liverpool Road railway station, Liverpool Road, Castlefield, City Centre, Manchester, Greater Manchester, England, M3 4JH, United Kingdom","{""coordinates"": [-2.257895, 53.477186], ""type"": ""Point""}","Manchester Liverpool Road railway station, Liverpool Road, Castlefield, City Centre, Manchester, Greater Manchester, England, M3 4JH, United Kingdom",railway,disused_station
11, River Irwell, River Irwell,"['...The Brigantes were the major Celtic tribe in what is now known as Northern England; they had a stronghold in the locality at a sandstone outcrop on which Manchester Cathedral now stands, opposite the bank of the  River Irwell....']","River Irwell Railway Bridge, Water Street, Castlefield, City Centre, Manchester, Greater Manchester, England, M3 4JH, United Kingdom","{""coordinates"": [-2.259457, 53.477734], ""type"": ""Point""}","River Irwell Railway Bridge, Water Street, Castlefield, City Centre, Manchester, Greater Manchester, England, M3 4JH, United Kingdom",man_made,bridge
12,Mamucium,Mamucium,"['...The history of Manchester began with the civilian settlement associated with the Roman fort (castra) of Mamucium or Mancunium, established in about AD 79 on a sandstone bluff near the confluence of the rivers Medlock and Irwell....', '...The name Manchester originates from the Latin name Mamucium or its variant Mancunio and the citizens are still referred to as Mancunians ()....', '*...Following the Roman conquest of Britain in the 1st century, General Agricola ordered the construction of a fort named Mamucium in the year 79 to ensure that Roman interests in Deva Victrix (Chester) and Eboracum (York) were protected from the Brigantes....', '*...A reconstructed part of the Roman fort of Mamucium is open to the public in Castlefield....']","Mamucium, 6, Todd Street, Medieval Quarter, City Centre, Manchester, Greater Manchester, England, M3 1WU, United Kingdom","{""coordinates"": [-2.241524, 53.486141], ""type"": ""Point""}","Mamucium, 6, Todd Street, Medieval Quarter, City Centre, Manchester, Greater Manchester, England, M3 1WU, United Kingdom",amenity,cafe
14,Irk,Irk,"['*...After the Roman withdrawal and Saxon conquest, the focus of settlement shifted to the confluence of the Irwell and Irk sometime before the arrival of the Normans after 1066....', '*...The city centre is on the east bank of the River Irwell, near its confluences with the Rivers Medlock and Irk, and is relatively low-lying, being between 35 to 42 metres (115 to 138 feet) above sea level....']","Irk Street, Medieval Quarter, Strangeways, Manchester, Greater Manchester, England, M4 4JT, United Kingdom","{""coordinates"": [-2.235349, 53.490035], ""type"": ""Point""}","Irk Street, Medieval Quarter, Strangeways, Manchester, Greater Manchester, England, M4 4JT, United Kingdom",highway,residential
15,North,North,"['...It is bordered by the Cheshire Plain to the south, the Pennines to the north and east, and the neighbouring city of Salford to the west....', '*...Much of the wider area was laid waste in the subsequent Harrying of the North....', '...The great majority of cotton spinning took place in the towns of south Lancashire and north Cheshire, and Manchester was for a time the most productive centre of cotton processing....', '...At , 160 miles (260\xa0km) northwest of London, Manchester lies in a bowl-shaped land area bordered to the north and east by the Pennines, an upland chain that runs the length of northern England, and to the south by the Cheshire Plain....', '...Manchester is 35.0 miles (56.3\xa0km) north-east of Liverpool and 35.0 miles (56.3\xa0km) north-west of Sheffield, making the city the halfway point between the two....', '...Snowfalls are not common in the city because of the urban warming effect but the West Pennine Moors to the north-west, South Pennines to the north-east and Peak District to the east receive more snow, which can close roads leading out of the city....', '...The award-winning Heaton Park in the north of the city borough is one of the largest municipal parks in Europe, covering 610 acres (250\xa0ha) of parkland....', '...After deregulation in 1986, the bus system was taken over by GM Buses, which after privatisation was split into GM Buses North and GM Buses South....', '...Much of the First Greater Manchester business was sold to Diamond North West and Go North West in 2019....', ""...Go North West operate a three-route zero-fare Manchester Metroshuttle, which carries 2.8\xa0million commuters a year around Manchester's business districts...."", '...Manchester Airport serves Manchester, Northern England and North Wales....', '...Services cover many destinations in Europe, North America, the Caribbean, Africa, the Middle East, and Asia (with more destinations from Manchester than any other airport in Britain)....', '...It also has a flight school, and both the Greater Manchester Police Air Support Unit and the North West Air Ambulance have helicopters based there....', ""...Brass band music, a tradition in the north of England, is important to Manchester's musical heritage; some of the UK's leading bands, such as the CWS Manchester Band and the Fairey Band, are from Manchester and surrounding areas, and the Whit Friday brass-band contest takes place annually in the neighbouring areas of Saddleworth and Tameside.\nManchester has a thriving theatre, opera and dance scene, with a number of large performance venues, including Manchester Opera House, which feature large-scale touring shows and West End productions; the Palace Theatre; and the Royal Exchange Theatre in Manchester's former cotton exchange, which is the largest theatre in the round in the UK.\nSmaller venues include the Contact Theatre and Z-arts in Hulme...."", '...Trafford Park in the neighbouring borough of Trafford is home to Imperial War Museum North....', '...The Metro North West is available free at Metrolink stops, rail stations and other busy locations....', '...An attempt to launch a Northern daily newspaper, the North West Times, employing journalists made redundant by other titles, closed in 1988....', '...Another attempt was made with the North West Enquirer, which hoped to provide a true ""regional"" newspaper for the North West, much in the same vein as the Yorkshire Post does for Yorkshire or The Northern Echo does for the North East; it folded in October 2006....', '...Granada produces Coronation Street, local news and programmes for North West England....', '...Manchester was the regional base for BBC One North West Region programmes before it relocated to MediaCityUK in nearby Salford Quays....', '...The city has the highest number of local radio stations outside London, including BBC Radio Manchester, Hits Radio Manchester, Capital Manchester and Lancashire, Greatest Hits Radio Manchester & The North West, Heart North West, Smooth North West, Gold, Radio X, NMFM (North Manchester FM) and XS Manchester....', '...Manchester hosts consular services for most of the north of England...']","Sir Matt Busby Way, Wharfside, Gorse Hill, Trafford, Greater Manchester, England, M16 0SZ, United Kingdom","{""coordinates"": [-2.289758, 53.463969], ""type"": ""Point""}","Sir Matt Busby Way, Wharfside, Gorse Hill, Trafford, Greater Manchester, England, M16 0SZ, United Kingdom",highway,unclassified
17,Manor House,Manor House,"['...In the Domesday Book of 1086, Manchester is recorded as within the hundred of Salford and held as tenant in chief by a Norman named Roger of Poitou, later being held by the family of Grelley, lord of the manor and residents of Manchester Castle until 1215 before a Manor House was built....']","Manor House, Barnsfold Road, Hawk Green, Stockport, Greater Manchester, England, SK6 7JB, United Kingdom","{""coordinates"": [-2.066642, 53.381491], ""type"": ""Point""}","Manor House, Barnsfold Road, Hawk Green, Stockport, Greater Manchester, England, SK6 7JB, United Kingdom",building,residential
