,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Mount Royal,Mount Royal,"['*...Founded in 1642 as Ville-Marie, or ""City of Mary"", it is named after Mount Royal, the triple-peaked hill around which the early city of Ville-Marie is built....', '*...The current form of the name, Montréal, is generally thought to be derived from Mount Royal (Mont Royal in French), the triple-peaked hill in the heart of the city....', '*...Venetian geographer Giovanni Battista Ramusio used the name Monte Real to designate Mount Royal in his 1556 map of the region....', '*...The Saint Lawrence Iroquoians, an ethnically and culturally distinct group from the Iroquois nations of the Haudenosaunee (then based in present-day New York), established the village of Hochelaga at the foot of Mount Royal two centuries before the French arrived....', '*...The city is named after the most prominent geographical feature on the island, a three-head hill called Mount Royal, topped at 232\xa0m (761\xa0ft) above sea level....', '...The anglophone enclaves of Westmount, Montreal West, Hampstead, Côte Saint-Luc, the Town of Mount Royal and the francophone enclave Montreal East are all surrounded by Montreal....', ""...The boroughs are:\nCôte-des-Neiges–Notre-Dame-de-Grace, The Plateau Mount Royal, Outremont and Ville Marie in the centre; Mercier–Hochelaga-Maisonneuve, Rosemont–La Petite-Patrie and Villeray–Saint-Michel–Parc-Extension in the east; Anjou, Montréal-Nord, Rivière-des-Prairies–Pointe-aux-Trembles and Saint-Leonard in the northeast; Ahuntsic-Cartierville, L'Île-Bizard–Sainte-Geneviève, Pierrefonds-Roxboro and Saint-Laurent in the northwest; and Lachine, LaSalle, The South West and Verdun in the south.[citation needed]..."", '*...Other neighbourhoods of interest in the borough include the affluent Golden Square Mile neighbourhood at the foot of Mount Royal and the Shaughnessy Village/Concordia U area home to thousands of students at Concordia University....', ""...The borough also comprises most of Mount Royal Park, Saint Helen's Island, and Notre-Dame Island.[citation needed]..."", '...The Plateau Mount Royal borough was a working class francophone area....', ""...The mountain is the site of Mount Royal Park, one of Montreal's largest greenspaces...."", '*...The mountain is home to two major cemeteries, Notre-Dame-des-Neiges (founded in 1854) and Mount Royal (1852)....', '*...Mount Royal Cemetery is a 165 acres (67\xa0ha) terraced cemetery on the north slope of Mount Royal in the borough of Outremont....', '...Mount Royal Cemetery contains more than 162,000 graves and is the final resting place for a number of notable Canadians....', '...In 1901, the Mount Royal Cemetery Company established the first crematorium in Canada....']","Place Mount-Royal, Ville-Marie, René-Lévesque, Ville-Marie, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3A 1P2, Canada","{""coordinates"": [-73.572707, 45.500957], ""type"": ""Point""}","Place Mount-Royal, Ville-Marie, René-Lévesque, Ville-Marie, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3A 1P2, Canada",highway,unclassified
3,Île Bizard,Île Bizard,"['*...The city is centred on the Island of Montreal, which obtained its name from the same origin as the city, and a few much smaller peripheral islands, the largest of which is Île Bizard....']","Île Bizard-Laval, Rue Latraverse, Riviera, L'Île-Bizard–Sainte-Geneviève, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H7R 1C7, Canada","{""coordinates"": [-73.86929, 45.519475], ""type"": ""Point""}","Île Bizard-Laval, Rue Latraverse, Riviera, L'Île-Bizard–Sainte-Geneviève, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H7R 1C7, Canada",amenity,ferry_terminal
7,Mont Royal,Mont Royal,"['*...The current form of the name, Montréal, is generally thought to be derived from Mount Royal (Mont Royal in French), the triple-peaked hill in the heart of the city....', '*...There are multiple explanations for how Mont Royal became Montréal....', '*...In 16th century French, the forms réal and royal were used interchangeably, so Montréal could simply be a variant of Mont Royal....']","Mont-Royal, Rue Berri, Parc-Lafontaine, Le Plateau-Mont-Royal, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H2J 1W6, Canada","{""coordinates"": [-73.581656, 45.524589], ""type"": ""Point""}","Mont-Royal, Rue Berri, Parc-Lafontaine, Le Plateau-Mont-Royal, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H2J 1W6, Canada",railway,station
8,Montréal,Montréal,"['*...Montreal ( MUN-tree-AWL; French: Montréal  ) is the second most populous city in Canada and the most populous city in the province of Quebec....', '...The city hosts the Canadian Grand Prix of Formula One; the Montreal International Jazz Festival, the largest jazz festival in the world; the Just for Laughs festival, the largest comedy festival in the world; and Les Francos de Montréal, the largest French-language music festival in the world....', '*...The current form of the name, Montréal, is generally thought to be derived from Mount Royal (Mont Royal in French), the triple-peaked hill in the heart of the city....', '*...There are multiple explanations for how Mont Royal became Montréal....', '*...In 16th century French, the forms réal and royal were used interchangeably, so Montréal could simply be a variant of Mont Royal....', '...Historiographer François de Belleforest was the first to use the form Montréal with reference to the entire region in 1575....', ""...The construction of new residential skyscrapers, two super-hospitals (the Centre hospitalier de l'Université de Montréal and McGill University Health Centre), the creation of the Quartier des Spectacles, reconstruction of the Turcot Interchange, reconfiguration of the Decarie and Dorval interchanges, construction of the new Réseau électrique métropolitain, gentrification of Griffintown, subway line extensions and the purchase of new subway cars, the complete revitalization and expansion of Trudeau International Airport, the completion of Quebec Autoroute 30, the reconstruction of the Champlain Bridge and the construction of a new toll bridge to Laval are helping Montreal continue to grow.[citation needed]..."", ""...Saint Joseph's Oratory, completed in 1967, Ernest Cormier's Art Deco Université de Montréal main building, the landmark Place Ville Marie office tower, the controversial Olympic Stadium and surrounding structures, are but a few notable examples of the city's 20th-century architecture...."", ""...The boroughs are:\nCôte-des-Neiges–Notre-Dame-de-Grace, The Plateau Mount Royal, Outremont and Ville Marie in the centre; Mercier–Hochelaga-Maisonneuve, Rosemont–La Petite-Patrie and Villeray–Saint-Michel–Parc-Extension in the east; Anjou, Montréal-Nord, Rivière-des-Prairies–Pointe-aux-Trembles and Saint-Leonard in the northeast; Ahuntsic-Cartierville, L'Île-Bizard–Sainte-Geneviève, Pierrefonds-Roxboro and Saint-Laurent in the northwest; and Lachine, LaSalle, The South West and Verdun in the south.[citation needed]..."", ""...Other notable neighbourhoods include the multicultural areas of Notre-Dame-de-Grâce and Côte-des-Neiges in the Côte-des-Neiges–Notre-Dame-de-Grace borough, and Little Italy in the borough of Rosemont–La Petite-Patrie and Hochelaga-Maisonneuve, home of the Olympic Stadium in the borough of Mercier–Hochelaga-Maisonneuve.[citation needed]\nOld Montreal is a historic area southeast of downtown containing many attractions such as the Old Port of Montreal, Place Jacques-Cartier, Montreal City Hall, the Bonsecours Market, Place d'Armes, Pointe-à-Callière Museum, the Notre-Dame de Montréal Basilica, and the Montreal Science Centre.[citation needed]\nArchitecture and cobbled streets in Old Montreal have been maintained or restored...."", '*...In the 2021 Census of Population conducted by Statistics Canada, Montréal had a population of  living in  of its  total private dwellings, a change of 3.4% from its 2016 population of ....', ""...Other popular events include the Just for Laughs (largest comedy festival in the world), Montreal World Film Festival, Les FrancoFolies de Montréal, Nuits d'Afrique\xa0[fr], Pop Montreal, Divers/Cité, Fierté Montréal and the Montreal Fireworks Festival, Igloofest, Piknic Electronik, Montréal en Lumiere, Osheaga, Heavy Montreal, Mode + Design, Montréal complètement cirque, MUTEK, Black and Blue, and many smaller festivals...."", '...The Orchestre Métropolitain du Grand Montréal and the chamber orchestra I Musici de Montréal are two other well-regarded Montreal orchestras....', ""...Also performing at Place des Arts are the Opéra de Montréal and the city's chief ballet company Les Grands Ballets Canadiens...."", '...The McGill Redbirds, Concordia Stingers, and Université de Montréal Carabins play in the U Sports football league....', ""...CF Montréal (formerly known as the Montreal Impact) are the city's professional soccer team...."", '...The Circuit Gilles Villeneuve also hosted a round of the Champ Car World Series from 2002 to 2007, and was home to the NAPA Auto Parts 200, a NASCAR Nationwide Series race, and the Montréal 200, a Grand Am Rolex Sports Car Series race....', '...Montreal has three daily newspapers, the English-language Montreal Gazette and the French-language Le Journal de Montréal, and Le Devoir; another French-language daily, La Presse, became an online daily in 2018....', '...The city is only one component of the larger Montreal Metropolitan Community (Communauté Métropolitaine de Montréal, CMM), which is in charge of planning, coordinating, and financing economic development, public transportation, garbage collection and waste management, etc., across the metropolitan area....', '...Law enforcement on the island itself is provided by the Service de Police de la Ville de Montréal, or the SPVM for short....', ""...French-language elementary and secondary public schools in Montreal are operated by the Centre de services scolaire de Montréal (CSDM), Centre de services scolaire Marguerite-Bourgeoys and the Centre de services scolaire de la Pointe-de-l'Île...."", '...Université de Montréal (UdeM) is the second largest research university in Canada and ranked as one of the top universities in Canada. Two separate institutions are affiliated to the university: the École Polytechnique de Montréal (School of Engineering) and HEC Montréal (School of Business). HEC Montreal was founded in 1907 and is considered one of the best business schools in Canada....', '...Université du Québec à Montréal (UQAM) is the Montreal campus of Université du Québec. UQAM generally specializes in liberal-arts, although many programs related to the sciences are available....', ""*...The Université du Québec network also has three separately run schools in Montréal, notably the École de technologie supérieure (ETS), the École nationale d'administration publique (ÉNAP) and the Institut national de la recherche scientifique (INRS)...."", ""...L'Institut de formation théologique de Montréal des Prêtres de Saint-Sulpice (IFTM) specializes in theology and philosophy...."", '...Conservatoire de musique du Québec à Montréal offers both a Bachelor and a Master program in classical music....', '...The subway and bus system are operated by the Société de transport de Montréal (STM, Montreal Transit Society)....']","A-40;Ottawa-Gatineau;Montréal;Québec, Autoroute Chomedey, Bois-Francs, Saint-Laurent, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H4S 1Z1, Canada","{""coordinates"": [-73.728793, 45.485161], ""type"": ""Point""}","A-40;Ottawa-Gatineau;Montréal;Québec, Autoroute Chomedey, Bois-Francs, Saint-Laurent, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H4S 1Z1, Canada",highway,motorway_junction
15,Pointe-à-Callière,Pointe-à-Callière,"['*...At the confluence of Petite Riviere and St. Lawrence River, it is where present-day Pointe-à-Callière stands....', ""...Other notable neighbourhoods include the multicultural areas of Notre-Dame-de-Grâce and Côte-des-Neiges in the Côte-des-Neiges–Notre-Dame-de-Grace borough, and Little Italy in the borough of Rosemont–La Petite-Patrie and Hochelaga-Maisonneuve, home of the Olympic Stadium in the borough of Mercier–Hochelaga-Maisonneuve.[citation needed]\nOld Montreal is a historic area southeast of downtown containing many attractions such as the Old Port of Montreal, Place Jacques-Cartier, Montreal City Hall, the Bonsecours Market, Place d'Armes, Pointe-à-Callière Museum, the Notre-Dame de Montréal Basilica, and the Montreal Science Centre.[citation needed]\nArchitecture and cobbled streets in Old Montreal have been maintained or restored....""]","Pointe-à-Callière, 350, Place Royale, Old Montreal, Ville-Marie, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H2Y 3Y5, Canada","{""coordinates"": [-73.554181, 45.502631], ""type"": ""Point""}","Pointe-à-Callière, 350, Place Royale, Old Montreal, Ville-Marie, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H2Y 3Y5, Canada",tourism,museum
16,Ville-Marie,Ville-Marie,"['*...Founded in 1642 as Ville-Marie, or ""City of Mary"", it is named after Mount Royal, the triple-peaked hill around which the early city of Ville-Marie is built....', '...Evidence of earlier occupation of the island, such as those uncovered in 1642 during the construction of Fort Ville-Marie, have effectively been removed....', '*...On May 17, 1642, Ville-Marie was founded on the southern shore of Montreal island, with Maisonneuve as its first governor....', '*...By 1643, Ville-Marie had come under Iroquois raids....', '*...By 1685, Ville-Marie was home to some 600 colonists, most of them living in modest wooden houses....', '*...Ville-Marie became a centre for the fur trade and a base for further exploration....', '*...To encourage French settlement, it wanted the Mohawk to move away from the fur trading post at Ville-Marie....', '*...Ville-Marie was the name for the settlement that appeared in all official documents until 1705, when Montreal appeared for the first time, although people referred to the ""Island of Montreal"" long before then....', '...The island of Montreal is a hub for the Quebec Autoroute system, and is served by Quebec Autoroutes A-10 (known as the Bonaventure Expressway on the island of Montreal), A-15 (aka the Decarie Expressway south of the A-40 and the Laurentian Autoroute to the north of it), A-13 (aka Chomedey Autoroute), A-20, A-25, A-40 (part of the Trans-Canada Highway system, and known as ""The Metropolitan"" or simply ""The Met"" in its elevated mid-town section), A-520 and R-136 (aka the Ville-Marie Autoroute)....']","Place Ville-Marie, Place Monseigneur-Charbonneau, Ville-Marie, René-Lévesque, Ville-Marie, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3B 2E3, Canada","{""coordinates"": [-73.568627, 45.501603], ""type"": ""Point""}","Place Ville-Marie, Place Monseigneur-Charbonneau, Ville-Marie, René-Lévesque, Ville-Marie, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3B 2E3, Canada",building,office
22,Fort Senneville,Fort Senneville,['*...Forster advanced to Fort Senneville on May 23....'],"Fort Senneville, Pont de l'Île-aux-Tourtes, Senneville, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H9X 3R3, Canada","{""coordinates"": [-73.97428, 45.425858], ""type"": ""Point""}","Fort Senneville, Pont de l'Île-aux-Tourtes, Senneville, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H9X 3R3, Canada",historic,ruins
24,Lachine Canal,Lachine Canal,"['...The opening of the Lachine Canal permitted ships to bypass the unnavigable Lachine Rapids, while the construction of the Victoria Bridge established Montreal as a major railway hub....']","Voie piétonne du Canal Lachine, Griffintown, Le Sud-Ouest, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3C 0S8, Canada","{""coordinates"": [-73.561333, 45.488597], ""type"": ""Point""}","Voie piétonne du Canal Lachine, Griffintown, Le Sud-Ouest, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H3C 0S8, Canada",highway,footway
25,Lachine Rapids,Lachine Rapids,"['*...The opening of the Lachine Canal permitted ships to bypass the unnavigable Lachine Rapids, while the construction of the Victoria Bridge established Montreal as a major railway hub....']","The Lachine Rapids, Piste cyclable des Berges, Sault-Saint-Louis, LaSalle, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H8P 1X6, Canada","{""coordinates"": [-73.591467, 45.425984], ""type"": ""Point""}","The Lachine Rapids, Piste cyclable des Berges, Sault-Saint-Louis, LaSalle, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H8P 1X6, Canada",historic,memorial
28,North America,North America,"['*...By 1860, it was the largest municipality in British North America and the undisputed economic and cultural centre of Canada....', ""*...Historically Montreal has been a centre of Catholicism in North America with its numerous seminaries and churches, including the Notre-Dame Basilica, the Cathédrale Marie-Reine-du-Monde, and Saint Joseph's Oratory...."", '*...In 2002, Montreal was the fourth-largest centre in North America in terms of aerospace jobs....', ""...They joined North America's biggest soccer league, Major League Soccer, in 2012...."", '*...The education system in Quebec is different from other systems in North America....', '*...With four universities, ten other degree-awarding institutions, and 12 CEGEPs in an 8\xa0km (5.0\xa0mi) radius, Montreal has the highest concentration of post-secondary students of all major cities in North America (4.38 students per 100 residents, followed by Boston at 4.37 students per 100 residents)....', '*...The STM won the award of Outstanding Public Transit System in North America by the APTA in 2010....', '*...Airlines servicing Trudeau offer year-round non-stop flights to five continents, namely Africa, Asia, Europe, North America and South America....', '*...It carried an average of 79,000 daily passengers in 2014, making it the seventh busiest in North America following New York, Chicago, Toronto, Boston, Philadelphia, and Mexico City....']","Canada Metal North America, 8271, Rue Lafrenaie, Grande-Prairie, Saint-Léonard, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H1P 2B1, Canada","{""coordinates"": [-73.584207, 45.597744], ""type"": ""Point""}","Canada Metal North America, 8271, Rue Lafrenaie, Grande-Prairie, Saint-Léonard, Montreal, Urban agglomeration of Montreal, Montreal (administrative region), Quebec, H1P 2B1, Canada",office,company
