,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Central Russia,Central Russia,"['*...The city stands on the Moskva River in Central Russia, with a population estimated at 13.0 million residents within the city limits, over 17 million residents in the urban area, and over 21.5 million residents in the metropolitan area....', '...Moscow is situated on the banks of the Moskva River, which flows for just over 500\xa0km (311\xa0mi) through the East European Plain in central Russia, not far from the natural border of the forest and forest-steppe zone....', '*...Along with a southern part of Central Russia, after recent years of hot summer seasons, the climate of the city gets hot-summer classification trends....']","State Central Museum of Contemporary History of Russia, 21, Tverskaya Street, 49, Tverskoy District, Moscow, Central Federal District, 127006, Russia","{""coordinates"": [37.601556, 55.766158], ""type"": ""Point""}","State Central Museum of Contemporary History of Russia, 21, Tverskaya Street, 49, Tverskoy District, Moscow, Central Federal District, 127006, Russia",tourism,museum
2,Europe,Europe,"[""*...Moscow is among the world's largest cities; being the most populous city entirely in Europe, the largest urban and metropolitan area in Europe, and the largest city by land area on the European continent...."", '...The northernmost and coldest megacity in the world, Moscow is governed as a federal city, where it serves as the political, economic, cultural, and scientific center of Russia and Eastern Europe....', ""*...The city is one of the fastest-growing tourist destinations in the world, and is one of Europe's most visited cities...."", ""*...The Moscow International Business Center is one of the largest financial centers in Europe and the world, and features the majority of Europe's tallest skyscrapers...."", '*...Moscow is home to many Russian companies in numerous industries and is served by a comprehensive transit network, which includes four international airports, ten railway terminals, a tram system, a monorail system, and most notably the Moscow Metro, the busiest metro system in Europe, and one of the largest rapid transit systems in the world....', '*...The city has over 40 percent of its territory covered by greenery, making it one of the greenest cities in Europe and the world....', '...In a similar manner the Latin name Moscovia has been formed, later it became a colloquial name for Russia used in Western Europe in the 16th–17th centuries....', ""...Some organizations, such as Moscow Architecture Preservation Society and Save Europe's Heritage, are trying to draw the international public attention to these problems...."", '...Moscow is a very green city, if compared to other cities of comparable size in Western Europe and North America; this is partly due to a history of having green ""yards"" with trees and grass, between residential buildings....', '*...The Garden features the Green Theater, one of the largest open amphitheaters in Europe, able to hold up to 15 thousand people....', '*...Tsytsin Main Botanical Garden of Academy of Sciences, founded in 1945 is the largest in Europe....', '*...Moscow is home to 63 stadiums (besides eight football and eleven light athletics maneges), of which Luzhniki Stadium is the largest and the 4th biggest in Europe (it hosted the 1998–99 UEFA Cup, 2007–08 UEFA Champions League finals, the 1980 Summer Olympics, and the 2018 FIFA World Cup with 7 games total, including the final)....', '*...The most titled volleyball team in the Soviet Union and in Europe (CEV Champions League) is VC CSKA Moscow....', '*...MFK Dinamo Moskva is one of the major futsal clubs in Europe, having won the Futsal Champions League title once....', '*...It is the largest indoor theme park in Europe....', ""*...Moscow has one of the largest municipal economies in Europe and it accounts more than one-fifth of Russia's gross domestic product (GDP)...."", '*...Moscow is home to the third-highest number of billionaires of any city in the world, and has the highest number of billionaires of any city in Europe....', '*...It is one of the largest medical universities in Russia and Europe....', ""*...Student exchange programs with numerous countries, specially with the rest of Europe, have also become widespread in Moscow's universities, while schools within the Russian capital also offer seminars, lectures, and courses for corporate employees and businessmen...."", ""*...The Kurchatov Institute, Russia's leading research and development institution in the fields of nuclear energy, where the first nuclear reactor in Europe was built, the Landau Institute for Theoretical Physics, Institute for Theoretical and Experimental Physics, Kapitza Institute for Physical Problems and Steklov Institute of Mathematics are all situated in Moscow...."", '*...The Metro is one of the deepest subway systems in the world; for instance, the Park Pobedy station, completed in 2003, at 84 metres (276\xa0ft) underground, has the longest escalators in Europe....', ""*...The Moscow Metro is the busiest metro system in Europe, as well as one of the world's busiest metro systems, serving about ten million passengers daily (300,000,000 people every month)...."", '*...Each station handles trains from different parts of Europe and Asia....', ""*...In 2018 the mayor Sergey Sobyanin said Moscow's car sharing system has become the biggest in Europe in terms of vehicle fleet...."", '...In 1992, the Moscow government began planning a projected new part of central Moscow, the Moscow International Business Center, with the goal of creating a zone, the first in Russia, and in all of Eastern Europe, that will combine business activity, living space and entertainment....', '*...The Federation Tower, completed in 2016, is the second-tallest building in Europe....']","Europe, 56Б, Первомайская улица, Виноградовские Горки, Dolgoprudny, Moscow Oblast, Central Federal District, 141707, Russia","{""coordinates"": [37.517246, 55.939548], ""type"": ""Point""}","Europe, 56Б, Первомайская улица, Виноградовские Горки, Dolgoprudny, Moscow Oblast, Central Federal District, 141707, Russia",amenity,restaurant
5,Red Square,Red Square,"[""*...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", '...In the time of Ivan III, the Red Square, originally named the Hollow Field (Полое поле) appeared....', ""...The last two were directly opposite the Red Square, while the Konstantino-Elenensky gate was located behind Saint Basil's Cathedral...."", '*...He designed spacious elongated shop galleries, most notably the GUM department store on Red Square, bridged with innovative metal-and-glass vaults....', ""*...Some of the more famous attractions include the city's UNESCO World Heritage Site, Moscow Kremlin and Red Square, which was built between the 14th and 17th centuries...."", '*...The State Historical Museum of Russia (Государственный Исторический музей) is a museum of Russian history located between Red Square and Manege Square in Moscow....', ""*...14 hotspots were positioned across the city's main tourist attractions, including Lubyanka Square near Red Square, the Moscow City financial district and the VDNKh exhibition center....""]","Red Square, площадь Васильевский Спуск, 15, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia","{""coordinates"": [37.623978, 55.751238], ""type"": ""Point""}","Red Square, площадь Васильевский Спуск, 15, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia",highway,bus_stop
6,Saint Basil's Cathedral,Saint Basil's Cathedral,"[""...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", ""*...The last two were directly opposite the Red Square, while the Konstantino-Elenensky gate was located behind Saint Basil's Cathedral...."", ""*...Moscow is the site of Saint Basil's Cathedral, with its elegant onion domes, as well as the Cathedral of Christ the Savior and the Seven Sisters....""]","Saint Basil's Cathedral, 2, Red Square, 2, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia","{""coordinates"": [37.623063, 55.752488], ""type"": ""Point""}","Saint Basil's Cathedral, 2, Red Square, 2, Kitay-gorod, Tverskoy District, Moscow, Central Federal District, 109012, Russia",place,house
7,Moscow Kremlin,Moscow Kremlin,"[""...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", '...The original Moscow Kremlin was built in the 14th century....', ""*...Some of the more famous attractions include the city's UNESCO World Heritage Site, Moscow Kremlin and Red Square, which was built between the 14th and 17th centuries...."", '...In addition, the Moscow Kremlin is the official residence of the President of the Russian Federation....']","Moscow Kremlin, Kremlin Embankment, 15, 19, Tverskoy District, Moscow, Central Federal District, 119019, Russia","{""coordinates"": [37.618153, 55.751495], ""type"": ""Point""}","Moscow Kremlin, Kremlin Embankment, 15, 19, Tverskoy District, Moscow, Central Federal District, 119019, Russia",tourism,attraction
10,Moscow River,Moscow River,"['...The timber fort na Moskvě ""on the Moscow River"" was inherited by Daniel, the youngest son of Alexander Nevsky, in the 1260s, at the time considered the least valuable of his father\'s possessions....', '...In 1592, an outer earth rampart with 50 towers was erected around the city, including an area on the right bank of the Moscow River....']","River Club Moscow, Новощукинская улица, Shchukino District, Moscow, Central Federal District, 123367, Russia","{""coordinates"": [37.44853, 55.805799], ""type"": ""Point""}","River Club Moscow, Новощукинская улица, Shchukino District, Moscow, Central Federal District, 123367, Russia",man_made,pier
11,Kremlin,Kremlin,"[""...The city is home to several UNESCO World Heritage Sites and is well known for its display of Russian architecture, particularly its historic Red Square, and buildings such as the Saint Basil's Cathedral and the Moscow Kremlin, of which the latter serves as the seat of power of the Government of Russia...."", '*...On the right bank of the Moskva River, at a distance of eight kilometres (5\xa0mi) from the Kremlin, not later than in 1282, Daniel founded the first monastery with the wooden church of St. Daniel-Stylite, which is now the Danilov Monastery....', '*...The original Moscow Kremlin was built in the 14th century....', '*...It was reconstructed by Ivan, who in the 1480s invited architects from Renaissance Italy, such as Petrus Antonius Solarius, who designed the new Kremlin wall and its towers, and Marco Ruffo who designed the new palace for the prince....', '*...The Kremlin walls as they now appear are those designed by Solarius, completed in 1495....', ""*...The Kremlin's Great Bell Tower was built in 1505–08 and augmented to its present height in 1600...."", '*...A trading settlement, or posad, grew up to the east of the Kremlin, in the area known as Zaradye (Зарядье)....', '*...However, in 1547, two fires destroyed much of the town, and in 1571 the Crimean Tatars captured Moscow, burning everything except the Kremlin....', '*...Three square gates existed on the eastern side of the Kremlin wall, which in the 17th century, were known as Konstantino-Eleninsky, Spassky, Nikolsky (owing their names to the icons of Constantine and Helen, the Saviour and St. Nicholas that hung over them)....', '*...In 1612, the people of Nizhny Novgorod and other Russian cities conducted by prince Dmitry Pozharsky and Kuzma Minin rose against the Polish occupants, besieged the Kremlin, and expelled them....', '...Among many buildings constructed or reconstructed at this time was the Grand Kremlin Palace and the Kremlin Armoury, the Moscow University, the Moscow Manege (Riding School), and the Bolshoi Theatre....', '*...In the early 19th century, the Arch of Konstantino-Elenensky gate was paved with bricks, but the Spassky Gate was the main front gate of the Kremlin and used for royal entrances....', '*...The Kremlin once again became the seat of power and the political centre of the new state....', '*...The first Kremlin was built in the middle of the 12th century....', '*...The Kremlin was rebuilt in the 15th century....', '*...Perhaps the most recognizable contributions of the Stalinist period are the so-called Seven Sisters, seven massive skyscrapers scattered throughout the city at about an equal distance from the Kremlin....', ""...Some of the more famous attractions include the city's UNESCO World Heritage Site, Moscow Kremlin and Red Square, which was built between the 14th and 17th centuries...."", ""*...Moscow's road system is centered roughly on the Kremlin at the heart of the city...."", '*...The Shchusev State Museum of Architecture is the national museum of Russian architecture by the name of the architect Alexey Shchusev near the Kremlin area....', '...Moscow hosts the annual Kremlin Cup, a popular tennis tournament on both the WTA and ATP tours....', '...In addition, the Moscow Kremlin is the official residence of the President of the Russian Federation....', ""*...The president's working residence in the Kremlin is located in the Senate Palace...."", ""*...The following fortifications served as the city's circular defense boundaries at some point in history: the Kremlin walls, Zemlyanoy Gorod (Earthwork Town), the Kamer-Kollezhsky Rampart, the Garden Ring, and the small railway ring....""]","Kremlin, Pyatnitskaya Street, Zamoskvorechye District, Moscow, Central Federal District, 115035, Russia","{""coordinates"": [37.627564, 55.743884], ""type"": ""Point""}","Kremlin, Pyatnitskaya Street, Zamoskvorechye District, Moscow, Central Federal District, 115035, Russia",tourism,hostel
13,Siberia,Siberia,"['*...In 1480, Ivan III had finally broken the Russians free from Tatar control, and Moscow became the capital of an empire that would eventually encompass all of Russia and Siberia, and parts of many other lands....']","Siberia, Armyanskiy Lane, Ivanovskaya Gorka, Basmanny District, Moscow, Central Federal District, 101000, Russia","{""coordinates"": [37.63641, 55.758716], ""type"": ""Point""}","Siberia, Armyanskiy Lane, Ivanovskaya Gorka, Basmanny District, Moscow, Central Federal District, 101000, Russia",tourism,hostel
14,Great Bell Tower,Great Bell Tower,"[""*...The Kremlin's Great Bell Tower was built in 1505–08 and augmented to its present height in 1600....""]","Ivan the Great Bell Tower, Кремль, Tverskoy District, Moscow, Central Federal District, 103073, Russia","{""coordinates"": [37.61823, 55.750741], ""type"": ""Point""}","Ivan the Great Bell Tower, Кремль, Tverskoy District, Moscow, Central Federal District, 103073, Russia",amenity,place_of_worship
17,White City,White City,"['...In the 16th and 17th centuries, the three circular defenses were built: Kitay-gorod (Китай-город), the White City (Белый город) and the Earthen City (Земляной город)....']","Fragment of White City’s wall, Покровский бульвар, Ivanovskaya Gorka, Basmanny District, Moscow, Central Federal District, 101000, Russia","{""coordinates"": [37.646275, 55.758275], ""type"": ""Point""}","Fragment of White City’s wall, Покровский бульвар, Ivanovskaya Gorka, Basmanny District, Moscow, Central Federal District, 101000, Russia",tourism,attraction
