,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Europe,Europe,"['*...The Paris Region had a GDP of €739 billion ($743 billion) in 2019, the highest in Europe....', '*...Paris is a major railway, highway, and air-transport hub served by two international airports: Charles de Gaulle Airport (the second-busiest airport in Europe) and Orly Airport....', ""*...Opened in 1900, the city's subway system, the Paris Métro, serves 5.23 million passengers daily; it is the second-busiest metro system in Europe after the Moscow Metro...."", ""*...The Pompidou Centre Musée National d'Art Moderne has the largest collection of modern and contemporary art in Europe and Musée Rodin and Musée Picasso...."", ""*...In 1190, he transformed Paris's former cathedral school into a student-teacher corporation that would become the University of Paris and would draw students from all of Europe...."", '*...With 200,000 inhabitants in 1328, Paris, then already the capital of France, was the most populous city of Europe....', '*...By the early fourteenth century so much filth had collected inside urban Europe that French and Italian cities were naming streets after human waste....', '*...During the 17th century, Cardinal Richelieu, chief minister of Louis XIII, was determined to make Paris the most beautiful city in Europe....', '*...Paris was the financial capital of continental Europe, the primary European centre of book publishing and fashion and the manufacture of fine furniture and luxury goods....', '*...Despite the drop, Paris remains the most densely-populated city in Europe, with 252 residents per hectare, not counting parks....', '*...According to the 2012 census, 135,853 residents of the City of Paris were immigrants from Europe, 112,369 were immigrants from the Maghreb, 70,852 from sub-Saharan Africa and Egypt, 5,059 from Turkey, 91,297 from Asia (outside Turkey), 38,858 from the Americas, and 1,365 from the South Pacific....', '*...In the Paris Region, 590,504 residents were immigrants from Europe, 627,078 were immigrants from the Maghreb, 435,339 from sub-Saharan Africa and Egypt, 69,338 from Turkey, 322,330 from Asia (outside Turkey), 113,363 from the Americas, and 2,261 from the South Pacific....', '*...In 2019, its GDP ranked first among the regions of Europe and its per-capita GDP PPP was the 7th highest in Europe....', '*...In the 2017 worldwide cost of living survey by the Economist Intelligence Unit, based on a survey made in September 2016, Paris ranked as the seventh most expensive city in the world, and the second most expensive in Europe, after Zurich....', ""*...Paris hosts one of the largest science museums in Europe, the Cité des sciences et de l'industrie, (984,000 visitors in 2020)...."", '*...The Guimet Museum, or Musée national des arts asiatiques, has one of the largest collections of Asian art in Europe....', '*...On 2 February 2000, Philippe Binant realised the first digital Cinema projection in Europe, with the DLP CINEMA technology developed by Texas Instruments, in Paris....', '...There are also many business schools, including HEC, INSEAD, ESSEC, and ESCP Europe....', '*...It is the largest hospital system in Europe....', '*...Other hospitals include Pitié-Salpêtrière Hospital (one of the largest in Europe), Hôpital Cochin, Bichat–Claude Bernard Hospital, Hôpital Européen Georges-Pompidou, Bicêtre Hospital, Beaujon Hospital, the Curie Institute, Lariboisière Hospital, Necker–Enfants Malades Hospital, Hôpital Saint-Louis, Hôpital de la Charité and the American Hospital of Paris....']","Europe, Rue de Vienne, Quartier de l'Europe, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France","{""coordinates"": [2.32319, 48.878643], ""type"": ""Point""}","Europe, Rue de Vienne, Quartier de l'Europe, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France",highway,bus_stop
2,Orly Airport,Orly Airport,"['*...Paris is a major railway, highway, and air-transport hub served by two international airports: Charles de Gaulle Airport (the second-busiest airport in Europe) and Orly Airport....', '*...The city is served by three commercial international airports: Charles de Gaulle Airport, Orly Airport and Beauvais–Tillé Airport....', '*...Orly Airport, located in the southern suburbs of Paris, replaced Le Bourget as the principal airport of Paris from the 1950s to the 1980s....']","Hilton Garden Inn Paris Orly Airport, 4, Place des États-Unis, Parc ICADE Paris Orly-Rungis, Rungis, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Ile-de-France, Metropolitan France, 94150, France","{""coordinates"": [2.355722, 48.748477], ""type"": ""Point""}","Hilton Garden Inn Paris Orly Airport, 4, Place des États-Unis, Parc ICADE Paris Orly-Rungis, Rungis, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Ile-de-France, Metropolitan France, 94150, France",tourism,hotel
3,Paris Métro,Paris Métro,"[""...Opened in 1900, the city's subway system, the Paris Métro, serves 5.23 million passengers daily; it is the second-busiest metro system in Europe after the Moscow Metro...."", '*...Late in the 19th century, Paris hosted two major international expositions: the 1889 Universal Exposition, was held to mark the centennial of the French Revolution and featured the new Eiffel Tower; and the 1900 Universal Exposition, which gave Paris the Pont Alexandre III, the Grand Palais, the Petit Palais and the first Paris Métro line....']","Gare d'Austerlitz, Pont de la Salpêtrière, Quartier de la Salpêtrière, 13th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75013, France","{""coordinates"": [2.366849, 48.840533], ""type"": ""Point""}","Gare d'Austerlitz, Pont de la Salpêtrière, Quartier de la Salpêtrière, 13th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75013, France",railway,stop
4,Gare du Nord,Gare du Nord,"['*...Gare du Nord is the 24th-busiest railway station in the world and the busiest outside Japan, with 262 million passengers in 2015....', ""*...A central hub of the national rail network, Paris's six major railway stations (Gare du Nord, Gare de l'Est, Gare de Lyon, Gare d'Austerlitz, Gare Montparnasse, Gare Saint-Lazare) and a minor one (Gare de Bercy) are connected to three networks: the TGV serving four high-speed rail lines, the normal speed Corail trains, and the suburban rails (Transilien).\nSince the inauguration of its first line in 1900, Paris's Métro network has grown to become the city's most widely used local transport system; today it carries about 5.23 million passengers daily through 16 lines, 308 stations (391 stops) and 226.9\xa0km (141.0\xa0mi) of rails....""]","Gare du Nord, Rue de Saint-Quentin, Quartier Saint-Vincent-de-Paul, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France","{""coordinates"": [2.355795, 48.879456], ""type"": ""Point""}","Gare du Nord, Rue de Saint-Quentin, Quartier Saint-Vincent-de-Paul, 10th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75010, France",highway,bus_stop
5,Louvre,Louvre,"['*...Paris is especially known for its museums and architectural landmarks: the Louvre received 2.8 million visitors in 2021, despite the long museum closings caused by the COVID-19 virus....', '*...In the late 12th century, Philip Augustus extended the Louvre fortress to defend the city against river invasions from the west, gave the city its first walls between 1190 and 1215, rebuilt its bridges to either side of its central island, and paved its main thoroughfares....', ""*...This king made several improvements to the capital during his reign: he completed the construction of Paris's first uncovered, sidewalk-lined bridge, the Pont Neuf, built a Louvre extension connecting it to the Tuileries Palace, and created the first Paris residential square, the Place Royale, now Place des Vosges...."", ""...Most of the postwar presidents of the Fifth Republic wanted to leave their own monuments in Paris; President Georges Pompidou started the Centre Georges Pompidou (1977), Valéry Giscard d'Estaing began the Musée d'Orsay (1986); President François Mitterrand, in power for 14 years, had the Opéra Bastille built (1985–1989), the new site of the Bibliothèque nationale de France (1996), the Arche de la Défense (1985–1989) in La Défense, as well as the Louvre Pyramid with its underground courtyard (1983–1989); Jacques Chirac (2006), the Musée du quai Branly...."", ""...Striking examples of 20th-century architecture include the Centre Georges Pompidou by Richard Rogers and Renzo Piano (1977), the Cité des Sciences et de l'Industrie by various architects (1986), the Arab World Institute by Jean Nouvel (1987), the Louvre Pyramid by I. M. Pei (1989) and the Opéra Bastille by Carlos Ott (1989)...."", ""*...The city's top cultural attraction in 2019 was the Basilica of Sacré-Cœur (11 million visitors), followed by the Louvre (9.6 million visitors); the Eiffel Tower (6.1 million visitors); the Centre Pompidou (3.5 million visitors); and the Musée d'Orsay (3.3 million visitors).\nThe centre of Paris contains the most visited monuments in the city, including the Notre Dame Cathedral (now closed for restoration) and the Louvre as well as the Sainte-Chapelle; Les Invalides, where the tomb of Napoleon is located, and the Eiffel Tower are located on the Left Bank south-west of the centre...."", '*...Other landmarks are laid out east to west along the historical axis of Paris, which runs from the Louvre through the Tuileries Garden, the Luxor Column in the Place de la Concorde, and the Arc de Triomphe, to the Grande Arche of La Défense....', '...The arrival of the railways and the Paris Exposition of 1855 brought the first flood of tourists and the first modern grand hotels; the Hôtel du Louvre (now an antiques marketplace) in 1855; the Grand Hotel (now the InterContinental Paris Le Grand Hotel) in 1862; and the Hôtel Continental in 1878....', '*...The Louvre received 2,8 million visitors in 2021, up from 2.7 million in 2020....', ""*...The Musée de l'Orangerie, near both the Louvre and the Orsay, also exhibits Impressionists and Post-Impressionists, including most of Claude Monet's large Water Lilies murals...."", '*...Run by the Government of France, it performs mostly French classics at the Salle Richelieu in the Palais-Royal at 2 rue de Richelieu, just north of the Louvre....', '...Paris Fashion Week, held in January and July in the Carrousel du Louvre among other renowned city locations, is one of the top four events on the international fashion calendar....']","Louvre Museum, Rue Saint-Honoré, Quartier du Palais Royal, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France","{""coordinates"": [2.338028, 48.861147], ""type"": ""Point""}","Louvre Museum, Rue Saint-Honoré, Quartier du Palais Royal, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France",tourism,museum
6,Seine,Seine,"['*...The historical district along the Seine in the city centre has been classified as a UNESCO World Heritage Site since 1991; popular landmarks there include the Cathedral of Notre Dame de Paris on the Île de la Cité, now closed for renovation after the 15 April 2019 fire....', ""*...One of the area's major north–south trade routes crossed the Seine on the île de la Cité; this meeting place of land and water trade routes gradually became an important trading centre...."", ""...After the marshland between the river Seine and its slower 'dead arm' to its north was filled in from around the 10th century, Paris's cultural centre began to move to the Right Bank...."", '*...His successor, Napoleon III, alongside the newly appointed prefect of the Seine, Georges-Eugène Haussmann, launched a gigantic public works project to build wide new boulevards, a new opera house, a central market, new aqueducts, sewers and parks, including the Bois de Boulogne and Bois de Vincennes....', '*...On 17 October 1961, an unauthorised but peaceful protest demonstration of Algerians against the curfew led to violent confrontations between the police and demonstrators, in which at least 40 people were killed, including some thrown into the Seine....', '...Bertrand Delanoë also transformed a section of the highway along the Left Bank of the Seine into an urban promenade and park, the Promenade des Berges de la Seine, which he inaugurated in June 2013....', '*...Paris is located in northern central France, in a north-bending arc of the river Seine whose crest includes two islands, the Île Saint-Louis and the larger Île de la Cité, which form the oldest part of the city....', '*...For most of the time from 1800 to 1977 (except briefly in 1848 and 1870–71), it was directly controlled by the departmental prefect (the prefect of the Seine until 1968, and the prefect of Paris from 1968 to 1977)....', ""...It includes the City of Paris, plus the communes of the three departments of the inner suburbs (Hauts-de-Seine, Seine-Saint-Denis and Val-de-Marne), plus seven communes in the outer suburbs, including Argenteuil in Val d'Oise and Paray-Vieille-Poste in Essonne, which were added to include the major airports of Paris...."", '*...At its origin, before the Middle Ages, the city was composed of several islands and sandbanks in a bend of the Seine; of those, two remain today: Île Saint-Louis and the Île de la Cité....', '*...Modern Paris owes much of its downtown plan and architectural harmony to Napoleon III and his Prefect of the Seine, Baron Haussmann....', '*...A greater administrative Seine department had been governing Paris and its suburbs since its creation in 1790, but the rising suburban population had made it difficult to maintain as a unique entity....', ""...To the north of the city, they are grouped mainly in the Seine-Saint-Denis department, and to a lesser extreme to the east in the Val-d'Oise department...."", '...Other difficult areas are located in the Seine valley, in Évry et Corbeil-Essonnes (Essonne), in Mureaux, Mantes-la-Jolie (Yvelines), and scattered among social housing districts created by Delouvrier\'s 1961 ""ville nouvelle"" political initiative....', '...According to the same census, three departments bordering Paris, Hauts-de-Seine, Seine-Saint-Denis and Val-de-Marne, had population densities of over 10,000 people per square kilometre, ranking among the 10 most densely populated areas of the EU.[verification needed]...', '...Two other important districts, Neuilly-sur-Seine and Levallois-Perret, are extensions of the Paris business district and of La Défense....', '...The top French companies listed in the Fortune Global 500 for 2021 all have their headquarters in the Paris Region; six in the central business district of the City of Paris; and four close to the city in the Hauts-de-Seine Department, three in La Défense and one in Boulogne-Billancourt....', ""...The Paris region's most intense economic activity through the central Hauts-de-Seine department and suburban La Défense business district places Paris's economic centre to the west of the city, in a triangle between the Opéra Garnier, La Défense and the Val de Seine...."", '...Outside Paris, the western Hauts-de-Seine department La Défense district specialising in finance, insurance and scientific research district, employs 144,600, and the north-eastern Seine-Saint-Denis audiovisual sector has 200 media firms and 10 major film studios....', '...In 2011, while only 56,927 construction workers worked in Paris itself, its metropolitan area employed 246,639, in an activity centred largely on the Seine-Saint-Denis (41,378) and Hauts-de-Seine (37,303) departments and the new business-park centres appearing there....', '...The Panthéon and the Catacombs of Paris are also located on the Left Bank of the Seine....', ""*...The banks of the Seine from the Pont de Sully west to the Pont d'Iéna have been listed as a UNESCO World Heritage Site since 1991...."", '...Several other much-visited landmarks are located in the suburbs of the city; the Basilica of St Denis, in Seine-Saint-Denis, is the birthplace of the Gothic style of architecture and the royal necropolis of French kings and queens....', '*...There are about 150 bookstores in the 5th arrondissement alone, plus another 250 book stalls along the Seine....', '...Several yearly festivals take place in Paris, including the Paris Jazz Festival and the rock festival Rock en Seine....', '*...Most of the major fashion designers have their showrooms along the Avenue Montaigne, between the Champs-Élysées and the Seine....', ""...Some other yearly festivals are Paris-Plages, a festive event that lasts from mid-July to mid-August when the Right Bank of the Seine is converted into a temporary beach with sand, deck chairs and palm trees; Journées du Patrimoine, Fête de la Musique, Techno Parade, Nuit Blanche, Cinéma au clair de lune, Printemps des rues, Festival d'automne, and Fête des jardins...."", '...The Parisian school of journalism CELSA department of Sorbonne University is located in Neuilly-sur-Seine....', ""...In addition, the Paris region is served by a light rail network of nine lines, the tramway: Line T1 runs from Asnières-Gennevilliers to Noisy-le-Sec, Line T2 runs from Pont de Bezons to Porte de Versailles, Line T3a runs from Pont du Garigliano to Porte de Vincennes, Line T3b runs from Porte de Vincennes to Porte d'Asnières, Line T5 runs from Saint-Denis to Garges-Sarcelles, Line T6 runs from Châtillon to Viroflay, Line T7 runs from Villejuif to Athis-Mons, Line T8 runs from Saint-Denis to Épinay-sur-Seine and Villetaneuse, all of which are operated by the RATP Group, and line T4 runs from Bondy RER to Aulnay-sous-Bois, which is operated by the state rail carrier SNCF...."", ""*...The rivers Loire, Rhine, Rhône, Meuse, and Scheldt can be reached by canals connecting with the Seine, which include the Canal Saint-Martin, Canal Saint-Denis, and the Canal de l'Ourcq...."", ""...A quarter of the city's district heating is to come from a plant in Saint-Ouen-sur-Seine, burning a 50/50-mix of coal and 140,000 tonnes of wood pellets from the United States per year...."", '*...Paris in its early history had only the rivers Seine and Bièvre for water....', ""*...One of the newest parks, the Promenade des Berges de la Seine (2013), built on a former highway on the left bank of the Seine between the Pont de l'Alma and the Musée d'Orsay, has floating gardens and gives a view of the city's landmarks...."", ""...Paris and its close suburbs are home to numerous newspapers, magazines and publications including Le Monde, Le Figaro, Libération, Le Nouvel Observateur, Le Canard enchaîné, La Croix, Le Parisien (in Saint-Ouen), Les Échos, Paris Match (Neuilly-sur-Seine), Réseaux & Télécoms, Reuters France, l'Équipe (Boulogne-Billancourt) and L'Officiel des Spectacles...."", '...France 2, France 3, Canal+, France 5, M6 (Neuilly-sur-Seine), Arte, D8, W9, NT1, NRJ 12, La Chaîne parlementaire, France 4, BFM TV, and Gulli are other stations located in and around the capital....']","Rue de Seine, Quartier de l'Odéon, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France","{""coordinates"": [2.337022, 48.852144], ""type"": ""Point""}","Rue de Seine, Quartier de l'Odéon, 6th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75006, France",highway,tertiary
7,Cathedral of Notre Dame de Paris,Cathedral of Notre Dame de Paris,"['...The historical district along the Seine in the city centre has been classified as a UNESCO World Heritage Site since 1991; popular landmarks there include the Cathedral of Notre Dame de Paris on the Île de la Cité, now closed for renovation after the 15 April 2019 fire....']","Cathedral of Notre Dame, 6, Parvis Notre-Dame - Place Jean-Paul II, Quartier Les Îles, 4th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75004, France","{""coordinates"": [2.35005, 48.852937], ""type"": ""Point""}","Cathedral of Notre Dame, 6, Parvis Notre-Dame - Place Jean-Paul II, Quartier Les Îles, 4th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75004, France",amenity,place_of_worship
9,Sainte-Chapelle,Sainte-Chapelle,"['*...Other popular tourist sites include the Gothic royal chapel of Sainte-Chapelle, also on the Île de la Cité; the Eiffel Tower, constructed for the Paris Universal Exposition of 1889; the Grand Palais and Petit Palais, built for the Paris Universal Exposition of 1900; the Arc de Triomphe on the Champs-Élysées, and the hill of Montmartre with its artistic history and its Basilica of Sacré-Coeur....', ""...The city's top cultural attraction in 2019 was the Basilica of Sacré-Cœur (11 million visitors), followed by the Louvre (9.6 million visitors); the Eiffel Tower (6.1 million visitors); the Centre Pompidou (3.5 million visitors); and the Musée d'Orsay (3.3 million visitors).\nThe centre of Paris contains the most visited monuments in the city, including the Notre Dame Cathedral (now closed for restoration) and the Louvre as well as the Sainte-Chapelle; Les Invalides, where the tomb of Napoleon is located, and the Eiffel Tower are located on the Left Bank south-west of the centre....""]","Sainte-Chapelle, 8, Boulevard du Palais, Quartier Saint-Germain-l'Auxerrois, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France","{""coordinates"": [2.344994, 48.855393], ""type"": ""Point""}","Sainte-Chapelle, 8, Boulevard du Palais, Quartier Saint-Germain-l'Auxerrois, 1st Arrondissement, Paris, Ile-de-France, Metropolitan France, 75001, France",amenity,place_of_worship
10,Eiffel Tower,Eiffel Tower,"['...Other popular tourist sites include the Gothic royal chapel of Sainte-Chapelle, also on the Île de la Cité; the Eiffel Tower, constructed for the Paris Universal Exposition of 1889; the Grand Palais and Petit Palais, built for the Paris Universal Exposition of 1900; the Arc de Triomphe on the Champs-Élysées, and the hill of Montmartre with its artistic history and its Basilica of Sacré-Coeur....', '*...Late in the 19th century, Paris hosted two major international expositions: the 1889 Universal Exposition, was held to mark the centennial of the French Revolution and featured the new Eiffel Tower; and the 1900 Universal Exposition, which gave Paris the Pont Alexandre III, the Grand Palais, the Petit Palais and the first Paris Métro line....', '...The 19th century produced the neoclassical church of La Madeleine (1808–1842), the Palais Garnier serving as an opera house (1875), the neo-Byzantine Basilica of Sacré-Cœur (1875–1919), as well as the exuberant Belle Époque modernism of the Eiffel Tower (1889)....', ""...The city's top cultural attraction in 2019 was the Basilica of Sacré-Cœur (11 million visitors), followed by the Louvre (9.6 million visitors); the Eiffel Tower (6.1 million visitors); the Centre Pompidou (3.5 million visitors); and the Musée d'Orsay (3.3 million visitors).\nThe centre of Paris contains the most visited monuments in the city, including the Notre Dame Cathedral (now closed for restoration) and the Louvre as well as the Sainte-Chapelle; Les Invalides, where the tomb of Napoleon is located, and the Eiffel Tower are located on the Left Bank south-west of the centre...."", '...It includes a flypast over the Champs Élysées by the Patrouille de France, a parade of military units and equipment, and a display of fireworks in the evening, the most spectacular being the one at the Eiffel Tower....']","Eiffel Tower, 5, Avenue Anatole France, Quartier du Gros-Caillou, 7th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75007, France","{""coordinates"": [2.294499, 48.85826], ""type"": ""Point""}","Eiffel Tower, 5, Avenue Anatole France, Quartier du Gros-Caillou, 7th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75007, France",tourism,attraction
11,Grand Palais,Grand Palais,"['...Other popular tourist sites include the Gothic royal chapel of Sainte-Chapelle, also on the Île de la Cité; the Eiffel Tower, constructed for the Paris Universal Exposition of 1889; the Grand Palais and Petit Palais, built for the Paris Universal Exposition of 1900; the Arc de Triomphe on the Champs-Élysées, and the hill of Montmartre with its artistic history and its Basilica of Sacré-Coeur....', '...Late in the 19th century, Paris hosted two major international expositions: the 1889 Universal Exposition, was held to mark the centennial of the French Revolution and featured the new Eiffel Tower; and the 1900 Universal Exposition, which gave Paris the Pont Alexandre III, the Grand Palais, the Petit Palais and the first Paris Métro line....']","Grand Palais, Piste Pierre et Ernest Michaux, Quartier des Champs-Élysées, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France","{""coordinates"": [2.314448, 48.864632], ""type"": ""Point""}","Grand Palais, Piste Pierre et Ernest Michaux, Quartier des Champs-Élysées, 8th Arrondissement of Paris, Paris, Ile-de-France, Metropolitan France, 75008, France",highway,bus_stop
