,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Europe,Europe,"[""*...Saint Petersburg is the fourth-most populous city in Europe, the most populous city on the Baltic Sea, and the world's northernmost city of more than 1\xa0million residents...."", '*...It is considered an important economic, scientific, and tourism centre of Russia and Europe....', '*...Saint Petersburg is home to the Hermitage, one of the largest art museums in the world, the Lakhta Center, the tallest skyscraper in Europe, and was one of the host cities of the 2018 FIFA World Cup and the UEFA Euro 2020....', '...Saint Petersburg has been traditionally called the ""Window to Europe"" and the ""Window to the West"" by the Russians....', '*...At the end of the 17th century, Peter the Great, who was interested in seafaring and maritime affairs, wanted Russia to gain a seaport to trade with the rest of Europe....', ""*...Saint Petersburg surpassed Moscow in population and industrial growth; it became one of the largest industrial cities in Europe, with a major naval base (in Kronstadt), the Neva River, and a seaport on the Baltic.\nThe names of Saints Peter and Paul, bestowed upon the original city's citadel and its cathedral (from 1725—a burial vault of Russian emperors) coincidentally were the names of the first two assassinated Russian emperors, Peter\xa0III (1762, supposedly killed in a conspiracy led by his wife, Catherine the Great) and Paul\xa0I (1801, Nikolay Alexandrovich Zubov and other conspirators who brought to power Alexander\xa0I, the son of their victim)...."", '*...The 462\xa0m (1,516\xa0ft) high Lakhta Center has become the first tallest skyscraper in Russia and Europe outside of Moscow....', ""*...They include Europe's second-largest brewery Baltika, Vena (both operated by BBH), Heineken Brewery, Stepan Razin (both by Heineken) and Tinkoff brewery (SUN-InBev)...."", '*...The skyscraper was completed in 2019, and at 462.5 metres, it is currently the tallest in Russia and Europe....', '*...The Saint Petersburg Mosque, the largest mosque in Europe when opened in 1913, is on the right bank nearby....', ""...The Passage, Catholic Church of St. Catherine, Book House (former Singer Manufacturing Company Building in the Art Nouveau style), Grand Hotel Europe, Lutheran Church of Saint Peter and Saint Paul, Great Gostiny Dvor, Russian National Library, Alexandrine Theatre behind Mikeshin's statue of Catherine the Great, Kazan Cathedral, Stroganov Palace, Anichkov Palace and Beloselsky-Belozersky Palace are all along that avenue...."", ""*...Southern suburbs of the city feature former imperial residences, including Petergof, with majestic fountain cascades and parks, Tsarskoe Selo, with the baroque Catherine Palace and the neoclassical Alexander Palace, and Pavlovsk, which has a domed palace of Emperor Paul and one of Europe's largest English-style parks...."", ""*...Some of the most well-known are in the southern suburbs, including Pavlovsk, one of Europe's largest English gardens...."", '*...For various reasons (including large-scale destruction during World War II and construction of modern buildings during the postwar period in the largest historical centres of Europe), Saint Petersburg has become a unique reserve of European architectural styles of the past three centuries....', '...Saint Petersburg is an important transport corridor linking Scandinavia to Russia and Eastern Europe....']","Гранд Отель Европа, Михайловская улица, Palace District, Saint Petersburg, Northwestern Federal District, 191011, Russia","{""coordinates"": [30.330245, 59.935656], ""type"": ""Point""}","Гранд Отель Европа, Михайловская улица, Palace District, Saint Petersburg, Northwestern Federal District, 191011, Russia",tourism,hotel
6,Hermitage,Hermitage,"['*...Saint Petersburg is home to the Hermitage, one of the largest art museums in the world, the Lakhta Center, the tallest skyscraper in Europe, and was one of the host cities of the 2018 FIFA World Cup and the UEFA Euro 2020....', '...Jean-Baptiste Vallin de la Mothe (Imperial Academy of Arts, Small Hermitage, Gostiny Dvor, New Holland Arch, Catholic Church of St. Catherine) ;...', '...Yury Felten (Old Hermitage, Chesme Church) ;...', '...Giacomo Quarenghi (Academy of Sciences, Hermitage Theatre, Yusupov Palace) ;...', '...On the southern, left bank of the Neva, connected to the spit of Vasilyevsky Island via the Palace Bridge, lie the Admiralty building, the vast Hermitage Museum complex stretching along the Palace Embankment, which includes the Baroque Winter Palace, former official residence of Russian emperors, as well as the neoclassical Marble Palace....', '...The city is not only home to the world-famous Hermitage Museum and the Russian Museum with its rich collection of Russian art, but also the palaces of Saint Petersburg and its suburbs, so-called small-town museums and others like the museum of famous Russian writer Dostoyevsky; Museum of Musical Instruments, the museum of decorative arts and the museum of professional orientation....', '...The largest is the Hermitage Museum that features the interiors of the former imperial residence and a vast collection of art....']","Hermitage Museum, Дворцовая набережная, Palace District, Saint Petersburg, Northwestern Federal District, 191186, Russia","{""coordinates"": [30.315487, 59.941208], ""type"": ""Point""}","Hermitage Museum, Дворцовая набережная, Palace District, Saint Petersburg, Northwestern Federal District, 191186, Russia",tourism,museum
7,Lakhta Center,Lakhta Center,"['...Saint Petersburg is home to the Hermitage, one of the largest art museums in the world, the Lakhta Center, the tallest skyscraper in Europe, and was one of the host cities of the 2018 FIFA World Cup and the UEFA Euro 2020....', '*...In the same year, the new location for the project was relocated to Lakhta, a historical area northwest of the city centre, and the new project would be named Lakhta Center....', '*...The 462\xa0m (1,516\xa0ft) high Lakhta Center has become the first tallest skyscraper in Russia and Europe outside of Moscow....', ""*...The Okhta Center project was cancelled at the end of 2010 and the Lakhta Center project began in the city's outskirts...."", '*...The Lakhta Center project has caused much less controversy....', ""...It is planned to connect the park with the pedestrian bridge to the territory of Lakhta Center's recreation areas....""]","Lakhta Center, Высотная улица, Lakhta, округ Лахта-Ольгино, Saint Petersburg, Northwestern Federal District, 197229, Russia","{""coordinates"": [30.173804, 59.986966], ""type"": ""Point""}","Lakhta Center, Высотная улица, Lakhta, округ Лахта-Ольгино, Saint Petersburg, Northwestern Federal District, 197229, Russia",tourism,attraction
8,Peter and Paul Fortress,Peter and Paul Fortress,"['...The consecration of the small wooden church in their names (its construction began at the same time as the citadel) made them the heavenly patrons of the Peter and Paul Fortress, while Saint Peter at the same time became the eponym of the whole city....', '...On 27 May\xa0[O.S. 16 May]\xa01703, closer to the estuary (5\xa0km (3\xa0mi) inland from the gulf), on Zayachy (Hare) Island, he laid down the Peter and Paul Fortress, which became the first brick and stone building of the new city....', '...During its first few years, the city developed around Trinity Square on the right bank of the Neva, near the Peter and Paul Fortress....', '*...The ensemble of Peter and Paul Fortress with the Peter and Paul Cathedral takes a dominant position on Zayachy Island along the right bank of the Neva River....', '...Other notable museums include the Central Naval Museum, and Zoological Museum, Central Soil Museum, the Russian Railway Museum, Suvorov Museum, Museum of the Siege of Leningrad, Erarta Museum of Contemporary Art, the largest non-governmental museum of contemporary art in Russia, Saint Petersburg Museum of History in the Peter and Paul Fortress and Artillery Museum, which includes not only artillery items, but also a huge collection of other military equipment, uniforms, and decorations....']","Peter and Paul Fortress, Кронверкская набережная, Petrograd Side, округ Кронверкское, Saint Petersburg, Northwestern Federal District, 197101, Russia","{""coordinates"": [30.316449, 59.950054], ""type"": ""Point""}","Peter and Paul Fortress, Кронверкская набережная, Petrograd Side, округ Кронверкское, Saint Petersburg, Northwestern Federal District, 197101, Russia",tourism,attraction
12,Sankt-Peterburg,Sankt-Peterburg,"['*...A proponent of westernising Russia, Peter the Great, the then Tsar, who established the city, originally named it Sankt-Pieter-Burch (Сан(к)т-Питер-Бурхъ) in Dutch manner and later its spelling was standardised as Sankt-Peterburg (Санкт-Петербургъ) under German influence....', '*...On 6 September 1991, the original name, Sankt-Peterburg, was returned by citywide referendum....']","Санкт-Петербург, 1/25 литА, Малая Садовая улица, Palace District, Saint Petersburg, Northwestern Federal District, 191023, Russia","{""coordinates"": [30.33749, 59.93529], ""type"": ""Point""}","Санкт-Петербург, 1/25 литА, Малая Садовая улица, Palace District, Saint Petersburg, Northwestern Federal District, 191023, Russia",amenity,atm
13,Window to Europe,Window to Europe,"['...Saint Petersburg has been traditionally called the ""Window to Europe"" and the ""Window to the West"" by the Russians....']","Window to Europe, Saint Petersburg Ring Road, Kronstadt, Saint Petersburg, Northwestern Federal District, 197761, Russia","{""coordinates"": [29.703182, 59.992041], ""type"": ""Point""}","Window to Europe, Saint Petersburg Ring Road, Kronstadt, Saint Petersburg, Northwestern Federal District, 197761, Russia",tourism,artwork
14,North,North,"['*...The city is the northernmost metropolis in the world, and is also often described as the ""Venice of the North"" or the ""Russian Venice"" due to its many water corridors, as the city is built on swamp and water....', ""...He needed a better seaport than the country's main one at the time, Arkhangelsk, which was on the White Sea in the far north and closed to shipping during the winter...."", '...The 1948 general plan for Leningrad featured radial urban development in the north as well as in the south....', '...The Karelian Isthmus, North of the city, is a popular resort area....', '...The largest lake is Sestroretsky Razliv in the north, followed by Lakhtinsky Razliv, Suzdal Lakes, and other smaller lakes....', '*...Due to the intricate web of canals, Saint Petersburg is often called Venice of the North....', '...The city is a node of the international European routes E18 towards Helsinki, E20 towards Tallinn, E95 towards Pskov, Kyiv and Odessa and E105 towards Petrozavodsk, Murmansk and Kirkenes (north) and towards Moscow and Kharkiv (south)....', '...Nampho, North Korea (since 2002) ;...']","North-West State Technical University, 5, Миллионная улица, Palace District, Saint Petersburg, Northwestern Federal District, 191186, Russia","{""coordinates"": [30.328319, 59.945593], ""type"": ""Point""}","North-West State Technical University, 5, Миллионная улица, Palace District, Saint Petersburg, Northwestern Federal District, 191186, Russia",amenity,university
21,Neva,Neva,"['...It is situated on the Neva River, at the head of the Gulf of Finland on the Baltic Sea....', '...Swedish colonists built Nyenskans, a fortress at the mouth of the Neva River in 1611, which was later called Ingermanland....', '*...During its first few years, the city developed around Trinity Square on the right bank of the Neva, near the Peter and Paul Fortress....', '*...The city was divided into five boroughs, and the city centre was moved to the Admiralty borough, on the east bank between the Neva and Fontanka....', '*...During the reign of Catherine the Great in the 1760s–1780s, the banks of the Neva were lined with granite embankments....', '*...However, it was not until 1850 that the first permanent bridge across the Neva, Annunciation Bridge, was allowed to open....', ""...Saint Petersburg surpassed Moscow in population and industrial growth; it became one of the largest industrial cities in Europe, with a major naval base (in Kronstadt), the Neva River, and a seaport on the Baltic.\nThe names of Saints Peter and Paul, bestowed upon the original city's citadel and its cathedral (from 1725—a burial vault of Russian emperors) coincidentally were the names of the first two assassinated Russian emperors, Peter\xa0III (1762, supposedly killed in a conspiracy led by his wife, Catherine the Great) and Paul\xa0I (1801, Nikolay Alexandrovich Zubov and other conspirators who brought to power Alexander\xa0I, the son of their victim)...."", '...Petersburg is on the middle taiga lowlands along the shores of the Neva Bay of the Gulf of Finland, and islands of the river delta....', '...The largest are Vasilyevsky Island (besides the artificial island between Obvodny canal and Fontanka, and Kotlin in the Neva Bay), Petrogradsky, Dekabristov and Krestovsky....', '...Floods in Saint Petersburg are triggered by a long wave in the Baltic Sea, caused by meteorological conditions, winds and shallowness of the Neva Bay....', '*...Besides the Neva and its tributaries, other important rivers of the federal subject of Saint Petersburg are Sestra, Okhta and Izhora....', '...The Neva River within the city limits usually freezes up in November–December and break-up occurs in April....', '...A complex system of riverports on both banks of the Neva River are interconnected with the system of seaports, thus making Saint Petersburg the main link between the Baltic Sea and the rest of Russia through the Volga-Baltic Waterway....', '*...The oldest of the remaining building is a wooden house built for Peter I in 1703 on the shore of the Neva near Trinity Square....', '...The ensemble of Peter and Paul Fortress with the Peter and Paul Cathedral takes a dominant position on Zayachy Island along the right bank of the Neva River....', '...The Spit of Vasilievsky Island, which splits the river into two largest armlets, the Bolshaya Neva and Malaya Neva, is connected to the northern bank (Petrogradsky Island) via the Exchange Bridge and occupied by the Old Saint Petersburg Stock Exchange and Rostral Columns....', ""...The southern coast of Vasilyevsky Island along the Bolshaya Neva features some of the city's oldest buildings, dating from the 18th century, including the Kunstkamera, Twelve Collegia, Menshikov Palace and Imperial Academy of Arts...."", '*...On the southern, left bank of the Neva, connected to the spit of Vasilyevsky Island via the Palace Bridge, lie the Admiralty building, the vast Hermitage Museum complex stretching along the Palace Embankment, which includes the Baroque Winter Palace, former official residence of Russian emperors, as well as the neoclassical Marble Palace....', ""*...Nevsky Prospekt, also on the left bank of the Neva, is the city's main avenue...."", ""...On the territory between the Neva and Nevsky Prospekt the Church of the Savior on Blood, Mikhailovsky Palace housing the Russian Museum, Field of Mars, St. Michael's Castle, Summer Garden, Tauride Palace, Smolny Institute and Smolny Convent are located...."", '*...From April to November, 22 bridges across the Neva and main canals are drawn to let ships pass in and out of the Baltic Sea according to a schedule....', '*...It was not until 2004 that the first high bridge across the Neva, which does not need to be drawn, Big Obukhovsky Bridge, was opened....', '*...There are hundreds of smaller bridges in Saint Petersburg spanning numerous canals and distributaries of the Neva, some of the most important of which are the Moika, Fontanka, Griboyedov Canal, Obvodny Canal, Karpovka and Smolenka....', ""*...It is on the Neva's southern bank at the head of the Fontanka and is famous for its cast iron railing and marble sculptures...."", '...Yacht clubs: St. Petersburg River Yacht Club, Neva Yacht Club, the latter is the oldest yacht club in the world....', '...The M11 Neva, also known as the Moscow-Saint Petersburg Motorway, is a federal highway, and connects Saint Petersburg to Moscow by a freeway....', '*...The city is also served by passenger and cargo seaports[clarification needed] in the Neva Bay of the Gulf of Finland, Baltic Sea, the river port higher up the Neva and tens of smaller passenger stations on both banks of the Neva river....']","Neva, 16, Захарьевская улица, Peski, округ Смольнинское, Saint Petersburg, Northwestern Federal District, 191123, Russia","{""coordinates"": [30.360038, 59.947891], ""type"": ""Point""}","Neva, 16, Захарьевская улица, Peski, округ Смольнинское, Saint Petersburg, Northwestern Federal District, 191123, Russia",tourism,hostel
23,Menshikov Palace,Menshikov Palace,"['...The style of Petrine Baroque, developed by Trezzini and other architects and exemplified by such buildings as the Menshikov Palace, Kunstkamera, Peter and Paul Cathedral, Twelve Collegia, became prominent in the city architecture of the early 18th century....', ""*...The southern coast of Vasilyevsky Island along the Bolshaya Neva features some of the city's oldest buildings, dating from the 18th century, including the Kunstkamera, Twelve Collegia, Menshikov Palace and Imperial Academy of Arts....""]","Menshikov Palace, 15, University Embankment, округ № 7, Saint Petersburg, Northwestern Federal District, 199034, Russia","{""coordinates"": [30.29531, 59.938935], ""type"": ""Point""}","Menshikov Palace, 15, University Embankment, округ № 7, Saint Petersburg, Northwestern Federal District, 199034, Russia",tourism,museum
24,Kunstkamera,Kunstkamera,"['*...The style of Petrine Baroque, developed by Trezzini and other architects and exemplified by such buildings as the Menshikov Palace, Kunstkamera, Peter and Paul Cathedral, Twelve Collegia, became prominent in the city architecture of the early 18th century....', ""*...The southern coast of Vasilyevsky Island along the Bolshaya Neva features some of the city's oldest buildings, dating from the 18th century, including the Kunstkamera, Twelve Collegia, Menshikov Palace and Imperial Academy of Arts...."", '*...The Kunstkamera, with its collection established in 1714 by Peter the Great to collect curiosities from all over the world, is sometimes considered the first museum in Russia, which has evolved into the present-day Peter the Great Museum of Anthropology and Ethnography....']","Peter the Great Museum of Anthropology and Ethnography, 3 литБ, University Embankment, округ № 7, Saint Petersburg, Northwestern Federal District, 199034, Russia","{""coordinates"": [30.303677, 59.941528], ""type"": ""Point""}","Peter the Great Museum of Anthropology and Ethnography, 3 литБ, University Embankment, округ № 7, Saint Petersburg, Northwestern Federal District, 199034, Russia",tourism,museum
