,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Vitosha,Vitosha,"['*...It is situated in the Sofia Valley at the foot of the Vitosha mountain in the western parts of the country....', '*...It is surrounded by mountainsides, such as Vitosha by the southern side, Lyulin by the western side, and the Balkan Mountains by the north, which makes it the third highest European capital after Andorra la Vella and Madrid....', ""...The earliest works where this latest name is registered are the duplicate of the Gospel of Serdica, in a dialogue between two salesmen from Dubrovnik around 1359, in the 14th-century Vitosha Charter of Bulgarian tsar Ivan Shishman and in a Ragusan merchant's notes of 1376...."", '...It is situated in western Bulgaria, at the northern foot of the Vitosha mountain, in the Sofia Valley that is surrounded by the Balkan mountains to the north....', '*...Three mountain passes lead to the city, which have been key roads since antiquity, Vitosha being the watershed between Black and Aegean Seas....', '...The Vitosha Nature Park (the oldest national park in the Balkans) includes most of Vitosha mountain and covers an area of 266 square kilometres (103\xa0sq\xa0mi), with roughly half of it lying within the municipality of Sofia....', '...Vitosha mountain is a popular hiking destination due to its proximity and ease of access via car and public transport....', '...Vitosha Boulevard, also called Vitoshka, is a pedestrian zone with numerous cafés, restaurants, fashion boutiques, and luxury goods stores....', ""...Sofia's geographic location, in the foothills of the weekend retreat Vitosha mountain, further adds to the city's specific atmosphere...."", '...In July 2016 the Vitosha Metro Station was opened on the M2 main line....']","Vitosha, bul. Cherni vrah, кв. Хладилника, Triadica, Sofia, Sofia City, Sofia-City, 1407, Bulgaria","{""coordinates"": [23.316268, 42.658178], ""type"": ""Point""}","Vitosha, bul. Cherni vrah, кв. Хладилника, Triadica, Sofia, Sofia City, Sofia-City, 1407, Bulgaria",railway,station
2,Iskar,Iskar,"['*...The city is built west of the Iskar river, and has many mineral springs, such as the Sofia Central Mineral Baths....', '...The Iskar River in its upper course flows near eastern Sofia....', '*...The Iskar flows north toward the Balkan Mountains, passing between the eastern city suburbs, next to the main building and below the runways of Sofia Airport, and flows out of the Sofia Valley at the town of Novi Iskar, where the scenic Iskar Gorge begins....']","Iskar, Oborishte, Sofia, Sofia City, Sofia-City, 1377, Bulgaria","{""coordinates"": [23.325778, 42.699483], ""type"": ""Point""}","Iskar, Oborishte, Sofia, Sofia City, Sofia-City, 1377, Bulgaria",highway,residential
8,Europe,Europe,"[""*...From 1530 to 1836, Sofia was the regional capital of Rumelia Eyalet, the Ottoman Empire's key province in Europe...."", ""*...It was Europe's most affordable capital to visit in 2013...."", '...With its cultural significance in Southeast Europe, Sofia is home to the National Opera and Ballet of Bulgaria, the National Palace of Culture, the Vasil Levski National Stadium, the Ivan Vazov National Theatre, the National Archaeological Museum, and the Serdica Amphitheatre....', '*...Sofia is the second highest capital of the European Union (after Madrid) and the third highest capital of Europe (after Andorra la Vella and Madrid)....', '*...As a result, air pollution levels in Sofia are some of the highest in Europe....', '*...It became the capital of the beylerbeylik of Rumelia (Rumelia Eyalet), the province that administered the Ottoman lands in Europe (the Balkans), one of the two together with the beylerbeylik of Anatolia....', '...The decision was announced in November 2014 by the Evaluation Committee of ACES Europe, on the grounds that ""the city is a good example of sport for all, as means to improve healthy lifestyle, integration and education, which are the basis of the initiative.""...', '...In 2015, Sofia was ranked 30th out of 300 global cities in terms of combined growth in employment and real gross domestic product (GDP) per capita, the highest one amongst cities in Southeast Europe....', ""...The city's GDP (PPS) per capita stood at €29,600 ($33,760) in 2015, one of the highest in Southeast Europe and well above other cities in the country...."", '*...Sofia is a regional IT hub, ranking second among the Top 10 fastest growing tech centers in Europe in terms of annual growth of active members....']","Europe Motorway, Serdika, Kremikovci, Sofia City, Sofia-City, 1278, Bulgaria","{""coordinates"": [23.359438, 42.748092], ""type"": ""Point""}","Europe Motorway, Serdika, Kremikovci, Sofia City, Sofia-City, 1278, Bulgaria",highway,motorway
10,Boyana Church,Boyana Church,"['...In 1979, the Boyana Church in Sofia was included onto the World Heritage List, and it was deconstructed in the Second Bulgarian Empire, holding much patrimonial symbolism to the Bulgarian Orthodox Church....', '...The Boyana Church, a UNESCO World Heritage site, contains realistic frescoes, depicting more than 240 human images and a total 89 scenes, were painted....']","Boyana church, 1-3, Boyansko ezero, кв. Бояна, Sofia, Sofia City, Sofia-City, 1616, Bulgaria","{""coordinates"": [23.266195, 42.644624], ""type"": ""Point""}","Boyana church, 1-3, Boyansko ezero, кв. Бояна, Sofia, Sofia City, Sofia-City, 1616, Bulgaria",amenity,place_of_worship
12,Serdica Amphitheatre,Serdica Amphitheatre,"['...With its cultural significance in Southeast Europe, Sofia is home to the National Opera and Ballet of Bulgaria, the National Palace of Culture, the Vasil Levski National Stadium, the Ivan Vazov National Theatre, the National Archaeological Museum, and the Serdica Amphitheatre....']","Amphitheatre of Serdica, 2-4, Budapest, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.328222, 42.697473], ""type"": ""Point""}","Amphitheatre of Serdica, 2-4, Budapest, Oborishte, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",tourism,attraction
14,Black,Black,"['...Being in the centre of the Balkans, it is midway between the Black Sea and the Adriatic Sea, and closest to the Aegean Sea....', '*...Three mountain passes lead to the city, which have been key roads since antiquity, Vitosha being the watershed between Black and Aegean Seas....']","The Black Lodge, 34, bul. Aleksandar Stamboliyski, Zona B-5-3, Vazrajdane, Sofia, Sofia City, Sofia-City, 1301, Bulgaria","{""coordinates"": [23.317269, 42.697545], ""type"": ""Point""}","The Black Lodge, 34, bul. Aleksandar Stamboliyski, Zona B-5-3, Vazrajdane, Sofia, Sofia City, Sofia-City, 1301, Bulgaria",amenity,bar
17,Rila,Rila,"[""*...It takes its source in Rila, Bulgaria's highest mountain, and enters Sofia Valley near the village of German...."", '...The Bulgarian patron saint John of Rila was buried in Sredets by orders of Emperor Peter I in the mid 10th century....']","Rila, TETS Sofia, Serdika, Sofia, Sofia City, Sofia-City, 1250, Bulgaria","{""coordinates"": [23.325741, 42.707902], ""type"": ""Point""}","Rila, TETS Sofia, Serdika, Sofia, Sofia City, Sofia-City, 1250, Bulgaria",highway,residential
18,Sofia Airport,Sofia Airport,"['*...The Iskar flows north toward the Balkan Mountains, passing between the eastern city suburbs, next to the main building and below the runways of Sofia Airport, and flows out of the Sofia Valley at the town of Novi Iskar, where the scenic Iskar Gorge begins....', '*...Sofia Airport handled 7,107,096 passengers in 2019....', '*...In 2015 seven new stations were opened and the underground extended to Sofia Airport on its Northern branch and to Business Park Sofia on its Southern branch....']","Sofia Airport, 8-ма, кв. Враждебна, Kremikovci, Sofia City, Sofia-City, 1540, Bulgaria","{""coordinates"": [23.414218, 42.695575], ""type"": ""Point""}","Sofia Airport, 8-ма, кв. Враждебна, Kremikovci, Sofia City, Sofia-City, 1540, Bulgaria",aeroway,aerodrome
21,Eagles' Bridge,Eagles' Bridge,"[""*...A monitoring station on Eagles' Bridge, where some of the highest particulate matter values were measured, was moved away from the location and has measured sharply lower values since then....""]","Eagles' Bridge, ж.к. Яворов, Sredec, Sofia, Sofia City, Sofia-City, 1037, Bulgaria","{""coordinates"": [23.337433, 42.690646], ""type"": ""Point""}","Eagles' Bridge, ж.к. Яворов, Sredec, Sofia, Sofia City, Sofia-City, 1037, Bulgaria",highway,primary
26,Saint Sofia,Saint Sofia,"['...The name Sofia comes from the Saint Sofia Church, as opposed to the prevailing Slavic origin of Bulgarian cities and towns....', '...During the initial stages of the Crusade of Varna in 1443, it was occupied by Hungarian forces for a short time in 1443, and the Bulgarian population celebrated a mass Saint Sofia Church....', '*...Most prominent churches such as Saint Sofia and Saint George were converted into mosques, and a number of new ones were constructed, including Banya Bashi Mosque built by the renowned Ottoman architect Mimar Sinan....']","Saint Sophia, bul. Todor Aleksandrov, Zona B-5-3, Vazrajdane, Sofia, Sofia City, Sofia-City, 1000, Bulgaria","{""coordinates"": [23.321404, 42.697961], ""type"": ""Point""}","Saint Sophia, bul. Todor Aleksandrov, Zona B-5-3, Vazrajdane, Sofia, Sofia City, Sofia-City, 1000, Bulgaria",tourism,artwork
