,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Scandinavia,Scandinavia,"['*...Stockholm (Swedish:\xa0 ) is the capital and largest city of Sweden as well as the largest urban area in Scandinavia....', '*...Ranked as an alpha-global city, it is the largest in Scandinavia and the main centre for corporate headquarters in the Nordic region....', ""*...One of the city's most prized museums, the Vasa Museum, is the most visited non-art museum in Scandinavia...."", ""*...KTH Royal Institute of Technology (Swedish: Kungliga Tekniska högskolan) was founded in 1827 and is Scandinavia's largest higher education institute of technology with 13,000 students...."", '*...It is the largest Jewish community in Scandinavia....', '*...In the 2006 European Regional Growth Index (E-REGI), published by Jones Lang LaSalle, Stockholm was ranked fifth on the list of European cities with the strongest GDP growth forecast. Stockholm was ranked first in Scandinavia and second outside Central and Eastern Europe....']","Oriental Pacific Scandinavia AB, Rådmansgatan, Sabbatsberg, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 24, Sweden","{""coordinates"": [18.05104, 59.338507], ""type"": ""Point""}","Oriental Pacific Scandinavia AB, Rådmansgatan, Sabbatsberg, Vasastaden, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 24, Sweden",office,travel_agent
2,Baltic Sea,Baltic Sea,"['...The city stretches across fourteen islands where Lake Mälaren flows into the Baltic Sea....', '...At the intersection of the Baltic Sea and lake Mälaren is an archipelago site where the Old Town of Stockholm was first built from about 1000 CE by Vikings....', ""...Stockholm is located on Sweden's east coast, where the freshwater Lake Mälaren\xa0— Sweden's third-largest lake\xa0— flows out into the Baltic Sea....""]","Baltic Sea, Kärleksudden, Ekvik, Södertälje kommun, Stockholm County, 153 91, Sweden","{""coordinates"": [17.621957, 59.044094], ""type"": ""Point""}","Baltic Sea, Kärleksudden, Ekvik, Södertälje kommun, Stockholm County, 153 91, Sweden",man_made,pier
3,Europe,Europe,"[""*...The Stockholm region alone accounts for over a third of the country's GDP, and is among the top 10 regions in Europe by GDP per capita...."", ""*...The city is home to some of Europe's top ranking universities, such as the Karolinska Institute, Stockholm School of Economics, KTH Royal Institute of Technology and Stockholm University...."", ""*...Stockholm's metropolitan area is one of the fastest-growing regions in Europe, and its population is expected to number 2.5\xa0million by 2024...."", '...With an average of 1900 hours of sunshine per year, it is also one of the sunniest cities in Northern Europe, receiving more sunshine than Paris, London and a few other major European cities of a more southerly latitude....', '*...Stockholm County is ranked as the 10th largest visitor destination in Europe, with over 10\xa0million commercial overnight stays per year....', ""*...Distinguished among Stockholm's many theatres are the Royal Dramatic Theatre (Kungliga Dramatiska Teatern), one of Europe's most renowned theatres, and the Royal Swedish Opera, inaugurated in 1773.\nOther notable theatres are the Stockholm City Theatre (Stockholms stadsteater), the Peoples Opera (Folkoperan), the Modern Theatre of Dance (Moderna dansteatern), the China Theatre, the Göta Lejon Theatre, the Mosebacke Theatre, and the Oscar Theatre...."", '*...The city was granted the 2010 European Green Capital Award by the EU Commission; this was Europe\'s first ""green capital""....', ""*...In the 2006 European Innovation Scoreboard, prepared by the Maastricht Economic Research Institute on Innovation and Technology (MERIT) and the Joint Research Centre's Institute for the Protection and the Security of the Citizen of the European Commission, Stockholm was ranked as the most innovative city in Europe...."", '...In the 2006 European Regional Growth Index (E-REGI), published by Jones Lang LaSalle, Stockholm was ranked fifth on the list of European cities with the strongest GDP growth forecast. Stockholm was ranked first in Scandinavia and second outside Central and Eastern Europe....', '*...In the 2007 European Cities Monitor, published by Cushman & Wakefield, Stockholm was ranked as the best Nordic city to locate a business. In the same report, Stockholm was ranked first in Europe in terms of freedom from pollution....']","Goldman Sachs, Blasieholmsgatan, Klara, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 48, Sweden","{""coordinates"": [18.076048, 59.330079], ""type"": ""Point""}","Goldman Sachs, Blasieholmsgatan, Klara, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 48, Sweden",office,bank
5,Stockholm City Hall,Stockholm City Hall,"['*...It hosts the annual Nobel Prize ceremonies and banquet at the Stockholm Concert Hall and Stockholm City Hall....', '*...The Council convenes twice every month at Stockholm City Hall, and the meetings are open to the public....', '...A key landmark of Stockholm, the Stockholm City Hall, was erected 1911–1923 by architect Ragnar Östberg....', '*...The Nobel Banquet takes place at Stockholm City Hall every year on 10 December....']","Stockholm City Hall, Stadshusträdgården, Kungsholmen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 104 22, Sweden","{""coordinates"": [18.05422, 59.327503], ""type"": ""Point""}","Stockholm City Hall, Stadshusträdgården, Kungsholmen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 104 22, Sweden",amenity,townhall
6,Avicii Arena,Avicii Arena,"['*...Avicii Arena, the national indoor arena, is in the southern part of the city....', '*...Other major sports arenas are Friends Arena, the new national football stadium, Avicii Arena, a multi-sport arena and one of the largest spherical buildings in the world and the nearby indoor arena Hovet....']","Avicii Arena, Arenatorget, Johanneshov, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 121 26, Sweden","{""coordinates"": [18.083213, 59.29362], ""type"": ""Point""}","Avicii Arena, Arenatorget, Johanneshov, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 121 26, Sweden",leisure,stadium
7,Rosenbad,Rosenbad,"[""*...The government has its seat in the Rosenbad building, the Riksdag (Swedish parliament) is seated in the Parliament House, and the Prime Minister's residence is adjacent at Sager House....""]","Rosenbad, Klara, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 52, Sweden","{""coordinates"": [18.065215, 59.328229], ""type"": ""Point""}","Rosenbad, Klara, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 52, Sweden",highway,pedestrian
8,Sager House,Sager House,"[""*...The government has its seat in the Rosenbad building, the Riksdag (Swedish parliament) is seated in the Parliament House, and the Prime Minister's residence is adjacent at Sager House....""]","Sager House, Strömgatan, Klara, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 103 21, Sweden","{""coordinates"": [18.067313, 59.328744], ""type"": ""Point""}","Sager House, Strömgatan, Klara, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 103 21, Sweden",historic,castle
9,Stockholm Palace,Stockholm Palace,"[""*...Stockholm Palace is the official residence and principal workplace of the Swedish monarch, while Drottningholm Palace in neighboring Ekerö serves as the Royal Family's private residence...."", '*...In 1697, Tre Kronor (castle) burned and was replaced by Stockholm Palace....', '*...After a fire in 1697 when the original medieval castle was destroyed, Stockholm Palace was erected in a baroque style....', '*...Livrustkammaren, the royal armoury, located at Stockholm Palace ;...']","Stockholm Palace, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","{""coordinates"": [18.070352, 59.326895], ""type"": ""Point""}","Stockholm Palace, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",tourism,attraction
10,Drottningholm Palace,Drottningholm Palace,"[""*...Stockholm Palace is the official residence and principal workplace of the Swedish monarch, while Drottningholm Palace in neighboring Ekerö serves as the Royal Family's private residence...."", ""...The Stockholm region is home to three of Sweden's World Heritage Sites\xa0– spots judged as invaluable places that belong to all of humanity: The Drottningholm Palace, Skogskyrkogården (The Woodland Cemetery) and Birka....""]","Drottningholm Palace, Ekerövägen, Malmen, Ängsholm, Drottningholm, Ekerö kommun, Sundbybergs kommun, Stockholm County, 168 50, Sweden","{""coordinates"": [17.886892, 59.321628], ""type"": ""Point""}","Drottningholm Palace, Ekerövägen, Malmen, Ängsholm, Drottningholm, Ekerö kommun, Sundbybergs kommun, Stockholm County, 168 50, Sweden",tourism,attraction
11,North,North,"[""...Sweden's national football arena is located north of the city centre, in Solna...."", '*...Thousands of years later, as the ground thawed, the climate became tolerable and the lands became fertile, people began to migrate back to the North....', '...North of Stockholm Municipality: Järfälla, Solna, Täby, Sollentuna, Lidingö, Upplands Väsby, Österåker, Sigtuna, Sundbyberg, Danderyd, Vallentuna, Ekerö, Upplands-Bro, Vaxholm, and Norrtälje....', '...Despite its mild climate, Stockholm is located further north than parts of Canada that are above the Arctic tree line at sea level....', ""...Stockholm's location just south of the 60th parallel north means that the number of daylight hours is relatively small during winter\xa0– about six hours\xa0– while in June and the first half of July, the nights are relatively short, with about 18 hours of daylight...."", '...This is not to be confused with the midnight sun, which occurs north of the Arctic Circle, around 7 degrees farther north....', '...A half-completed motorway ring road exists on the south, west and north sides of the City Centre....', '...Stockholm Arlanda Airport (IATA: ARN, ICAO: ESSA) is the largest and busiest airport in Sweden with 27\xa0million passengers in 2017. It is located about 40\xa0km (25\xa0mi) north of Stockholm and serves as a hub for Scandinavian Airlines....']","North Bridge, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden","{""coordinates"": [18.070772, 59.327582], ""type"": ""Point""}","North Bridge, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholm County, 111 29, Sweden",highway,tertiary
