,entity,to_search,snippet,address,coordinates,name_location,class,type
0,North America,North America,"['*...With a recorded population of 2,794,356 in 2021, it is the most populous city in Canada and the fourth most populous city in North America....', '*...Toronto is the third-largest tech hub in North America after Silicon Valley and New York City, and the fastest growing....', '*...During the late-19th century, Toronto became the largest alcohol distillation (in particular, spirits) centre in North America....', '*...The system now has the third-highest ridership of any city public transportation system in North America....', '*...A 2019 study by Toronto Metropolitan University (then known as Ryerson University) showed that Toronto was the fastest-growing city in North America....', '*...The Toronto metropolitan area was the second-fastest-growing metropolitan area in North America, adding 125,298 persons, compared with 131,767 in the Dallas–Fort Worth–Arlington metroplex in Texas....', '*...Many of Toronto\'s former industrial sites close to (or in) downtown have been redeveloped including parts of the Toronto waterfront, the rail yards west of downtown, and Liberty Village, the Massey-Harris district and large-scale development is underway in the West Don Lands.[citation needed]\nThe Gooderham & Worts Distillery produced spirits until 1990, and is preserved today as the ""Distillery District"", the largest and best-preserved collection of Victorian industrial architecture in North America....', '*...In addition to public parks managed by the municipal government, parts of Rouge National Urban Park, the largest urban park in North America, is in the eastern portion of Toronto....', '*...It is the third largest center for information and communications technology in North America, coming in behind New York City and Silicon Valley, with over 168,000 people and 15,000 companies working in the Toronto technology sector alone....', '*...Within North America, it also had the highest circulation and visitors when compared to other large urban systems....', '*...Toronto was named as one of 16 cities in North America (and one of two Canadian cities) to host matches for the 2026 FIFA World Cup....', '*...The historically low crime rate in Toronto has resulted in the city having a reputation as one of the safest major cities in North America....', '*...It is the busiest road in North America,\nand one of the busiest highways in the world....', ""...The Queen Elizabeth Way (QEW), North America's first divided intercity highway, terminates at Toronto's western boundary and connects Toronto to Niagara Falls and Buffalo...."", ""*...Toronto's traffic congestion is one of the highest in North America, and is the second highest in Canada after Vancouver....""]","Birds of North America, 1114, Queen Street West, Ossington, Little Portugal, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1H9, Canada","{""coordinates"": [-79.423249, 43.643418], ""type"": ""Point""}","Birds of North America, 1114, Queen Street West, Ossington, Little Portugal, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 1H9, Canada",shop,clothes
2,Lake Ontario,Lake Ontario,"['*...The city is the anchor of the Golden Horseshoe, an urban agglomeration of 9,765,188 people (as of 2021) surrounding the western end of Lake Ontario, while the Greater Toronto Area proper had a 2021 population of 6,712,341....', '*...A portage route from Lake Ontario to Lake Huron running through this point, known as the Toronto Carrying-Place Trail, led to widespread use of the name....', '*...During the American Revolutionary War, an influx of British settlers arrived there as United Empire Loyalists fled for the British-controlled lands north of Lake Ontario....', '*...The advent of the railway dramatically increased the numbers of immigrants arriving, commerce and industry, as had the Lake Ontario steamers and schooners entering port before....', '*...It has a maximum east–west distance of 43\xa0km (27\xa0mi) and it has a 46-kilometre (29\xa0mi) long waterfront shoreline, on the northwestern shore of Lake Ontario....', ""*...The city's limits are formed by Lake Ontario to the south, the western boundary of Marie Curtis Park, Etobicoke Creek, Eglinton Avenue and Highway 427 to the west, Steeles Avenue to the north and the Rouge River and the Scarborough–Pickering Townline to the east...."", ""*...Elevation differences range from 76.5 metres (251\xa0ft) above sea level at the Lake Ontario shore to 209\xa0m (686\xa0ft) above sea level near the York University grounds in the city's north end at the intersection of Keele Street and Steeles Avenue...."", '*...Lake Ontario remains occasionally visible from the peaks of these ridges as far north as Eglinton Avenue, 7 to 8 kilometres (4.3 to 5.0\xa0mi) inland....', '*...However, it can be noticeably cooler on many spring and early summer afternoons under the influence of a lake breeze, since Lake Ontario is cool relative to the air during these seasons....', '*...Major east-west arterial roads are generally parallel with the Lake Ontario shoreline, and major north–south arterial roads are roughly perpendicular to the shoreline, though slightly angled north of Eglinton Avenue....']","The Crossing of Lake Ontario by Marilyn Bell, Martin Goodman Trail, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6S, Canada","{""coordinates"": [-79.448807, 43.636476], ""type"": ""Point""}","The Crossing of Lake Ontario by Marilyn Bell, Martin Goodman Trail, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6S, Canada",historic,memorial
3,Greater Toronto Area,Greater Toronto Area,"['...The city is the anchor of the Golden Horseshoe, an urban agglomeration of 9,765,188 people (as of 2021) surrounding the western end of Lake Ontario, while the Greater Toronto Area proper had a 2021 population of 6,712,341....', '...Managed by Parks Canada, the national park is centred around the Rouge River and encompasses several municipalities in the Greater Toronto Area....', '...In 2010, it was estimated over 100,000 immigrants arrive in the Greater Toronto Area each year....', ""...Other prominent Canadian corporations in the Greater Toronto Area include Magna International, Celestica, Manulife, Sun Life Financial, the Hudson's Bay Company, and major hotel companies and operators, such as Four Seasons Hotels and Fairmont Hotels and Resorts...."", '...The Toronto Regional Real Estate Board (TRREB), formerly the Toronto Real Estate Board, is a non-profit professional association of registered real estate brokers and salespeople in Toronto, and parts of the Greater Toronto Area....', '...The area bound between the Greater Toronto Area, the region of Waterloo and the city of Hamilton was termed a ""digital corridor"" by the Branham Group, a region highly concentrated with technology companies and jobs similar to Silicon Valley in California....', '...In 2019, the Government of Ontario released a transit plan for the Greater Toronto Area which includes a new 16-kilometres Ontario Line, Line 1 extension to Richmond Hill Centre and an extension for Line 5 Eglinton to Toronto Pearson Airport....', '...The Government of Ontario operates a regional rail and bus transit system called GO Transit in the Greater Toronto Area....', '...GO Transit provides intercity bus services from the Union Station Bus Terminal and other bus terminals in the city to destinations within the greater Toronto area....', '...There are a number of municipal expressways and provincial highways that serve Toronto and the Greater Toronto Area....']","Greater Toronto Area Immigration Holding Centre, 385, Rexdale Boulevard, Highfield, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9W 1R9, Canada","{""coordinates"": [-79.588757, 43.714648], ""type"": ""Point""}","Greater Toronto Area Immigration Holding Centre, 385, Rexdale Boulevard, Highfield, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9W 1R9, Canada",amenity,prison
4,Upper Canada,Upper Canada,"['*...After the broadly disputed Toronto Purchase, when the Mississauga surrendered the area to the British Crown, the British established the town of York in 1793 and later designated it as the capital of Upper Canada....', '*...The new province of Upper Canada was being created and needed a capital....', '*...Simcoe decided to move the Upper Canada capital from Newark (Niagara-on-the-Lake) to York, believing the new site would be less vulnerable to attack by the United States....', '...Reformist politician William Lyon Mackenzie became the first mayor of Toronto and led the unsuccessful Upper Canada Rebellion of 1837 against the British colonial government....', '*...Slavery was banned outright in Upper Canada (and throughout the British Empire) in 1834....', ""*...The seat of government of the Ontario briefly returned to the same building that hosted the Third Parliament Building of Upper Canada, before moving to the Ontario Legislative Building at Queen's Park in 1893....""]","Bank of Upper Canada Building, Adelaide Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1N7, Canada","{""coordinates"": [-79.370879, 43.651923], ""type"": ""Point""}","Bank of Upper Canada Building, Adelaide Street East, St. Lawrence, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1N7, Canada",historic,bank
5,Asia,Asia,"['*...Toronto is known for its many skyscrapers and high-rise buildings, in particular the tallest free-standing structure on land outside of Asia, the CN Tower....', ""*...The Gardiner Museum of ceramic art is the only museum in Canada entirely devoted to ceramics, and the Museum's collection contains more than 2,900 ceramic works from Asia, the Americas, and Europe....""]","Asia Pacific Foundation of Canada, 375, University Avenue, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2J5, Canada","{""coordinates"": [-79.387251, 43.653347], ""type"": ""Point""}","Asia Pacific Foundation of Canada, 375, University Avenue, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 2J5, Canada",office,foundation
6,CN Tower,CN Tower,"['...Toronto is known for its many skyscrapers and high-rise buildings, in particular the tallest free-standing structure on land outside of Asia, the CN Tower....', '...Defining the Toronto skyline is the CN Tower, a telecommunications and tourism hub....', ""...Other tourist attractions include the CN Tower, Casa Loma, Toronto's theaters and musicals, Yonge-Dundas Square, and Ripley's Aquarium of Canada....""]","CN Tower, Convention centre loading dock, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3B5, Canada","{""coordinates"": [-79.387748, 43.642701], ""type"": ""Point""}","CN Tower, Convention centre loading dock, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3B5, Canada",shop,ticket
13,Huron,Huron,"['*...Taronto referred to ""The Narrows"", a channel of water through which Lake Simcoe discharges into Lake Couchiching where the Huron had planted tree saplings to corral fish....', '*...The word ""Toronto"", meaning ""plenty"" also appears in a 1632 French lexicon of the Huron language, which is also an Iroquoian language....', '...A portage route from Lake Ontario to Lake Huron running through this point, known as the Toronto Carrying-Place Trail, led to widespread use of the name....', ""*...The site of Toronto lay at the entrance to one of the oldest routes to the northwest, a route known and used by the Huron, Iroquois, and Ojibwe, and was of strategic importance from the beginning of Ontario's recorded history....""]","Huron Street, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1A8, Canada","{""coordinates"": [-79.395323, 43.651374], ""type"": ""Point""}","Huron Street, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1A8, Canada",highway,residential
18,Rouge River,Rouge River,"['...In the 1660s, the Iroquois established two villages within what is today Toronto, Ganatsekwyagon (Bead Hill) on the banks of the Rouge River and Teiaiagon on the banks of the Humber River....', ""...The city's limits are formed by Lake Ontario to the south, the western boundary of Marie Curtis Park, Etobicoke Creek, Eglinton Avenue and Highway 427 to the west, Steeles Avenue to the north and the Rouge River and the Scarborough–Pickering Townline to the east...."", ""...The flat land is interrupted by the Toronto ravine system, which is cut by numerous creeks and rivers of the Toronto waterway system, most notably the Humber River in the west end, the Don River east of downtown (these two rivers flanking and defining the Toronto Harbour), and the Rouge River at the city's eastern limits...."", '...Managed by Parks Canada, the national park is centred around the Rouge River and encompasses several municipalities in the Greater Toronto Area....']","Sheppard Ave at Rouge River Dr, Sheppard Avenue East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5S1, Canada","{""coordinates"": [-79.187085, 43.804979], ""type"": ""Point""}","Sheppard Ave at Rouge River Dr, Sheppard Avenue East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5S1, Canada",highway,bus_stop
19,Humber River,Humber River,"['...In the 1660s, the Iroquois established two villages within what is today Toronto, Ganatsekwyagon (Bead Hill) on the banks of the Rouge River and Teiaiagon on the banks of the Humber River....', ""...The flat land is interrupted by the Toronto ravine system, which is cut by numerous creeks and rivers of the Toronto waterway system, most notably the Humber River in the west end, the Don River east of downtown (these two rivers flanking and defining the Toronto Harbour), and the Rouge River at the city's eastern limits...."", '...The shoreline from the harbour west to the Humber River has been extended into the lake....']","Humber River Trail, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M6S 3P6, Canada","{""coordinates"": [-79.481578, 43.636457], ""type"": ""Point""}","Humber River Trail, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M6S 3P6, Canada",highway,cycleway
20,Fort Rouillé,Fort Rouillé,"[""*...French traders founded Fort Rouillé in 1750 (the current Exhibition grounds were later developed there), but abandoned it in 1759 during the Seven Years' War....""]","Fort Rouillé, Fraser Avenue, Little Tibet, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1Y7, Canada","{""coordinates"": [-79.423127, 43.635164], ""type"": ""Point""}","Fort Rouillé, Fraser Avenue, Little Tibet, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1Y7, Canada",tourism,information
