,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Turia,Turia,"['*...It is located on the banks of the Turia, on the east coast of the Iberian Peninsula, at the Gulf of Valencia, north of the Albufera lagoon....', ""...During the rule of the Muslim kingdoms in Spain, it had the title Medina at-Tarab ('City of Joy') according to one transliteration, or Medina at-Turab ('City of Sands') according to another, since it was located on the banks of the River Turia...."", '...Located on the eastern coast of the Iberian Peninsula and the western part of the Mediterranean Sea, fronting the Gulf of Valencia, Valencia lies on the highly fertile alluvial silts accumulated on the floodplain formed in the lower course of the Turia River....', '*...At its founding by the Romans, it stood on a river island in the Turia, 6.4 kilometres (4.0\xa0mi) from the sea....', '...In October 1957, the 1957 Valencia flood, a major flood of the Turia river, left 81 casualties and notable property damage....', '*...The disaster led to the remodelling of the city and the creation of a new river bed for the Turia, with the old one becoming one of the city\'s ""green lungs""....', '*...The Plaça de la Mare de Déu contains the Basilica of the Virgin and the Turia fountain, and is a popular spot for locals and tourists....', ""*...The Turia River was diverted in the 1960s, after severe flooding, and the old riverbed is now the Turia gardens, which contain a children's playground, a fountain, and sports fields...."", '*...The Palau de la Música is adjacent to the Turia gardens and the City of Arts and Sciences lies at one end....', '*...The Valencia Bioparc is a zoo, also located in the Turia riverbed....', '...Both teams share the Jardín del Turia stadium....']","Túria, Gran Via de Ferran el Catòlic, la Petxina, Extramurs, Valencia, Comarca de València, Valencia, Valencian Community, 46008, Spain","{""coordinates"": [-0.390028, 39.476915], ""type"": ""Point""}","Túria, Gran Via de Ferran el Catòlic, la Petxina, Extramurs, Valencia, Comarca de València, Valencia, Valencian Community, 46008, Spain",highway,bus_stop
7,Europe,Europe,"[""*...The city's port is the 5th-busiest container port in Europe and the second busiest container port on the Mediterranean Sea...."", '*...Valencia has one of the mildest winters in Europe, owing to its southern location on the Mediterranean Sea and the Foehn phenomenon, locally known as ponentà....', '*...The 18th century was the age of the Enlightenment in Europe, and its humanistic ideals influenced such men as Gregory Maians and Pérez Bayer in Valencia, who maintained correspondence with the leading French and German thinkers of the time....', '*...The Central Market (Mercat Central) in Valencian Art Nouveau style, is one of the largest in Europe....', ""*...L'Oceanogràfic, the largest aquarium in Europe, with a variety of ocean beings from different environments: from the Mediterranean, fishes from the ocean and reef inhabitants, sharks, mackerel swarms, dolphinarium, inhabitants of the polar regions (belugas, walruses, penguins), coast inhabitants (sea lions, etc. L'Oceanogràfic exhibits also smaller animals as coral, jellyfish, sea anemones, etc...."", '*...Valencia is also internationally famous for its football club, Valencia CF, one of the most successful clubs in Europe and La Liga, winning the Spanish league a total of six times including in 2002 and 2004 (the year it also won the UEFA Cup), and was a UEFA Champions League runner-up in 2000 and 2001....']","Edificio Europa, 30, Avinguda d'Aragó, Mestalla, el Pla del Real, Valencia, Comarca de València, Valencia, Valencian Community, 46010, Spain","{""coordinates"": [-0.35715, 39.471647], ""type"": ""Point""}","Edificio Europa, 30, Avinguda d'Aragó, Mestalla, el Pla del Real, Valencia, Comarca de València, Valencia, Valencian Community, 46010, Spain",building,commercial
10,Albufera,Albufera,"['...It is located on the banks of the Turia, on the east coast of the Iberian Peninsula, at the Gulf of Valencia, north of the Albufera lagoon....', '*...The Albufera lagoon, located about 12\xa0km (7\xa0mi) south of the city proper (and part of the municipality), was originally a saltwater lagoon, but since the severing of links to the sea, it has eventually become a freshwater lagoon as well as progressively decreasing in size....', '...The albufera and its environment are exploited for the cultivation of rice in paddy fields, and for hunting and fishing purposes....', ""...The City Council bought the lake from the Crown of Spain for 1,072,980 pesetas in 1911, and today it forms the main portion of the Parc Natural de l'Albufera (Albufera Nature Reserve), with a surface area of 21,120 hectares (52,200 acres)...."", '*...The albufera and its environment are exploited for the cultivation of rice in paddy fields, and for hunting and fishing purposes....']","Albufera, Urbanització Oasi de Sant Vicent, Puig i Lis, Llíria, el Camp de Túria, Valencia, Valencian Community, 46160, Spain","{""coordinates"": [-0.572571, 39.642425], ""type"": ""Point""}","Albufera, Urbanització Oasi de Sant Vicent, Puig i Lis, Llíria, el Camp de Túria, Valencia, Valencian Community, 46160, Spain",highway,residential
14,al-Andalus,al-Andalus,"['*...In the wake of the start of the fitna of al-Andalus, Valencia became the head of an independent emirate, initially controlled by eunuchs, and then, after 1021, by Abd al-Azîz (a grandson of Almanzor)....', '*...As the Almoravid empire crumbled in the mid 12th-century, ibn Mardanīsh took control of eastern al-Andalus, creating a Murcia-centered independent emirate to which Valencia belonged, resisting Almohads until 1172....']","Sector 8, 8, Carrer de Girona - Calle de Gerona, Llevant - Levante, Benidorm, la Marina Baixa, Alacant / Alicante, Valencian Community, 03501, Spain","{""coordinates"": [-0.123507, 38.538191], ""type"": ""Point""}","Sector 8, 8, Carrer de Girona - Calle de Gerona, Llevant - Levante, Benidorm, la Marina Baixa, Alacant / Alicante, Valencian Community, 03501, Spain",amenity,bar
16,Silk Exchange,Silk Exchange,"['...Some of the landmark buildings of the city were built during the Late Middle Ages, including the Serranos Towers (1392), the Silk Exchange (1482), the Micalet, and the Chapel of the Kings of the Convent of Sant Domènec....', '*...UNESCO has recognised the Silk Exchange market (La Llotja de la Seda), erected in early Valencian Gothic style, as a World Heritage Site....']","Silk Exchange, 2, Carrer de la Llotja, el Mercat, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46001, Spain","{""coordinates"": [-0.378259, 39.47441], ""type"": ""Point""}","Silk Exchange, 2, Carrer de la Llotja, el Mercat, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46001, Spain",tourism,attraction
17,Micalet,Micalet,"['*...Some of the landmark buildings of the city were built during the Late Middle Ages, including the Serranos Towers (1392), the Silk Exchange (1482), the Micalet, and the Chapel of the Kings of the Convent of Sant Domènec....', ""...Bishop Vidal de Blanes built the chapter hall, and James I added the tower, called El Miguelete in Castilian Spanish or Torre del Micalet in the Valencian language because it was blessed on St. Michael's day in 1418.[citation needed]...""]","Torre del Micalet, Plaça de la Reina, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46003, Spain","{""coordinates"": [-0.375608, 39.475326], ""type"": ""Point""}","Torre del Micalet, Plaça de la Reina, la Seu, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46003, Spain",tourism,attraction
21,Palau de Justícia,Palau de Justícia,['...The Palau de Justícia is an example of the affluence manifested in the most prosperous times of Bourbon rule (1758–1802) during the rule of Charles III....'],"Palau de Justícia, Carrer del Palau de Justícia, Sant Francesc, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46004, Spain","{""coordinates"": [-0.36971, 39.4718], ""type"": ""Point""}","Palau de Justícia, Carrer del Palau de Justícia, Sant Francesc, Ciutat Vella, Valencia, Comarca de València, Valencia, Valencian Community, 46004, Spain",building,yes
23,L'Albereda,L'Albereda,"[""*...The best expression of this dynamic was in the regional exhibitions, including that of 1909 held next to the pedestrian avenue L'Albereda (Paseo de la Alameda), which depicted the progress of agriculture and industry....""]","Passeig de l'Albereda, Exposició, el Pla del Real, Valencia, Comarca de València, Valencia, Valencian Community, 46010, Spain","{""coordinates"": [-0.364993, 39.473808], ""type"": ""Point""}","Passeig de l'Albereda, Exposició, el Pla del Real, Valencia, Comarca de València, Valencia, Valencian Community, 46010, Spain",highway,primary
24,Paseo de la Alameda,Paseo de la Alameda,"[""*...The best expression of this dynamic was in the regional exhibitions, including that of 1909 held next to the pedestrian avenue L'Albereda (Paseo de la Alameda), which depicted the progress of agriculture and industry....""]","Passeig de l'Albereda, Exposició, el Pla del Real, Valencia, Comarca de València, Valencia, Valencian Community, 46010, Spain","{""coordinates"": [-0.367255, 39.476545], ""type"": ""Point""}","Passeig de l'Albereda, Exposició, el Pla del Real, Valencia, Comarca de València, Valencia, Valencian Community, 46010, Spain",highway,primary
25,North Station,North Station,"['...Among the most architecturally successful buildings of the era were those designed in the Art Nouveau style, such as the North Station (Estació del Nord) and the Central and Columbus markets....', '...The Estació del Nord (North Station) is the major railway terminus in Valencia....']","North Station, 24, Carrer de Xàtiva, Russafa, l'Eixample, Valencia, Comarca de València, Valencia, Valencian Community, 46007, Spain","{""coordinates"": [-0.377374, 39.466316], ""type"": ""Point""}","North Station, 24, Carrer de Xàtiva, Russafa, l'Eixample, Valencia, Comarca de València, Valencia, Valencian Community, 46007, Spain",building,train_station
