,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Museo dell'Acropoli,Museo dell'Acropoli,"[""*...Nel XXI secolo è stata al centro dell'attenzione di tutto il mondo per aver organizzato con successo i Giochi della XXVIII Olimpiade nel 2004 e per l'inaugurazione del nuovo Museo dell'Acropoli nel 2009, che ha riaperto il dibattito riguardante i Marmi del Partenone...."", ""...Museo dell'acropoli di Atene, di Bernard Tschumi ;..."", ""*...Museo dell'Acropoli ;...""]","Vecchio Museo dell'Acropoli, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia","{""coordinates"": [23.727798, 37.971398], ""type"": ""Point""}","Vecchio Museo dell'Acropoli, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia",tourism,museum
5,Attica,Attica,"[""*...È un comune greco di 655\xa0780 abitanti, capitale della Repubblica Ellenica, capoluogo dell'unità periferica di Atene Centrale e della periferia dell'Attica...."", ""*...Atene sorge su una pianura al centro dell'Attica e costituisce un'unica conurbazione con il Pireo e i comuni dell'omonima prefettura...."", ""*...Da metà marzo ad inizio maggio c'è un'intensa fioritura in tutte le zone circostanti, e in generale in tutta la provincia dell'Attica, la regione di Atene...."", ""...Tuttavia, anche Poseidone la voleva sotto la sua protezione, poiché egli era il protettore dell'Attica...."", ""*...Dalla fine della seconda guerra mondiale nella conurbazione di Atene e nella regione dell'Attica sono cresciuti diversi centri industriali, sia nella zona di Elefsina, che lungo l'autostrada verso le città di Lamia e Larissa...."", ""...Periferiarca dell'Attica (ossia, governatore) è dal settembre 2014 Rena Dourou....""]","Attica, 28ης Οκτωβρίου, Μουσείο, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 82, Grecia","{""coordinates"": [23.731185, 37.990164], ""type"": ""Point""}","Attica, 28ης Οκτωβρίου, Μουσείο, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 82, Grecia",amenity,bank
8,Europa,Europa,"[""*...È una delle città d'Europa con il maggior numero di giorni di sole all'anno, visto che si possono contare in media 179 giorni durante i quali il sole non è coperto da nuvole nemmeno in un istante, e altri 157 durante i quali il sole è coperto da nuvole solo per mezz'ora...."", ""*...La temperatura effettiva percepita è però minore di quella di altre città d'Europa per il basso tasso d'umidità...."", ""*...Atene risulta pertanto, insieme a Madrid, una delle città più aride d'Europa...."", '*...Atene possiede uno dei maggiori parchi autobus a metano in Europa e di filobus, per un totale di 293 linee che si sviluppano per circa 8500 chilometri con 8000 fermate....', ""...La rete di filobus è la più estesa dell'Europa occidentale (392 chilometri)...."", ""*...La città è inoltre tagliata da nord a sud tramite la tangenziale del Cefiso (Leoforos Kifisias, dal nome del fiume sul quale è stata in parte costruita, è infatti sopraelevata per un lungo tratto), che costituisce il prolungamento urbano dell'autostrada per le città settentrionali di Lamia, Larissa e Salonicco, e giunge fino al Pireo concludendosi in uno degli svincoli autostradali più grandi d'Europa....""]","Europa, Ιπποκράτους, Πευκάκια, Συνοικία Γκύζη, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 114 72, Grecia","{""coordinates"": [23.743572, 37.986797], ""type"": ""Point""}","Europa, Ιπποκράτους, Πευκάκια, Συνοικία Γκύζη, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 114 72, Grecia",shop,doors
16,Odeon di Agrippa,Odeon di Agrippa,['*...Odeon di Agrippa ;...'],"Odeon di Agrippa, Οδός Παναθηναίων, Μοναστηράκι, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 55, Grecia","{""coordinates"": [23.723146, 37.975068], ""type"": ""Point""}","Odeon di Agrippa, Οδός Παναθηναίων, Μοναστηράκι, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 55, Grecia",historic,archaeological_site
18,Torre dei Venti,Torre dei Venti,['*...Torre dei Venti ;...'],"Torre dei venti, Διογένους, Μοναστηράκι, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 56, Grecia","{""coordinates"": [23.727028, 37.974197], ""type"": ""Point""}","Torre dei venti, Διογένους, Μοναστηράκι, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 56, Grecia",tourism,attraction
20,Odeon di Erode Attico,Odeon di Erode Attico,['*...Odeon di Erode Attico ;...'],"Odeo di Erode Attico, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia","{""coordinates"": [23.724559, 37.970876], ""type"": ""Point""}","Odeo di Erode Attico, Περίπατος Ακρόπολης (Νότια κλιτύς), Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 3η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia",tourism,attraction
22,Arco di Adriano,Arco di Adriano,['*...Arco di Adriano ;...'],"Arco di Adriano, Βασιλίσσης Αμαλίας, 2η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia","{""coordinates"": [23.732013, 37.970187], ""type"": ""Point""}","Arco di Adriano, Βασιλίσσης Αμαλίας, 2η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 58, Grecia",tourism,attraction
42,Museo dell'acropoli di Atene,Museo dell'acropoli di Atene,"[""*...Museo dell'acropoli di Atene, di Bernard Tschumi ;...""]","Museo dell'Acropoli di Atene, 15, Διονυσίου Αρεοπαγίτου, Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 117 42, Grecia","{""coordinates"": [23.728471, 37.968533], ""type"": ""Point""}","Museo dell'Acropoli di Atene, 15, Διονυσίου Αρεοπαγίτου, Αστεροσκοπείο, Αναφιώτικα, Άνω Πετράλωνα, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 117 42, Grecia",tourism,museum
50,Athens Concert Hall,Athens Concert Hall,"['*...Auditorium Megaro Mousikis, conosciuto anche come Athens Concert Hall, con varie sale, la più grande con 1961 posti ;...']","Μεγάρο Μουσικής Αθηνών, Πέτρου Κόκκαλη, Κολωνάκι, Συνοικία Κολωνακίου, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 115 28, Grecia","{""coordinates"": [23.753596, 37.981752], ""type"": ""Point""}","Μεγάρο Μουσικής Αθηνών, Πέτρου Κόκκαλη, Κολωνάκι, Συνοικία Κολωνακίου, 1η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 115 28, Grecia",amenity,parking
51,Museo bizantino,Museo bizantino,"['...Biblioteca della civiltà bizantina presso il Museo Bizantino e Cristiano ;...', '*...Museo bizantino ;...', '...Museo bizantino e cristiano ;...']","Βυζαντινό και Χριστιανικό Μουσείο, 22, Βασιλίσσης Σοφίας, Κολωνάκι, Συνοικία Κολωνακίου, 2η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 75, Grecia","{""coordinates"": [23.744681, 37.974982], ""type"": ""Point""}","Βυζαντινό και Χριστιανικό Μουσείο, 22, Βασιλίσσης Σοφίας, Κολωνάκι, Συνοικία Κολωνακίου, 2η Κοινότητα Αθηνών, Atene, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 106 75, Grecia",tourism,museum
