,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Emilia-Romagna,Emilia-Romagna,"[""...È un comune italiano di 387\xa0855 abitanti, capoluogo dell'omonima città metropolitana, a sua volta capoluogo dell'Emilia-Romagna, posta al centro di un'area metropolitana di oltre un milione di abitanti...."", '*...Fra il 1987 e il 1994 imperversò in Emilia-Romagna, e in particolare nel territorio bolognese, la banda della Uno bianca....', ""...Vi sono inoltre diverse biblioteche tematiche come quella sulla storia del Novecento dell'Istituto storico Parri Emilia-Romagna, quella dell'Istituto Gramsci, la Biblioteca Italiana delle Donne, la biblioteca del Museo internazionale della musica, la biblioteca emeroteca del MAMbo e numerose altre...."", ""...Segni particolari - Appunti per un film sull'Emilia-Romagna - 2003, Giuseppe Bertolucci ;..."", '...Nacque così il Fiera District, destinato a diventare la sede della Regione Emilia-Romagna, del Palazzo degli Affari, della Fiera di Bologna e di altre importanti istituzioni economiche....', ""*...Altre strade importanti che toccano la città sono la Strada statale 9 Via Emilia, che la collega con numerosi capoluoghi dell'Emilia-Romagna, oltre che con Lodi e Milano;...""]","ISTAT Ufficio Regionale Emilia Romagna, 9, Via Luigi Carlo Farini, Galvani, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia","{""coordinates"": [11.343514, 44.491454], ""type"": ""Point""}","ISTAT Ufficio Regionale Emilia Romagna, 9, Via Luigi Carlo Farini, Galvani, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia",office,research
1,Emilia,Emilia,"[""*...Nel secondo dopoguerra, come buona parte dell'Emilia, è stata governata quasi ininterrottamente da amministrazioni di sinistra...."", ""...Parco regionale dei Gessi Bolognesi e Calanchi dell'Abbadessa\nHa una superficie di 3\xa0123 ettari e si sviluppa sulle prime pendici della collina bolognese e comprende territori dei comuni di Bologna, San Lazzaro di Savena, Ozzano dell'Emilia e Pianoro, ad altitudini comprese fra 70 e , intorno a importanti affioramenti gessosi che hanno dato vita a un complesso carsico di notevole interesse...."", ""*...La cucina bolognese, così come quella di tutta l'Emilia, si distingue per l'abbondanza nell'uso di carne, in particolare maiale, e pasta all'uovo, tanto da far meritare alla città l'appellativo di Bologna la grassa...."", '...La struttura del centro storico composta dalla sovrapposizione di due modelli planimetrici, quello romano ortogonale e quello medievale a raggiera, con piazza Maggiore posta in mezzo e i ""raggi"", a partire dalle due strade centrali della via Emilia - via Rizzoli e via Ugo Bassi - che si sviluppano fino alle varie porte che si aprono lungo i resti delle mura....', '...Nacquero così popolosi quartieri periferici come la Barca (1962), il Pilastro (1966) o il Fossolo (1968), e si realizzarono grandi progetti di edilizia popolare, come ad esempio il grattacielo di San Vitale (1958-60), l\'insediamento ""Levante Emilia"" in via Napoli (1961), il Treno (1957-62) e lo Steccone (1968) alla Barca, il Virgolone (1976) al Pilastro....', ""...Ad Anzola dell'Emilia la Carpigiani;..."", ""...È allo studio, inoltre, la realizzazione del cosiddetto Passante Nord che, staccandosi dalla A14 nella zona di Castel San Pietro Terme, dovrebbe collegarsi alla A1 prima di Castelfranco Emilia, transitando, a nord della città, in modo da allontanare dall'agglomerato urbano il traffico di solo transito...."", ""...Altre strade importanti che toccano la città sono la Strada statale 9 Via Emilia, che la collega con numerosi capoluoghi dell'Emilia-Romagna, oltre che con Lodi e Milano;..."", '...Il primo sindaco del dopoguerra fu Giuseppe Dozza, nominato nel 1945 dal Comitato regionale di liberazione nazionale Emilia e Romagna e confermato alle prime elezioni amministrative a suffragio universale del 1946....']","ISTAT Ufficio Regionale Emilia Romagna, 9, Via Luigi Carlo Farini, Galvani, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia","{""coordinates"": [11.343514, 44.491454], ""type"": ""Point""}","ISTAT Ufficio Regionale Emilia Romagna, 9, Via Luigi Carlo Farini, Galvani, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia",amenity,research_institute
2,Europa,Europa,"[""*...È sede di prestigiose istituzioni culturali, economiche e politiche, e di uno dei più avanzati quartieri fieristici d'Europa...."", '*...Tra i primi maestri vi furono i giuristi Pepone, Accursio e Irnerio, che resero famosa in tutta Europa la scuola di giurisprudenza bolognese....', ""*...Orto botanico\nÈ il Giardino botanico dell'Università di Bologna, fondato nel 1568 da Ulisse Aldrovandi e considerato uno dei più antichi d'Europa...."", ""...Nel 1988 a Bologna si è tenuta la Biennale dei giovani artisti dell'Europa e del Mediterraneo, considerata la più importante vetrina mediterranea della creatività giovanile...."", ""...Il più longevo esempio di istituzione accademica straniera è il Collegio di Spagna, il più antico collegio al mondo aperto a studenti stranieri, erede del fenomeno delle nationes nella tradizione dell'Università medievale, ed è anche l'unico, di tale tipo, sopravvissuto nell'Europa continentale (altri esempi hanno resistito solo nel Regno Unito)...."", ""*...Mozart prese lezioni di contrappunto da padre Martini, all'epoca considerato come il più grande teorico musicale e il più grande esperto d'Europa nel contrappunto barocco...."", '*...In Italia, Bologna è la seconda città con maggior numero di posti in sale cinematografiche per abitanti (superata solo da Campobasso, che però ha una popolazione molto più esigua), e la diciannovesima in Europa....', ""*...Ogni estate in piazza Maggiore viene allestito un Cinema all'aperto, con uno degli schermi cinematografici più grandi d'Europa, in cui si proiettano tutte le sere alcuni dei migliori restauri della Cineteca e altre pellicole fra le novità della stagione, in un cartellone di oltre cinquanta appuntamenti denominato Sotto le stelle del Cinema...."", ""...Nel 1988 si tenne la Biennale dei giovani artisti dell'Europa e del Mediterraneo...."", '*...Alma Jazz Festival (si svolge in autunno): è il primo festival italiano dedicato alle orchestre jazz universitarie, provenienti da tutta Europa....', ""...La conferma di questo arriva da uno studio condotto nel 1989 dal gruppo Reclus di Montpellier e commissionato della DATAR (Délégation à l'Amenagement du Territoire et à l'Action Régionale), nel quale si formula una classificazione per grado d'importanza delle città con più di duecentomila abitanti di quattordici Stati dell'Europa Occidentale e mediterranea:..."", ""*...Il centro storico di Bologna è uno dei più antichi e vasti d'Europa...."", ""...Fra gli ultimi esempi di architettura contemporanea e interventi urbanistici (spesso oggetto di accese discussioni) troviamo la Porta Europa dell'architetto Ettore Masi in via Stalingrado, il complesso del nuovo palazzo comunale nella zona della Bolognina (Palazzo Bonaccorso e piazza Liber Paradisus) e la Torre Unipol, un grattacielo alto 127 metri sito nella periferia est della città...."", ""*...Con un PIL pro capite a parità di potere d'acquisto di 36.941 euro (2013), Bologna risulta essere la 44ª città più ricca d'Europa e la seconda in Italia dopo Milano...."", ""*...Secondo i dati dell'European Regional Economic Growth Index (E-REGI) del 2016, Bologna è la terza città italiana per indice di crescita economica (dopo Milano e Roma) e la 53ª in Europa...."", ""*...L'area di Bologna è un polo commerciale di primaria importanza (con il Centergross nell'area metropolitana, che per un lungo periodo è stato dalla fondazione nel 1977 la più grande cittadella commerciale all'ingrosso d'Europa, e l'Interporto)...."", '...La Bologna-Verona, che la collega anche al Trentino-Alto Adige e al Nord Europa;...', ""...La Bologna-Venezia, che la collega anche al Friuli-Venezia Giulia e all'Est Europa;..."", ""*...La linea 2 della Bicipolitana comprende il tratto bolognese della Ciclovia del Sole, parte del corridoio ciclabile europeo EuroVelo 7, che percorre l'Europa da nord a sud...."", ""...Ha sede in città il Bologna Football Club 1909, sette volte campione d'Italia, vincitore per due volte della Coppa Italia e per tre volte della Coppa dell'Europa Centrale...."", '*...Negli anni novanta la città si è guadagnata l\'appellativo di Basket City (""la città della pallacanestro"") grazie alla contemporanea militanza ai vertici dell\'Europa delle due squadre bolognesi:...']","Europa, Via Pietralata, Manifattura delle Arti, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italia","{""coordinates"": [11.331259, 44.49615], ""type"": ""Point""}","Europa, Via Pietralata, Manifattura delle Arti, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italia",amenity,cinema
4,Reno,Reno,"[""*...Bologna è situata nelle propaggini meridionali della pianura Padana, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, fra lo sbocco delle valli del fiume Reno e del torrente Savena, che la bagnano longitudinalmente, rispettivamente a ovest e a est...."", ""...Nell'area metropolitana, inoltre, si trovano la Lamborghini (a Sant'Agata Bolognese) e la sede italiana della Saab (a Casalecchio di Reno)...."", '...In ambito metalmeccanico vi si trova la Cesab, mentre nella zona metropolitana hanno sede la Malossi e la Minarelli (entrambe a Calderara di Reno), la Marzocchi e la Viro (a Zola Predosa), la Paioli (a Sant’Agata Bolognese)....', '*...In linea generale si può affermare che questa funzione di crocevia è resa possibile dalla particolare posizione geografica che, pur collocandola al margine meridionale della Pianura Padana, la pone, quasi come punto di passaggio obbligato, al centro delle vie di comunicazione che collegano il Nord dell\'Italia col Mezzogiorno, sia attraverso la direttrice ""adriatica"" da Torino, Milano, il Veneto fino alla Puglia, assai più rilevante per traffico di quella ""tirrenica"" da Genova a Roma, sia attraverso la cosiddetta ""dorsale appenninica"" per Firenze e Roma (che sfrutta, almeno nel primo tratto, la storica ed importante via di penetrazione appenninica rappresentata dalla valle del fiume Reno):...']","Via Riva di Reno, Manifattura delle Arti, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italia","{""coordinates"": [11.3316, 44.498245], ""type"": ""Point""}","Via Riva di Reno, Manifattura delle Arti, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italia",highway,tertiary
5,Savena,Savena,"[""*...Bologna è situata nelle propaggini meridionali della pianura Padana, a ridosso dei primi rilievi collinari dell'Appennino tosco-emiliano, fra lo sbocco delle valli del fiume Reno e del torrente Savena, che la bagnano longitudinalmente, rispettivamente a ovest e a est...."", '...Alle porte di Bologna, al confine con San Lazzaro di Savena, si trova un complesso militare della seconda guerra mondiale....', '...Parco Carlo Urbani\nIl Parco fluviale del Savena che si trova fra Bologna e San Lazzaro di Savena, ospita numerose specie animali e una ricca varietà di flora....', ""...Parco regionale dei Gessi Bolognesi e Calanchi dell'Abbadessa\nHa una superficie di 3\xa0123 ettari e si sviluppa sulle prime pendici della collina bolognese e comprende territori dei comuni di Bologna, San Lazzaro di Savena, Ozzano dell'Emilia e Pianoro, ad altitudini comprese fra 70 e , intorno a importanti affioramenti gessosi che hanno dato vita a un complesso carsico di notevole interesse...."", '*...Borgo Panigale-Reno, San Donato-San Vitale, Savena, Navile, Porto-Saragozza, Santo Stefano....', '...A San Lazzaro di Savena il gruppo Conserve Italia (a cui fanno capo la Cirio, la Valfrutta, la Derby Blue, la Yoga e la Jolly Colombani);...']","Savena, Via Primo Maggio, Rivabella, Altedo, Malalbergo, Unione Terre di Pianura, Bologna, Emilia-Romagna, 40116, Italia","{""coordinates"": [11.503609, 44.667234], ""type"": ""Point""}","Savena, Via Primo Maggio, Rivabella, Altedo, Malalbergo, Unione Terre di Pianura, Bologna, Emilia-Romagna, 40116, Italia",building,yes
8,Aeroporto Guglielmo Marconi,Aeroporto Guglielmo Marconi,"[""*...La temperatura minima assoluta, registrata all'Aeroporto Guglielmo Marconi, è di  registrata nel 1966 mentre la massima assoluta è stata di  registrata il 4 agosto 2017...."", ""...L'Aeroporto Guglielmo Marconi di Bologna, nel 2019 era l'ottavo Aeroporto italiano per numero di passeggeri....""]","Aeroporto di Bologna ""Guglielmo Marconi"", Via Crocetta, Lippo, Calderara di Reno, Unione Terre d'Acqua, Bologna, Emilia-Romagna, 40012, Italia","{""coordinates"": [11.288457, 44.534431], ""type"": ""Point""}","Aeroporto di Bologna ""Guglielmo Marconi"", Via Crocetta, Lippo, Calderara di Reno, Unione Terre d'Acqua, Bologna, Emilia-Romagna, 40012, Italia",aeroway,aerodrome
10,Basilica di San Petronio,Basilica di San Petronio,"[""*...Nel 1507 Bologna passò allo Stato Pontificio e nel 1530 nella Basilica di San Petronio venne celebrata l'incoronazione di Carlo V Imperatore per mano di Papa Clemente VII...."", '...In piazza Maggiore si trova la gotica e imponente basilica di San Petronio costruita per volere del Comune fra il 1390 e il 1659....']","Basilica di San Petronio, Via dell'Archiginnasio, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia","{""coordinates"": [11.343033, 44.492736], ""type"": ""Point""}","Basilica di San Petronio, Via dell'Archiginnasio, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40124, Italia",amenity,place_of_worship
11,Porta Lame,Porta Lame,"[""*...L'episodio più celebre della Resistenza bolognese fu la battaglia di Porta Lame, combattuta il 7 novembre 1944....""]","Porta Lame, Tangenziale delle Biciclette, Saffi, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italia","{""coordinates"": [11.333308, 44.502334], ""type"": ""Point""}","Porta Lame, Tangenziale delle Biciclette, Saffi, Porto-Saragozza, Bologna, Emilia-Romagna, 40122, Italia",historic,city_gate
12,Pilastro,Pilastro,"[""*...L'azione più sanguinosa della banda, nota come la strage del Pilastro, avvenne il 4 gennaio 1991, quando vennero uccisi in un agguato tre carabinieri...."", '...La Bolognina ed il Pilastro sono statisticamente i quartieri ove si concentra maggiormente la popolazione straniera di Bologna....', '*...Nacquero così popolosi quartieri periferici come la Barca (1962), il Pilastro (1966) o il Fossolo (1968), e si realizzarono grandi progetti di edilizia popolare, come ad esempio il grattacielo di San Vitale (1958-60), l\'insediamento ""Levante Emilia"" in via Napoli (1961), il Treno (1957-62) e lo Steccone (1968) alla Barca, il Virgolone (1976) al Pilastro....']","Pilastro, Via Tommaso Casini, Pilastro, San Donato-San Vitale, San Sisto, Bologna, Emilia-Romagna, 40127, Italia","{""coordinates"": [11.395447, 44.511132], ""type"": ""Point""}","Pilastro, Via Tommaso Casini, Pilastro, San Donato-San Vitale, San Sisto, Bologna, Emilia-Romagna, 40127, Italia",amenity,shelter
13,Palazzo d'Accursio,Palazzo d'Accursio,"[""*...Nel 1999 la tradizione dei sindaci di sinistra si interruppe con l'affermazione elettorale di Giorgio Guazzaloca, candidato civico di centro-destra, che rimane tuttora l'unico esponente di tale coalizione ad essersi insediato a Palazzo d'Accursio...."", ""*...Palazzo d'Accursio (o Comunale) ;...""]","Palazzo D' Accursio, Piazza del Nettuno, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italia","{""coordinates"": [11.342339, 44.494034], ""type"": ""Point""}","Palazzo D' Accursio, Piazza del Nettuno, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italia",historic,building
