,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Bosforo,Bosforo,"[""*...È una megalopoli situata nel nord-ovest del paese, la quale si estende lungo lo stretto del Bosforo, alla cui estremità meridionale si situa il porto naturale del Corno d'Oro, e lungo la sponda settentrionale del Mar di Marmara...."", ""*...La città, divisa dal Bosforo, si estende sia in Europa (Tracia) sia in Asia (Anatolia), risultando l'unica metropoli al mondo appartenente a due continenti...."", ""*...L'attuale area urbana si estende su entrambe le sponde del Bosforo, lo stretto che divide l'Europa dall'Asia e unisce il Mar Nero al Mar di Marmara, e sul Mar di Marmara stesso...."", '*...Il ""Corno d\'Oro"" (in Turco \'Halic\') è il nome del porto naturale nella parte europea e all\'imbocco del Bosforo su cui si affaccia il centro storico....', '*...La fondazione di Bisanzio, da parte dei coloni greci di Megara, risale al 667 a.C. Grazie alla posizione di controllo sul Bosforo, la città si sviluppò in breve tempo tanto da diventare oggetto di contesa durante le guerre del Peloponneso....', ""*...Il governo del presidente Erdoğan ha ultimato, proposto o sta portando avanti una serie di grandi opere (Tunnel ferroviario sotto il Bosforo, terzo ponte sul Bosforo, terzo Aeroporto, diverse linee di metropolitana, canale navigabile per decongestionare il Bosforo) le quali, se da una parte costituiscono un potente stimolo per l'economia, dall'altra stanno alterando irreparabilmente l'immagine della città, sfregiata al tempo stesso da una speculazione edilizia ormai senza freni...."", ""...Durante l'epoca Ottomana, specialmente nell'Ottocento, decine di chiese greco-ortodosse, armene e cattoliche furono costruite nella città storica, a Galata/Pera e lungo il Bosforo, per venire incontro alle esigenze spirituali delle comunità greche, armene e levantine, a quel tempo numerose e potenti...."", '*...Il Parco di Yıldız si estende alle spalle del Palazzo Çırağan, sulle pendici della riva europea del Bosforo....', ""*...Oltre a essi, esiste un piccolo numero di tedeschi del Bosforo e di polacchi (questi ultimi abitanti nel villaggio di Polonezköy) insediatisi a Istanbul nell'Ottocento...."", ""*...L'Università del Bosforo (in lingua turca Boğaziçi Üniversitesi) è un'altra antica istituzione educativa di Istanbul, situata sul lato europeo del Bosforo...."", '*...Amministrativamente il comune metropolitano di Istanbul si estende su tutti i distretti della provincia, comprendendo i distretti interamente urbani di Avcılar, Bağcilar, Bahçelievler, Bakırköy, Bayrampaşa, Beşiktaş, Beylikdüzü, Beyoğlu, Büyükçekmece, Esenler, Esenyurt, Fatih, Gaziosmanpaşa, Güngören, Kağıthane, Küçükçekmece, Sultangazi, Şişli, Zeytinburnu sulla sponda europea del Bosforo, e di Adalar, Ataşehir, Kadıköy, Kartal, Maltepe, Sultanbeyli, Tuzla, Ümraniye, Scutari (Üsküdar) sulla sponda asiatica....', '*...Bebek, quartiere molto elegante e centro residenziale di lusso posto sulla riva europea tra i due ponti sul Bosforo;...', ""*...Kilyos è una piccola località balneare tranquilla, situata in Europa, non lontano dall'ingresso settentrionale del Bosforo, sul Mar Nero...."", ""*...Molti altri, e di alto livello, si trovano lungo le rive del Bosforo, in particolare a Bebek, Arnavutköy, Yeniköy, Beylerbeyi e Çengelköy, e a Yeşilköy, in riva al Mar di Marmara verso l'ovest della città...."", '*...I più popolari dei locali estivi a cielo aperto si trovano sul Bosforo, come ""Sortie"", ""Reina"" e ""Anjelique"" nel quartiere Ortaköy....', ""...Luoghi come l'Istanbul Arena Maslak e Kurucesme Arena sul Bosforo frequentemente ospitano concerti dal vivo di cantanti famosi e band provenienti da ogni angolo del mondo...."", ""...Il Mar di Marmara, il Corno d'Oro, il Bosforo e il Mar Nero...."", ""*...Adesso l'importanza dei traghetti è molto diminuita, ma essi rappresentano sempre un mezzo per i pendolari, turisti e persone che hanno paura dei terremoti, e insieme con il catamarano ad alta velocità Seabus' (Deniz Otobüsü), formano anche il collegamento principale tra la città e le sponde del Bosforo e le Isole dei Principi...."", '*...I traghetti a vapore hanno fatto la loro prima apparizione sul Bosforo nel 1837 ed erano gestiti da aziende private....', '*...In avanzato stato di progettazione è Kanal Istanbul, un canale fra il Mar di Marmara e il Bosforo che avrebbe un impatto ambientale devastante sulla città e la regione circostante....', ""*...Di là dal Bosforo, il Terminal Haydarpaşa, sulla sponda asiatica, serviva la linea per Ankara (anche la ferrovia ad alta velocità Istanbul–Ankara) e per altre città dell'Anatolia, ma è stato anch'esso chiuso dopo l'apertura di Marmaray...."", '*...La terza linea funicolare, la F3, conosciuta anche come Vadistanbul Skyrail, è una funicolare lunga 750 metri situata a Sarıyer, sul lato europeo del Bosforo, ed è stata inaugurata il 29 ottobre 2017....', ""*...La quarta funicolare, la linea F4, è una funicolare lunga 850 metri situata a Beşiktaş, anch'essa sul lato europeo del Bosforo...."", '*...Quelle denominate M1ᴀ, M1ʙ, M2, M3, M6, M7, M9 e M11 si trovano sul lato europeo del Bosforo, mentre le linee M4, M5 e M8 sono sul lato asiatico....', '*...A causa della geografia unica e difficile di Istanbul, città divisa dallo stretto del Bosforo, le reti europee e asiatiche non si collegano direttamente, ma dal 2013 sono collegate tra loro attraverso la linea B1, chiamata anche Marmaray....', '*...La linea B1, chiamata originariamente Marmaray (comprendente un tunnel ferroviario sotto il Bosforo) lunga 76,6\xa0km, espleta il collegamento urbano e suburbano fra le zone asiatiche e quelle europee della città lungo il Mar di Marmara....', ""...Il Metrobus di Istanbul è una linea di Bus Rapid Transit lunga 50 km con 44 stazioni che percorre l'anello stradale da Avcılar a Zincirlikuyu passando per il Ponte sul Bosforo sino a Söğütlüçeşme, unendo cosi' Europa e Asia, e usando corsie dedicate per gran parte della tratta...."", '*...Di tanto in tanto Istanbul ospita anche la tappa turca del campionato del mondo formula 1 motonautica F1 sul Bosforo....', '*...Diverse le gare annuali di vela e yacht svolte sul Bosforo e sul Mar di Marmara....']","Bosforo Turizm, Ibn-I-Kemal Caddesi, Hocapaşa Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34110, Turchia","{""coordinates"": [28.977787, 41.01273], ""type"": ""Point""}","Bosforo Turizm, Ibn-I-Kemal Caddesi, Hocapaşa Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34110, Turchia",shop,travel_agency
4,Asia,Asia,"[""*...La città, divisa dal Bosforo, si estende sia in Europa (Tracia) sia in Asia (Anatolia), risultando l'unica metropoli al mondo appartenente a due continenti...."", ""*...L'attuale area urbana si estende su entrambe le sponde del Bosforo, lo stretto che divide l'Europa dall'Asia e unisce il Mar Nero al Mar di Marmara, e sul Mar di Marmara stesso...."", ""*...Dopo la caduta dell'Impero romano d'Occidente, la posizione strategica di Costantinopoli, posta al crocevia fra Mar Mediterraneo e Mar Nero e fra Europa e Asia fece della città un centro commerciale, culturale e politico di rilievo mondiale...."", '*...Parallelamente, la città venne dotata di strutture per il commercio, come il Gran Bazaar e il Bazar Egiziano, e tornò a essere il crocevia dei traffici fra Europa e Asia....', '*...La sua importanza geopolitica, sin dai tempi antichi, ha portato in questa città rappresentanti di gruppi etnici provenienti da tutta Europa, Asia e Africa, molti dei quali finirono per essere assimilati alle popolazioni locali....', '*...Inoltre due cosiddette linee del tram nostalgico, la T3 e la T2, la prima in Asia e la seconda in Europa, provvedono al trasporto locale rispettivamente a Kadıköy e a Beyoğlu....', ""*...Il Metrobus di Istanbul è una linea di Bus Rapid Transit lunga 50 km con 44 stazioni che percorre l'anello stradale da Avcılar a Zincirlikuyu passando per il Ponte sul Bosforo sino a Söğütlüçeşme, unendo cosi' Europa e Asia, e usando corsie dedicate per gran parte della tratta...."", '*...Asia...']","İoki Asia, Kandilli Caddesi, Kandilli Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34684, Turchia","{""coordinates"": [29.057738, 41.073848], ""type"": ""Point""}","İoki Asia, Kandilli Caddesi, Kandilli Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34684, Turchia",amenity,restaurant
9,Aeroporto di Istanbul,Aeroporto di Istanbul,"[""*...La città è servita dal nuovo Aeroporto di Istanbul (nella parte europea) e dall'Aeroporto Internazionale di Istanbul-Sabiha Gökçen (nella parte asiatica)....""]","Aeroporto di Istanbul-Atatürk, Yenibosna Kavşağı, Fevzi Çakmak Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34196, Turchia","{""coordinates"": [28.825102, 40.977983], ""type"": ""Point""}","Aeroporto di Istanbul-Atatürk, Yenibosna Kavşağı, Fevzi Çakmak Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34196, Turchia",aeroway,aerodrome
13,Est,Est,"[""*...L'inverno è freddo e umido ed è caratterizzato da un'alternanza fra periodi miti e piovosi (quando soffiano i venti umidi e tiepidi dal Mar Mediterraneo) e periodi invece più rigidi e nevosi (con minime anche di -8\xa0°C) quando soffiano i venti dal Polo nord o dall'Est...."", '...A causa della disoccupazione e della guerriglia nel sud-est della Turchia, molte persone di quella regione sono migrate a Istanbul, dove si sono stabilite nella periferia della città....', '...Istanbul accolse anche gli ebrei ashkenaziti del centro ed est europeo perseguitati dai nazisti durante gli anni 30 e 40 del 900....', ""...Fener, uno dei quartieri più popolari dentro le mura, un tempo centro dell'etnia greca e ripopolato recentemente da immigrati dal sud-est del paese, sede del Patriarcato greco, e uno dei pochi luoghi dove si è conservata la vecchia Istanbul, nel distretto di Fatih;..."", ""...Più piccolo è l'Aeroporto Internazionale di Istanbul-Sabiha Gökçen situato nel distretto di Pendik nella parte asiatica, vicino al circuito di Formula 1, si trova a circa 20 chilometri a est della parte asiatica e a 45\xa0km a est del centro della città europea....""]","Osmanlı emlak, Şht.Pilot Mahmut Nedim Sokağı, Molla Gürani Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34080, Turchia","{""coordinates"": [28.946818, 41.011709], ""type"": ""Point""}","Osmanlı emlak, Şht.Pilot Mahmut Nedim Sokağı, Molla Gürani Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34080, Turchia",office,estate_agent
14,Lodos,Lodos,['*...I più famosi sono il Poyraz (vento fresco da nord-est) e il Lodos (vento caldo da sud-ovest)....'],"Lodos, 2427. Sokak, İSTOÇ, Mahmutbey Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34218, Turchia","{""coordinates"": [28.827795, 41.06703], ""type"": ""Point""}","Lodos, 2427. Sokak, İSTOÇ, Mahmutbey Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34218, Turchia",shop,houseware
15,Byzantium,Byzantium,"['*...Byzantium), è la città più popolosa della Turchia e capoluogo della provincia omonima, oltre ad essere il principale centro industriale, finanziario e culturale dello stato....', '*...Divenne Byzantium in latino e successivamente Bisanzio in italiano....']","Byzantium Hotel, Akbıyık Caddesi, Cankurtaran Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia","{""coordinates"": [28.980414, 41.005527], ""type"": ""Point""}","Byzantium Hotel, Akbıyık Caddesi, Cankurtaran Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia",tourism,hotel
18,Nova Roma,Nova Roma,"['*...Costantino la ribattezzò Nova Roma, ma questa denominazione non entrò mai nell\'uso comune, sebbene ancora oggi la denominazione ufficiale secondo la Chiesa ortodossa e il Patriarcato ecumenico sia ""Costantinopoli Nuova Roma""....', '...La posizione strategica di Bisanzio attrasse anche l\'imperatore Costantino I che, l\'11 maggio 330, la rifondò come ""Nova Roma"", anche se la città prese presto il nome di Costantinopoli....']","Nova Roma Hotel, Aksakal Sokağı, Küçük Ayasofya Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia","{""coordinates"": [28.973814, 41.002732], ""type"": ""Point""}","Nova Roma Hotel, Aksakal Sokağı, Küçük Ayasofya Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Turchia",tourism,hotel
21,Gran Bazaar,Gran Bazaar,"['...Parallelamente, la città venne dotata di strutture per il commercio, come il Gran Bazaar e il Bazar Egiziano, e tornò a essere il crocevia dei traffici fra Europa e Asia....']","Gran Bazar, Çarşıkapı Nur-u Osmaniye Caddesi, Mahmutpaşa, Molla Fenari Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34120, Turchia","{""coordinates"": [28.969963, 41.010109], ""type"": ""Point""}","Gran Bazar, Çarşıkapı Nur-u Osmaniye Caddesi, Mahmutpaşa, Molla Fenari Mahallesi, Istanbul, Fatih, İstanbul, Marmara Bölgesi, 34120, Turchia",tourism,museum
23,piazza Taksim,piazza Taksim,"['*...In anni recenti la città è stata oggetto di diversi attacchi terroristici, come il massacro di piazza Taksim avvenuto nel 1977, e gli attacchi del 1999, del 2003 e del 2008, per un totale di più di 120 vittime e 1.000 feriti....', ""...Un nuovo attentato compiuto da un kamikaze in piazza Taksim porta, nell'ottobre 2010, alla morte del kamikaze e al ferimento di 15 agenti di polizia e 17 civili...."", ""*...Conseguenza di ciò sono stati fra l'altro i violenti scontri avvenuti nel giugno 2013 a piazza Taksim e a Beşiktaş tra studenti, intellettuali, e cittadini da una parte e la polizia dall'altra in difesa del Parco di Gezi (e dei suoi 600 alberi) che il governo cittadino vuole distruggere per ricostruire antiche caserme ottomane che dovranno ospitare un centro commerciale e una moschea....""]","Piazza Taksim, Taksim, Gümüşsuyu, Gümüşsuyu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34437, Turchia","{""coordinates"": [28.985204, 41.037955], ""type"": ""Point""}","Piazza Taksim, Taksim, Gümüşsuyu, Gümüşsuyu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34437, Turchia",highway,pedestrian
24,Taksim,Taksim,"['...In anni recenti la città è stata oggetto di diversi attacchi terroristici, come il massacro di piazza Taksim avvenuto nel 1977, e gli attacchi del 1999, del 2003 e del 2008, per un totale di più di 120 vittime e 1.000 feriti....', ""*...Un nuovo attentato compiuto da un kamikaze in piazza Taksim porta, nell'ottobre 2010, alla morte del kamikaze e al ferimento di 15 agenti di polizia e 17 civili...."", ""...Conseguenza di ciò sono stati fra l'altro i violenti scontri avvenuti nel giugno 2013 a piazza Taksim e a Beşiktaş tra studenti, intellettuali, e cittadini da una parte e la polizia dall'altra in difesa del Parco di Gezi (e dei suoi 600 alberi) che il governo cittadino vuole distruggere per ricostruire antiche caserme ottomane che dovranno ospitare un centro commerciale e una moschea...."", '*...Una seconda linea funicolare, la F1 Kabataş-Taksim, è entrata in servizio il 29 giugno 2006 e collega Kabataş e Taksim....']","Taksim, Piazza Taksim, Taksim, Gümüşsuyu, Gümüşsuyu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34437, Turchia","{""coordinates"": [28.984763, 41.036436], ""type"": ""Point""}","Taksim, Piazza Taksim, Taksim, Gümüşsuyu, Gümüşsuyu Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34437, Turchia",railway,tram_stop
