,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Atlantico,Atlantico,"[""*...È un importante centro economico, con un settore finanziario in crescita e uno tra i più importanti porti affacciati sull'Atlantico...."", '*...La città e i dintorni di Lisbona godono di un clima Atlantico, con inverni miti ed estati moderatamente calde, ma ben ventilate....', ""...Il Tago e l'Oceano Atlantico regalano alla città una gran luce e grandi cieli;...""]","Atlântico, 6, Alameda Columbano, Santo António do Estoril, Estoril, Cascais e Estoril, Cascais, Lisbona, 2765-446, Portogallo","{""coordinates"": [-9.406469, 38.70412], ""type"": ""Point""}","Atlântico, 6, Alameda Columbano, Santo António do Estoril, Estoril, Cascais e Estoril, Cascais, Lisbona, 2765-446, Portogallo",amenity,restaurant
5,Vasco da Gama,Vasco da Gama,"[""*...Il ponte 25 Aprile, inaugurato nel 1966, e il ponte Vasco da Gama, lungo 17,2 km e inaugurato il 29 marzo 1998 in occasione di Expo '98...."", ""*...Tra il XV ed il XVII secolo da Lisbona partirono moltissimi viaggi di esplorazione, che permisero a Bartolomeo Diaz di doppiare il Capo di Buona Speranza e a Vasco da Gama di raggiungere l'India nel 1497...."", ""*...Nel 1998 si tenne a Lisbona l'Expo, giusto in tempo per commemorare il 500º anniversario del viaggio di Vasco da Gama in India...."", ""...Per l'occasione fu costruito un quartiere completamente nuovo, Parque das Nações, e il ponte Vasco da Gama, il più lungo d'Europa con i suoi 17,2\xa0km...."", '*...Il Monastero dos Jerónimos, straordinario enorme esempio di architettura manuelina che ospita le memorie dei portoghesi illustri, da Vasco da Gama a Luis Vaz de Camoes (il Dante Alighieri portoghese) a Amália Rodrigues a Fernando Pessoa;...', '...Ponte Vasco da Gama ;...', '...Jardim Vasco da Gama ;...', '...Acquario Vasco da Gama - Aquário Vasco da Gama (Sito) ;...']","Vasco da Gama, Rua das Taipas, Bairro Alto, Misericórdia, Lisbona, 1200-146, Portogallo","{""coordinates"": [-9.14417, 38.715238], ""type"": ""Point""}","Vasco da Gama, Rua das Taipas, Bairro Alto, Misericórdia, Lisbona, 1200-146, Portogallo",historic,memorial
8,Europa atlantica,Europa atlantica,"[""*...Durante il Neolitico la regione è stata abitata da popolazioni di origine iberica che a quel tempo occupavano anche altre regioni dell'Europa atlantica....""]","Plantas da Europa Central e Atlântica, Calçada da Ajuda, Ajuda, Lisbona, 1349-021, Portogallo","{""coordinates"": [-9.200836, 38.706809], ""type"": ""Point""}","Plantas da Europa Central e Atlântica, Calçada da Ajuda, Ajuda, Lisbona, 1349-021, Portogallo",leisure,garden
12,Sé de Lisboa,Sé de Lisboa,"[""*...In passato si credeva che Lisbona fosse stata fondata dai Fenici e questo sembrerebbe accreditato dai recenti ritrovamenti di reperti fenici risalenti all'VIII secolo a.C. sotto la medievale Sé de Lisboa, la cattedrale della città moderna....""]","Sé de Lisboa, 29, Cruzes da Sé, Sé, Alfama, Santa Maria Maior, Lisbona, 1100-192, Portogallo","{""coordinates"": [-9.13264, 38.709527], ""type"": ""Point""}","Sé de Lisboa, 29, Cruzes da Sé, Sé, Alfama, Santa Maria Maior, Lisbona, 1100-192, Portogallo",building,apartments
14,Teatro,Teatro,"[""*...Durante il periodo di Augusto furono erette delle mura difensive, un grande Teatro, delle terme (sotto l'attuale Rua da Prata), numerosi templi, una necropoli (sotto l'attuale Praça da Figueira), un grande foro e numerose abitazioni nella zona tra il castello di San Giorgio e l'attuale centro cittadino...."", '...In seguito Lisbona fu Teatro della rivolta repubblicana del 5 ottobre 1910 che depose il successore di Carlo I, Manuele II del Portogallo, inaugurando la Prima Repubblica portoghese....', ""...Il 25 aprile 1974 Lisbona fu Teatro della rivoluzione dei Garofani che mise fine all'Estado Novo e instaurò la nuova democrazia in Portogallo...."", '...Teatro Nacional de São Carlos ;...', '...Museo nazionale del Teatro e della danza - Museu Nacional do Teatro e da Dança (Sito) ;...', ""...Il Teatro dell'opera di Lisbona è il Teatro Nacional de São Carlos, mentre il maggior Teatro di prosa è il Teatro Nacional D. Maria II....""]","Teatro Nacional de São Carlos, 9, Rua Serpa Pinto, Chiado, Santa Maria Maior, Lisbona, 1200-442, Portogallo","{""coordinates"": [-9.141714, 38.709407], ""type"": ""Point""}","Teatro Nacional de São Carlos, 9, Rua Serpa Pinto, Chiado, Santa Maria Maior, Lisbona, 1200-442, Portogallo",building,yes
17,Africa,Africa,"[""*...La città divenne il centro del commercio europeo con l'Africa, l'India, l'Estremo Oriente e, più tardi, il Brasile....""]","Guest House Brazil-Africa, 8-2, Travessa das Pedras Negras, Sé, Alfama, Santa Maria Maior, Lisbona, 1100, Portogallo","{""coordinates"": [-9.135117, 38.710547], ""type"": ""Point""}","Guest House Brazil-Africa, 8-2, Travessa das Pedras Negras, Sé, Alfama, Santa Maria Maior, Lisbona, 1100, Portogallo",tourism,guest_house
19,Torre di Belém,Torre di Belém,"[""...La Torre di Belém e il Mosteiro dos Jerónimos, entrambi inseriti tra i siti del patrimonio mondiale dell'umanità dell'UNESCO...."", ""...La Torre di Belém da dove Vasco de Gama partì alla conquista dell'impero;..."", '*...Torre di Belém ;...']","Torre di Belém, Avenida de Brasília, Pedrouços, Belém, Lisbona, 1400-038, Portogallo","{""coordinates"": [-9.215917, 38.691613], ""type"": ""Point""}","Torre di Belém, Avenida de Brasília, Pedrouços, Belém, Lisbona, 1400-038, Portogallo",tourism,attraction
20,Mosteiro dos Jerónimos,Mosteiro dos Jerónimos,"[""...La Torre di Belém e il Mosteiro dos Jerónimos, entrambi inseriti tra i siti del patrimonio mondiale dell'umanità dell'UNESCO...."", ""*...Una tappa imperdibile per i visitatori amanti della gastronomia è senz'altro la famosa ed antichissima Antiga Confeitaria de Belém situata nell'omonimo quartiere, a pochi metri dal Mosteiro dos Jerónimos...."", ""*...Da non trascurare il Planetario Calouste Gulbenkian, situato nell'ambito del Museo Navale, a pochi passi dal famoso Mosteiro dos Jerónimos, nel quartiere di Belém....""]","Mosteiro dos Jerónimos, Rua de Belém, Belém, Lisbona, 1300-085, Portogallo","{""coordinates"": [-9.203485, 38.697351], ""type"": ""Point""}","Mosteiro dos Jerónimos, Rua de Belém, Belém, Lisbona, 1300-085, Portogallo",railway,tram_stop
21,Ribeira,Ribeira,"[""*...L'indipendenza fu proclamata nel 1640, quando la viceregina del Portogallo Margherita di Savoia venne posta agli arresti da un gruppo di congiurati nel palazzo della Ribeira a Lisbona...."", ""*...Tra gli edifici più importanti che andarono distrutti vi furono il palazzo della Ribeira, dimora della famiglia reale (scampata al terremoto in quanto quel giorno fuori città), e l'Hospital Real de Todos os Santos, il più grande edificio pubblico del tempo....""]","Avenida da Ribeira das Naus, São Nicolau, Santa Maria Maior, Lisbona, 1100-038, Portogallo","{""coordinates"": [-9.137305, 38.706604], ""type"": ""Point""}","Avenida da Ribeira das Naus, São Nicolau, Santa Maria Maior, Lisbona, 1100-038, Portogallo",highway,primary
22,Europa,Europa,"[""...Situata sull'estremità occidentale della penisola iberica, presso l'estuario del fiume Tago, è geograficamente la capitale (nonché la zona geografica) più occidentale dell'Europa continentale...."", ""...La città è la sesta più visitata dell'Europa meridionale dopo Roma, Barcellona, Madrid, Atene e Milano, con 1\xa0740\xa0000 turisti nel 2009...."", ""...Durante il Neolitico la regione è stata abitata da popolazioni di origine iberica che a quel tempo occupavano anche altre regioni dell'Europa atlantica...."", ""*...All'inizio del XVIII secolo, con una popolazione stimata di circa 250\xa0000 abitanti, Lisbona era una delle città più grandi d'Europa...."", ""*...Per l'occasione fu costruito un quartiere completamente nuovo, Parque das Nações, e il ponte Vasco da Gama, il più lungo d'Europa con i suoi 17,2\xa0km....""]","Europa, Rua Nova do Carvalho, Cais do Sodré, Misericórdia, Lisbona, 1249-002, Portogallo","{""coordinates"": [-9.14331, 38.70722], ""type"": ""Point""}","Europa, Rua Nova do Carvalho, Cais do Sodré, Misericórdia, Lisbona, 1249-002, Portogallo",amenity,bar
