,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Berounka,Berounka,"['*...Praga si trova nella parte centro-occidentale della Repubblica Ceca, al centro della regione storica della Boemia, ed è attraversata dal fiume Moldava, nel quale confluisce, presso il quartiere di Lahovice, il fiume Berounka....']","Berounka, Barunčina, Modřany, Praga, Praha, 143 00, Repubblica Ceca","{""coordinates"": [14.410195, 50.013486], ""type"": ""Point""}","Berounka, Barunčina, Modřany, Praga, Praha, 143 00, Repubblica Ceca",amenity,restaurant
3,Castello,Castello,"['*...Queste quattro città erano Hradčany (il Castello, a ovest della Moldava), Malá Strana (""piccolo quartiere"", nell\'area a sud del Castello), Staré Město (la Città Vecchia, sulla riva orientale opposta al Castello) e Nové Město (la Città Nuova, a sud-est)....', ""...Tra le principali attrazioni turistiche troviamo Staré Město, alcuni luoghi legati a Franz Kafka, Malá Strana, Hradčany con il Castello di Praga, il Vicolo d'Oro (la leggenda vuole che in queste casette sghembe abbiano lavorato gli alchimisti incaricati da Rodolfo II della ricerca della pietra filosofale) e la Cattedrale di San Vito (dove sono conservate le reliquie più importanti della Chiesa cattolica boema:..."", '...La Metamorfosi; Il Processo; Il Castello; America; Lettera al padre; Lettere a Milena (Franz Kafka);...', ""...Vicolo dell'Oro: antica via in cui venivano condotti esperimenti e studi dalla maggior parte degli alchimisti e maghi radunati da Rodolfo II. Secondo alcuni, invece, in tale vicolo risiedevano le guardie del castello mentre alchimisti e maghi nel quartiere di Mala Strana;...""]","Pizzeria Castello, 5, Bílkova, Josefov, Praha 1, Praga, Praha, 110 00, Repubblica Ceca","{""coordinates"": [14.419564, 50.091028], ""type"": ""Point""}","Pizzeria Castello, 5, Bílkova, Josefov, Praha 1, Praga, Praha, 110 00, Repubblica Ceca",amenity,restaurant
4,Città Vecchia,Città Vecchia,"['...Queste quattro città erano Hradčany (il Castello, a ovest della Moldava), Malá Strana (""piccolo quartiere"", nell\'area a sud del Castello), Staré Město (la Città Vecchia, sulla riva orientale opposta al Castello) e Nové Město (la Città Nuova, a sud-est)....', ""*...Praga 1\xa0· Praga 2\xa0· Praga 3\xa0· Praga 4\xa0· Praga 5\xa0· Praga 6\xa0· Praga 7\xa0· Praga 8\xa0· Praga 9\xa0· Praga 10\xa0· Praga 11\xa0· Praga 12\xa0· Praga 13\xa0· Praga 14\xa0· Praga 15\xa0· Praga 16\xa0· Praga 17\xa0· Praga 18\xa0· Praga 19\xa0· Praga 20\xa0· Praga 21\xa0· Praga 22\nBěchovice – Benice – Březiněves – Čakovice – Ďablice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Kbely – Klánovice – Koloděje – Kolovraty – Královice – Křeslice – Kunratice – Libuš – Lipence – Lochkov – Lysolaje – Nebušice – Nedvězí – Petrovice – Přední Kopanina – Řeporyje – Satalice – Slivenec – Suchdol – Šeberov – Štěrboholy – Troja – Újezd u Průhonic – Velká Chuchle – Vinoř – Zbraslav – Zličín\nBěchovice – Praga – Bohnice – Braník – Břevnov – Březiněves – Bubeneč – Čakovice – Černý Most – Chodov – Cholupice -Čimice – Ďáblice – Dejvice – Dolní Chabry – Dolní Měcholupy – Dolní Počernice – Dubeč – Háje – Hájek – Hloubětín – Hlubočepy – Hodkovičky – Holešovice – Holyně – Horní Měcholupy – Horní Počernice – Hostavice – Hostivař – Hradčany – Hrdlořezy – Jinonice – Josefov (Quartiere Ebraico) – Kamýk – Karlín – Kbely – Klánovice – Kobylisy – Koloděje – Kolovraty – Komořany – Košíře – Královice – Krč – Křeslice – Kunratice – Kyje – Lahovice – Letňany – Lhotka – Libeň – Liboc – Libuš – Lipany – Lipence – Lochkov – Lysolaje – Malá Chuchle – Malá Strana (Piccolo Quartiere) – Malešice – Michle – Miškovice – Modřany – Motol – Nebušice – Nedvězí – Nové Město (Città Nuova) – Nusle – Petrovice – Písnice – Pitkovice – Podolí – Přední Kopanina – Prosek – Radlice -Radotín – Řeporyje – Řepy – Ruzyně – Satalice – Sedlec – Slivenec – Smíchov – Sobín – Staré Město (Città Vecchia) – Štěrboholy – Stodůlky – Strašnice – Střešovice – Střížkov – Suchdol – Točná – Třebonice – Třeboradice – Troja – Uhříněves – Újezd nad Lesy – Újezd u Průhonic – Veleslavín – Velká Chuchle – Vinohrady – Vinoř – Vokovice – Vršovice – Vyšehrad – Vysočany – Záběhlice – Zadní Kopanina – Zbraslav – Žižkov – Zličín\nIl Prodotto interno lordo pro capite di Praga è circa il doppio rispetto a quello dell'intera Repubblica Ceca, essendo pari a  (circa ), dati del 2009...."", ""...Nel videogioco Deus Ex: Mankind Divided la città è vittima di attentati terroristici dovuti ai potenziati cibernetici. Possono essere visitate alcune parti, tra le quali la città vecchia dal protagonista di Deus Ex: Human Revolution, Adam Jensen nell'anno 2027, tre anni dopo gli eventi di Deus Ex: Human Revolution....""]","Municipio della città vecchia, Mikulášská, Città Vecchia, Praha 1, Praga, Praha, 115 72, Repubblica Ceca","{""coordinates"": [14.420293, 50.086978], ""type"": ""Point""}","Municipio della città vecchia, Mikulášská, Città Vecchia, Praha 1, Praga, Praha, 115 72, Repubblica Ceca",tourism,attraction
7,San Venceslao,San Venceslao,"['*...1969: durante la Primavera di Praga, in piazza San Venceslao, uno studente praghese, Jan Palach, si diede fuoco per protestare contro la brutale invasione delle truppe comuniste sovietiche;...']","Piazza San Venceslao, Città Nuova, Praha 1, Praga, Praha, 110 00, Repubblica Ceca","{""coordinates"": [14.424351, 50.083598], ""type"": ""Point""}","Piazza San Venceslao, Città Nuova, Praha 1, Praga, Praha, 110 00, Repubblica Ceca",highway,pedestrian
8,Castello di Praga,Castello di Praga,"[""...Tra le principali attrazioni turistiche troviamo Staré Město, alcuni luoghi legati a Franz Kafka, Malá Strana, Hradčany con il Castello di Praga, il Vicolo d'Oro (la leggenda vuole che in queste casette sghembe abbiano lavorato gli alchimisti incaricati da Rodolfo II della ricerca della pietra filosofale) e la Cattedrale di San Vito (dove sono conservate le reliquie più importanti della Chiesa cattolica boema:...""]","Castello di Praga, Sněmovní, Piccolo Quartiere, Praha 1, Praga, Praha, 118 01, Repubblica Ceca","{""coordinates"": [14.400522, 50.090811], ""type"": ""Point""}","Castello di Praga, Sněmovní, Piccolo Quartiere, Praha 1, Praga, Praha, 118 01, Repubblica Ceca",historic,castle
9,Vicolo d'Oro,Vicolo d'Oro,"[""...Tra le principali attrazioni turistiche troviamo Staré Město, alcuni luoghi legati a Franz Kafka, Malá Strana, Hradčany con il Castello di Praga, il Vicolo d'Oro (la leggenda vuole che in queste casette sghembe abbiano lavorato gli alchimisti incaricati da Rodolfo II della ricerca della pietra filosofale) e la Cattedrale di San Vito (dove sono conservate le reliquie più importanti della Chiesa cattolica boema:...""]","Vicolo d'Oro, Zlatá ulička u Daliborky, Hradčany, Praha 1, Praga, Praha, 119 00, Repubblica Ceca","{""coordinates"": [14.40427, 50.092057], ""type"": ""Point""}","Vicolo d'Oro, Zlatá ulička u Daliborky, Hradčany, Praha 1, Praga, Praha, 119 00, Repubblica Ceca",tourism,viewpoint
10,Cattedrale di San Vito,Cattedrale di San Vito,"[""...Tra le principali attrazioni turistiche troviamo Staré Město, alcuni luoghi legati a Franz Kafka, Malá Strana, Hradčany con il Castello di Praga, il Vicolo d'Oro (la leggenda vuole che in queste casette sghembe abbiano lavorato gli alchimisti incaricati da Rodolfo II della ricerca della pietra filosofale) e la Cattedrale di San Vito (dove sono conservate le reliquie più importanti della Chiesa cattolica boema:...""]","Cattedrale di San Vito, 3. nádvoří, Hradčany, Praha 1, Praga, Praha, 119 00, Repubblica Ceca","{""coordinates"": [14.400571, 50.090864], ""type"": ""Point""}","Cattedrale di San Vito, 3. nádvoří, Hradčany, Praha 1, Praga, Praha, 119 00, Repubblica Ceca",amenity,place_of_worship
11,Ponte Carlo,Ponte Carlo,"['...Quelle dei santi Vito, Venceslao, Adalberto, Sigismondo e Giovanni Nepomuceno, patrono della Boemia), il Ponte Carlo (Karlův most;...', ""...Il gotico ponte Carlo è uno dei più importanti monumenti dell'architettura medievale in Boemia), il Muro di Lennon, il vecchio Cimitero ebraico e il quartiere di Nové Město con il suo municipio, Novoměstská radnice...."", '*...Ponte Carlo;...', ""*...Il gotico ponte Carlo è uno dei più importanti monumenti dell'architettura medievale in Boemia), il Muro di Lennon, il vecchio Cimitero ebraico e il quartiere di Nové Město con il suo municipio, Novoměstská radnice....""]","Ponte Carlo, Città Vecchia, Praha 1, Praga, Praha, 116 93, Repubblica Ceca","{""coordinates"": [14.413687, 50.086163], ""type"": ""Point""}","Ponte Carlo, Città Vecchia, Praha 1, Praga, Praha, 116 93, Repubblica Ceca",highway,pedestrian
12,Muro di Lennon,Muro di Lennon,"[""...Il gotico ponte Carlo è uno dei più importanti monumenti dell'architettura medievale in Boemia), il Muro di Lennon, il vecchio Cimitero ebraico e il quartiere di Nové Město con il suo municipio, Novoměstská radnice....""]","Muro di Lennon, Velkopřevorské náměstí, Piccolo Quartiere, Praha 1, Praga, Praha, 118 01, Repubblica Ceca","{""coordinates"": [14.406873, 50.08625], ""type"": ""Point""}","Muro di Lennon, Velkopřevorské náměstí, Piccolo Quartiere, Praha 1, Praga, Praha, 118 01, Repubblica Ceca",tourism,attraction
15,Clementinum,Clementinum,"[""*...A Praga hanno sede anche l'Accademia delle scienze della Repubblica Ceca e la Biblioteca nazionale della Repubblica Ceca, che è ospitata nel Clementinum....""]","Klementinum, Křižovnická, Città Vecchia, Praha 1, Praga, Praha, 116 93, Repubblica Ceca","{""coordinates"": [14.416119, 50.086655], ""type"": ""Point""}","Klementinum, Křižovnická, Città Vecchia, Praha 1, Praga, Praha, 116 93, Repubblica Ceca",tourism,attraction
