,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Mälaren,Mälaren,"['*...La città è situata lungo la costa orientale della Svezia, sviluppandosi su quattordici isole che affiorano lì dove il lago Mälaren incontra il Mar Baltico....', '*...In quel periodo la città era compresa nelle zone di Helgeandsholmen, Staden e Riddarholmen, che oggi formano la cosiddetta Gamla stan, o città vecchia, insieme a quella di Sigtuna, situata sulle rive del lago Mälaren, e successivamente si estese lentamente sulla terraferma verso nord e verso sud....']","Målaren, Stadshusträdgården, Kungsholmen, Kungsholmens stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 104 22, Svezia","{""coordinates"": [18.054437, 59.326979], ""type"": ""Point""}","Målaren, Stadshusträdgården, Kungsholmen, Kungsholmens stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 104 22, Svezia",tourism,artwork
9,Katarina kyrka,Katarina kyrka,"['...Chiesa di Caterina, la Katarina kyrka, in stile barocco....']","Katarina kyrka, Högbergsgatan, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 116 25, Svezia","{""coordinates"": [18.078154, 59.317058], ""type"": ""Point""}","Katarina kyrka, Högbergsgatan, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 116 25, Svezia",amenity,place_of_worship
10,Sankt Jacobs kyrka,Sankt Jacobs kyrka,"['*...Sankt Jacobs kyrka, la Chiesa di San Giacomo, che unisce stili diversi, dal gotico baltico, al rinascimentale, al barocco....']","Jakobs kyrka, Jakobs Torg, Klara, Norrmalm, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 47, Svezia","{""coordinates"": [18.070489, 59.330435], ""type"": ""Point""}","Jakobs kyrka, Jakobs Torg, Klara, Norrmalm, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 47, Svezia",amenity,place_of_worship
14,Stockholms slott,Stockholms slott,"['*...Stockholms slott, il Palazzo reale di Stoccolma, è una grande costruzione barocca eretta a partire dal 1697, residenza ufficiale dei Sovrani svedesi....']","Palazzo di Stoccolma, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 29, Svezia","{""coordinates"": [18.070352, 59.326895], ""type"": ""Point""}","Palazzo di Stoccolma, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 29, Svezia",tourism,attraction
22,Sud,Sud,"['...In quel periodo la città era compresa nelle zone di Helgeandsholmen, Staden e Riddarholmen, che oggi formano la cosiddetta Gamla stan, o città vecchia, insieme a quella di Sigtuna, situata sulle rive del lago Mälaren, e successivamente si estese lentamente sulla terraferma verso nord e verso sud....', '...Il Castello di Drottningholm e il Cimitero sud chiamato Skogskyrkogården....', ""*...Scuola superiore di Södertörns. Fondato nella parte Sud dell'area metropolitana di Stoccolma per bilanciare la maggior presenza di Istituti universitari nella parte Nord...."", '...Stoccolma Centro Città (Innerstaden), Stoccolma Sud (Söderort) e Stoccolma Ovest (Västerort), che sono a loro volta suddivise in zone più piccole....', '...Aeroporto di Stoccolma-Skavsta. Situato a circa 100 km a sud-ovest di Stoccolma, ospita principalmente voli di compagnie aeree low-cost come Ryanair e Wizz Air....', ""...Hammarby: istituita nel 1915, la sezione calcistica ha vinto il suo unico campionato nel 2001. I suoi colori sociali sono il bianco e il verde. È considerata la squadra più popolare nell'isola di Södermalm e in altre parti a sud della città....""]","Arbetsdomstolen, Stora Nygatan, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 28, Svezia","{""coordinates"": [18.067015, 59.325466], ""type"": ""Point""}","Arbetsdomstolen, Stora Nygatan, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 28, Svezia",amenity,courthouse
23,Nord,Nord,"['...In quel periodo la città era compresa nelle zone di Helgeandsholmen, Staden e Riddarholmen, che oggi formano la cosiddetta Gamla stan, o città vecchia, insieme a quella di Sigtuna, situata sulle rive del lago Mälaren, e successivamente si estese lentamente sulla terraferma verso nord e verso sud....', ""*...Scuola superiore di Södertörns. Fondato nella parte Sud dell'area metropolitana di Stoccolma per bilanciare la maggior presenza di Istituti universitari nella parte Nord...."", '...Nel nord della città, a Kista, si trova un importante centro di Information Technology....', ""...Aeroporto di Stoccolma-Arlanda. Situato a 42 km a nord di Stoccolma, è il principale scalo della città, nonché l'hub della compagnia di bandiera Scandinavian Airlines...."", '...AIK: istituita nel 1896, la sezione calcistica ha vinto 12 campionati, 8 coppe e una Supercoppa di Svezia. I suoi colori sociali sono il nero e il giallo. È considerata la squadra più popolare nella parte nord-ovest della città....']","Norrbro, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 29, Svezia","{""coordinates"": [18.070772, 59.327582], ""type"": ""Point""}","Norrbro, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 29, Svezia",highway,tertiary
24,Museo Vasa,Museo Vasa,"[""...Il Museo Vasa in cui è conservato il relitto dell'omonimo veliero del XVII secolo,...""]","Vasamuseet, Djurgårdsstrand, Djurgårdsstaden, Djurgården, Östermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 115 21, Svezia","{""coordinates"": [18.091366, 59.328059], ""type"": ""Point""}","Vasamuseet, Djurgårdsstrand, Djurgårdsstaden, Djurgården, Östermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 115 21, Svezia",tourism,museum
26,Tekniska museet,Tekniska museet,['...Il Tekniska museet dedicato alla scienza e alla tecnica....'],"Tekniska museet, Museivägen, Lindarängen, Ladugårdsgärdet, Östermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 115 27, Svezia","{""coordinates"": [18.11884, 59.332515], ""type"": ""Point""}","Tekniska museet, Museivägen, Lindarängen, Ladugårdsgärdet, Östermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 115 27, Svezia",tourism,museum
27,Nationalmuseum,Nationalmuseum,"['...Il Nationalmuseum,...']","Nationalmuseum, Strömkajen, Norrmalm, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 103 27, Svezia","{""coordinates"": [18.076845, 59.328659], ""type"": ""Point""}","Nationalmuseum, Strömkajen, Norrmalm, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 103 27, Svezia",highway,bus_stop
29,Museo Tre Kronor,Museo Tre Kronor,"[""...Dedicati ai patrimoni della famiglia reale, vi sono il Museo Tre Kronor presso le fondamenta del palazzo reale, lo Skattkammaren ossia la tesoreria Reale, il Gustav III antikmuseum con i tesori dell'antico monarca, il Livrustkammaren, ossia l'Armeria Reale, e il Kungliga Myntkabinettet la Zecca Reale con le sue monete....""]","Tre Kronor, Slottskajen, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 29, Svezia","{""coordinates"": [18.071053, 59.327411], ""type"": ""Point""}","Tre Kronor, Slottskajen, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 29, Svezia",tourism,museum
30,Gustav III antikmuseum,Gustav III antikmuseum,"[""...Dedicati ai patrimoni della famiglia reale, vi sono il Museo Tre Kronor presso le fondamenta del palazzo reale, lo Skattkammaren ossia la tesoreria Reale, il Gustav III antikmuseum con i tesori dell'antico monarca, il Livrustkammaren, ossia l'Armeria Reale, e il Kungliga Myntkabinettet la Zecca Reale con le sue monete....""]","Gustav III:s antikmuseum, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 31, Svezia","{""coordinates"": [18.072054, 59.327542], ""type"": ""Point""}","Gustav III:s antikmuseum, 1, Slottsbacken, Gamla stan, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 31, Svezia",tourism,museum
43,Stockholms Stadsteater,Stockholms Stadsteater,"[""...Altri importanti teatri sono il Teatro Bollhuset (Stora Bollhuset), lo Stockholms Stadsteater, la Folkoperan, il Teatro Moderno di Danza (Moderna dansteatern), il Teatro Cinese (China Teatern), lo Göta Lejon, il Teatro Södra, e l'Oscarsteatern....""]","Stockholms Stadsteater, 5, Beridarebanan, Klara, Norrmalm, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 51, Svezia","{""coordinates"": [18.064506, 59.331899], ""type"": ""Point""}","Stockholms Stadsteater, 5, Beridarebanan, Klara, Norrmalm, Norrmalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 111 51, Svezia",amenity,theatre
44,Folkoperan,Folkoperan,"[""...Altri importanti teatri sono il Teatro Bollhuset (Stora Bollhuset), lo Stockholms Stadsteater, la Folkoperan, il Teatro Moderno di Danza (Moderna dansteatern), il Teatro Cinese (China Teatern), lo Göta Lejon, il Teatro Södra, e l'Oscarsteatern....""]","Folkoperan, Hornsgatan, Zinkensdamm, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 118 49, Svezia","{""coordinates"": [18.058252, 59.318468], ""type"": ""Point""}","Folkoperan, Hornsgatan, Zinkensdamm, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 118 49, Svezia",amenity,theatre
47,Göta Lejon,Göta Lejon,"[""...Altri importanti teatri sono il Teatro Bollhuset (Stora Bollhuset), lo Stockholms Stadsteater, la Folkoperan, il Teatro Moderno di Danza (Moderna dansteatern), il Teatro Cinese (China Teatern), lo Göta Lejon, il Teatro Södra, e l'Oscarsteatern....""]","Göta Lejon, Götgatan, Skanstull, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 116 62, Svezia","{""coordinates"": [18.073847, 59.313916], ""type"": ""Point""}","Göta Lejon, Götgatan, Skanstull, Södermalm, Södermalms stadsdelsområde, Stoccolma, Stockholms kommun, Stockholms län, 116 62, Svezia",amenity,theatre
