,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Po,Po,"[""*...Alcuni palazzi e zone facenti parte del circuito di residenze sabaude in Piemonte (patrimonio dell'umanità) e l'area delle colline del Po (riserva della biosfera)...."", ""*...Torino sorge nella pianura delimitata dai fiumi Stura di Lanzo, Sangone e Po (quest'ultimo attraversa la città da sud verso nord), di fronte allo sbocco di alcune vallate alpine:..."", '*...Il fiume Po accentua la divisione tra la parte collinare e quella, quasi pianeggiante, della città, collocata tra i 220 e i 280 metri s.l.m....', ""*...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana...."", ""...Il 19 marzo 2016 l'UNESCO ha riconosciuto il Parco del Po e la collina torinese come riserva della biosfera, mentre nel 2020 la FAO e l'Arbor Day Foundation hanno conferito alla città di Torino il riconoscimento di Tree City of the World 2019...."", ""...Prendendo in esame i dati rilevati dall'Ufficio Idrografico del Po (presso Porta Susa), nel il periodo 1961-1990, si evince che, in città, la temperatura media annua è stata di 12,3\xa0°C, con la minima, a gennaio, di 0,9\xa0°C...."", ""...Di seguito è riportata la media trentennale di riferimento (1961-1990) rilevata dall'Ufficio Idrografico del Po...."", ""*...Il 19 aprile 1801 Jourdan soppresse tutte le istituzioni governative e divenne Amministratore generale del Piemonte, assistito da un Consiglio di sei membri piemontesi e infine, dopo l'abdicazione di Carlo Emanuele IV di Savoia, il 21 settembre 1802 i sei dipartimenti in cui era stato diviso il Piemonte (Torino apparteneva al dipartimento del Po e inoltre a essa faceva capo uno dei tre circondari in cui era diviso il dipartimento stesso) furono raggruppati in una regione francese denominata Au delà des Alpes, della quale Torino divenne il capoluogo e tale rimase fino alla Restaurazione...."", ""*...Altri tre edifici di altissimo pregio, considerati fra i monumenti-simbolo della città, sono la basilica di Superga, capolavoro Juvarriano in stile tardo-barocco, la Chiesa della Gran Madre di Dio, suggestiva opera in stile neoclassica situata sulle rive del Po, e la Cappella della Sindone, opera di Guarino Guarini contenente il sudario e inserita, insieme al palazzo reale di cui fa parte, nella lista dei patrimoni dell'umanità...."", ""...Le importanti testimonianze architettoniche di quest'epoca sono ancora percepibili in alcune zone centrali del capoluogo come i quartieri Centro, Crocetta, San Salvario e Borgo Po, ma con un'assoluta predominanza nell'area circostante il primo tratto di Corso Francia, comprendente i quartieri Cit Turin e San Donato...."", ""*...Il portico che unisce piazza Castello con Piazza Vittorio Veneto attraverso via Po sul lato sinistro fu progettato in modo tale da proseguire anche nell'attraversamento delle vie per permettere al re di giungere fino al Po senza bagnarsi in caso di pioggia...."", '*...Torino ospita anche alberi esotici secolari come le sequoie costali (Sequoia sempervirens) dei parchi collinari di Villa Genero e Giacomo Leopardi, i numerosi esemplari di Noce del Caucaso (Pterocarya\xa0fraxinifolia) che costeggiano il Po e compaiono in parchi pubblici come i Giardini Cavour, il Giardino Sambuy, i Giardini Reali Bassi (lungo Corso San Maurizio), il Parco Millefonti....', '*...Importanti sono poi dal punto di vista storico il Museo nazionale del Risorgimento italiano, presso Palazzo Carignano, e il Museo nazionale della montagna, presso il Monte dei Cappuccini, sulla riva destra del Po....', '*...Anche se nel gioco la città è ben diversa dalla realtà, sono comunque presenti il tram numero 13, il Po e molti edifici storici realmente esistenti....', '...Proprio nel capoluogo piemontese, nel marzo 1896, gli inventori del cinematografo esibirono la prima proiezione di un film in Italia ed in via Po, a novembre, la prima davanti ad un pubblico pagante....', '...Circoscrizione VIII: San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia ....']","Po, 4, Via Po, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia","{""coordinates"": [7.687674, 45.069617], ""type"": ""Point""}","Po, 4, Via Po, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",amenity,pharmacy
2,Val di Susa,Val di Susa,"['*...Val di Susa, che collega la città con la vicina Francia attraverso i trafori del Frejus (ferroviario e stradale) , Valli di Lanzo, Val Sangone....']","Oasi xerotermiche della Val di Susa - Orrido di Chianocco, Via Leopoldo Agnès, Borgo Nuovo, Regione Ricciarda, Susa, Torino, Piemonte, 10059, Italia","{""coordinates"": [7.137748, 45.152467], ""type"": ""Point""}","Oasi xerotermiche della Val di Susa - Orrido di Chianocco, Via Leopoldo Agnès, Borgo Nuovo, Regione Ricciarda, Susa, Torino, Piemonte, 10059, Italia",leisure,nature_reserve
3,Frejus,Frejus,"['*...Val di Susa, che collega la città con la vicina Francia attraverso i trafori del Frejus (ferroviario e stradale) , Valli di Lanzo, Val Sangone....', '...La Fontana del Frejus di Piazza Statuto fu ideata dal conte Marcello Panissera per ricordare l\'inaugurazione dell\'omonimo traforo ed è indicata dagli esoteristi come il ""cuore nero"" della città, per due motivi:...', '*...A32 Torino - Susa - Bardonecchia - Traforo stradale del Frejus ;...', '...Le linee ferroviarie principali che si dipartono da Torino sono quelle che vanno verso Genova (via Asti e Alessandria), verso Milano (via Novara e Vercelli) e verso la Francia (via Bardonecchia e il Traforo ferroviario del Frejus) e Ventimiglia (via Cuneo e il Traforo ferroviario del Colle di Tenda)....']","Frejus, 35, Corso Francia, Cit Turin, Circoscrizione 3, Torino, Piemonte, 10138, Italia","{""coordinates"": [7.658987, 45.075945], ""type"": ""Point""}","Frejus, 35, Corso Francia, Cit Turin, Circoscrizione 3, Torino, Piemonte, 10138, Italia",amenity,pharmacy
4,Valli di Lanzo,Valli di Lanzo,"['*...Val di Susa, che collega la città con la vicina Francia attraverso i trafori del Frejus (ferroviario e stradale) , Valli di Lanzo, Val Sangone....']","Valli di Lanzo, 11, Via Roma, Vana, Ceres, Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone, Torino, Piemonte, 10070, Italia","{""coordinates"": [7.388193, 45.314655], ""type"": ""Point""}","Valli di Lanzo, 11, Via Roma, Vana, Ceres, Unione Montana di Comuni delle Valli di Lanzo, Ceronda e Casternone, Torino, Piemonte, 10070, Italia",amenity,restaurant
5,Val Sangone,Val Sangone,"['*...Val di Susa, che collega la città con la vicina Francia attraverso i trafori del Frejus (ferroviario e stradale) , Valli di Lanzo, Val Sangone....']","Via Val Sangone, Candiolo, Torino, Piemonte, 10048, Italia","{""coordinates"": [7.586231, 44.956379], ""type"": ""Point""}","Via Val Sangone, Candiolo, Torino, Piemonte, 10048, Italia",highway,residential
6,Dora Riparia,Dora Riparia,"[""...Oltre ai tre corsi d'acqua prima citati che ne incorniciano il territorio, abbiamo la Dora Riparia che taglia la città da ovest a est, scorrendo prossima al centro storico....""]","Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia","{""coordinates"": [7.570888, 45.089228], ""type"": ""Point""}","Dora Riparia, Via Sergio Allegri, Villaggio Dora, Collegno, Torino, Piemonte, 10093, Italia",highway,bus_stop
8,Faro della Vittoria,Faro della Vittoria,"['*..., nei pressi del Faro della Vittoria....']","Faro della Vittoria, Viale Monfalcone, Circoscrizione 8, Torino, Piemonte, 10131, Italia","{""coordinates"": [7.721651, 45.031158], ""type"": ""Point""}","Faro della Vittoria, Viale Monfalcone, Circoscrizione 8, Torino, Piemonte, 10131, Italia",man_made,lighthouse
9,Monviso,Monviso,"[""...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana....""]","Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia","{""coordinates"": [7.648686, 45.032323], ""type"": ""Point""}","Monviso, 19, Corso Eusebio Giambone, Lingotto, Circoscrizione 8, Torino, Piemonte, 10134, Italia",amenity,pharmacy
10,Rocciamelone,Rocciamelone,"[""...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana....""]","Rocciamelone, GTA / 529 / SI, Trucco, Mompantero, Torino, Piemonte, 10059, Italia","{""coordinates"": [7.090921, 45.176468], ""type"": ""Point""}","Rocciamelone, GTA / 529 / SI, Trucco, Mompantero, Torino, Piemonte, 10059, Italia",leisure,nature_reserve
11,Gran Paradiso,Gran Paradiso,"[""*...Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana....""]","Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia","{""coordinates"": [7.658099, 45.092788], ""type"": ""Point""}","Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia",building,apartments
