,entity,to_search,snippet,address,coordinates,name_location,class,type
1,PATH,PATH,"[""*...Nella parte centrale di Toronto (Downtown Toronto) c'è una città sotterranea, chiamata PATH (in inglese:..."", '*...Secondo il Guinness dei primati, con i suoi  di estensione, il PATH è il più esteso centro commerciale sotterraneo del mondo....', '...Ovviamente il traffico automobilistico convenzionale è bandito nella città sotterranea, gli spostamenti sono previsti a piedi o con mezzi per disabili, ma il path ha numerosi punti di contatto con la viabilità esterna (parcheggi) o, molto più frequentemente, con una fitta rete di stazioni del trasporto pubblico di superficie o sotterraneo (subway)....']","PATH, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1M6, Canada","{""coordinates"": [-79.38404, 43.656016], ""type"": ""Point""}","PATH, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5G 1M6, Canada",highway,footway
5,Highway 427,Highway 427,"[""*...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord....""]","Highway 427, West Deane Park, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9C 4R3, Canada","{""coordinates"": [-79.574262, 43.669984], ""type"": ""Point""}","Highway 427, West Deane Park, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9C 4R3, Canada",highway,motorway
6,Etobicoke Creek,Etobicoke Creek,"[""*...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord....""]","Etobicoke Creek Trail, Long Branch, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, L5E 3G2, Canada","{""coordinates"": [-79.547299, 43.589816], ""type"": ""Point""}","Etobicoke Creek Trail, Long Branch, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, L5E 3G2, Canada",highway,path
7,Rouge River,Rouge River,"[""*...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord....""]","Sheppard Ave at Rouge River Dr, Sheppard Avenue East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5S1, Canada","{""coordinates"": [-79.187085, 43.804979], ""type"": ""Point""}","Sheppard Ave at Rouge River Dr, Sheppard Avenue East, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 5S1, Canada",highway,bus_stop
8,Steeles Avenue,Steeles Avenue,"[""*...I suoi confini sono delimitati dal lago stesso a sud, dalla Highway 427 e dall'Etobicoke Creek a ovest, dal Rouge River a est e dalla Steeles Avenue a nord....""]","Steeles Avenue, Newtonbrook, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, L3T 2A5, Canada","{""coordinates"": [-79.419952, 43.798], ""type"": ""Point""}","Steeles Avenue, Newtonbrook, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, L3T 2A5, Canada",highway,secondary
10,Sole,Sole,"['*...Le estati, considerata la latitudine, sono miti (fresche in rapporto al Sole) e piuttosto variabili, talvolta possono presentare periodi particolarmente caldi....']","O Sole Salon & Spa, Colborne Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1E3, Canada","{""coordinates"": [-79.374918, 43.648975], ""type"": ""Point""}","O Sole Salon & Spa, Colborne Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1E3, Canada",shop,hairdresser
11,Fort Rouillé,Fort Rouillé,"[""*...I commercianti francesi fondarono Fort Rouillé nel 1750 dove ora è posta l'Exhibition Place, ma l'abbandonarono nel 1759....""]","Fort Rouillé, Fraser Avenue, Little Tibet, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1Y7, Canada","{""coordinates"": [-79.423127, 43.635164], ""type"": ""Point""}","Fort Rouillé, Fraser Avenue, Little Tibet, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1Y7, Canada",tourism,information
12,Exhibition Place,Exhibition Place,"[""...I commercianti francesi fondarono Fort Rouillé nel 1750 dove ora è posta l'Exhibition Place, ma l'abbandonarono nel 1759....""]","Exhibition Loop, Manitoba Drive, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1W8, Canada","{""coordinates"": [-79.415229, 43.636372], ""type"": ""Point""}","Exhibition Loop, Manitoba Drive, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6K 1W8, Canada",railway,platform
16,the Ward,the Ward,"['...Come gli irlandesi prima di loro, molti furono costretti a vivere in abitazioni modeste sovraffollate, nel ""the Ward"", posto vicino a Bay Street, ora il cuore finanziario del Paese....']","The Moat, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2L5, Canada","{""coordinates"": [-79.379248, 43.64555], ""type"": ""Point""}","The Moat, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 2L5, Canada",highway,footway
17,Bay Street,Bay Street,"['*...Come gli irlandesi prima di loro, molti furono costretti a vivere in abitazioni modeste sovraffollate, nel ""the Ward"", posto vicino a Bay Street, ora il cuore finanziario del Paese....']","Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2W9, Canada","{""coordinates"": [-79.381276, 43.65111], ""type"": ""Point""}","Bay Street, Little Tokyo, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H 2W9, Canada",highway,secondary
