,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Serenissima,Serenissima,"[""...La città è stata per 1\xa0100 anni la capitale della Serenissima Repubblica di Venezia ed è conosciuta a questo riguardo come la Serenissima, la Dominante e la Regina dell'Adriatico:..."", '...Durante il Basso Medioevo, Venezia è annoverata fra le Repubbliche marinare e, a ricordo di ciò, il leone di San Marco, emblema della Serenissima, appare nelle insegne marine della bandiera italiana unitamente ai simboli di Genova, Pisa e Amalfi....', ""...Sede del governo della Serenissima, è stato costruito nel XV secolo con marmi d'Istria...."", ""...Venezia ai tempi della Serenissima possedeva molti teatri, per rappresentazioni sia musicali sia drammaturgiche o di commedia, molti dei quali ospitati all'interno di palazzi patrizi, come ad esempio il teatrino di Palazzo Grassi ristrutturato nel 2013 o in fabbriche di indubbio interesse architettonico, come il settecentesco Teatro La Fenice (1792), il Teatro Goldoni (risalente al 1622, anche se completamente ristrutturato negli anni settanta) e il Teatro Malibran (1678)...."", '*...Il suo patrimonio è composto da una ricchissima collezione di pergamene, carte e disegni, conservati nelle centinaia di stanze (le antiche celle dei frati) poste attorno ai chiostri, che testimoniano non solo la storia della Serenissima, ma anche di tutto il mondo che intratteneva con essa relazioni diplomatiche e commerciali....', '...Con la caduta della Serenissima e la successiva dominazione austriaca del XIX secolo, la vita artistica della città si spegne fino al Risorgimento....', '...La Pallanuoto Sant\'Alvise (allenata dalla ex campionessa olimpica kazaka Julija Pyreseva), con sede nella piscina di Sant\'Alvise, e dalla Pallanuoto Venezia con sede nella piscina ""Rari Nantes"" di Sacca Fisola e la Pallanuoto Mestrina che milita in Serie B.\nIl nuoto competitivo e nuoto sincronizzato viene praticato nelle società Rari Nantes, Nuoto Venezia, Serenissima Nuoto e Polisportiva Terraglio....']","Autostrada Serenissima, Cazzago, Pianiga, Venezia, Veneto, 30031, Italia","{""coordinates"": [12.080049, 45.447352], ""type"": ""Point""}","Autostrada Serenissima, Cazzago, Pianiga, Venezia, Veneto, 30031, Italia",highway,motorway
3,SW,SW,"['*...I venti principali sono la bora (NE), dominante nei mesi invernali, lo scirocco (SE) in estate e, meno frequente, il libeccio (SW, detto localmente Garbìn)....']","Campanile di San Marco, Piazza San Marco, San Marco, Venezia-Murano-Burano, Lido, Venezia, Veneto, 30124, Italia","{""coordinates"": [12.339044, 45.434036], ""type"": ""Point""}","Campanile di San Marco, Piazza San Marco, San Marco, Venezia-Murano-Burano, Lido, Venezia, Veneto, 30124, Italia",tourism,attraction
4,Garbìn,Garbìn,"['*...I venti principali sono la bora (NE), dominante nei mesi invernali, lo scirocco (SE) in estate e, meno frequente, il libeccio (SW, detto localmente Garbìn)....']","Parrucchieri Linea Uno Luca e Vito Garbin, Via Giacomo Matteotti, Orgnano, Fornase, Spinea, Venezia, Veneto, 30038, Italia","{""coordinates"": [12.167638, 45.489275], ""type"": ""Point""}","Parrucchieri Linea Uno Luca e Vito Garbin, Via Giacomo Matteotti, Orgnano, Fornase, Spinea, Venezia, Veneto, 30038, Italia",shop,hairdresser
5,Luna,Luna,"[""*...La marea astronomica, correlata al moto dei corpi celesti, principalmente Luna e Sole, e il contributo meteorologico dovuto allo stato dell'atmosfera...."", ""...Nel Cinema italiano, Venezia è stata l'ambientazione per le vicende narrate in Venezia, la luna e tu (1958) di Dino Risi, Anonimo veneziano di Enrico Maria Salerno (1970), Dimenticare Venezia di Franco Brusati (1979)....""]","Luna, 3, Piazza Giosuè Carducci, Lido di Jesolo, Jesolo, Venezia, Veneto, 30016, Italia","{""coordinates"": [12.639698, 45.503831], ""type"": ""Point""}","Luna, 3, Piazza Giosuè Carducci, Lido di Jesolo, Jesolo, Venezia, Veneto, 30016, Italia",amenity,ice_cream
6,Sole,Sole,"[""*...La marea astronomica, correlata al moto dei corpi celesti, principalmente Luna e Sole, e il contributo meteorologico dovuto allo stato dell'atmosfera...."", '...Complessivamente, vivevano sole 57\xa0204 persone (nel 2000 non erano nemmeno 42\xa0000)....']","Sole, Viale Mediterraneo, Chioggia, Venezia, Veneto, 30015, Italia","{""coordinates"": [12.30005, 45.198473], ""type"": ""Point""}","Sole, Viale Mediterraneo, Chioggia, Venezia, Veneto, 30015, Italia",tourism,hotel
7,Adriatico,Adriatico,"[""...La città è stata per 1\xa0100 anni la capitale della Serenissima Repubblica di Venezia ed è conosciuta a questo riguardo come la Serenissima, la Dominante e la Regina dell'Adriatico:..."", ""*...Il rialzo dell'acqua oltre il livello di marea è un fenomeno normale in un bacino chiuso come il mare Adriatico e il vento che lo favorisce non è tanto la bora, comune a Venezia, ma lo scirocco che agisce in senso longitudinale su tutta la massa d'acqua dell'Adriatico...."", ""*...Snodo di intensi traffici commerciali che collegavano l'Adriatico con il centro e il nord Europa, in questo periodo si svilupparono nella zona alcuni insediamenti, fra i quali spiccava, ormai con una fisionomia protourbana, il centro di Altino...."", ""*...All'apice della sua potenza, nel XIII secolo, Venezia dominava gran parte delle coste dell'Adriatico, regioni quali la Dalmazia, l'Istria, molte delle isole dell'Egeo, Creta, Cipro, Corfù, ed era la più importante potenza militare e fra le principali forze mercantili nel Medio Oriente...."", ""*...I prodotti degli orti delle isole, il riso della terraferma, la cacciagione, la pesca nell'alto Adriatico, la polenta....""]","Jesolo Mare Camping Village, 144, Viale Oriente, Villaggio Marzotto, Jesolo Pineta, Cortellazzo, Jesolo, Venezia, Veneto, 30017, Italia","{""coordinates"": [12.72032, 45.528294], ""type"": ""Point""}","Jesolo Mare Camping Village, 144, Viale Oriente, Villaggio Marzotto, Jesolo Pineta, Cortellazzo, Jesolo, Venezia, Veneto, 30017, Italia",tourism,camp_site
8,Istria,Istria,"[""*...Venetia compare così nella suddivisione amministrativa augustea dell'Italia (6 d.C.) e, accanto all'antica Istria, faceva parte della X Regio...."", ""*...All'apice della sua potenza, nel XIII secolo, Venezia dominava gran parte delle coste dell'Adriatico, regioni quali la Dalmazia, l'Istria, molte delle isole dell'Egeo, Creta, Cipro, Corfù, ed era la più importante potenza militare e fra le principali forze mercantili nel Medio Oriente...."", ""...Nel XV secolo il territorio della Repubblica si estendeva dall'Adda all'Istria, e da parte della provincia di Belluno, al Polesine veneto...."", '*...Con il trattato di Campoformio tra francesi e austriaci, il 17 ottobre 1797 la ""Municipalità di Venezia"" cessò di esistere e furono ceduti all\'Austria il Veneto, l\'Istria, la Dalmazia e le Bocche di Cattaro, che andarono a formare la ""Provincia veneta"" dell\'Impero austriaco....', ""*...Sede del governo della Serenissima, è stato costruito nel XV secolo con marmi d'Istria...."", ""...Realizzato in pietra d'Istria nel XVII secolo su progetto dell'architetto Antonio Contin, collega il Palazzo Ducale con le Prigioni Nuove....""]","Via Istria, Lido-Pellestrina, Lido, Venezia, Veneto, 30132, Italia","{""coordinates"": [12.371992, 45.410897], ""type"": ""Point""}","Via Istria, Lido-Pellestrina, Lido, Venezia, Veneto, 30132, Italia",highway,residential
10,Europa,Europa,"[""*...Snodo di intensi traffici commerciali che collegavano l'Adriatico con il centro e il nord Europa, in questo periodo si svilupparono nella zona alcuni insediamenti, fra i quali spiccava, ormai con una fisionomia protourbana, il centro di Altino...."", ""*...Nel XVIII secolo Venezia era tra le città più importanti d'Europa, con una forte influenza sull'arte, sull'architettura e sulla letteratura del tempo...."", ""...Dal 1991 Venezia è sede dell'Arcidiocesi ortodossa d'Italia e Malta ed esarcato per l'Europa meridionale, di lingua greca e rito bizantino, con relativo metropolita nell'autorità del Patriarcato ecumenico di Costantinopoli...."", ""*...Nata nel 1868 come prima Business School d'Italia e seconda in Europa, dopo quella di Anversa, ha la sede principale presso Ca' Foscari, palazzo gotico affacciato sul Canal Grande...."", ""*...La storia artistica veneziana si è sviluppata nei secoli in modo singolare e anacronistico, rispetto al resto dell'Europa, seguendo un percorso di originalità e di lenta elaborazione degli influssi esterni...."", '*...Tra di loro troviamo Giovanni Battista Pittoni (1687–1767) e Giovanni Battista Tiepolo (1696–1770) che dipinge in Italia e in Europa....', ""...Tra i veneziani più conosciuti vi è Marco Polo (1254–1324) autore de Il Milione, divenuta l'opera più famosa per la conoscenza del mondo asiatico e della Cina nell'Europa del Medioevo...."", ""*...L'estensione totale del centro storico, escluse le acque interne e le isole maggiori, è pari a 797,96 ettari, il che ne fa uno dei centri storici più grandi d'Italia e d'Europa...."", ""...Venezia-Trieste: è il collegamento con la Slovenia e l'Europa orientale e balcanica...."", ""...Venezia-Udine: permette collegamenti con il Veneto settentrionale (a Conegliano si collega con la linea per Ponte nelle Alpi) e con l'Austria e l'Europa centrale e settentrionale....""]","Europa, 361, Via Andrea Bafile, Lido di Jesolo, Jesolo, Venezia, Veneto, 30016, Italia","{""coordinates"": [12.624444, 45.498055], ""type"": ""Point""}","Europa, 361, Via Andrea Bafile, Lido di Jesolo, Jesolo, Venezia, Veneto, 30016, Italia",tourism,hotel
13,Canal Grande,Canal Grande,"[""...Secondo il Chronicon Altinate dell'XI secolo, il primo mitico insediamento a Venezia sulla Riva Alta (Rialto) risalirebbe al 25 marzo del 421, con la consacrazione della Chiesa di San Giacometo sulle rive del Canal Grande:..."", ""*...Tra le più importanti si può annoverare la Basilica di Santa Maria della Salute a pianta ottagonale, con la sua imponente cupola che spicca all'incile del Canal Grande e la celebre e maestosa Basilica di San Marco, cattedrale della città e sede del Patriarca e del Patriarcato di Venezia, situata nell'omonima piazza, di fianco al Palazzo Ducale...."", '...Lungo il Canal Grande sono visibili il fondaco dei Tedeschi, il fondaco dei Turchi e il fondaco del Megio....', '...Il principale canale che taglia la città, il Canal Grande, è attraversato da quattro ponti:...', ""...Costituiva l'unico modo di attraversare il Canal Grande a piedi:..."", ""*...Nata nel 1868 come prima Business School d'Italia e seconda in Europa, dopo quella di Anversa, ha la sede principale presso Ca' Foscari, palazzo gotico affacciato sul Canal Grande...."", '*...Gabriele D\'Annunzio ambienta a Venezia Il fuoco e nel periodo di convalescenza mentre soggiorna nella residenza da lui denominata ""Casetta Rossa"" sul Canal Grande, scrive il Notturno....', ""*...I sestieri della città antica si articolano intorno alla doppia ansa del Canal Grande, la via d'acqua principale da cui si snoda una fitta rete di circa 158 canali minori...."", '...I canali principali della città sono il Canal Grande e il Canale della Giudecca....', ""*...Lo smistamento dei treni avviene presso la stazione di Venezia Mestre, da dove la ferrovia prosegue verso il lungo Ponte della Libertà fino ad arrivare alla stazione terminale di Venezia Santa Lucia, posta all'estremità occidentale del Canal Grande e luogo di interconnessione con i trasporti urbani lagunari...."", '...Vaporetti, utilizzati nelle linee interne urbane che percorrono il Canal Grande, hanno una capienza di circa 250 persone....', '...Tipico sistema per attraversare il Canal Grande, infine, è il traghetto pubblico, economico servizio svolto con le tipiche gondole ""da parada"" manovrate da due gondolieri....']","Canal Grande, Catene, Marghera, Venezia, Veneto, 30175, Italia","{""coordinates"": [12.211656, 45.471649], ""type"": ""Point""}","Canal Grande, Catene, Marghera, Venezia, Veneto, 30175, Italia",highway,service
14,San Giacomo di Rialto,San Giacomo di Rialto,"['*...Nonostante studi recenti abbiano però dimostrato che San Giacomo di Rialto è assai più tarda, risalendo alla metà del XII secolo, il V secolo è comunque il probabile periodo di inurbazione stabile sulla laguna e, dunque, della fondazione della futura città di Venezia, poiché in quel tempo gli abitanti della terraferma cercarono rifugio nelle lagune a seguito delle varie ondate di invasioni barbariche, in particolare quella degli Unni (452) e dei Longobardi (568)....', ""...Sui lati del corpo centrale si trovano negozi di lusso mentre, alla fine del ponte, nel sestiere di San Polo, si trovano il Mercato orto-frutticolo, l'edificio coperto della pescheria e la Chiesa di San Giacomo di Rialto....""]","Campo San Giacomo, San Polo, Venezia-Murano-Burano, Lido, Venezia, Veneto, 30125, Italia","{""coordinates"": [12.335359, 45.438688], ""type"": ""Point""}","Campo San Giacomo, San Polo, Venezia-Murano-Burano, Lido, Venezia, Veneto, 30125, Italia",highway,pedestrian
