,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Ring,Ring,"[""*...L'anello (Ring) che circonda il centro storico è oggi una Strada che ricalca le scomparse antiche mura della città....""]","Ring, Volkstheater, Burgring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.360728, 48.206269], ""type"": ""Point""}","Ring, Volkstheater, Burgring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",railway,tram_stop
3,Strada,Strada,"[""*...L'anello (Ring) che circonda il centro storico è oggi una Strada che ricalca le scomparse antiche mura della città...."", '...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....']","La Strada 27/29, 8, Clusiusgasse, Althangrund, KG Alsergrund, Alsergrund, Vienna, 1090, Austria","{""coordinates"": [16.364514, 48.225546], ""type"": ""Point""}","La Strada 27/29, 8, Clusiusgasse, Althangrund, KG Alsergrund, Alsergrund, Vienna, 1090, Austria",amenity,restaurant
4,Ringstraße,Ringstraße,"['...La Ringstraße è uno dei più raffinati e monumentali viali europei, dove si affacciano prestigiosi palazzi e splendidi edifici storici, capolavoro di urbanistica e architettura....', '*...A ""Vienna fin de siècle"" il sovrano operò una rivoluzione urbanistica, demolendo le mura già in parte distrutte da Napoleone ed edificando al loro posto la monumentale Ringstraße, il viale che circonda la città ad anello e ancora oggi arteria principale della città....']","Kärntner Ring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370025, 48.202379], ""type"": ""Point""}","Kärntner Ring, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",railway,subway_entrance
5,Gürtel,Gürtel,"['*...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....']","Arbeitergasse, Gürtel, Gießaufgasse, Hundsturm, KG Margareten, Margareten, Vienna, 1050, Austria","{""coordinates"": [16.345745, 48.184431], ""type"": ""Point""}","Arbeitergasse, Gürtel, Gießaufgasse, Hundsturm, KG Margareten, Margareten, Vienna, 1050, Austria",railway,platform
6,U6,U6,"['*...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....', '...Le linee (attualmente U1, U2, U3, U4, U6) nel week-end sono in servizio 24 ore su 24, dal 2010....']","U6, Mariahilfer Gürtel, Neu-Fünfhaus, KG Fünfhaus, Rudolfsheim-Fünfhaus, Vienna, 1150, Austria","{""coordinates"": [16.338137, 48.192154], ""type"": ""Point""}","U6, Mariahilfer Gürtel, Neu-Fünfhaus, KG Fünfhaus, Rudolfsheim-Fünfhaus, Vienna, 1150, Austria",railway,subway
7,Danubio,Danubio,"['*...Un secondo anello intorno al centro storico, chiamato generalmente la ""cintura"" (Gürtel) è oggi la Strada più a intenso traffico di tutta la città, e ospita anche una linea sopraelevata (U6) della metropolitana che la percorre in buona parte, dal Westbahnhof (stazione ferroviaria ovest) fino al Danubio a nord....', '*...La città è attraversata nella sua parte orientale dal Danubio, mentre un piccolo canale artificiale (il Donaukanal) lambisce il centro storico a est, seguendo la tratta di un antico ramo del Danubio....', '*...Dalla parte opposta del Danubio, un altro ramo storico del Danubio, chiamato Alte Donau (Vecchio Danubio), tagliato dal corso del Danubio in seguito alla sua regolazione, è diventato un lago....', '*...Ed infine, tra il 1972 e il 1988, una seconda regolazione del Danubio ha creato un canale artificiale parallelo chiamato Neue Donau (Nuovo Danubio), sbarrato formando un lungo lago in tempi normali, ma atto a scaricare rapidamente le acque alte del Danubio e decongestionare così il Danubio stesso....', ""*...I due corsi d'acqua (Danubio e Nuovo Danubio) sono separati dalla Donauinsel o isola del Danubio, una lunga e sottile lingua di terra creata artificialmente per proteggerla da eventuali inondazioni...."", ""*...Una volta all'anno (verso la fine di giugno), inoltre, vi si festeggia per tre giorni consecutivi il Donauinselfest (festa dell'isola del Danubio)...."", '...Donauinsel (Isola sul Danubio) ;...', ""...Il Donauinselfest (Festa sull'isola del Danubio) si svolge alla fine di giugno con star della musica, del cabaret e dello sport che si esibiscono su una dozzina di palchi ed è arricchito dall'offerta di specialità culinarie...."", ""*...CPFD - Commissione internazionale per la protezione del Danubio. Istituita a seguito della Convenzione per la protezione del fiume Danubio, firmata dai paesi del Danubio a Sofia (Bulgaria), nel 1994, è attiva dal 1998 e si occupa della protezione dell'intero bacino danubiano....""]","Donauturm, 4, Donauturmstraße, Bruckhaufen, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria","{""coordinates"": [16.410052, 48.240244], ""type"": ""Point""}","Donauturm, 4, Donauturmstraße, Bruckhaufen, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria",tourism,attraction
8,Donaukanal,Donaukanal,"['*...La città è attraversata nella sua parte orientale dal Danubio, mentre un piccolo canale artificiale (il Donaukanal) lambisce il centro storico a est, seguendo la tratta di un antico ramo del Danubio....']","Donaukanal, B14, KG Brigittenau, KG Nussdorf, Döbling, Vienna, 1200, Austria","{""coordinates"": [16.369938, 48.255322], ""type"": ""Point""}","Donaukanal, B14, KG Brigittenau, KG Nussdorf, Döbling, Vienna, 1200, Austria",man_made,monitoring_station
9,Alte Donau,Alte Donau,"['*...Dalla parte opposta del Danubio, un altro ramo storico del Danubio, chiamato Alte Donau (Vecchio Danubio), tagliato dal corso del Danubio in seguito alla sua regolazione, è diventato un lago....']","Alte Donau, Wagramer Straße, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria","{""coordinates"": [16.424823, 48.236373], ""type"": ""Point""}","Alte Donau, Wagramer Straße, KG Kaisermühlen, Donaustadt, Vienna, 1220, Austria",highway,bus_stop
11,Neue Donau,Neue Donau,"['*...Ed infine, tra il 1972 e il 1988, una seconda regolazione del Danubio ha creato un canale artificiale parallelo chiamato Neue Donau (Nuovo Danubio), sbarrato formando un lungo lago in tempi normali, ma atto a scaricare rapidamente le acque alte del Danubio e decongestionare così il Danubio stesso....']","Neue Donau, Georg-Danzer-Steg, Bruckhaufen, KG Donaufeld, Floridsdorf, Vienna, 1210, Austria","{""coordinates"": [16.394562, 48.246178], ""type"": ""Point""}","Neue Donau, Georg-Danzer-Steg, Bruckhaufen, KG Donaufeld, Floridsdorf, Vienna, 1210, Austria",railway,subway_entrance
14,Europa,Europa,"[""*...L'estate è abbastanza calda con alcuni giorni più freschi causati da piogge che vengono dal nord-ovest dell'Europa...."", '...Data la posizione molto esposta verso est, Vindobona fu presto oggetto di conquista dei vari popoli che cercavano di penetrare in Europa centrale, tra i quali i Longobardi, gli Avari e gli Slavi....', ""*...Gli scontri tra le due religioni provocarono lo scoppio nell'Impero e in tutta Europa della Guerra dei trent'anni, durante la quale la città fu devastata dalla peste (circa 30\xa0000 morti) e dagli assedi stranieri...."", ""...Proprio a Vienna sotto la regia di Metternich si tenne il Congresso che sancì la nuova divisione dell'Europa post-napoleonica...."", ""*...Nei primi del Novecento la città assunse rapidamente il ruolo di capitale culturale d'Europa attirando personaggi di altissimo livello con le sue istituzioni, prima fra tutte l'Università di Vienna, il Circolo filosofico di Vienna (Moritz Schlick, Ludwig Wittgenstein, Rudolf Carnap), la Scuola di economia (Carl Menger, Ludwig von Mises), la prima e seconda Scuola musicale di Vienna (Gustav Mahler, Arnold Schönberg), la scuola di letteratura Jung Wien la Giovane Vienna, a livello architettonico Otto Wagner pianificò le infrastrutture cittadine, gli istituti di arte e design Wiener Werkstätte (Josef Hoffmann, Koloman Moser), fu in questo crogiuolo che nacquero anche le teorie di Freud e fu scossa da nuovi fermenti artistici:..."", ""*...SCS (in periferia il più grande centro commerciale d'Europa) ;..."", ""...L'Università di Vienna fu fondata nel 1365, perciò è la seconda Università più antica dell'Europa Centrale, e la più antica tra i paesi di lingua tedesca...."", ""*...L'Università tecnica di Vienna (Technische Universität Wien) è il politecnico di Vienna, mentre l'Università economica di Vienna (Wirtschaftsuniversität Wien) è la più grande business school d'Europa...."", ""*...Principale centro culturale dell'Austria, la città ospita teatri tra i più prestigiosi d'Europa...."", '*...OSCE - Organizzazione per la sicurezza e la cooperazione in Europa; attiva in Vienna dal 1995, ha per scopo la promozione della pace, del dialogo politico, della giustizia e della cooperazione in Europa ;...']","Hotel Europa Wien, 3, Neuer Markt, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria","{""coordinates"": [16.370986, 48.20623], ""type"": ""Point""}","Hotel Europa Wien, 3, Neuer Markt, Kärntner Viertel, Innere Stadt, Vienna, 1010, Austria",tourism,hotel
