,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Scandinavia,Scandinavia,"['*...The city flourished as the cultural and economic centre of Scandinavia under the union for well over 120 years, starting in the 15th century up until the beginning of the 16th century when the union was dissolved with Sweden leaving the union through a rebellion....', '*...Located near Copenhagen Airport, it currently boasts one of the largest malls in Scandinavia and a variety of office and residential buildings as well as the IT University and a high school....', '*...With its 53 aquariums, it is the largest facility of its kind in Scandinavia....', '*...Apart from being the national capital, Copenhagen also serves as the cultural hub of Denmark and wider Scandinavia....', ""*...Copenhagen Airport, opened in 1925, is Scandinavia's largest airport, located in Kastrup on the island of Amager...."", '*...Other important media corporations include Aller Media which is the largest publisher of weekly and monthly magazines in Scandinavia, the Egmont media group and Gyldendal, the largest Danish publisher of books....']","Scandinavia Kiosk, Jagtvej, Nørrebro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 2200, Denmark","{""coordinates"": [12.545659, 55.691681], ""type"": ""Point""}","Scandinavia Kiosk, Jagtvej, Nørrebro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 2200, Denmark",shop,kiosk
5,Tivoli Gardens,Tivoli Gardens,"[""*...Copenhagen's landmarks such as Tivoli Gardens, The Little Mermaid statue, the Amalienborg and Christiansborg palaces, Rosenborg Castle, Frederik's Church, Børsen and many museums, restaurants and nightclubs are significant tourist attractions...."", ""...Vesterbro, to the southwest of Indre By, begins with the Tivoli Gardens, the city's top tourist attraction with its fairground atmosphere, its Pantomime Theatre, its Concert Hall and its many rides and restaurants...."", '...Another important venue for classical music is the Tivoli Concert Hall located in the Tivoli Gardens....', '...The Tivoli Gardens is an amusement park and pleasure garden located in central Copenhagen between the City Hall Square and the Central Station....', '*...Tivoli Gardens also serves as a venue for various performing arts and as an active part of the cultural scene in Copenhagen....']","Tivoli Gardens, Ved Glyptoteket, Postbyen, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1575, Denmark","{""coordinates"": [12.569042, 55.673343], ""type"": ""Point""}","Tivoli Gardens, Ved Glyptoteket, Postbyen, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1575, Denmark",tourism,theme_park
11,Christiansborg Palace,Christiansborg Palace,"[""*...Traditionally, Copenhagen's founding has been dated to Bishop Absalon's construction of a modest fortress on the little island of Slotsholmen in 1167 where Christiansborg Palace stands today...."", '*...In 1733, work began on the royal residence of Christiansborg Palace which was completed in 1745....', ""*...Denmark's Supreme Court (Højesteret), located in Christiansborg Palace on Prins Jørgens Gård in the centre of Copenhagen, is the country's final court of appeal...."", '*...The inner city includes Slotsholmen, a little island on which Christiansborg Palace stands and Christianshavn with its canals....', '*...Other important spires are those of Christiansborg Palace, the City Hall and the former Church of St. Nikolaj that now houses a modern art venue....']","Christiansborg Palace, Børsgade, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1061, Denmark","{""coordinates"": [12.580041, 55.675651], ""type"": ""Point""}","Christiansborg Palace, Børsgade, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1061, Denmark",tourism,attraction
27,Islands Brygge,Islands Brygge,"[""*...The first and most popular of these is located at Islands Brygge, literally meaning Iceland's Quay, and has won international acclaim for its design...."", '*...Neighbourhoods of Copenhagen include Slotsholmen, Frederiksstaden, Islands Brygge, Holmen, Christiania, Carlsberg, Sluseholmen, Sydhavn, Amagerbro, Ørestad, Nordhavnen, Bellahøj, Brønshøj, Ryparken, and Vigerslev....']","Islands Brygge, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1473, Denmark","{""coordinates"": [12.57979, 55.669542], ""type"": ""Point""}","Islands Brygge, Christianshavn, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1473, Denmark",highway,residential
28,Atlantic,Atlantic,"['*...Its weather is subject to low-pressure systems from the Atlantic which result in unstable conditions throughout the year....', '...Once a warehouse, the North Atlantic House now displays culture from Iceland and Greenland and houses the Noma restaurant, known for its Nordic cuisine....']","Atlantic Auto, Trøjborggade, Sorte Hest, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1757, Denmark","{""coordinates"": [12.540884, 55.669165], ""type"": ""Point""}","Atlantic Auto, Trøjborggade, Sorte Hest, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1757, Denmark",shop,car_repair
30,Copenhagen City Hall (Rådhus),Copenhagen City Hall (Rådhus),"[""...The seat of Copenhagen's municipal council is the Copenhagen City Hall (Rådhus), which is situated on City Hall Square....""]","Copenhagen City Hall, Farvergade, Postbyen, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1463, Denmark","{""coordinates"": [12.569792, 55.675263], ""type"": ""Point""}","Copenhagen City Hall, Farvergade, Postbyen, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1463, Denmark",tourism,attraction
31,City Hall Square,City Hall Square,"[""*...The seat of Copenhagen's municipal council is the Copenhagen City Hall (Rådhus), which is situated on City Hall Square...."", '...The Pride has a series of different activities all over Copenhagen, but it is at the City Hall Square that most of the celebration takes place....', '...The Tivoli Gardens is an amusement park and pleasure garden located in central Copenhagen between the City Hall Square and the Central Station....', '...With its new city hall and railway station, its centre was drawn towards the west....', '...Other important spires are those of Christiansborg Palace, the City Hall and the former Church of St. Nikolaj that now houses a modern art venue....', '...By include the parliament building of Christiansborg, the City Hall and Rundetårn, originally an observatory....']","City Hall Square, H.C. Andersens Boulevard, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1554, Denmark","{""coordinates"": [12.568909, 55.676062], ""type"": ""Point""}","City Hall Square, H.C. Andersens Boulevard, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1554, Denmark",tourism,attraction
32,Copenhagen Central Fire Station,Copenhagen Central Fire Station,['...The fire department has its headquarters in the Copenhagen Central Fire Station which was designed by Ludvig Fenger in the Historicist style and inaugurated in 1892....'],"Copenhagen Central Fire Station, Bag Rådhuset, Postbyen, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1553, Denmark","{""coordinates"": [12.571534, 55.674663], ""type"": ""Point""}","Copenhagen Central Fire Station, Bag Rådhuset, Postbyen, Vesterbro, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1553, Denmark",amenity,fire_station
44,Charlottenborg Palace,Charlottenborg Palace,"[""*...Important buildings include Charlottenborg Palace, famous for its art exhibitions, the Thott Palace (now the French embassy), the Royal Danish Theatre and the Hotel D'Angleterre, dated to 1755....""]","Charlottenborg Palace, Nyhavn, Frederiksstaden, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1051, Denmark","{""coordinates"": [12.588356, 55.679839], ""type"": ""Point""}","Charlottenborg Palace, Nyhavn, Frederiksstaden, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1051, Denmark",amenity,arts_centre
46,Elephant Gate,Elephant Gate,['...The Carlsberg neighbourhood has some interesting vestiges of the old brewery of the same name including the Elephant Gate and the Ny Carlsberg Brewhouse....'],"Elefantporten, Ny Carlsberg Vej, Carlsberg Byen, Valby, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1805, Denmark","{""coordinates"": [12.532195, 55.667316], ""type"": ""Point""}","Elefantporten, Ny Carlsberg Vej, Carlsberg Byen, Valby, Copenhagen, Copenhagen Municipality, Capital Region of Denmark, 1805, Denmark",building,yes
