,entity,to_search,snippet,address,coordinates,name_location,class,type
5,Mainhattan,Mainhattan,"[""*...Frankfurt's skyline, especially that of its central business district, is shaped by some of Europe's tallest skyscrapers, which has led to the term Mainhattan...."", '*...In fact, it is one of the few cities in the European Union (EU) to have such a skyline, which is why Germans sometimes refer to Frankfurt as Mainhattan, combining the local river Main and ""Manhattan""....', '*...Frankfurt is therefore known as Bankenstadt (""City of the banks"") and nicknamed ""Mainhattan"" (a portmanteau of the local Main river and Manhattan in New York City) or ""Bankfurt""....']","Mainhattan Drive, Friedberger Landstraße, Nordend Ost, Innenstadt 3, Frankfurt, Hesse, 60316, Germany","{""coordinates"": [8.69192, 50.124673], ""type"": ""Point""}","Mainhattan Drive, Friedberger Landstraße, Nordend Ost, Innenstadt 3, Frankfurt, Hesse, 60316, Germany",amenity,driving_school
6,Frankfurter Paulskirche,Frankfurter Paulskirche,"[""...After the ill-fated revolution of 1848, Frankfurt was the seat of the first democratically elected German parliament, the Frankfurt Parliament, which met in the Frankfurter Paulskirche (St. Paul's Church) and was opened on 18 May 1848....""]","St. Paul's Church, 11, Paulsplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany","{""coordinates"": [8.680755, 50.111173], ""type"": ""Point""}","St. Paul's Church, 11, Paulsplatz, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany",tourism,attraction
17,Africa,Africa,"['*...According to statistics, 46.7% of immigrants in Frankfurt come from other countries in the EU; 24.5% come from European countries that are not part of the EU; 15.7% come from Asia (including Western Asia and South Asia); 7.3% come from Africa; 3.4% come from North America (including the Caribbean and Central America); 0.2% come from Australia and New Zealand; 2.3% come from South America; and 1.1% come from Pacific island nations....']","Honorary Consulate of South Africa, Kaiserplatz, Innenstadt, Innenstadt 1, Frankfurt, Hesse, 60261, Germany","{""coordinates"": [8.674766, 50.110959], ""type"": ""Point""}","Honorary Consulate of South Africa, Kaiserplatz, Innenstadt, Innenstadt 1, Frankfurt, Hesse, 60261, Germany",office,diplomatic
23,Taunusanlage,Taunusanlage,"[""*...Deutsche Bank — Germany's largest commercial bank. It had 15% share of private customers and total assets of €1,900\xa0billion in 2010. Deutsche Bank ranks among the 30 largest banks in the world and the ten largest banks in Europe. Deutsche Bank is listed on the DAX, the stock market index of the 30 largest German business companies at the Frankfurt Stock Exchange. In November 2010 Deutsche Bank bought the majority of shares of competitor Postbank. Its headquarters are located at Taunusanlage in the financial district...."", '*...The most famous buildings from this decade are the Deutsche Bank Twin Towers at Taunusanlage, both 155.0 meters tall....', '...Wallanlagen  – The Wallanlagen (former ramparts) relate to the former ring-shaped city wall fortifications around the Altstadt and the Innenstadt district (abolished 1804–1812), now a series of parks. Building is not allowed, with a few exceptions, the most famous being the Alte Oper (built 1880) at the Opernplatz. The part between the northern Main riverbank and the Opernplatz, referred to officially as Taunusanlage and Gallusanlage, is locally known as ""Central Park"" (a reference to the famous park in Manhattan), because of the skyscrapers which stand on both sides....', '*...All lines, except line S7, run through the Frankfurt city tunnel and serve the stations Ostendstraße, Konstablerwache, Hauptwache, Taunusanlage and Frankfurt Central Station....']","Taunusanlage, Westend Süd, Innenstadt 2, Frankfurt, Hesse, 60306, Germany","{""coordinates"": [8.669639, 50.114052], ""type"": ""Point""}","Taunusanlage, Westend Süd, Innenstadt 2, Frankfurt, Hesse, 60306, Germany",highway,primary
24,Westend Tower,Westend Tower,"[""...DZ Bank — Central institution for more than 900 co-operative banks (Volksbanken und Raiffeisenbanken) and their 12,000 branch offices in Germany and is a corporate and investment bank. It is Germany's second-largest bank (total assets: €509 billion). The DZ Bank Group defines itself primarily as a service provider for the local Volksbanken and Raiffeisenbanken and their 30 million clients. The DZ Bank headquarters are the Westend Tower and the City-Haus at Platz der Republik. The DZ Bank Group includes Union Investment, DVB Bank and Reisebank, which are also headquartered in Frankfurt...."", '...Westend Tower, 208.0\xa0m (682.41\xa0ft) – DZ Bank headquarters ;...']","Westend Tower, Savignystraße, Westend Süd, Innenstadt 2, Frankfurt, Hesse, 60325, Germany","{""coordinates"": [8.6623, 50.110608], ""type"": ""Point""}","Westend Tower, Savignystraße, Westend Süd, Innenstadt 2, Frankfurt, Hesse, 60325, Germany",building,office
25,Commerzbank Tower,Commerzbank Tower,"[""*...Commerzbank — Germany's fourth-largest bank by total assets (2017). In 2009, Commerzbank merged with competitor Dresdner Bank, then the third-largest German bank. Due to the merger and the higher credit risks, Commerzbank was 25% nationalized during the Great Recession. It is listed in the DAX. Its headquarters are at Commerzbank Tower (259 meters), the second-tallest building in the EU, at Kaiserplatz...."", ""...Commerzbank Tower, 259.0\xa0m (849.74\xa0ft) – The EU's tallest building; Commerzbank headquarters...."", '*...It was overtaken by the 259\xa0m-high (850\xa0ft) Commerzbank Tower in 1997....', '*...In 21st-century Frankfurt, more high-rise buildings and skyscrapers (e.g., Skyper, Opernturm, Tower 185, Seat of the European Central Bank, Taunusturm) emerged, but none have surpassed Commerzbank Tower....']","Commerzbank Tower, 16, Kaiserstraße, Innenstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany","{""coordinates"": [8.674363, 50.111238], ""type"": ""Point""}","Commerzbank Tower, 16, Kaiserstraße, Innenstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany",building,commercial
26,Main Tower,Main Tower,"['*...Landesbank Hessen-Thüringen – Landesbank Hessen-Thüringen, or short Helaba, is a commercial bank owned by the states of Hesse and Thuringia (Landesbank). As such, it is a service provider for the local Sparkassen. Helaba is one of nine Landesbanken and is the fifth-largest in Germany. It is located in the 200-meter-tall Main Tower in the financial district, the only skyscraper in Frankfurt with an observation desk open to the public....', ""...Main Tower, 200.0\xa0m (656.17\xa0ft) – Landesbank Hessen-Thüringen and Standard & Poor's (Germany) headquarters ;..."", '*...Other tall buildings from this decade are Westendstrasse 1 (208 meters (682\xa0ft)), Main Tower (200 meters (660\xa0ft)) and Trianon (186 meters (610\xa0ft))....']","Main Tower, 52-58, Neue Mainzer Straße, Innenstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany","{""coordinates"": [8.67223, 50.112413], ""type"": ""Point""}","Main Tower, 52-58, Neue Mainzer Straße, Innenstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany",tourism,viewpoint
29,Tower 185,Tower 185,"['*...PricewaterhouseCoopers (PwC) German headquarters are located at Tower 185....', '...Tower 185, 200.0\xa0m (656.17\xa0ft) – PricewaterhouseCoopers (Germany) headquarters ;...', '...In 21st-century Frankfurt, more high-rise buildings and skyscrapers (e.g., Skyper, Opernturm, Tower 185, Seat of the European Central Bank, Taunusturm) emerged, but none have surpassed Commerzbank Tower....']","Tower 185, Platz der Einheit, Gallus, Innenstadt 1, Frankfurt, Hesse, 60308, Germany","{""coordinates"": [8.65657, 50.110541], ""type"": ""Point""}","Tower 185, Platz der Einheit, Gallus, Innenstadt 1, Frankfurt, Hesse, 60308, Germany",building,commercial
30,Römerberg,Römerberg,"['*...The surrounding square, the Römerberg, is named after the city hall....', '*...The garden is located between the Römerberg and the cathedral....', '*...It is located on the Römerberg next to the Historical Museum....', '*...Eiserner Steg\nThe Eiserner Steg (Iron Bridge) is a pedestrian-only bridge across the Main that connects Römerberg and Sachsenhausen....']","Römerberg, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany","{""coordinates"": [8.681966, 50.110611], ""type"": ""Point""}","Römerberg, Altstadt, Innenstadt 1, Frankfurt, Hesse, 60311, Germany",highway,pedestrian
35,Poelzig Building,Poelzig Building,"[""*...IG Farben Building – Also known as Poelzig Building (Poelzig-Bau) after its architect Hans Poelzig, it was built from 1928 to 1930 as the corporate headquarters of I.G. Farbenindustrie AG. It is located in the Westend district and borders Grüneburgpark in the west. Upon its completion, the complex was the largest office building in Europe and remained so until the 1950s. The building served as headquarters for research projects relating to the development of synthetic oil and rubber and the manufacturing of magnesium, lubricating oil, explosives, methanol, and Zyklon B, the lethal gas used in concentration camps. After World War II, it served as the headquarters for the Supreme Allied Command and from 1949 to 1952 the High Commissioner for Germany (HICOG). It became the principal location for implementing the Marshall Plan, which largely financed the post-war reconstruction of Europe. The state apparatus of the Federal German Government was devised there. It served as the headquarters for the US Army's V Corps and the Northern Area Command (NACOM) until 1995 when the US Army returned control of the IG Farben Building to the German government. It was purchased on behalf of the Goethe University Frankfurt by the state of Hesse. In October 2001 it became part of the Westend Campus of Goethe University....""]","IG Farben Building, 1, Norbert-Wollheim-Platz, Westend Nord, Innenstadt 2, Frankfurt, Hesse, 60323, Germany","{""coordinates"": [8.668312, 50.125588], ""type"": ""Point""}","IG Farben Building, 1, Norbert-Wollheim-Platz, Westend Nord, Innenstadt 2, Frankfurt, Hesse, 60323, Germany",historic,building
