,entity,to_search,snippet,address,coordinates,name_location,class,type
7,Northern Europe,Northern Europe,"[""*...This charter, along with Hamburg's proximity to the main trade routes of the North Sea and Baltic Sea, quickly made it a major port in Northern Europe...."", '*...Hamburg has for centuries been a commercial centre of Northern Europe, and is the most important banking city of Northern Germany....']","SECO Northern Europe GmbH, 20, Schlachthofstraße, Phoenix-Viertel, Harburg, Hamburg, 21079, Germany","{""coordinates"": [9.995533, 53.460102], ""type"": ""Point""}","SECO Northern Europe GmbH, 20, Schlachthofstraße, Phoenix-Viertel, Harburg, Hamburg, 21079, Germany",building,office
8,Africa,Africa,"['*...Shipping companies sailing to South America, Africa, India and East Asia were based in the city....', '*...Heinrich Barth (1821–1865) a German explorer of Africa and a scholar....']","I.T.E.M.S. AFRICA GmbH & Co. KG, 8b, Forsmannstraße, Jarrestadt, Winterhude, Hamburg-Nord, Hamburg, 22303, Germany","{""coordinates"": [10.015746, 53.582936], ""type"": ""Point""}","I.T.E.M.S. AFRICA GmbH & Co. KG, 8b, Forsmannstraße, Jarrestadt, Winterhude, Hamburg-Nord, Hamburg, 22303, Germany",office,company
24,Central Park,Central Park,"['*...The Stadtpark, Hamburg\'s ""Central Park"", has a great lawn and a huge water tower, which houses one of Europe\'s biggest planetaria....']","central park, Max-Brauer-Allee, Altona-Nord, Altona, Hamburg, 22769, Germany","{""coordinates"": [9.959177, 53.562991], ""type"": ""Point""}","central park, Max-Brauer-Allee, Altona-Nord, Altona, Hamburg, 22769, Germany",amenity,biergarten
29,Laeiszhalle,Laeiszhalle,"['...Aside from its rich architectural heritage, the city is also home to notable cultural venues such as the Elbphilharmonie and Laeiszhalle concert halls....', '*...Before it was the Laeiszhalle, Musikhalle Hamburg....', '*...The Laeiszhalle also houses a third orchestra, the Hamburger Symphoniker....']","Laeiszhalle Musikhalle Hamburg, Dammtorwall, Neustadt, Hamburg-Mitte, Hamburg, 20355, Germany","{""coordinates"": [9.981077, 53.556097], ""type"": ""Point""}","Laeiszhalle Musikhalle Hamburg, Dammtorwall, Neustadt, Hamburg-Mitte, Hamburg, 20355, Germany",amenity,arts_centre
30,Hochschule für Musik und,Hochschule für Musik und,['...György Ligeti and Alfred Schnittke taught at the Hochschule für Musik und Theater Hamburg....'],"Hochschule für Musik und Theater, Milchstraße, Rotherbaum, Eimsbüttel, Hamburg, 20148, Germany","{""coordinates"": [9.999109, 53.570312], ""type"": ""Point""}","Hochschule für Musik und Theater, Milchstraße, Rotherbaum, Eimsbüttel, Hamburg, 20148, Germany",amenity,university
31,Pöseldorf,Pöseldorf,"['*...An important meeting place for Hamburg musicians from the 1970s to the mid-80s was the jazz pub Onkel Pö, which was originally founded in the Pöseldorf neighborhood and later moved to Eppendorf....']","Tiergesundheitszentrum Pöseldorf, Mittelweg, Rotherbaum, Eimsbüttel, Hamburg, 20148, Germany","{""coordinates"": [9.99518, 53.56869], ""type"": ""Point""}","Tiergesundheitszentrum Pöseldorf, Mittelweg, Rotherbaum, Eimsbüttel, Hamburg, 20148, Germany",amenity,veterinary
32,Eppendorf,Eppendorf,"['*...Hamburg-Nord contains the quarters Alsterdorf, Barmbek-Nord, Barmbek-Süd, Dulsberg, Eppendorf, Fuhlsbüttel, Groß Borstel, Hoheluft-Ost, Hohenfelde, Langenhorn, Ohlsdorf with Ohlsdorf cemetery, Uhlenhorst and Winterhude.\nHarburg lies on the southern shores of the river Elbe and covers parts of the port of Hamburg, residential and rural areas, and some research institutes....', '*...An important meeting place for Hamburg musicians from the 1970s to the mid-80s was the jazz pub Onkel Pö, which was originally founded in the Pöseldorf neighborhood and later moved to Eppendorf....', '...The University Medical Center Hamburg-Eppendorf, with about 1,736 beds, houses a large medical school....', '...Six universities are public, including the largest, the University of Hamburg (Universität Hamburg) with the University Medical Center Hamburg-Eppendorf, the University of Music and Theatre, the Hamburg University of Applied Sciences, the HafenCity University Hamburg and the Hamburg University of Technology....']","Gymnasium Eppendorf, 35, Hegestraße, Eppendorf, Hamburg-Nord, Hamburg, 20249, Germany","{""coordinates"": [9.98434, 53.585174], ""type"": ""Point""}","Gymnasium Eppendorf, 35, Hegestraße, Eppendorf, Hamburg-Nord, Hamburg, 20249, Germany",amenity,school
33,Rote Flora,Rote Flora,"['...In addition, Hamburg has a considerable alternative and punk scene, which gathers around the Rote Flora, a squatted former theatre located in the Sternschanze\nThe city was a major centre for heavy metal music in the 1980s....', '...During the 2017 G20 summit, which took place in Hamburg from 7–8 July that year, protestors clashed violently with the police in the Sternschanze area and particularly around the Rote Flora....', '...After the summit, however, the Rote Flora issued a statement, in which it condemns the arbitrary acts of violence that were committed by some of the protestors whilst generally defending the right to use violence as a means of self-defence against police oppression....', '...In particular, the spokesperson of the Rote Flora said that the autonomous cultural centre had a traditionally good relationship with its neighbours and local residents, since they were united in their fight against gentrification in that neighbourhood....']","Rote Flora, 71, Schulterblatt, Sternschanze, Altona, Hamburg, 20357, Germany","{""coordinates"": [9.961468, 53.562029], ""type"": ""Point""}","Rote Flora, 71, Schulterblatt, Sternschanze, Altona, Hamburg, 20357, Germany",amenity,community_centre
36,Reeperbahn,Reeperbahn,"[""...St. Pauli's Reeperbahn is among the best-known European entertainment districts...."", '*...For example, the Reeperbahn alone has between 25 - 30 million visitors every year....', '...This is followed at the end of September by the Reeperbahn Festival\xa0[de], which has been running since 2006....', ""*...As Europe's largest club festival, it offers several hundred program points around the Reeperbahn in Hamburg over four days and is one of the most important meeting places for the music industry worldwide...."", ""*...The area of Reeperbahn in the quarter St. Pauli is Europe's largest red light district and home of strip clubs, brothels, bars and nightclubs...."", '...The singer and actor Hans Albers is strongly associated with St. Pauli, and wrote the neighbourhood\'s unofficial anthem, ""Auf der Reeperbahn Nachts um Halb Eins"" (""On the Reeperbahn at Half Past Midnight"") in the 1940s....', '...The Beatles had stints on the Reeperbahn early in their careers....', '*...The Reeperbahn has been the location for many scenes, including the 1994 Beatles film Backbeat....']","Reeperbahn, St. Pauli, Hamburg-Mitte, Hamburg, 20359, Germany","{""coordinates"": [9.961621, 53.549429], ""type"": ""Point""}","Reeperbahn, St. Pauli, Hamburg-Mitte, Hamburg, 20359, Germany",highway,secondary
37,Wilhelmsburg,Wilhelmsburg,"['*...Hamburg-Mitte (""Hamburg Centre"") covers mostly the urban centre of the city and consists of the quarters Billbrook, Billstedt, Borgfelde, Finkenwerder, HafenCity, Hamm, Hammerbrook, Horn, Kleiner Grasbrook, Neuwerk, Rothenburgsort, St. Georg, St. Pauli, Steinwerder, Veddel, Waltershof and Wilhelmsburg....', '*...In mid-August, the MS Dockville music and arts festival has run annually since 2007 in the Wilhelmsburg district....', '*...The Towers play their home games at the Edel-optics.de Arena in Wilhelmsburg....']","Wilhelmsburg, Wilhelm-Strauß-Weg, Wilhelmsburg, Hamburg-Mitte, Hamburg, 21109, Germany","{""coordinates"": [10.006859, 53.498473], ""type"": ""Point""}","Wilhelmsburg, Wilhelm-Strauß-Weg, Wilhelmsburg, Hamburg-Mitte, Hamburg, 21109, Germany",railway,station
