,entity,to_search,snippet,address,coordinates,name_location,class,type
0,River Thames,River Thames,"['...It stands on the River Thames in south-east England at the head of a 50-mile (80\xa0km) estuary down to the North Sea, and has been a major settlement for two millennia....', '...Coates suggested this was a name given to the part of the River Thames that flows through London, from which the settlement gained the Celtic form of its name, *Lowonidonjon....', ""...Her Majesty's Coastguard and the Royal National Lifeboat Institution operate on the River Thames, which is under the jurisdiction of the Port of London Authority from Teddington Lock to the sea...."", '...Greater London is split for some purposes into Inner London and Outer London, and by the River Thames into North and South, with an informal central London area....', '...It is widely spoken by people of all classes in London and south-eastern England, associated with the River Thames and its estuary....', '...Access to canals and rivers has improved recently, including the creation of the Thames Path, some 28 miles (45\xa0km) of which is within Greater London, and The Wandle Trail; this runs 12 miles (19\xa0km) through South London along the River Wandle, a tributary of the River Thames....']","George III and the River Thames, The Edmond J. Safra Fountain Court, St Clement Danes, Covent Garden, City of Westminster, Greater London, England, WC2R 0RN, United Kingdom","{""coordinates"": [-0.117381, 51.511379], ""type"": ""Point""}","George III and the River Thames, The Edmond J. Safra Fountain Court, St Clement Danes, Covent Garden, City of Westminster, Greater London, England, WC2R 0RN, United Kingdom",tourism,artwork
1,North Sea,North Sea,"['...It stands on the River Thames in south-east England at the head of a 50-mile (80\xa0km) estuary down to the North Sea, and has been a major settlement for two millennia....', '*...London became the main North Sea port, with migrants arriving from England and abroad....', '...The Thames Barrier was completed in the 1980s to protect London against tidal surges from the North Sea....']","North Sea Fish, 7-8, Leigh Street, King's Cross, London Borough of Camden, London, Greater London, England, WC1H 9EW, United Kingdom","{""coordinates"": [-0.125298, 51.526395], ""type"": ""Point""}","North Sea Fish, 7-8, Leigh Street, King's Cross, London Borough of Camden, London, Greater London, England, WC1H 9EW, United Kingdom",amenity,restaurant
2,Tower of London,Tower of London,"[""...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time...."", '...William built the Tower of London, the first of many such in England rebuilt in stone in the south-eastern corner of the city, to intimidate the inhabitants....', '...Few structures in central London pre-date the Great Fire of 1666, these being a few trace Roman remains, the Tower of London and a few scattered Tudor survivors in the city....', '...Tower of London: 2,785,249 ;...']","Chapel of Saint Peter ad Vincula, Tower Hill, Tower Liberty, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, EC3N 4AB, United Kingdom","{""coordinates"": [-0.076902, 51.508543], ""type"": ""Point""}","Chapel of Saint Peter ad Vincula, Tower Hill, Tower Liberty, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, EC3N 4AB, United Kingdom",amenity,place_of_worship
3,Kew Gardens,Kew Gardens,"[""*...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time...."", ""*...Close to Richmond Park is Kew Gardens, which has the world's largest collection of living plants....""]","Kew Gardens, Layton Place, Kew, London Borough of Richmond upon Thames, London, Greater London, England, TW9 3PP, United Kingdom","{""coordinates"": [-0.284819, 51.477523], ""type"": ""Point""}","Kew Gardens, Layton Place, Kew, London Borough of Richmond upon Thames, London, Greater London, England, TW9 3PP, United Kingdom",railway,stop
4,Royal Observatory,Royal Observatory,"[""...London has four World Heritage Sites: the Tower of London; Kew Gardens; the combined Palace of Westminster, Westminster Abbey, and St Margaret's Church; and also the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the prime meridian (0° longitude) and Greenwich Mean Time....""]","Royal Observatory Greenwich, Blackheath Avenue, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 8XJ, United Kingdom","{""coordinates"": [-0.000846, 51.477362], ""type"": ""Point""}","Royal Observatory Greenwich, Blackheath Avenue, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 8XJ, United Kingdom",tourism,museum
5,Buckingham Palace,Buckingham Palace,"[""*...Other landmarks include Buckingham Palace, the London Eye, Piccadilly Circus, St Paul's Cathedral, Tower Bridge, and Trafalgar Square...."", ""*...Another broke into the grounds of Buckingham Palace, reportedly killing some of Queen Elizabeth II's prized pink flamingos....""]","Buckingham Palace, Ambassador's Court, Victoria, London, Greater London, England, SW1A 1AA, United Kingdom","{""coordinates"": [-0.142986, 51.500841], ""type"": ""Point""}","Buckingham Palace, Ambassador's Court, Victoria, London, Greater London, England, SW1A 1AA, United Kingdom",tourism,attraction
6,Trafalgar Square,Trafalgar Square,"[""*...Other landmarks include Buckingham Palace, the London Eye, Piccadilly Circus, St Paul's Cathedral, Tower Bridge, and Trafalgar Square...."", '*...The coordinates of the nominal centre of London, traditionally the original Eleanor Cross at Charing Cross near the junction of Trafalgar Square and Whitehall, are about ....', ""*...Nelson's Column (built to commemorate Admiral Horatio Nelson) is a nationally recognised monument in Trafalgar Square, one of the focal points of central London...."", '*...In 1824, the National Gallery was founded to house the British national collection of Western paintings; this now occupies a prominent position in Trafalgar Square....']","Trafalgar Square, Seven Dials, Covent Garden, London, Greater London, England, WC2N 5NJ, United Kingdom","{""coordinates"": [-0.128656, 51.507548], ""type"": ""Point""}","Trafalgar Square, Seven Dials, Covent Garden, London, Greater London, England, WC2N 5NJ, United Kingdom",highway,primary
7,Wembley Stadium,Wembley Stadium,"['*...Important sporting events held in London include the FA Cup Final (held annually at Wembley Stadium), Wimbledon Tennis Championships and the London Marathon....', '*...The 1948 Summer Olympics were held at the original Wembley Stadium, while London was still recovering from the war....', '*...From 1924, the original Wembley Stadium was the home of the English national football team....', '*...The new Wembley Stadium serves the same purposes and has a capacity of 90,000....']","Wembley Stadium, Pacific Crescent, London Borough of Brent, London, Greater London, England, HA9 0SL, United Kingdom","{""coordinates"": [-0.279603, 51.556069], ""type"": ""Point""}","Wembley Stadium, Pacific Crescent, London Borough of Brent, London, Greater London, England, HA9 0SL, United Kingdom",tourism,attraction
8,Vauxhall Bridge,Vauxhall Bridge,"['*...In 1993, remains of a Bronze Age bridge were found on the south foreshore upstream from Vauxhall Bridge....', ""*...In 2010, foundations of a large timber structure, dated to 4800–4500 BCE, were found on the Thames's south foreshore downstream from Vauxhall Bridge....""]","Vauxhall Bridge, Millbank, City of Westminster, Greater London, England, SW1P 4RP, United Kingdom","{""coordinates"": [-0.129104, 51.488614], ""type"": ""Point""}","Vauxhall Bridge, Millbank, City of Westminster, Greater London, England, SW1P 4RP, United Kingdom",highway,cycleway
10,851,851,"['*...Three are recorded; those in 851 and 886 succeeded, while the last, in 994, was rebuffed....']","London Fields East Side, Haggerston, London Borough of Hackney, London, Greater London, England, E8 3RY, United Kingdom","{""coordinates"": [-0.059745, 51.538111], ""type"": ""Point""}","London Fields East Side, Haggerston, London Borough of Hackney, London, Greater London, England, E8 3RY, United Kingdom",highway,cycleway
