,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Southern California,Southern California,"[""*...\u2009'The Angels'), often referred to by its initials L.A., is the commercial, financial, and cultural center of Southern California...."", '*...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', '...Maritime explorer Juan Rodríguez Cabrillo claimed the area of southern California for the Spanish Empire in 1542 while on an official military exploring expedition moving northward along the Pacific coast from earlier colonizing bases of New Spain in Central and South America....', '...Further afield, the highest point in southern California is San Gorgonio Mountain, 81 miles (130\xa0km) east of downtown Los Angeles, with a height of 11,503 feet (3,506\xa0m)....', '*...The geologic instability has produced numerous faults, which cause approximately 10,000 earthquakes annually in Southern California, though most of them are too small to be felt....', '*...The segment of the fault passing through Southern California experiences a major earthquake roughly every 110 to 140 years, and seismologists have warned about the next ""big one"", as the last major earthquake was the 1857 Fort Tejon earthquake....', ""*...One of the five major film studios, only Paramount Pictures is within Los Angeles' city limits; it is located in the so-called Thirty-Mile Zone of entertainment headquarters in Southern California...."", '...Southern California Institute of Architecture (SCI-Arc) ;...', '...University of Southern California (USC) ;...']","Southern California Institute of Architecture, Santa Fe Avenue, Arts District, Downtown, Los Angeles, Los Angeles County, California, 90013, United States","{""coordinates"": [-118.232807, 34.043179], ""type"": ""Point""}","Southern California Institute of Architecture, Santa Fe Avenue, Arts District, Downtown, Los Angeles, Los Angeles County, California, 90013, United States",amenity,university
1,Mediterranean,Mediterranean,"['*...With a population of roughly 3.9 million residents within the city limits as of 2020[update], Los Angeles is known for its Mediterranean climate, ethnic and cultural diversity, being the home of the Hollywood film industry, and its sprawling metropolitan area....', '*...Also Los Angeles is increasingly becoming a city of apartments rather than single-family dwellings, especially in the dense inner city and Westside neighborhoods.[citation needed]\nLos Angeles has a two-season Mediterranean climate of dry summer and very mild winter (Köppen Csb on the coast and most of downtown, Csa near the metropolitan region to the west), but it receives less annual precipitation than most other Mediterranean climates, so it is near the boundary of a semi-arid climate (BSh), though narrowly missing it....']","Mediterranean, Evolution Walk, Los Angeles, Los Angeles County, California, 91371, United States","{""coordinates"": [-118.576119, 34.184777], ""type"": ""Point""}","Mediterranean, Evolution Walk, Los Angeles, Los Angeles County, California, 91371, United States",leisure,garden
2,Pacific Ocean,Pacific Ocean,"['...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', '...The eastern end of the Santa Monica Mountains stretches from Downtown to the Pacific Ocean and separates the Los Angeles Basin from the San Fernando Valley....', '...The river begins in the Canoga Park district of the city, flows east from the San Fernando Valley along the north edge of the Santa Monica Mountains, and turns south through the city center, flowing to its mouth in the Port of Long Beach at the Pacific Ocean....', '...In 2016, the E Line was extended to the Pacific Ocean at Santa Monica....']","Pacific Ocean Center, Ocean Avenue, Walteria, Torrance, Los Angeles County, California, 90505, United States","{""coordinates"": [-118.353959, 33.806703], ""type"": ""Point""}","Pacific Ocean Center, Ocean Avenue, Walteria, Torrance, Los Angeles County, California, 90505, United States",office,yes
3,San Fernando Valley,San Fernando Valley,"['...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', '...After the end of World War II Los Angeles grew more rapidly than ever, sprawling into the San Fernando Valley....', '...In 2002, Mayor James Hahn led the campaign against secession, resulting in voters defeating efforts by the San Fernando Valley and Hollywood to secede from the city....', '...The highest point in the city proper is Mount Lukens at 5,074\xa0ft (1,547\xa0m), located at the northeastern end of the San Fernando Valley....', '...The eastern end of the Santa Monica Mountains stretches from Downtown to the Pacific Ocean and separates the Los Angeles Basin from the San Fernando Valley....', '...The river begins in the Canoga Park district of the city, flows east from the San Fernando Valley along the north edge of the Santa Monica Mountains, and turns south through the city center, flowing to its mouth in the Port of Long Beach at the Pacific Ocean....', '*...Within the City of Los Angeles, the highest temperature ever officially recorded is 121\xa0°F (49\xa0°C), on September 6, 2020, at the weather station at Pierce College in the San Fernando Valley neighborhood of Woodland Hills....', '...The Los Angeles Basin and the San Fernando Valley are susceptible to atmospheric inversion, which holds in the exhausts from road vehicles, airplanes, locomotives, shipping, manufacturing, and other sources....', ""...Many of Los Angeles's Jews now live on the Westside and in the San Fernando Valley, though Boyle Heights once had a large Jewish population prior to World War II due to restrictive housing covenants...."", '...There are also a number of smaller regional newspapers, alternative weeklies and magazines, including the Los Angeles Register, Los Angeles Community News, (which focuses on coverage of the greater Los Angeles area), Los Angeles Daily News (which focuses coverage on the San Fernando Valley), LA Weekly, L.A. Record (which focuses coverage on the music scene in the Greater Los Angeles Area), Los Angeles Magazine, the Los Angeles Business Journal, the Los Angeles Daily Journal (legal industry paper), The Hollywood Reporter, Variety (both entertainment industry papers), and Los Angeles Downtown News....', '*...Major earthquakes that have hit the Los Angeles area include the 1933 Long Beach, 1971 San Fernando, 1987 Whittier Narrows, and the 1994 Northridge events....', '...Temperatures in the San Fernando and San Gabriel Valleys are considerably warmer....', '...(IATA: BUR, ICAO: KBUR) Hollywood Burbank Airport, jointly owned by the cities of Burbank, Glendale, and Pasadena. Formerly known as Bob Hope Airport and Burbank Airport, the closest airport to Downtown Los Angeles serves the San Fernando, San Gabriel, and Antelope Valleys....']","North Hollywood Branch Boys Club of San Fernando Valley, Ensign Avenue, North Hollywood, Los Angeles, Los Angeles County, California, 91601, United States","{""coordinates"": [-118.370903, 34.172669], ""type"": ""Point""}","North Hollywood Branch Boys Club of San Fernando Valley, Ensign Avenue, North Hollywood, Los Angeles, Los Angeles County, California, 91601, United States",building,retail
5,Americas,Americas,['*...It has the busiest container port in the Americas....'],"Americas Best Value Inn, Garvey Avenue, Five Points, El Monte, Los Angeles County, California, 91732, United States","{""coordinates"": [-118.017428, 34.062584], ""type"": ""Point""}","Americas Best Value Inn, Garvey Avenue, Five Points, El Monte, Los Angeles County, California, 91732, United States",tourism,motel
6,Pacific coast,Pacific coast,"['...Maritime explorer Juan Rodríguez Cabrillo claimed the area of southern California for the Spanish Empire in 1542 while on an official military exploring expedition moving northward along the Pacific coast from earlier colonizing bases of New Spain in Central and South America....', '...The majority of the Non-Hispanic White population is living in areas along the Pacific coast as well as in neighborhoods near and on the Santa Monica Mountains from the Pacific Palisades to Los Feliz....', '...The majority of the city proper lies in a basin in Southern California adjacent to the Pacific Ocean in the west and extending partly through the Santa Monica Mountains and north into the San Fernando Valley, with the city bordering the San Gabriel Valley to its east....', '...Railroads arrived with the completion of the transcontinental Southern Pacific line from New Orleans to Los Angeles in 1876 and the Santa Fe Railroad in 1885....', '...The eastern end of the Santa Monica Mountains stretches from Downtown to the Pacific Ocean and separates the Los Angeles Basin from the San Fernando Valley....', '...The river begins in the Canoga Park district of the city, flows east from the San Fernando Valley along the north edge of the Santa Monica Mountains, and turns south through the city center, flowing to its mouth in the Port of Long Beach at the Pacific Ocean....', '...Los Angeles is subject to earthquakes because of its location on the Pacific Ring of Fire....', '...The strike-slip San Andreas Fault system, which sits at the boundary between the Pacific Plate and the North American Plate, passes through the Los Angeles metropolitan area....', '*...Wet years are usually associated with warm water El Niño conditions in the Pacific, dry years with cooler water La Niña episodes....', '...According to the 2010 census, the racial makeup of Los Angeles included: 1,888,158 Whites (49.8%), 365,118 African Americans (9.6%), 28,215 Native Americans (0.7%), 426,959 Asians (11.3%), 5,577 Pacific Islanders (0.1%), 902,959 from other races (23.8%), and 175,635 (4.6%) from two or more races....', '...The contiguous ports of Los Angeles and Long Beach together comprise the busiest port in the United States by some measures and the fifth-busiest port in the world, vital to trade within the Pacific Rim....', '...In 2016, the E Line was extended to the Pacific Ocean at Santa Monica....']","Pacific Coast Highway, Long Beach, Los Angeles County, California, 90813, United States","{""coordinates"": [-118.207867, 33.789861], ""type"": ""Point""}","Pacific Coast Highway, Long Beach, Los Angeles County, California, 90813, United States",highway,primary
10,Olvera Street,Olvera Street,"['*...Today, the pueblo is commemorated in the historic district of Los Angeles Pueblo Plaza and Olvera Street, the oldest part of Los Angeles....', ""*...Important landmarks in Los Angeles include the Hollywood Sign, Walt Disney Concert Hall, Capitol Records Building, the Cathedral of Our Lady of the Angels, Angels Flight, Grauman's Chinese Theatre, Dolby Theatre, Griffith Observatory, Getty Center, Getty Villa, Stahl House, the Los Angeles Memorial Coliseum, L.A. Live, the Los Angeles County Museum of Art, the Venice Canal Historic District and boardwalk, Theme Building, Bradbury Building, U.S. Bank Tower, Wilshire Grand Center, Hollywood Boulevard, Los Angeles City Hall, Hollywood Bowl, battleship USS\xa0Iowa, Watts Towers, Staples Center, Dodger Stadium, and Olvera Street....""]","Olvera Street, El Pueblo, Chinatown, Los Angeles, Los Angeles County, California, 90012, United States","{""coordinates"": [-118.237825, 34.057593], ""type"": ""Point""}","Olvera Street, El Pueblo, Chinatown, Los Angeles, Los Angeles County, California, 90012, United States",highway,pedestrian
11,Southern Pacific,Southern Pacific,['*...Railroads arrived with the completion of the transcontinental Southern Pacific line from New Orleans to Los Angeles in 1876 and the Santa Fe Railroad in 1885....'],"McGarry Street, Downtown, Los Angeles, Los Angeles County, California, 90021, United States","{""coordinates"": [-118.24016, 34.02927], ""type"": ""Point""}","McGarry Street, Downtown, Los Angeles, Los Angeles County, California, 90021, United States",highway,residential
12,Terminal Island,Terminal Island,"[""*...Calship built hundreds of Liberty Ships and Victory Ships on Terminal Island, and the Los Angeles area was the headquarters of six of the country's major aircraft manufacturers (Douglas Aircraft Company, Hughes Aircraft, Lockheed, North American Aviation, Northrop Corporation, and Vultee)....""]","Federal Correctional Institution, Terminal Island, 1299, Reservation Point, Port of Los Angeles, Los Angeles, Los Angeles County, California, 90731, United States","{""coordinates"": [-118.267107, 33.726609], ""type"": ""Point""}","Federal Correctional Institution, Terminal Island, 1299, Reservation Point, Port of Los Angeles, Los Angeles, Los Angeles County, California, 90731, United States",amenity,prison
14,Beverly Boulevard,Beverly Boulevard,"['*...An example is Beverly Park, which was located at the corner of Beverly Boulevard and La Cienega before being closed and substituted by the Beverly Center....']","Beverly Boulevard, West Hollywood, Los Angeles County, California, 90048, United States","{""coordinates"": [-118.379081, 34.076448], ""type"": ""Point""}","Beverly Boulevard, West Hollywood, Los Angeles County, California, 90048, United States",highway,secondary
