,entity,to_search,snippet,address,coordinates,name_location,class,type
3,Rue de la République,Rue de la République,"['*...The broad, pedestrian-only Rue de la République leads north from Place Bellecour....']","Rue de la République, Bellecour, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","{""coordinates"": [4.835563, 45.760165], ""type"": ""Point""}","Rue de la République, Bellecour, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France",highway,pedestrian
6,La Part-Dieu,La Part-Dieu,"[""*...Situated in this area is La Part-Dieu urban centre, which clusters the landmark structures Tour Incity, Tour Part-Dieu, Tour Oxygène, and Tour Swiss Life, as well as the city's primary railway station, Gare de Lyon-Part-Dieu...."", '...The specialisation of some sectors of activities has led to the creation of many main business centres:\nLa Part-Dieu, located in the 3rd arrondissement is the second biggest business quarter after La Défense in Paris with over 1,600,000\xa0m2 (17,222,256.67\xa0sq\xa0ft) of office space and services and more than 55,000 jobs....']","Rue de la Part-Dieu, Préfecture, 3rd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69003, France","{""coordinates"": [4.841112, 45.75915], ""type"": ""Point""}","Rue de la Part-Dieu, Préfecture, 3rd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69003, France",highway,cycleway
7,Europe,Europe,"[""*...North of this district lays the sixth arrondissement, which is home to one of Europe's largest urban parks, the Parc de la Tête d'or, as well as Lycée du Parc and Interpol's world headquarters...."", '*...Place Bellecour, one of the largest town squares in Europe ;...', '*...Lyon and its region Rhône-Alpes represent one of the most important economies in Europe and, according to Loughborough University, can be compared to Philadelphia, Mumbai or Athens with regard to its international position....', '...High-tech industries such as biotechnology, software development, video game (Arkane Studios, Ivory Tower, Eden Games, EA France, Bandai Namco Entertainment Europe), and internet services are also growing....', '*...The Brothers of the Sacred Heart, a Roman Catholic congregation that operates schools in Europe and North America, was founded in Lyon in 1821....', '...Lyon is a pilot city of the Council of Europe and the European Commission Intercultural cities program....', '...Lyon is a pilot city of the Council of Europe and the European Commission ""Intercultural cities"" program....']","Hôtel de l'Europe, Rue du Colonel Chambonnet, Bellecour, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France","{""coordinates"": [4.830257, 45.759177], ""type"": ""Point""}","Hôtel de l'Europe, Rue du Colonel Chambonnet, Bellecour, 2nd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69002, France",historic,building
8,Vieux Lyon,Vieux Lyon,"[""*...The district, Vieux Lyon, also hosts the Tour métallique (a highly visible TV tower, replicating the last stage of the Eiffel Tower) and one of the city's railways...."", '*...5th arrondissement: Vieux Lyon (Saint-Paul, Saint-Jean, Saint-Georges), Saint-Just, Saint-Irénée, Fourvière, Point du Jour, Ménival, Battières, Champvert (south) ;...', ""*...To the west of the Saône, the fifth arrondissement covers the old city of Vieux Lyon, Fourvière hill and the plateau beyond. The 9th is immediately to the north, and stretches from Gorge de Loup, through Vaise to the neighbouring suburbs of Écully, Champagne-au-Mont-d'Or, Saint-Didier-au-Mont-d'Or, Saint-Cyr-au-Mont-d'Or and Collonges-au-Mont-d'Or...."", '...Vieux Lyon (English: Old Lyon) area, Medieval and Renaissance quarter of the town, with shops, dining and cobbled streets ;...', '*...Musée Gadagne, museum of the history of Lyon housed in a historic building in Vieux Lyon, which includes a large collection of marionettes ;...', '*...Musée des Automates, museum of automated puppets in Vieux Lyon, open since 1991 ;...', ""*...The specific regions comprising the historic site include the Roman district and Fourvière, the Renaissance district (Vieux Lyon), the silk district (slopes of Croix-Rousse), and the Presqu'île, which features architecture from the 12th century to modern times...."", '*...Both Vieux Lyon and the slopes of Croix-Rousse are known for their narrow passageways (named traboules) that pass through buildings and link streets on either side....', '*...There are also two funicular lines from Vieux Lyon to Saint-Just and Fourvière....']","Vieux Lyon, Quai Fulchiron, Quarantaine, 5th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69005, France","{""coordinates"": [4.827755, 45.759468], ""type"": ""Point""}","Vieux Lyon, Quai Fulchiron, Quarantaine, 5th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69005, France",highway,bus_stop
10,Gorge de Loup,Gorge de Loup,"[""...9th arrondissement: Vaise, Duchère, Rochecardon, St-Rambert-l'Île-Barbe, Gorge de Loup, Observance, Champvert (north) ...."", ""*...To the west of the Saône, the fifth arrondissement covers the old city of Vieux Lyon, Fourvière hill and the plateau beyond. The 9th is immediately to the north, and stretches from Gorge de Loup, through Vaise to the neighbouring suburbs of Écully, Champagne-au-Mont-d'Or, Saint-Didier-au-Mont-d'Or, Saint-Cyr-au-Mont-d'Or and Collonges-au-Mont-d'Or....""]","Gorge de Loup, Rue du Sergent Michel Berthet, Gorge de Loup, 9th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69009, France","{""coordinates"": [4.805503, 45.766442], ""type"": ""Point""}","Gorge de Loup, Rue du Sergent Michel Berthet, Gorge de Loup, 9th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69009, France",railway,stop
11,Hôtel de Ville,Hôtel de Ville,"[""...Between the two rivers, on the Presqu'île, are the second, first, and fourth arrondissements. The second includes most of the city centre, Bellecour and Perrache railway station, and reaches as far as the confluence of the two rivers. The first is directly to the north of the second and covers part of the city centre (including the Hôtel de Ville) and the slopes of La Croix-Rousse. To the north of the Boulevard is the fourth arrondissement, which covers the Plateau of La Croix-Rousse, up to its boundary with the commune of Caluire-et-Cuire....""]","Hôtel de ville, Place de la Comédie, Terreaux, 1st Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69000, France","{""coordinates"": [4.834438, 45.76763], ""type"": ""Point""}","Hôtel de ville, Place de la Comédie, Terreaux, 1st Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69000, France",amenity,townhall
12,Boulevard,Boulevard,"[""*...Between the two rivers, on the Presqu'île, are the second, first, and fourth arrondissements. The second includes most of the city centre, Bellecour and Perrache railway station, and reaches as far as the confluence of the two rivers. The first is directly to the north of the second and covers part of the city centre (including the Hôtel de Ville) and the slopes of La Croix-Rousse. To the north of the Boulevard is the fourth arrondissement, which covers the Plateau of La Croix-Rousse, up to its boundary with the commune of Caluire-et-Cuire....""]","Boulevard Eugène Deruelle, Part-Dieu, 3rd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69003, France","{""coordinates"": [4.851806, 45.762757], ""type"": ""Point""}","Boulevard Eugène Deruelle, Part-Dieu, 3rd Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69003, France",highway,residential
14,Lyon-East,Lyon-East,"['*...The 14 electoral wards are the following (see map for location):\n\xa0Lônes et coteaux \xa0Lyon-Centre (Lyon-Centre) \xa0Lyon-Est (Lyon-East) \xa0Lyon-Nord (Lyon-North) \xa0Lyon-Ouest \xa0Lyon-Sud \xa0Lyon-Sud-Est \xa0Ouest \xa0Plateau Nord-Caluire \xa0Porte des Alpes \xa0Portes du Sud \xa0Rhône Amont \xa0Val de Saône \xa0Villeurbanne\nThe six wards with names starting with ""Lyon"" are all located within the commune of Lyon....']","East Lodge Lyon Est Eurexpo, Rue de la Cordière, Ménival / La Cordière, Saint-Priest, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69800, France","{""coordinates"": [4.950644, 45.693356], ""type"": ""Point""}","East Lodge Lyon Est Eurexpo, Rue de la Cordière, Ménival / La Cordière, Saint-Priest, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69800, France",tourism,hotel
17,Dame Saint-Vincent,Dame Saint-Vincent,"['*...Église Notre Dame Saint-Vincent (18th century), Neo-classical church ....']","Église Notre-Dame-Saint-Vincent, Rue des Augustins, Terreaux, 1st Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69001, France","{""coordinates"": [4.829714, 45.767552], ""type"": ""Point""}","Église Notre-Dame-Saint-Vincent, Rue des Augustins, Terreaux, 1st Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69001, France",amenity,place_of_worship
18,Satolas Airport,Satolas Airport,"['*...Saint-Exupéry International Airport (formerly Satolas Airport), designed by Guillaume Gilbert ;...']","Lyon-Saint Exupéry Airport, Rue de Finlande, Colombier-Saugnieu, Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69124, France","{""coordinates"": [5.086515, 45.724427], ""type"": ""Point""}","Lyon-Saint Exupéry Airport, Rue de Finlande, Colombier-Saugnieu, Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69124, France",aeroway,aerodrome
