,entity,to_search,snippet,address,coordinates,name_location,class,type
2,River Mersey,River Mersey,"['...Historically part of Lancashire, areas of Cheshire south of the River Mersey were incorporated into Manchester in the 20th century, including Wythenshawe in 1931....', '...In 1931, the Cheshire civil parishes of Baguley, Northenden and Northen Etchells from the south of the River Mersey were added....', '*...The River Mersey flows through the south of Manchester....', '...Due to being already highly urban, the city contains limited portions of protected green-belt area within greenfield throughout the borough, with minimal development opportunities, at Clayton Vale, Heaton Park, Chorlton Water Park along with the Chorlton Ees & Ivy Green nature reserve and the floodplain surrounding the River Mersey, as well as the southern area around Manchester Airport....']","River Mersey Cable Bridge, Fairy Lane, Sale Moor, Sale, Trafford, Greater Manchester, England, M33 2JU, United Kingdom","{""coordinates"": [-2.275785, 53.423545], ""type"": ""Point""}","River Mersey Cable Bridge, Fairy Lane, Sale Moor, Sale, Trafford, Greater Manchester, England, M33 2JU, United Kingdom",man_made,pipeline
5,Manchester Cathedral,Manchester Cathedral,"['*...The Brigantes were the major Celtic tribe in what is now known as Northern England; they had a stronghold in the locality at a sandstone outcrop on which Manchester Cathedral now stands, opposite the bank of the  River Irwell....', ""*...By 1421 Thomas de la Warre founded and constructed a collegiate church for the parish, now Manchester Cathedral; the domestic premises of the college house Chetham's School of Music and Chetham's Library...."", '*...Manchester Cathedral, Royal Exchange and Free Trade Hall were among the buildings seriously damaged; restoration of the cathedral took 20 years....', ""*...She probably envisioned Manchester Cathedral churchyard as the burial place for Jane's parents and the birthplace of Jane herself....""]","Manchester Cathedral, Victoria Street, Medieval Quarter, City Centre, Manchester, Greater Manchester, England, M3 1SU, United Kingdom","{""coordinates"": [-2.245366, 53.484968], ""type"": ""Point""}","Manchester Cathedral, Victoria Street, Medieval Quarter, City Centre, Manchester, Greater Manchester, England, M3 1SU, United Kingdom",amenity,bicycle_rental
7,Manor House,Manor House,"['...In the Domesday Book of 1086, Manchester is recorded as within the hundred of Salford and held as tenant in chief by a Norman named Roger of Poitou, later being held by the family of Grelley, lord of the manor and residents of Manchester Castle until 1215 before a Manor House was built....']","Manor House, Barnsfold Road, Hawk Green, Stockport, Greater Manchester, England, SK6 7JB, United Kingdom","{""coordinates"": [-2.066642, 53.381491], ""type"": ""Point""}","Manor House, Barnsfold Road, Hawk Green, Stockport, Greater Manchester, England, SK6 7JB, United Kingdom",building,residential
8,Bridgewater Canal,Bridgewater Canal,"[""...The Bridgewater Canal, Britain's first wholly artificial waterway, was opened in 1761, bringing coal from mines at Worsley to central Manchester....""]","Bridgewater Canal (for Cyclists and Walkers), Park Road, Broadheath, West Timperley, Trafford, Greater Manchester, England, WA14 5AU, United Kingdom","{""coordinates"": [-2.343906, 53.405116], ""type"": ""Point""}","Bridgewater Canal (for Cyclists and Walkers), Park Road, Broadheath, West Timperley, Trafford, Greater Manchester, England, WA14 5AU, United Kingdom",tourism,information
9,Manchester Railway,Manchester Railway,"[""*...Trade, and feeding the growing population, required a large transport and distribution infrastructure: the canal system was extended, and Manchester became one end of the world's first intercity passenger railway—the Liverpool and Manchester Railway...."", ""...Manchester Liverpool Road was the world's first purpose-built passenger and goods railway station and served as the Manchester terminus on the Liverpool & Manchester Railway – the world's first inter-city passenger railway....""]","Manchester Central Convention Complex, Windmill Street, Petersfield, City Centre, Manchester, Greater Manchester, England, M2 3GX, United Kingdom","{""coordinates"": [-2.247115, 53.476378], ""type"": ""Point""}","Manchester Central Convention Complex, Windmill Street, Petersfield, City Centre, Manchester, Greater Manchester, England, M2 3GX, United Kingdom",amenity,conference_centre
10,Manchester Ship Canal,Manchester Ship Canal,"['...The Manchester Ship Canal opened in 1894, creating the Port of Manchester and linking the city to the Irish Sea, 36 miles (58\xa0km) to the west....', '...The Manchester Ship Canal was built between 1888 and 1894, in some sections by canalisation of the Rivers Irwell and Mersey, running 36 miles (58\xa0km) from Salford to Eastham Locks on the tidal Mersey....', '...An extensive canal network, including the Manchester Ship Canal, was built to carry freight from the Industrial Revolution onward; the canals are still maintained, though now largely repurposed for leisure use....']","Manchester Ship Canal, Trafford Road, Ordsall, Salford, Greater Manchester, England, M50 3XB, United Kingdom","{""coordinates"": [-2.282671, 53.471794], ""type"": ""Point""}","Manchester Ship Canal, Trafford Road, Ordsall, Salford, Greater Manchester, England, M50 3XB, United Kingdom",historic,memorial
12,Trafford Park,Trafford Park,"[""*...On the canal's banks, just outside the borough, the world's first industrial estate was created at Trafford Park...."", ""*...For example, casting and machining expertise at Beyer, Peacock & Company's locomotive works in Gorton was switched to bomb making; Dunlop's rubber works in Chorlton-on-Medlock made barrage balloons; and just outside the city in Trafford Park, engineers Metropolitan-Vickers made Avro Manchester and Avro Lancaster bombers and Ford built the Rolls-Royce Merlin engines to power them...."", '*...Trafford Park in the neighbouring borough of Trafford is home to Imperial War Museum North....']","Trafford Park, Hattons Court, Mosley, Stretford, Trafford, Greater Manchester, England, M32 0AP, United Kingdom","{""coordinates"": [-2.311696, 53.454777], ""type"": ""Point""}","Trafford Park, Hattons Court, Mosley, Stretford, Trafford, Greater Manchester, England, M32 0AP, United Kingdom",railway,station
13,Europe,Europe,"['*...It attracted educated visitors from all parts of Britain and Europe....', '*...Beetham Tower was the tallest UK building outside of London and the highest residential accommodation in Europe when completed in 2006....', ""*...Manchester's Irish Festival, including a St Patrick's Day parade, is one of Europe's largest...."", '*...The area also attracts large numbers of Chinese students to the city who, in attending the local universities, contribute to Manchester having the third-largest Chinese population in Europe....', ""*...KPMG's competitive alternative report also found that Manchester was Europe's most affordable city featured, ranking slightly better than the Dutch cities of Rotterdam and Amsterdam, which all have a cost-of-living index of less than 95...."", '*...The award-winning Heaton Park in the north of the city borough is one of the largest municipal parks in Europe, covering 610 acres (250\xa0ha) of parkland....', '*...Services cover many destinations in Europe, North America, the Caribbean, Africa, the Middle East, and Asia (with more destinations from Manchester than any other airport in Britain)....', '*...With over 21,000 seats, it is the largest arena of its type in Europe....', '*...The University of Law, the largest provider of vocation legal training in Europe, has a campus in the city....', ""*...The three universities are grouped around Oxford Road on the southern side of the city centre, which forms Europe's largest urban higher-education precinct....""]","Brother International Europe, Tame Street, Guide Bridge, Audenshaw, Tameside, Greater Manchester, England, M34 5TX, United Kingdom","{""coordinates"": [-2.112524, 53.472346], ""type"": ""Point""}","Brother International Europe, Tame Street, Guide Bridge, Audenshaw, Tameside, Greater Manchester, England, M34 5TX, United Kingdom",building,office
14,Manchester Town Hall,Manchester Town Hall,"['*...Many of the great public buildings (including Manchester Town Hall) date from then....', '*...Manchester Town Hall, in Albert Square, was built in the Gothic revival style and is seen as one of the most important Victorian buildings in England....']","Manchester Town Hall, Albert Square, Civic Quarter, City Centre, Manchester, Greater Manchester, England, M2 5DB, United Kingdom","{""coordinates"": [-2.244429, 53.479249], ""type"": ""Point""}","Manchester Town Hall, Albert Square, Civic Quarter, City Centre, Manchester, Greater Manchester, England, M2 5DB, United Kingdom",amenity,townhall
15,Manchester Airport,Manchester Airport,"['...That year, Ringway, the village where the Manchester Airport is located, was added to the city....', '*...Due to being already highly urban, the city contains limited portions of protected green-belt area within greenfield throughout the borough, with minimal development opportunities, at Clayton Vale, Heaton Park, Chorlton Water Park along with the Chorlton Ees & Ivy Green nature reserve and the floodplain surrounding the River Mersey, as well as the southern area around Manchester Airport....', '*...A Concorde is on display near Manchester Airport....', '*...Manchester Airport serves Manchester, Northern England and North Wales....']","Manchester Airport, Thorley Lane / opposite Sydney Avenue, Thorley Lane, Ringway, Wythenshawe, Manchester, Greater Manchester, England, WA15 8UL, United Kingdom","{""coordinates"": [-2.284414, 53.371315], ""type"": ""Point""}","Manchester Airport, Thorley Lane / opposite Sydney Avenue, Thorley Lane, Ringway, Wythenshawe, Manchester, Greater Manchester, England, WA15 8UL, United Kingdom",highway,bus_stop
