,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Ravenna,Ravenna,"['*...In 402, the Visigoths besieged the city and the Emperor Honorius moved the Imperial residence to Ravenna....', '*...After the siege of the city by the Visigoths in 402, the imperial residence moved to Ravenna....']","La Cassa di Ravenna, 11 N01, Via Dante, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20123, Italy","{""coordinates"": [9.183916, 45.466785], ""type"": ""Point""}","La Cassa di Ravenna, 11 N01, Via Dante, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20123, Italy",amenity,bank
11,Piazza San Sepolcro,Piazza San Sepolcro,"[""*...It was in Milan that Benito Mussolini built his political and journalistic careers, and his fascist Blackshirts rallied for the first time in the city's Piazza San Sepolcro; here the future Fascist dictator launched his March on Rome on 28 October 1922....""]","Piazza San Sepolcro, Duomo, Municipio 1, Milan, Lombardy, 20123, Italy","{""coordinates"": [9.185311, 45.46299], ""type"": ""Point""}","Piazza San Sepolcro, Duomo, Municipio 1, Milan, Lombardy, 20123, Italy",tourism,information
12,Piazzale Loreto,Piazzale Loreto,"['*...On 29 April 1945, the American 1st Armored Division was advancing on Milan but, before it arrived, the Italian resistance seized control of the city and executed Mussolini along with his mistress and several regime officers, that were later hanged and exposed in Piazzale Loreto, where one year before some resistance members had been executed....']","Piazzale Loreto, Loreto, Municipio 2, Milan, Lombardy, 20131, Italy","{""coordinates"": [9.216756, 45.486357], ""type"": ""Point""}","Piazzale Loreto, Loreto, Municipio 2, Milan, Lombardy, 20131, Italy",highway,primary
13,Torre Velasca,Torre Velasca,"['...During this period, Milan was rapidly rebuilt, with the construction of several innovative and modernist skyscrapers, such as the Torre Velasca and the Pirelli Tower, that soon became the symbols of this new era of prosperity....', '...Modern skyscrapers, such as the Pirelli Tower and the Torre Velasca were built, and artists such as Bruno Munari, Lucio Fontana, Enrico Castellani and Piero Manzoni gathered in the city....']","Torre Velasca, Piazza Velasca, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20122, Italy","{""coordinates"": [9.190681, 45.45992], ""type"": ""Point""}","Torre Velasca, Piazza Velasca, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20122, Italy",tourism,attraction
14,Pirelli Tower,Pirelli Tower,"['...During this period, Milan was rapidly rebuilt, with the construction of several innovative and modernist skyscrapers, such as the Torre Velasca and the Pirelli Tower, that soon became the symbols of this new era of prosperity....', ""*...In the 1950s and 1960s, a strong demand for new residential and commercial areas drove to extreme urban expansion, that has produced some of the major milestones in the city's architectural history, including Gio Ponti's Pirelli Tower (1956–60), Velasca Tower (1956–58), and the creation of brand new residential satellite towns, as well as huge amounts of low quality public housings...."", '...Modern skyscrapers, such as the Pirelli Tower and the Torre Velasca were built, and artists such as Bruno Munari, Lucio Fontana, Enrico Castellani and Piero Manzoni gathered in the city....']","Pirelli Tower, Piazza Duca d'Aosta, Centrale, Municipio 2, Milan, Lombardy, 20124, Italy","{""coordinates"": [9.201177, 45.484782], ""type"": ""Point""}","Pirelli Tower, Piazza Duca d'Aosta, Centrale, Municipio 2, Milan, Lombardy, 20124, Italy",building,office
17,Ticino,Ticino,"['*...Milan is located in the north-western section of the Po Valley, approximately halfway between the river Po to the south and the foothills of the Alps with the great lakes (Lake Como, Lake Maggiore, Lake Lugano) to the north, the Ticino river to the west and the Adda to the east....']","Via del Ticino, Forze Armate, Municipio 7, Milan, Lombardy, 20153, Italy","{""coordinates"": [9.121313, 45.47095], ""type"": ""Point""}","Via del Ticino, Forze Armate, Municipio 7, Milan, Lombardy, 20153, Italy",highway,residential
19,Metro,Metro,"['*...The new Metro municipalities, giving large urban areas the administrative powers of a province, are conceived for improving the performance of local administrations and to slash local spending by better co-ordinating the municipalities in providing basic services (including transport, school and social programs) and environment protection....', '*...In this policy framework, the Mayor of Milan is designated to exercise the functions of Metropolitan mayor (Sindaco metropolitano), presiding over a Metropolitan Council formed by 24 mayors of municipalities within the Metro municipality....', '...Currently, accurate statistics on the Hindu and Sikh presence in Milan metro area are not available; however, various sources estimate that about 40% of the total Indian population living in Italy, or about 50,000 individuals, reside in Lombardy, where a number of Hindu and Sikh temples exist and where they form the largest such communities in Europe after the ones in Britain....', '...Other relevant industries active in metro Milan include chemicals (e.g. Mapei, Versalis, Tamoil Italy), home appliances (e.g. Candy), hospitality (UNA Hotels & Resorts), food & beverages (e.g. Bertolli, Campari), machinery, medical technologies (e.g. Amplifon, Bracco), plastics and textiles....', '*...Free daily newspapers include Leggo and Metro....', '...Azienda Trasporti Milanesi (ATM) is the Milanese municipal transport company; it operates 5 metro lines, 18 tram lines, 131 bus lines, 4 trolleybus lines, and 1 people mover line, carrying about 776\xa0million passengers in 2018....', '...The Milan Metro is the rapid transit system serving the city and surrounding municipalities....', '...The Milan suburban railway service, operated by Trenord, comprises 12 S lines connecting the metropolitan area with the city centre, with possible transfers to all the metro lines....', ""...Linate Airport is Milan's city airport, less than 8 km (5 miles) from central Milan, and is mainly used for domestic and short-haul international flights. It served 7.7\xa0million passengers in 2022 ranking as the 8th airport in Italy for passenger traffic. Linate Airport is Hub of ITA together with Rome Fiumicino airport and is connected to the city center via the M4 blue metro line....""]","METRO, 23, Via Venticinque Aprile, Triulzo Inferiore, Triulzo, San Donato Milanese, Milan, Lombardy, 20097, Italy","{""coordinates"": [9.270533, 45.430752], ""type"": ""Point""}","METRO, 23, Via Venticinque Aprile, Triulzo Inferiore, Triulzo, San Donato Milanese, Milan, Lombardy, 20097, Italy",shop,wholesale
20,Centre,Centre,"[""...The city's role as a major political centre dates back to the late antiquity, when it served as the capital of the Western Roman Empire...."", '...From the 12th century until the 16th century, Milan was one of the largest European cities and a major trade and commercial centre; consequently, it became the capital of the Duchy of Milan, one of the greatest political, artistic and fashion forces in the Renaissance....', '...Despite losing much of its political and cultural importance in the early modern period, the city regained its status as a major economic and political centre, being considered today as the industrial and financial capital of Italy....', '...The Romans eventually conquered the entirety of the region, calling the new province ""Cisalpine Gaul"" (Latin: Gallia Cisalpina) – ""Gaul this side of the Alps"" – and may have given the city its Latinized name of Mediolanum: in Gaulish *medio- meant ""middle, centre"" and the name element -lanon is the Celtic equivalent of Latin -planum ""plain"", thus *Mediolanon (Latinized as Mediolānum) meant ""(settlement) in the midst of the plain""....', '...A fire destroyed the storehouses containing the entire food supply, and within just a few days Milan was forced to surrender.[citation needed]\nA period of peace followed and Milan prospered as a centre of trade due to its geographical position....', ""...Abundant hydroelectric resources allowed the development of a strong steel and textile sector and, as Milanese banks dominated Italy's financial sphere, the city became the country's leading financial centre...."", '...Its exhibition centre moved to a much larger site in Rho....', '...The concentric layout of the city centre reflects the Navigli, an ancient system of navigable and interconnected canals, now mostly covered....', '...The current mayor of Milan is Giuseppe Sala, an independent leading a centre-left alliance led by the Democratic Party....', '*...On 26 March 2018, a list of candidates of the Centre-right coalition, a coalition of centrist and right-wing parties, led by Attilio Fontana, largely won the regional election, defeating a coalition of socialists, liberals and ecologists and a third-party candidate from the populist Five Stars Movement....', '...The regional council has 48 members from the centre-right coalition, 18 from the Centre-left coalition and 13 from the Five Star Movement....', ""...During the second half of the 4th century, Saint Ambrose, as bishop of Milan, had a strong influence on the layout of the city, reshaping the centre (although the cathedral and baptistery built in Roman times are now lost) and building the great basilicas at the city gates: Sant'Ambrogio, San Nazaro in Brolo, San Simpliciano and Sant'Eustorgio, which still stand, refurbished over the centuries, as some of the finest and most important churches in Milan...."", '...In the second half of the 19th century, Milan quickly became the main industrial centre of the new Italian nation, drawing inspiration from the great European capitals that were hubs of the Second Industrial Revolution....', '...English-style Sempione Park, built in 1890, contains a Napoleonic Arena, the Milan City Aquarium, a steel lattice panoramic tower, an art exhibition centre, a Japanese garden and a public library....', ""...Slightly away from the city centre, heading east, Forlanini Park is characterised by a large pond and a few preserved shacks which remind of the area's agricultural past...."", '...In addition, even though Milan is located in one of the most urbanised regions of Italy, it is surrounded by a belt of green areas and features numerous gardens even in its very centre....', '...Since the late 1800s, the area of Milan has been a major industrial and manufacturing centre....', ""...Milan's figurative art flourished in the Middle Ages, and with the Visconti family being major patrons of the arts, the city became an important centre of Gothic art and architecture (Milan Cathedral being the city's most formidable work of Gothic architecture)...."", '...Milan is a major national and international centre of the performing arts, most notably opera....', '...The city is also the seat of a renowned symphony orchestra and musical conservatory, and has been, throughout history, a major centre for musical composition: numerous famous composers and musicians such as Gioseppe Caimo, Simon Boyleau, Hoste da Reggio, Verdi, Giulio Gatti-Casazza, Paolo Cherici and Alice Edun lived and worked in Milan....', ""...In the 1950s and 60s, as the main industrial centre of Italy and one of Europe's most dynamic cities, Milan became a world capital of design and architecture...."", '...In the late 18th century, and throughout the 19th, Milan was an important centre for intellectual discussion and literary creativity....', ""...Foscolo's poem Dei sepolcri was inspired by a Napoleonic law that—against the will of many of its inhabitants—was being extended to the city.[citation needed]\nIn the third decade of the 19th century, Alessandro Manzoni wrote his novel I Promessi Sposi, considered the manifesto of Italian Romanticism, which found in Milan its centre; in the same period Carlo Porta, reputed the most renowned local vernacular poet, wrote his poems in Lombard Language...."", '...Milan is an important national and international media centre....', '...Many historical restaurants and bars are found in the historic centre, the Brera and Navigli districts....', '...Milan is a major global centre of higher education teaching and research and has the second largest concentration of higher education institutes in Italy after Rome....', '...The Milan suburban railway service, operated by Trenord, comprises 12 S lines connecting the metropolitan area with the city centre, with possible transfers to all the metro lines....']","Beauty Centre of Milano, 15, Via Giuseppe Revere, Magenta - San Vittore, Municipio 1, Milan, Lombardy, 20145, Italy","{""coordinates"": [9.168808, 45.472381], ""type"": ""Point""}","Beauty Centre of Milano, 15, Via Giuseppe Revere, Magenta - San Vittore, Municipio 1, Milan, Lombardy, 20145, Italy",amenity,school
21,Unicredit Tower,Unicredit Tower,"['...The tallest buildings include the Unicredit Tower at 231 m (though only 162 m without the spire), and the 209 m Allianz Tower, a 50-story tower....']","Unicredit Tower, Piazza Gae Aulenti, GARIBALDI REPUBBLICA, Municipio 9, Milan, Lombardy, 20159, Italy","{""coordinates"": [9.189907, 45.483859], ""type"": ""Point""}","Unicredit Tower, Piazza Gae Aulenti, GARIBALDI REPUBBLICA, Municipio 9, Milan, Lombardy, 20159, Italy",building,office
22,Ospedale Maggiore,Ospedale Maggiore,"[""...The alliance between Francesco Sforza and Florence's Cosimo de' Medici bore to Milan Tuscan models of Renaissance architecture, apparent in the Ospedale Maggiore and Bramante's work in the city, which includes Santa Maria presso San Satiro (a reconstruction of a small 9th-century church), the tribune of Santa Maria delle Grazie and three cloisters for Sant'Ambrogio....""]","Ospedale Maggiore, Ospedale Maggiore (Niguarda), Niguarda - Cà Granda, Municipio 9, Milan, Lombardy, 20162, Italy","{""coordinates"": [9.189666, 45.50845], ""type"": ""Point""}","Ospedale Maggiore, Ospedale Maggiore (Niguarda), Niguarda - Cà Granda, Municipio 9, Milan, Lombardy, 20162, Italy",amenity,bicycle_rental
23,Royal Palace,Royal Palace,"['...This urban and artistic renewal included the establishment of Teatro alla Scala, inaugurated in 1778, and the renovation of the Royal Palace....']","Royal Palace, 12, Piazza del Duomo, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20122, Italy","{""coordinates"": [9.190733, 45.462909], ""type"": ""Point""}","Royal Palace, 12, Piazza del Duomo, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20122, Italy",tourism,museum
24,Palazzo Belgioioso,Palazzo Belgioioso,"['*...The late 1700s Palazzo Belgioioso by Giuseppe Piermarini and Royal Villa of Milan by Leopoldo Pollack, later the official residence of Austrian viceroys, are often regarded among the best examples of Neoclassical architecture in Lombardy....']","Palazzo Belgioioso, Via degli Omenoni, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20121, Italy","{""coordinates"": [9.192532, 45.467701], ""type"": ""Point""}","Palazzo Belgioioso, Via degli Omenoni, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20121, Italy",historic,castle
26,Galleria del Corso,Galleria del Corso,"['...Several other arcades such as the Galleria del Corso, built between 1923 and 1931, complement it....']","Galleria del Corso, Duomo, Municipio 1, Milan, Lombardy, 20122, Italy","{""coordinates"": [9.195142, 45.464825], ""type"": ""Point""}","Galleria del Corso, Duomo, Municipio 1, Milan, Lombardy, 20122, Italy",highway,pedestrian
27,Liberty,Liberty,"['*...Art Nouveau, also known as Liberty in Italy, is recognisable in Palazzo Castiglioni, built by architect Giuseppe Sommaruga between 1901 and 1903....']","Liberty, Via San Paolo, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20121, Italy","{""coordinates"": [9.192879, 45.466026], ""type"": ""Point""}","Liberty, Via San Paolo, Cerchia dei Navigli, Municipio 1, Milan, Lombardy, 20121, Italy",amenity,pharmacy
33,Africa,Africa,"['*...Immigrants came mainly from Africa (in particular Eritreans, Egyptians, Moroccans, Senegalese, and Nigerian), and the former socialist countries of Eastern Europe (notably Albanians, Romanians, Ukrainians, Macedonians, Moldovans, and Russians), in addition to a growing number of Asians (in particular Chinese, Sri Lankans and Filipinos) and Latin Americans (Mainly South Americans)....']","South African Consulate General, Vicolo San Giovanni sul Muro, Duomo, Municipio 1, Milan, Lombardy, 20123, Italy","{""coordinates"": [9.181763, 45.466501], ""type"": ""Point""}","South African Consulate General, Vicolo San Giovanni sul Muro, Duomo, Municipio 1, Milan, Lombardy, 20123, Italy",office,diplomatic
38,Museo delle Culture,Museo delle Culture,['*...Museo delle Culture (MUDEC) opened in April 2015....'],"Mudec, 56, Via Tortona, Tortona, Municipio 6, Milan, Lombardy, 20144, Italy","{""coordinates"": [9.161319, 45.452045], ""type"": ""Point""}","Mudec, 56, Via Tortona, Tortona, Municipio 6, Milan, Lombardy, 20144, Italy",tourism,museum
39,Piazza della Scala,Piazza della Scala,"['*...The Gallerie di Piazza Scala, a modern and contemporary museum located in Piazza della Scala in the Palazzo Brentani and the Palazzo Anguissola, hosts 195 artworks from the collections of Fondazione Cariplo with a strong representation of nineteenth-century Lombard painters and sculptors, including Antonio Canova and Umberto Boccioni....']","Piazza della Scala, Duomo, Municipio 1, Milan, Lombardy, 20121, Italy","{""coordinates"": [9.189759, 45.46675], ""type"": ""Point""}","Piazza della Scala, Duomo, Municipio 1, Milan, Lombardy, 20121, Italy",highway,pedestrian
40,Palazzo Brentani,Palazzo Brentani,"['...The Gallerie di Piazza Scala, a modern and contemporary museum located in Piazza della Scala in the Palazzo Brentani and the Palazzo Anguissola, hosts 195 artworks from the collections of Fondazione Cariplo with a strong representation of nineteenth-century Lombard painters and sculptors, including Antonio Canova and Umberto Boccioni....']","Palazzo Brentani Greppi, Via Alessandro Manzoni, Duomo, Municipio 1, Milan, Lombardy, 20121, Italy","{""coordinates"": [9.190729, 45.467868], ""type"": ""Point""}","Palazzo Brentani Greppi, Via Alessandro Manzoni, Duomo, Municipio 1, Milan, Lombardy, 20121, Italy",building,yes
42,San Siro,San Siro,"['...Both teams play at the UEFA 5-star-rated Giuseppe Meazza Stadium, more commonly known as the San Siro, that is one of the biggest stadiums in Europe, with a seating capacity of over 80,000....']","San Siro, Via Vallazze, Città Studi, Municipio 3, Milan, Lombardy, 20131, Italy","{""coordinates"": [9.226308, 45.484254], ""type"": ""Point""}","San Siro, Via Vallazze, Città Studi, Municipio 3, Milan, Lombardy, 20131, Italy",shop,funeral_directors
43,Meazza Stadium,Meazza Stadium,"['...Both teams play at the UEFA 5-star-rated Giuseppe Meazza Stadium, more commonly known as the San Siro, that is one of the biggest stadiums in Europe, with a seating capacity of over 80,000....', '...The Meazza Stadium has hosted four European Cup/Champions League finals, most recently in 2016, when Real Madrid defeated Atlético Madrid 5–3 in a penalty shoot-out....']","Giuseppe Meazza Stadium, Via dei Piccolomini, San Siro, Municipio 7, Milan, Lombardy, 20148, Italy","{""coordinates"": [9.123964, 45.4782], ""type"": ""Point""}","Giuseppe Meazza Stadium, Via dei Piccolomini, San Siro, Municipio 7, Milan, Lombardy, 20148, Italy",tourism,attraction
45,Velodromo Vigorelli,Velodromo Vigorelli,"['...The team plays at the Velodromo Vigorelli, with a capacity of 8,000....']","Velodromo Maspes-Vigorelli, 19, Via Arona, Portello, Tre Torri - Fiera, Municipio 8 di Milano, Milan, Lombardy, 20149, Italy","{""coordinates"": [9.158075, 45.48146], ""type"": ""Point""}","Velodromo Maspes-Vigorelli, 19, Via Arona, Portello, Tre Torri - Fiera, Municipio 8 di Milano, Milan, Lombardy, 20149, Italy",leisure,stadium
46,Milano Cadorna,Milano Cadorna,"['*...Milano Cadorna and Milano Porta...', '*...Regional trains were operated on two different systems by LeNord (departing from Milano Cadorna) and Trenitalia (departing from Milan Centrale and Milano Porta Garibaldi)....']","Milano Cadorna, Piazzale Luigi Cadorna, Magenta - San Vittore, Municipio 1, Milan, Lombardy, 20123, Italy","{""coordinates"": [9.175523, 45.468405], ""type"": ""Point""}","Milano Cadorna, Piazzale Luigi Cadorna, Magenta - San Vittore, Municipio 1, Milan, Lombardy, 20123, Italy",railway,station
47,Linate Airport,Linate Airport,"['...In the surroundings of Milan there are three airports dedicated to normal civilian traffic (Milan-Malpensa Airport and Milan-Linate Airport, managed by SEA, and Bergamo-Orio al Serio Airport by SACBO)....', ""*...Linate Airport is Milan's city airport, less than 8 km (5 miles) from central Milan, and is mainly used for domestic and short-haul international flights. It served 7.7\xa0million passengers in 2022 ranking as the 8th airport in Italy for passenger traffic. Linate Airport is Hub of ITA together with Rome Fiumicino airport and is connected to the city center via the M4 blue metro line....""]","Linate Airport, Via Taverna, Quartiere Forlanini, Municipio 4, Monluè, Milan, Lombardy, 20134, Italy","{""coordinates"": [9.277833, 45.444205], ""type"": ""Point""}","Linate Airport, Via Taverna, Quartiere Forlanini, Municipio 4, Monluè, Milan, Lombardy, 20134, Italy",aeroway,aerodrome
