,entity,to_search,snippet,address,coordinates,name_location,class,type
2,Oktoberfest,Oktoberfest,"[""*...Munich's numerous architectural and cultural attractions, sports events, exhibitions and its annual Oktoberfest, the world's largest Volksfest, attract considerable tourism...."", ""*...The fields are now part of the Theresienwiese and the celebrations developed into Munich's annual Oktoberfest...."", '*...The most deadly militant attack the Federal Republic of Germany has ever witnessed, was the Oktoberfest bombing....', '*...April and May, Theresienwiese:\nHeld for two weeks from the end of April to the beginning of May, Frühlingsfest celebrates spring and the new local spring beers, and is commonly referred to as the ""little sister of Oktoberfest""....', ""*...September and October, Theresienwiese: The largest beer festival in the world, Munich's Oktoberfest runs for 16–18 days from the end of September through early October...."", '*...Oktoberfest is a celebration of the wedding of Bavarian Crown Prince Ludwig to Princess Therese of Saxony-Hildburghausen which took place on 12 October 1810....', '*...Over 7\xa0million liters of beer are consumed at each Oktoberfest....', '*...Oktoberfest hosts 144 caterers and employees 13,000 people....', '*...The beer served at Oktoberfest is a special type of Märzen beer with a higher alcohol content than regular Helles....', '*...Also much consumed, though not from Munich and thus without the right to have a tent at the Oktoberfest, are Tegernseer and Schneider Weisse, the latter of which has a major beer hall in Munich....', '*...However, these breweries do not have tents at Oktoberfest....']","Theresienwiese, Schubertstraße, St. Paul, Ludwigsvorstadt-Isarvorstadt, Munich, Bavaria, 80336, Germany","{""coordinates"": [11.549419, 48.131338], ""type"": ""Point""}","Theresienwiese, Schubertstraße, St. Paul, Ludwigsvorstadt-Isarvorstadt, Munich, Bavaria, 80336, Germany",tourism,attraction
3,Perlach,Perlach,"['*...Evidence of Celtic settlements from the Iron Age have been discovered in areas around Perlach....', '...Allach-Untermenzing (23), Altstadt-Lehel (1), Aubing-Lochhausen-Langwied (22), Au-Haidhausen (5), Berg am Laim (14), Bogenhausen (13), Feldmoching-Hasenbergl (24), Hadern (20), Laim (25), Ludwigsvorstadt-Isarvorstadt (2), Maxvorstadt (3), Milbertshofen-Am Hart (11), Moosach (10), Neuhausen-Nymphenburg (9), Obergiesing (17), Pasing-Obermenzing (21), Ramersdorf-Perlach (16), Schwabing-Freimann (12), Schwabing-West (4), Schwanthalerhöhe (8), Sendling (6), Sendling-Westpark (7), Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln (19), Trudering-Riem (15) and Untergiesing-Harlaching (18)....', ""...Another notable park is Ostpark located in the Ramersdorf-Perlach borough which also houses the Michaelibad, the largest water park in Munich.[citation needed]\nMunich is home to several professional football teams including Bayern Munich, Germany's most successful club and a multiple UEFA Champions League winner....""]","Perlach, Stephensonplatz, Perlach, Altperlach, Ramersdorf-Perlach, Munich, Bavaria, 81737, Germany","{""coordinates"": [11.631357, 48.093418], ""type"": ""Point""}","Perlach, Stephensonplatz, Perlach, Altperlach, Ramersdorf-Perlach, Munich, Bavaria, 81737, Germany",railway,platform
6,S-Bahn,S-Bahn,"['...Archaeological excavations at Marienhof Square (near Marienplatz) in advance of the expansion of the S-Bahn (subway) in 2012 discovered shards of vessels from the 11th century, which prove again that the settlement of Munich must be older than the Augsburg Arbitration of 1158....', '...After winning the bid in 1966 the Mayor of Munich Hans-Jochen Vogel accelerated the construction of the U-Bahn subway and the S-Bahn metropolitan commuter railway....', '...For its urban population of 2.6\xa0million people, Munich and its closest suburbs have a comprehensive network of public transport incorporating the Munich U-Bahn (underground railway), the Munich S-Bahn (suburban trains), trams and buses....', '...The subterranean S-Bahn with 2 platforms and U-Bahn stations with 6 platforms are through stations....', ""*...South of Munich, there are numerous nearby freshwater lakes such as Lake Starnberg, Ammersee, Chiemsee, Walchensee, Kochelsee, Tegernsee, Schliersee, Simssee, Staffelsee, Wörthsee, Kirchsee and the Osterseen (Easter Lakes), which are popular among Munich residents for recreation, swimming and watersports and can be quickly reached by car and a few also by Munich's S-Bahn....""]","Zugspitzstr. 2, S-Bahn, 890007932824, Zugspitzstraße, Höllriegelskreuth, Pullach im Isartal, Landkreis München, Bavaria, 82049, Germany","{""coordinates"": [11.510281, 48.043701], ""type"": ""Point""}","Zugspitzstr. 2, S-Bahn, 890007932824, Zugspitzstraße, Höllriegelskreuth, Pullach im Isartal, Landkreis München, Bavaria, 82049, Germany",amenity,telephone
7,Old Town Hall,Old Town Hall,"[""...In the 15th century, Munich underwent a revival of Gothic arts: the Old Town Hall was enlarged, and Munich's largest Gothic church – the Frauenkirche – now a cathedral, was constructed in only 20 years, starting in 1468...."", '...The city was heavily bombed during World War II, but has restored most of its old town....', '...Henry built a new toll bridge, customs house and a coin market closer to his home somewhat upstream at a settlement around the area of modern old town Munich....', ""*...The large Residenz palace complex (begun in 1385) on the edge of Munich's Old Town, Germany's largest urban palace, ranks among Europe's most significant museums of interior decoration...."", '...Four grand royal avenues of the 19th century with official buildings connect Munich\'s inner city with its then-suburbs:\nThe neoclassical Brienner Straße, starting at Odeonsplatz on the northern fringe of the Old Town close to the Residenz, runs from east to west and opens into the Königsplatz, designed with the ""Doric"" Propyläen, the ""Ionic"" Glyptothek and the ""Corinthian"" State Museum of Classical Art, behind it St. Boniface\'s Abbey was erected....', ""...Another area for the arts next to the Kunstareal is the Lehel quarter between the old town and the river Isar: the Museum Five Continents in Maximilianstraße is the second largest collection in Germany of artefacts and objects from outside Europe, while the Bavarian National Museum and the adjoining Bavarian State Archaeological Collection in Prinzregentenstraße rank among Europe's major art and cultural history museums....""]","Old Town Hall, 15, Marienplatz, Graggenauerviertel, Graggenau, Altstadt-Lehel, Munich, Bavaria, 80331, Germany","{""coordinates"": [11.577059, 48.136817], ""type"": ""Point""}","Old Town Hall, 15, Marienplatz, Graggenauerviertel, Graggenau, Altstadt-Lehel, Munich, Bavaria, 80331, Germany",tourism,attraction
9,Landtag,Landtag,"['*...The state parliament (the Landtag) and the new archdiocese of Munich and Freising were also located in the city.[citation needed]\nThe establishment of Bavarian state sovereignty profoundly affected Munich....', '...It is the seat of the Landtag of Bavaria, the State Chancellery, and all state departments....', '...The most recent city council election was held on 15 March 2020, and the results were as follows:\nIn the Landtag of Bavaria, Munich is divided between nine constituencies....']","Bus, Landtag, Max-Planck-Straße, Maximilianeum, Au-Haidhausen, Munich, Bavaria, 81675, Germany","{""coordinates"": [11.592986, 48.135614], ""type"": ""Point""}","Bus, Landtag, Max-Planck-Straße, Maximilianeum, Au-Haidhausen, Munich, Bavaria, 81675, Germany",amenity,parking
10,Valley,Valley,"['*...After the murder of the first republican premier of Bavaria Kurt Eisner in February 1919 by Anton Graf von Arco auf Valley, the Bavarian Soviet Republic was proclaimed.[citation needed]...']","Spiel- und Bildungszentrum Sendling, 34, Danklstraße, Sendlinger Feld, Sendling, Munich, Bavaria, 81371, Germany","{""coordinates"": [11.546472, 48.116811], ""type"": ""Point""}","Spiel- und Bildungszentrum Sendling, 34, Danklstraße, Sendlinger Feld, Sendling, Munich, Bavaria, 81371, Germany",amenity,community_centre
11,Königsplatz,Königsplatz,"[""*...Nazi organizations, such as the National Socialist Women's League and the Gestapo, had their offices along Brienner Straße and around the Königsplatz...."", '*...Four grand royal avenues of the 19th century with official buildings connect Munich\'s inner city with its then-suburbs:\nThe neoclassical Brienner Straße, starting at Odeonsplatz on the northern fringe of the Old Town close to the Residenz, runs from east to west and opens into the Königsplatz, designed with the ""Doric"" Propyläen, the ""Ionic"" Glyptothek and the ""Corinthian"" State Museum of Classical Art, behind it St. Boniface\'s Abbey was erected....', ""*...The area around Königsplatz is home to the Kunstareal, Munich's gallery and museum quarter (as described below)....""]","Königsplatz, Maxvorstadt, Munich, Bavaria, 80333, Germany","{""coordinates"": [11.565813, 48.145718], ""type"": ""Point""}","Königsplatz, Maxvorstadt, Munich, Bavaria, 80333, Germany",highway,path
13,Hotel Bayerischer Hof,Hotel Bayerischer Hof,"['...Since 1963, Munich has been hosting the Munich Security Conference, held annually in the Hotel Bayerischer Hof....']","Hotel Bayerischer Hof (Promenadeplatz), Promenadeplatz, Kreuzviertel, Altstadt-Lehel, Munich, Bavaria, 80333, Germany","{""coordinates"": [11.573311, 48.140225], ""type"": ""Point""}","Hotel Bayerischer Hof (Promenadeplatz), Promenadeplatz, Kreuzviertel, Altstadt-Lehel, Munich, Bavaria, 80333, Germany",amenity,taxi
15,Olympic Park,Olympic Park,"['...In May 1967 the construction work began for a new U-Bahn line connecting the city with the Olympic Park....', '*...The Olympic Park subway station was built near the BMW Headquarters and the line was completed May 1972, three months before the opening of the 1972 Summer Olympics....', '...Most high-rise buildings are clustered at the northern edge of Munich in the skyline, like the Hypo-Haus, the Arabella High-Rise Building, the Highlight Towers, Uptown Munich, Münchner Tor and the BMW Headquarters next to the Olympic Park....']","Montessori School in the Olympic Park, 32, Willi-Gebhardt-Ufer, Oberwiesenfeld Süd, Oberwiesenfeld, Neuhausen-Nymphenburg, Munich, Bavaria, 80809, Germany","{""coordinates"": [11.546288, 48.169158], ""type"": ""Point""}","Montessori School in the Olympic Park, 32, Willi-Gebhardt-Ufer, Oberwiesenfeld Süd, Oberwiesenfeld, Neuhausen-Nymphenburg, Munich, Bavaria, 80809, Germany",amenity,school
19,Referat,Referat,['*...The city administration decided to support a joint study from its own Referat für Gesundheit und Umwelt (department for health and environmental issues) and the German Meteorological Service that will gather data on local weather....'],"Referat für Gesundheit und Umwelt, Schwanthalerstraße, St. Paul, Ludwigsvorstadt-Isarvorstadt, Munich, Bavaria, 80336, Germany","{""coordinates"": [11.555143, 48.137362], ""type"": ""Point""}","Referat für Gesundheit und Umwelt, Schwanthalerstraße, St. Paul, Ludwigsvorstadt-Isarvorstadt, Munich, Bavaria, 80336, Germany",office,government
