,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Παρθενόπη,Παρθενόπη,"['*...In the eighth century BC, a colony known as Parthenope (Ancient Greek: Παρθενόπη) was established on the Pizzofalcone hill....', '*...Sailors from the Greek island of Rhodes established probably a small commercial port called Parthenope (Παρθενόπη, meaning ""Pure Eyes"", a Siren in Greek mythology) on the island of Megaride in the ninth century BC....']","Università degli studi di Napoli ""Parthenope"" - Sede Centrale, Via Ferdinando Acton, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80133, Italy","{""coordinates"": [14.253288, 40.837424], ""type"": ""Point""}","Università degli studi di Napoli ""Parthenope"" - Sede Centrale, Via Ferdinando Acton, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80133, Italy",amenity,university
2,Parthenope,Parthenope,"['*...In the eighth century BC, a colony known as Parthenope (Ancient Greek: Παρθενόπη) was established on the Pizzofalcone hill....', '*...In the second millennium BC, a first Mycenaean settlement arose not far from the geographical position of the future city of Parthenope....', '*...Sailors from the Greek island of Rhodes established probably a small commercial port called Parthenope (Παρθενόπη, meaning ""Pure Eyes"", a Siren in Greek mythology) on the island of Megaride in the ninth century BC....', '...Other prominent universities in Naples include the Parthenope University of Naples, the private Istituto Universitario Suor Orsola Benincasa, and the Jesuit Theological Seminary of Southern Italy....']","Università degli studi di Napoli ""Parthenope"" - Sede Centrale, Via Ferdinando Acton, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80133, Italy","{""coordinates"": [14.253288, 40.837424], ""type"": ""Point""}","Università degli studi di Napoli ""Parthenope"" - Sede Centrale, Via Ferdinando Acton, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80133, Italy",amenity,university
3,Megaride,Megaride,"['*...Sailors from the Greek island of Rhodes established probably a small commercial port called Parthenope (Παρθενόπη, meaning ""Pure Eyes"", a Siren in Greek mythology) on the island of Megaride in the ninth century BC....']","Via Megaride, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy","{""coordinates"": [14.249756, 40.833962], ""type"": ""Point""}","Via Megaride, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy",highway,unclassified
6,Castel Nuovo,Castel Nuovo,"['...Conflict between the Hohenstaufens and the Papacy led in 1266 to Pope Innocent IV crowning the Angevin duke Charles I King of Sicily: Charles officially moved the capital from Palermo to Naples, where he resided at the Castel Nuovo....', ""*...Castel Nuovo, also known as Maschio Angioino, is one of the city's top landmarks; it was built during the time of Charles I, the first king of Naples...."", '*...Castel Nuovo has seen many notable historical events: for example, in 1294, Pope Celestine V resigned as pope in a hall of the castle, and following this Pope Boniface VIII was elected pope by the cardinal collegium, before moving to Rome....']","Castel Nuovo (Museo Civico), Via Ferdinando Acton, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80133, Italy","{""coordinates"": [14.253731, 40.838317], ""type"": ""Point""}","Castel Nuovo (Museo Civico), Via Ferdinando Acton, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80133, Italy",tourism,museum
13,Piazza del Plebiscito,Piazza del Plebiscito,"[""...Special funding from the Italian government's Fund for the South was provided from 1950 to 1984, helping the Neapolitan economy to improve somewhat, with city landmarks such as the Piazza del Plebiscito being renovated...."", ""...—\u2009UNESCO's Criterion\nThe main city square or piazza of the city is the Piazza del Plebiscito...."", '...Aside from the Piazza del Plebiscito, Naples has two other major public squares: the Piazza Dante and the Piazza dei Martiri....']","Piazza del Plebiscito, Piazza Trieste e Trento, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy","{""coordinates"": [14.248565, 40.835856], ""type"": ""Point""}","Piazza del Plebiscito, Piazza Trieste e Trento, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy",tourism,attraction
14,San Carlo,San Carlo,"['...Nearby is the Teatro di San Carlo, which is the oldest opera house in Italy....', '*...Directly across San Carlo is Galleria Umberto....', '...Naples is also known for its theatres, which are among the oldest in Europe: the Teatro di San Carlo opera house dates back to the 18th century....', '...The Teatro di San Carlo, built in 1737, is the oldest working theatre in Europe, and remains the operatic centre of Naples....']","Teatro di San Carlo, 98, Via San Carlo, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy","{""coordinates"": [14.249804, 40.837385], ""type"": ""Point""}","Teatro di San Carlo, 98, Via San Carlo, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy",tourism,attraction
15,Via Marina,Via Marina,"[""...The Carmine Castle, built in 1392 and highly modified in the 16th century by the Spanish, was demolished in 1906 to make room for the Via Marina, although two of the castle's towers remain as a monument....""]","Via Marina - Porta di Massa, Via Nuova Marina, Pendino, Municipalità 2, Naples, Napoli, Campania, 80133, Italy","{""coordinates"": [14.258407, 40.843608], ""type"": ""Point""}","Via Marina - Porta di Massa, Via Nuova Marina, Pendino, Municipalità 2, Naples, Napoli, Campania, 80133, Italy",railway,tram_stop
17,Galleria Umberto I,Galleria Umberto I,"['...The most notable transformations made were the construction of Via Caracciolo in place of the beach along the promenade, the creation of Galleria Umberto I and Galleria Principe and the construction of Corso Umberto....', '...In front of the Royal Palace of Naples stands the Galleria Umberto I, which contains the Coral Jewellery Museum....', '*...The most notable transformations made were the construction of Via Caracciolo in place of the beach along the promenade, the creation of Galleria Umberto I and Galleria Principe and the construction of Corso Umberto....', '*...Directly across San Carlo is Galleria Umberto....']","Galleria Umberto I, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy","{""coordinates"": [14.249496, 40.838454], ""type"": ""Point""}","Galleria Umberto I, San Ferdinando, Municipalità 1, Naples, Napoli, Campania, 80132, Italy",highway,pedestrian
20,San Lorenzo Maggiore,San Lorenzo Maggiore,"['...San Lorenzo Maggiore ;...', '*...Several archeological excavations are also present; they revealed in San Lorenzo Maggiore the macellum of Naples, and in Santa Chiara, the biggest thermal complex of the city in Roman times....']","Convento di San Lorenzo Maggiore, Vico dei Maiorani, Pendino, Municipalità 2, Naples, Napoli, Campania, 80138, Italy","{""coordinates"": [14.258422, 40.850635], ""type"": ""Point""}","Convento di San Lorenzo Maggiore, Vico dei Maiorani, Pendino, Municipalità 2, Naples, Napoli, Campania, 80138, Italy",tourism,museum
25,Via Santa Maria di Costantinopoli,Via Santa Maria di Costantinopoli,"[""...The Academy of Fine Arts located on the Via Santa Maria di Costantinopoli is the city's foremost art school and one of the oldest in Italy....""]","Via Santa Maria di Costantinopoli, San Lorenzo, Municipalità 4, Naples, Napoli, Campania, 80138, Italy","{""coordinates"": [14.25177, 40.851151], ""type"": ""Point""}","Via Santa Maria di Costantinopoli, San Lorenzo, Municipalità 4, Naples, Napoli, Campania, 80138, Italy",highway,residential
