,entity,to_search,snippet,address,coordinates,name_location,class,type
1,Manhattan Island,Manhattan Island,"['*...New York City traces its origins to a trading post founded on the southern tip of Manhattan Island by Dutch colonists in approximately 1624....', '*...In 1625, construction was started on a citadel and Fort Amsterdam, later called Nieuw Amsterdam (New Amsterdam), on present-day Manhattan Island....', '*...Most of the borough is situated on Manhattan Island, at the mouth of the Hudson River and the East River, and its southern tip, at the confluence of the two rivers, represents the birthplace of New York City itself....', '*...Manhattan Island is loosely divided into the Lower, Midtown, and Uptown regions....', ""*...Historic sites under federal management on Manhattan Island include Stonewall National Monument; Castle Clinton National Monument; Federal Hall National Memorial; Theodore Roosevelt Birthplace National Historic Site; General Grant National Memorial (Grant's Tomb); African Burial Ground National Monument; and Hamilton Grange National Memorial...."", ""*...Other features of the city's transportation infrastructure encompass 13,587 yellow taxicabs; other vehicle for hire companies; and the Roosevelt Island Tramway, an aerial tramway that transports commuters between Roosevelt Island and Manhattan Island...."", ""*...Manhattan Island is linked to New York City's outer boroughs and to New Jersey....""]","Fairfield Inn Long Island City/Manhattan View, 52-34, Van Dam Street, Blissville, Queens, New York, 11101, United States","{""coordinates"": [-73.936762, 40.736188], ""type"": ""Point""}","Fairfield Inn Long Island City/Manhattan View, 52-34, Van Dam Street, Blissville, Queens, New York, 11101, United States",tourism,hotel
2,Statue of Liberty,Statue of Liberty,"['...The Statue of Liberty greeted millions of immigrants as they came to the U.S. by ship in the late 19th and early 20th centuries, and is a symbol of the U.S. and its ideals of liberty and peace....', '...Staten Island is connected to Brooklyn by the Verrazzano-Narrows Bridge, and to Manhattan by way of the free Staten Island Ferry, a daily commuter ferry that provides unobstructed views of the Statue of Liberty, Ellis Island, and Lower Manhattan....', '...The Statue of Liberty National Monument and Ellis Island Immigration Museum are managed by the National Park Service and are in both New York and New Jersey....', ""...These include Times Square; Broadway theater productions; the Empire State Building; the Statue of Liberty; Ellis Island; the United Nations headquarters; the World Trade Center (including the National September\xa011 Memorial\xa0& Museum and One World Trade Center); the art museums along Museum Mile; green spaces such as Central Park, Washington Square Park, the High Line, and the medieval gardens of The Cloisters; the Stonewall Inn; Rockefeller Center; ethnic enclaves including the Manhattan Chinatown, Koreatown, Curry Hill, Harlem, Spanish Harlem, Little Italy, and Little Australia; luxury shopping along Fifth and Madison Avenues; and events such as the Halloween Parade in Greenwich Village; the Brooklyn Bridge (shared with Brooklyn); the Macy's Thanksgiving Day Parade; the lighting of the Rockefeller Center Christmas Tree; the St. Patrick's Day Parade; seasonal activities such as ice skating in Central Park in the wintertime; the Tribeca Film Festival; and free performances in Central Park at SummerStage....""]","Statue of Liberty, Flagpole Plaza, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States","{""coordinates"": [-74.044548, 40.689253], ""type"": ""Point""}","Statue of Liberty, Flagpole Plaza, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States",tourism,attraction
3,Times Square,Times Square,"[""*...Times Square is the brightly illuminated hub of the Broadway Theater District, one of the world's busiest pedestrian intersections and a major center of the world's entertainment industry...."", ""*...These include Times Square; Broadway theater productions; the Empire State Building; the Statue of Liberty; Ellis Island; the United Nations headquarters; the World Trade Center (including the National September\xa011 Memorial\xa0& Museum and One World Trade Center); the art museums along Museum Mile; green spaces such as Central Park, Washington Square Park, the High Line, and the medieval gardens of The Cloisters; the Stonewall Inn; Rockefeller Center; ethnic enclaves including the Manhattan Chinatown, Koreatown, Curry Hill, Harlem, Spanish Harlem, Little Italy, and Little Australia; luxury shopping along Fifth and Madison Avenues; and events such as the Halloween Parade in Greenwich Village; the Brooklyn Bridge (shared with Brooklyn); the Macy's Thanksgiving Day Parade; the lighting of the Rockefeller Center Christmas Tree; the St. Patrick's Day Parade; seasonal activities such as ice skating in Central Park in the wintertime; the Tribeca Film Festival; and free performances in Central Park at SummerStage...."", '*...Broadway theatre is one of the premier forms of English-language theatre in the world, named after Broadway, the major thoroughfare that crosses Times Square, also sometimes referred to as ""The Great White Way""....']","Times Square, West 42nd Street, Theater District, Manhattan, New York County, New York, 10036, United States","{""coordinates"": [-73.985998, 40.755619], ""type"": ""Point""}","Times Square, West 42nd Street, Theater District, Manhattan, New York County, New York, 10036, United States",railway,buffer_stop
5,Empire State Building,Empire State Building,"['...The Empire State Building is a global standard of reference to describe the height and length of other structures....', '*...The Art Deco style of the Chrysler Building (1930) and Empire State Building (1931), with their tapered tops and steel spires, reflected the zoning requirements....', ""*...These include Times Square; Broadway theater productions; the Empire State Building; the Statue of Liberty; Ellis Island; the United Nations headquarters; the World Trade Center (including the National September\xa011 Memorial\xa0& Museum and One World Trade Center); the art museums along Museum Mile; green spaces such as Central Park, Washington Square Park, the High Line, and the medieval gardens of The Cloisters; the Stonewall Inn; Rockefeller Center; ethnic enclaves including the Manhattan Chinatown, Koreatown, Curry Hill, Harlem, Spanish Harlem, Little Italy, and Little Australia; luxury shopping along Fifth and Madison Avenues; and events such as the Halloween Parade in Greenwich Village; the Brooklyn Bridge (shared with Brooklyn); the Macy's Thanksgiving Day Parade; the lighting of the Rockefeller Center Christmas Tree; the St. Patrick's Day Parade; seasonal activities such as ice skating in Central Park in the wintertime; the Tribeca Film Festival; and free performances in Central Park at SummerStage....""]","Empire State Building, 350, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10018, United States","{""coordinates"": [-73.985659, 40.748442], ""type"": ""Point""}","Empire State Building, 350, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10018, United States",tourism,attraction
6,Western Hemisphere,Western Hemisphere,"['...Providing continuous 24/7 service and contributing to the nickname The City That Never Sleeps, the New York City Subway is the largest single-operator rapid transit system in the world with 472 passenger rail stations, and Penn Station in Midtown Manhattan is the busiest transportation hub in the Western Hemisphere....', '...The new One World Trade Center is the tallest skyscraper in the Western Hemisphere and the seventh-tallest building in the world by pinnacle height, with its spire reaching a symbolic 1,776 feet (541.3\xa0m) in reference to the year of U.S. independence....', '...In 2022, the LGBT community in New York City became the epicenter of the monkeypox outbreak in the Western Hemisphere, prompting New York Governor Kathy Hochul and New York City Mayor Eric Adams declared corresponding public health emergencies in the state and city, respectively, in July 2022....', ""...Multiple satellites of the original Manhattan's Chinatown—home to the highest concentration of Chinese people in the Western Hemisphere, as well as in Brooklyn, and around Flushing, Queens, are thriving as traditionally urban enclaves—while also expanding rapidly eastward into suburban Nassau County on Long Island, as the New York metropolitan region and New York State have become the top destinations for new Chinese immigrants, respectively, and large-scale Chinese immigration continues into New York City and surrounding areas, with the largest metropolitan Chinese diaspora outside Asia, including an estimated 812,410 individuals in 2015...."", ""...The metropolitan area is also home to 20% of the nation's Indian Americans and at least 20 Little India enclaves, and 15% of all Korean Americans and four Koreatowns; the largest Asian Indian population in the Western Hemisphere; the largest Russian American, Italian American, and African American populations; the largest Dominican American, Puerto Rican American, and South American and second-largest overall Hispanic population in the United States, numbering 4.8\xa0million; and includes multiple established Chinatowns within New York City alone...."", '...Given both the size and scale of the city, as well as its relative proxinity and accessibility by air transportation to the Middle East, North Africa, Central Asia, and South Asia, 22.3% of American Muslims live in New York City, with 1.5 million Muslims in the greater New York metropolitan area, representing the largest metropolitan Muslim population in the Western Hemisphere—and the most ethnically diverse Muslim population of any city in the world....', '...The New York City Subway is also the busiest metropolitan rail transit system in the Western Hemisphere, with 1.76\xa0billion passenger rides in 2015, while Grand Central Terminal, also referred to as ""Grand Central Station"", is the world\'s largest railway station by number of train platforms....']","Independent United Order of Mechanics, 65, Putnam Avenue, Prospect Heights, Brooklyn, Kings County, New York, 11238, United States","{""coordinates"": [-73.959366, 40.683253], ""type"": ""Point""}","Independent United Order of Mechanics, 65, Putnam Avenue, Prospect Heights, Brooklyn, Kings County, New York, 11238, United States",club,fraternal
8,Stonewall Inn,Stonewall Inn,"['...The Stonewall Inn in Greenwich Village, part of the Stonewall National Monument, is considered the historic epicenter of LGBTQ+ culture and the birthplace of the modern gay rights movement....', '...The Stonewall riots were a series of spontaneous, violent protests by members of the gay community against a police raid that took place in the early morning hours of June 28, 1969, at the Stonewall Inn in the Greenwich Village neighborhood of Lower Manhattan....', ""...These include Times Square; Broadway theater productions; the Empire State Building; the Statue of Liberty; Ellis Island; the United Nations headquarters; the World Trade Center (including the National September\xa011 Memorial\xa0& Museum and One World Trade Center); the art museums along Museum Mile; green spaces such as Central Park, Washington Square Park, the High Line, and the medieval gardens of The Cloisters; the Stonewall Inn; Rockefeller Center; ethnic enclaves including the Manhattan Chinatown, Koreatown, Curry Hill, Harlem, Spanish Harlem, Little Italy, and Little Australia; luxury shopping along Fifth and Madison Avenues; and events such as the Halloween Parade in Greenwich Village; the Brooklyn Bridge (shared with Brooklyn); the Macy's Thanksgiving Day Parade; the lighting of the Rockefeller Center Christmas Tree; the St. Patrick's Day Parade; seasonal activities such as ice skating in Central Park in the wintertime; the Tribeca Film Festival; and free performances in Central Park at SummerStage....""]","Stonewall Inn, 53, Christopher Street, Manhattan Community Board 2, Manhattan, New York County, New York, 10014, United States","{""coordinates"": [-74.002148, 40.733801], ""type"": ""Point""}","Stonewall Inn, 53, Christopher Street, Manhattan Community Board 2, Manhattan, New York County, New York, 10014, United States",amenity,bar
9,New York Harbor,New York Harbor,"['*...Governors Island in New York Harbor is planned to host a US$1billion research and education center addressing the climate crisis....', '*...The first documented visit into New York Harbor by a European was in 1524 by Italian Giovanni da\xa0Verrazzano, an explorer from Florence in the service of the French crown....', ""*...A Spanish expedition, led by the Portuguese captain Estêvão Gomes sailing for Emperor Charles\xa0V, arrived in New York Harbor in January 1525 and charted the mouth of the Hudson River, which he named Río de San Antonio ('Saint Anthony's River')...."", '*...In 1609, the English explorer Henry Hudson rediscovered New York Harbor while searching for the Northwest Passage to the Orient for the Dutch East India Company....', '*...A permanent European presence near New York Harbor was established in 1624, making New York the 12th-oldest continuously occupied European-established settlement in the continental United States—with the founding of a Dutch fur trading settlement on Governors Island....', '*...Several small islands also compose part of the borough of Manhattan, including Randalls and Wards Islands, and Roosevelt Island in the East River, and Governors Island and Liberty Island to the south in New York Harbor....', ""*...The tunnel was built instead of a bridge to allow unfettered passage of large passenger and cargo ships that sailed through New York Harbor and up the Hudson River to Manhattan's piers....""]","Lower Manhattan & New York Harbor Cam, 111, Hicks Street, Brooklyn, Kings County, New York, 11201, United States","{""coordinates"": [-73.994341, 40.698], ""type"": ""Point""}","Lower Manhattan & New York Harbor Cam, 111, Hicks Street, Brooklyn, Kings County, New York, 11201, United States",man_made,surveillance
10,Hudson River,Hudson River,"[""...A Spanish expedition, led by the Portuguese captain Estêvão Gomes sailing for Emperor Charles\xa0V, arrived in New York Harbor in January 1525 and charted the mouth of the Hudson River, which he named Río de San Antonio ('Saint Anthony's River')...."", '...He proceeded to sail up what the Dutch would name the North River (now the Hudson River), named first by Hudson as the Mauritius after Maurice, Prince of Orange....', ""...Fort Orange, 150 miles (240\xa0km) north on the Hudson River, was renamed Albany after James's Scottish title...."", '...The 1825 completion of the Erie Canal through central New York connected the Atlantic port to the agricultural markets and commodities of the North American interior via the Hudson River and the Great Lakes....', '...The location at the mouth of the Hudson River, which feeds into a naturally sheltered harbor and then into the Atlantic Ocean, has helped the city grow in significance as a trading port....', '*...The Hudson River flows through the Hudson Valley into New York Bay....', '...The Hudson River separates the city from the U.S. state of New Jersey....', '...Most of the borough is situated on Manhattan Island, at the mouth of the Hudson River and the East River, and its southern tip, at the confluence of the two rivers, represents the birthplace of New York City itself....', '...Riverbank State Park is a 28-acre (11\xa0ha) facility that rises 69 feet (21\xa0m) over the Hudson River....', ""...Environmental issues in New York City are affected by the city's size, density, abundant public transportation infrastructure, and its location at the mouth of the Hudson River...."", ""...The city's municipal water system is the largest in the United States, moving over one billion gallons of water per day; a leak in the Delaware aqueduct results in some 20 million gallons a day being lost under the Hudson River...."", '...The Lincoln Tunnel, which carries 120,000 vehicles a day under the Hudson River between New Jersey and Midtown Manhattan, is the busiest vehicular tunnel in the world....', ""...The tunnel was built instead of a bridge to allow unfettered passage of large passenger and cargo ships that sailed through New York Harbor and up the Hudson River to Manhattan's piers...."", '...Their homeland, known as Lenapehoking, included the present-day areas of Staten Island, Manhattan, the Bronx, the western portion of Long Island (including the areas that would later become the boroughs of Brooklyn and Queens), and the Lower Hudson Valley....', '...In 1609, the English explorer Henry Hudson rediscovered New York Harbor while searching for the Northwest Passage to the Orient for the Dutch East India Company....', '*...He proceeded to sail up what the Dutch would name the North River (now the Hudson River), named first by Hudson as the Mauritius after Maurice, Prince of Orange....', '*...Hudson\'s first mate described the harbor as ""a very good Harbour for all windes"" and the river as ""a mile broad"" and ""full of fish""....', '*...Hudson sailed roughly 150 miles (240\xa0km) north, past the site of the present-day New York State capital city of Albany, in the belief that it might be an oceanic tributary before the river became too shallow to continue....', '...The World Trade Center PATH station, which had opened on July 19, 1909, as the Hudson Terminal, was also destroyed in the attacks....', '*...The Harlem River, another tidal strait between the East and Hudson rivers, separates most of Manhattan from the Bronx....', ""...In 2020, the city had an estimated population density of 29,302.37 inhabitants per square mile (11,313.71/km2), rendering it the nation's most densely populated of all larger municipalities (those with more than 100,000 residents), with several small cities (of fewer than 100,000) in adjacent Hudson County, New Jersey having greater density, as per the 2010 census...."", '...The Port Authority Trans-Hudson (PATH train) links Midtown and Lower Manhattan to northeastern New Jersey, primarily Hoboken, Jersey City, and Newark....']","Hudson River Park Esplanade, Battery Park City, Manhattan, New York County, New York, 10282, United States","{""coordinates"": [-74.013249, 40.717517], ""type"": ""Point""}","Hudson River Park Esplanade, Battery Park City, Manhattan, New York County, New York, 10282, United States",highway,footway
11,East Coast,East Coast,"[""...The Padrón Real of 1527, the first scientific map to show the East Coast of North America continuously, was informed by Gomes' expedition and labeled the northeastern United States as Tierra de Esteban Gómez in his honor....""]","East Coast Memorial, Brooklyn-Battery Tunnel, Nolan Park, Battery Park City, Manhattan, New York County, New York, 10275, United States","{""coordinates"": [-74.016002, 40.702055], ""type"": ""Point""}","East Coast Memorial, Brooklyn-Battery Tunnel, Nolan Park, Battery Park City, Manhattan, New York County, New York, 10275, United States",historic,memorial
12,North America,North America,"[""*...The Padrón Real of 1527, the first scientific map to show the East Coast of North America continuously, was informed by Gomes' expedition and labeled the northeastern United States as Tierra de Esteban Gómez in his honor...."", '*...The 1735 trial and acquittal in Manhattan of John Peter Zenger, who had been accused of seditious libel after criticizing colonial governor William Cosby, helped to establish the freedom of the press in North America....', '*...After the battle, in which the Americans were defeated, the British made the city their military and political base of operations in North America....', '*...New York City was a prime destination in the early twentieth century for African Americans during the Great Migration from the American South, and by 1916, New York City had become home to the largest urban African diaspora in North America....', '*...New York City is the center for the advertising, music, newspaper, digital media, and publishing industries and is also the largest media market in North America....', ""*...Also, by 2010, the city had 3,715 hybrid taxis and other clean diesel vehicles, representing around 28% of New York's taxi fleet in service, the most of any city in North America...."", ""*...New York City's commuter rail network is the largest in North America...."", ""*...New York City's public bus fleet runs 24/7 and is the largest in North America...."", '*...JFK and Newark Liberty were the busiest and fourth busiest U.S. gateways for international air passengers, respectively, in 2012; as of 2011[update], JFK was the busiest airport for international passengers in North America....']","MYN North America, 118, East 28th Street, Manhattan Community Board 5, Manhattan, New York County, New York, 10016, United States","{""coordinates"": [-73.9833, 40.742795], ""type"": ""Point""}","MYN North America, 118, East 28th Street, Manhattan Community Board 5, Manhattan, New York County, New York, 10016, United States",office,marketing
