,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Etruschi,Etruschi,"['*...La città, i cui primi insediamenti risalirebbero almeno al I millennio a.C., fu un importante centro urbano dapprima sotto gli Etruschi e i Celti, poi sotto i Romani e, nel Medioevo, come libero comune....', ""*...Successivamente (V-IV secolo a.C.), con la discesa dei Galli nella penisola, gli Etruschi persero il controllo dell'area....""]","Piazza degli Etruschi, Casalecchio di Reno, Unione dei comuni Valli del Reno, Lavino e Samoggia, Bologna, Emilia-Romagna, 40033, Italia","{""coordinates"": [11.270014, 44.482955], ""type"": ""Point""}","Piazza degli Etruschi, Casalecchio di Reno, Unione dei comuni Valli del Reno, Lavino e Samoggia, Bologna, Emilia-Romagna, 40033, Italia",highway,pedestrian
3,Stato Pontificio,Stato Pontificio,"['*...Capitale settentrionale dello Stato Pontificio a partire dal Cinquecento, ebbe un ruolo molto importante durante il Risorgimento e, durante la seconda guerra mondiale, fu uno dei fulcri della Resistenza....', ""*...Nel 1507 Bologna passò allo Stato Pontificio e nel 1530 nella Basilica di San Petronio venne celebrata l'incoronazione di Carlo V..."", '*...La città rimase nello Stato Pontificio fino al 1796, quando con Napoleone arrivarono a Bologna le truppe francesi....', '*...Tuttavia, dopo il Congresso di Vienna (1815) la città ritornò allo Stato Pontificio....']","Antico confine Stato Pontificio - Granducato di Toscana, SS65, La Lastra, La Ca', Piamaggio, Monghidoro, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40063, Italia","{""coordinates"": [11.331211, 44.199782], ""type"": ""Point""}","Antico confine Stato Pontificio - Granducato di Toscana, SS65, La Lastra, La Ca', Piamaggio, Monghidoro, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40063, Italia",historic,monument
6,Corticella,Corticella,"[""*...L'altimetria del territorio comunale spazia dai  del quartiere di Corticella ai 54 del centro del capoluogo, fino ai circa 280 del Colle della Guardia che domina sull'area urbana, e ai circa 390 del Monte Sabbiuno ai confini meridionali del territorio comunale...."", ""*...L'area dove si concentrarono fin dall'inizio le comunità cinesi comprende le zone della Bolognina e di Corticella (soprattutto attorno a via Ferrarese)....""]","Corticella, Via Genuzio Bentini, Corticella, Navile, Bologna, Emilia-Romagna, 40128, Italia","{""coordinates"": [11.356249, 44.54576], ""type"": ""Point""}","Corticella, Via Genuzio Bentini, Corticella, Navile, Bologna, Emilia-Romagna, 40128, Italia",highway,platform
9,Aeroporto Guglielmo Marconi,Aeroporto Guglielmo Marconi,"[""*...La temperatura minima assoluta, registrata all'Aeroporto Guglielmo Marconi, è di  registrata nel 1966 mentre la massima assoluta è stata di  registrata il 4 agosto 2017...."", ""...L'Aeroporto Guglielmo Marconi di Bologna, nel 2019 era l'ottavo Aeroporto italiano per numero di passeggeri...."", '*...L\'importanza dell\'Aeroporto (il cui bacino d\'utenza è stimato in almeno dieci milioni di persone) è dovuto prevalentemente alla posizione nel ""baricentro produttivo"" d\'Italia....', ""*...L'Aeroporto è collegato alla stazione di Bologna Centrale tramite il Marconi Express, un people mover sopraelevato....""]","Aeroporto di Bologna ""Guglielmo Marconi"", Via Crocetta, Lippo, Calderara di Reno, Unione Terre d'Acqua, Bologna, Emilia-Romagna, 40012, Italia","{""coordinates"": [11.288457, 44.534431], ""type"": ""Point""}","Aeroporto di Bologna ""Guglielmo Marconi"", Via Crocetta, Lippo, Calderara di Reno, Unione Terre d'Acqua, Bologna, Emilia-Romagna, 40012, Italia",aeroway,aerodrome
10,Etruria,Etruria,"[""*...Nel VII-VI secolo a.C. abbiamo testimonianze di un'apertura ai modelli culturali e artistici dell'Etruria tirrenica, durante la quale la città fu chiamata Felsina (in etrusco Felzna o Felsna)....""]","Etruria, Viale Felsina, Fossolo, Savena, Bologna, Emilia-Romagna, 40138, Italia","{""coordinates"": [11.380423, 44.489638], ""type"": ""Point""}","Etruria, Viale Felsina, Fossolo, Savena, Bologna, Emilia-Romagna, 40138, Italia",highway,bus_stop
11,Felsina,Felsina,"[""*...Nel VII-VI secolo a.C. abbiamo testimonianze di un'apertura ai modelli culturali e artistici dell'Etruria tirrenica, durante la quale la città fu chiamata Felsina (in etrusco Felzna o Felsna)....""]","Felsina, 35, Viale Felsina, Pontevecchio, Savena, Bologna, Emilia-Romagna, 40139, Italia","{""coordinates"": [11.378126, 44.487453], ""type"": ""Point""}","Felsina, 35, Viale Felsina, Pontevecchio, Savena, Bologna, Emilia-Romagna, 40139, Italia",amenity,pharmacy
14,Galli,Galli,"[""*...Successivamente (V-IV secolo a.C.), con la discesa dei Galli nella penisola, gli Etruschi persero il controllo dell'area...."", '...Il dominio gallico sulla zona durò fino al 196 a.C., anno in cui i Galli Boi furono soggiogati dai Romani....', '...Donato Creti, Giuseppe Galli Bibiena, Gaetano Gandolfi, Francesco Rosaspina, Virgilio Guidi, Giorgio Morandi, Pompilio Mandelli, Paolo Manaresi, Umberto Mastroianni, Milton Glaser....']","Via Augusto Galli, San Donato, San Donato-San Vitale, Bologna, Emilia-Romagna, 14007, Italia","{""coordinates"": [11.371461, 44.504354], ""type"": ""Point""}","Via Augusto Galli, San Donato, San Donato-San Vitale, Bologna, Emilia-Romagna, 14007, Italia",highway,residential
15,Bononia,Bononia,['*...Nel 189 a.C. questi ultimi fondarono sul sito una colonia di diritto latino a cui diedero il nome di Bononia....'],"Bononia University Restaurant, Via San Giacomo, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40126, Italia","{""coordinates"": [11.353641, 44.497278], ""type"": ""Point""}","Bononia University Restaurant, Via San Giacomo, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40126, Italia",amenity,restaurant
20,USA,USA,"['*...La mattina del 21 aprile, in una Bologna ormai abbandonata dai tedeschi, entrarono in città fra il giubilo della popolazione i soldati del II Corpo polacco dell\'VIII armata britannica, i reparti avanzati della 91ª e 34ª divisione USA, avanguardie dei Gruppi di Combattimento italiani ""Friuli"" e ""Legnano"", e partigiani della ""Brigata Maiella""....']","91 Infantry Division USA, Via delle Piane, La Fratta, Vezzano di sopra, Loiano, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40050, Italia","{""coordinates"": [11.323783, 44.263662], ""type"": ""Point""}","91 Infantry Division USA, Via delle Piane, La Fratta, Vezzano di sopra, Loiano, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40050, Italia",historic,monument
21,Palazzo d'Accursio,Palazzo d'Accursio,"[""*...Nel 1999 la tradizione dei sindaci di sinistra si interruppe con l'affermazione elettorale di Giorgio Guazzaloca, candidato civico di centro-destra, che rimane tuttora l'unico esponente di tale coalizione ad essersi insediato a Palazzo d'Accursio...."", ""*...Palazzo d'Accursio (o Comunale) ;...""]","Palazzo D' Accursio, Piazza del Nettuno, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italia","{""coordinates"": [11.342339, 44.494034], ""type"": ""Point""}","Palazzo D' Accursio, Piazza del Nettuno, Irnerio, Santo Stefano, Bologna, Emilia-Romagna, 40121, Italia",historic,building
