,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Ungheria,Ungheria,"['*...O ) è la capitale e la maggiore città dell’Ungheria....', ""*...Già luogo di una certa importanza, venne ricostruita velocemente dopo la distruzione a opera degli invasori Mongoli nel 1241, ma fu Buda, sede del Palazzo Reale sin dal 1247, a diventare la capitale dell'Ungheria...."", ""*...La conquista da parte dei Turchi di gran parte dell'Ungheria nel XVI secolo interruppe la crescita della città:..."", ""*...Nel 1956 la città fu uno dei maggiori teatri della rivolta d'Ungheria e dei conseguenti scontri tra la popolazione e le truppe sovietiche, che portarono alla sconfitta degli insorti e alla repressione...."", ""*...A partire dagli anni novanta, seguendo una linea di tendenza comune a tutta l'Ungheria, Budapest ha subito un calo demografico causato dall'emigrazione e dalla decrescita naturale della popolazione...."", ""*...Le varie culture convergenti in Ungheria sembravano fondersi bene tra loro, come se tutte queste diverse culture e stili architettonici fossero digeriti nel proprio modo di fondersi culturale dell'Ungheria...."", ""*...L'Art Nouveau in Ungheria (Szecesszió in ungherese) è una miscela di diversi stili architettonici, con particolare attenzione alle specialità ungheresi...."", '*...Chiesa cattolica in Ungheria - 808\xa0460 (45,5%, 67,4% nel 1880) ;...', ""*...Nel periodo comunista era una delle zone siderurgiche e industriali più importanti dell'Ungheria...."", ""*...Nel 1808 la Dieta creò il Museo nazionale ungherese, con lo scopo di raccogliere i reperti storici, archeologici e naturali dell'Ungheria e il Museo venne unito alla Biblioteca...."", ""*...La cantina offre più di mille etichette provenienti da 22 zone vinicole dell'Ungheria...."", ""...L'isola, il cui perimetro è spesso utilizzato dai podisti, deve il suo nome alla presenza dei ruderi di una Chiesa con annesso convento dove, secondo la tradizione, visse santa Margherita d'Ungheria...."", '*...Isola Csepel è la più grande isola del Danubio in Ungheria. E lunga  e larga 6- e la sua area comprende , mentre solo la punta settentrionale è dentro i limiti della città....', ""...Budapest è anche sede del Gran Premio d'Ungheria di Formula 1 che si svolge nel circuito automobilistico dell'Hungaroring...."", ""*...Keleti pályaudvar (stazione dell'Est): serve principalmente le linee dirette verso l'Ungheria nord-orientale, occidentale, meridionale e le principali destinazioni internazionali: Vienna, Bratislava (via Komárom), Varsavia (via Žilina), Cracovia (via Košice), Mosca (via Záhony), Bucarest (via Arad), Belgrado, Zagabria (via Kaposvár), Lubiana e Venezia (via Trieste);..."", ""*...Nyugati pályaudvar (stazione dell'Ovest, opera dei fratelli Eiffel): serve principalmente le linee dirette verso l'Ungheria meridionale e orientale, Oradea e Bratislava (via Vác e Štúrovo);..."", ""*...Déli pályaudvar (stazione del Sud): serve principalmente le linee dirette verso l'Ungheria occidentale e meridionale, Vienna, Graz....""]","Camera di Commercio Italiana per l’Ungheria, 18/a, Lónyay utca, Belső-Ferencváros, Budapest, IX. kerület, Ungheria Centrale, 1093, Ungheria","{""coordinates"": [19.061806, 47.486421], ""type"": ""Point""}","Camera di Commercio Italiana per l’Ungheria, 18/a, Lónyay utca, Belső-Ferencváros, Budapest, IX. kerület, Ungheria Centrale, 1093, Ungheria",office,ngo
2,Danubio,Danubio,"[""*...Budapest nacque ufficialmente nel 1873 dall'unione delle città storiche di Buda e Óbuda, ubicate a ovest del Danubio, con l'abitato di Pest, situato sulla riva opposta del fiume e anch'esso di antiche origini;..."", '*...Sulla riva opposta del Danubio fu fondata Pest....', ""*...I due più bei edifici di architettura romantica di Budapest sono la Grande Sinagoga e la sala concerti Vigadó sulla passeggiata sul Danubio, entrambi progettati dall'architetto Frigyes Feszl (1821-1884)...."", '*...Tabán, Vár (Castello) - I Circoscrizione\nSi trova sulla riva destra del Danubio e conta più di 30\xa0000 abitanti....', '*...Essa è situata sulla riva sinistra del Danubio e, secondo i dati del censimento del 1990, conta 115\xa0000 abitanti....', ""*...Nella circoscrizione si trova l'imbocco in sponda sinistra del ponte Megyeri, inaugurato nel 2008, che collega Újpest con la sponda destra del Danubio...."", ""*...L'area che abbraccia è quella compresa tra il Kiskörút (Piccolo Corso) e il Danubio, vi si trova anche il Mercato coperto di Vásárcsarnok che può considerarsi uno dei più grandi d'Europa...."", '*...Si trova a ovest del Danubio e fa quindi parte di Buda....', '*...I ponti ""Szabadsag"" e ""Lagymanyosi"" collegano il quartiere con la parte al di là del Danubio....', ""*...Il quartiere prende il nome dall'isola Csepel e si trova nel mezzo del Danubio, tra Buda e Pest...."", '*...Scarpe sulla sponda del Danubio (Cipők a Duna-parton) ;...', ""*...È un'isola lunga 2\xa0500 metri e larga fino a 500 metri posta in mezzo al Danubio, composta in gran parte da un Parco...."", '*...Possiamo contare sette isole sul Danubio:...', '...Isola Csepel è la più grande isola del Danubio in Ungheria. E lunga  e larga 6- e la sua area comprende , mentre solo la punta settentrionale è dentro i limiti della città....', '*...Uno dei motivi per cui i Romani colonizzarono la zona a ovest del Danubio e stabilirono qui la loro capitale regionale a Aquincum (ora parte di Óbuda, nel nord di Budapest) è stato per la possibilità di utilizzare e godere delle sorgenti termali....', '*...I bagni Rudas non solo si trovano in una superba posizione centrale, in una stretta striscia di terra compresa tra la collina Gellért e il Danubio, ma sono anche uno straordinario esempio di architettura risalente al periodo turco....', '*...La città è dotata di una rete ferroviaria metropolitana, di un servizio ferroviario suburbano (BHÉV), di una rete tranviaria, oltre che di una rete di autobus, filobus e navette fluviali sul Danubio....', ""*...() corre di direzione est-ovest ed è l'unica linea che si estende nella parte occidentale della città (Buda), attraversando il Danubio...."", ""*...È in fase di progettazione la linea  tra i capolinea di Varga Jenő tér e Pomázi út, con doppio attraversamento del Danubio e dell'isola Margherita....""]","Danubio, 4, Hajóépítő sétány, Marina part, Vizafogó, XIII. kerület, Budapest, Ungheria Centrale, 1138, Ungheria","{""coordinates"": [19.064653, 47.543047], ""type"": ""Point""}","Danubio, 4, Hajóépítő sétány, Marina part, Vizafogó, XIII. kerület, Budapest, Ungheria Centrale, 1138, Ungheria",building,apartments
5,Aquincum,Aquincum,"[""*...L'insediamento romano, Aquincum - che soppianta il celtico Akink - divenne la principale città della Pannonia inferiore...."", ""*...Budapest ha edifici architettonicamente degni di nota in un'ampia gamma di stili e di periodi di tempo distinti, dall'antichità come la città romana di Aquincum a Óbuda (Distretto III), che risale intorno all'89 d.C., al più moderno Palazzo delle Arti, il contemporaneo Museo d'arte e sala da concerto...."", ""*...Nell'ordine cronologico degli stili architettonici Budapest è rappresentata sull'intera linea temporale, a cominciare dalla città romana di Aquincum che rappresenta l'architettura antica...."", ""*...III Circoscrizione\nIn questo luogo, sempre a nord, si stabilì l'accampamento romano che diede origine ad Aquincum, nucleo di quella che oggi è la città di Budapest e, all'origine, la frontiera più a nord dell'Impero Romano...."", ""*...Degli anfiteatri, palazzi e colonnati tipici dell'architettura dell'Impero Romano, oggi rimane poco e quei pochi resti salvati dalle razzie della storia si trovano quasi tutti nella piazza principale, Fö tér, presso gli scavi archeologici di Aquincum e il relativo Museo...."", '*...Uno dei motivi per cui i Romani colonizzarono la zona a ovest del Danubio e stabilirono qui la loro capitale regionale a Aquincum (ora parte di Óbuda, nel nord di Budapest) è stato per la possibilità di utilizzare e godere delle sorgenti termali....']","Aquincum, Vonat utca, Gázgyári lakótelep, Aquincum, Budapest, III. kerület, Ungheria Centrale, 1031, Ungheria","{""coordinates"": [19.048383, 47.566142], ""type"": ""Point""}","Aquincum, Vonat utca, Gázgyári lakótelep, Aquincum, Budapest, III. kerület, Ungheria Centrale, 1031, Ungheria",railway,stop
6,Pannonia,Pannonia,"[""*...L'insediamento romano, Aquincum - che soppianta il celtico Akink - divenne la principale città della Pannonia inferiore....""]","Pannónia út, Wekerletelep, XIX. kerület, Budapest, Ungheria Centrale, 1192, Ungheria","{""coordinates"": [19.126928, 47.463219], ""type"": ""Point""}","Pannónia út, Wekerletelep, XIX. kerület, Budapest, Ungheria Centrale, 1192, Ungheria",highway,residential
9,Budapesti,Budapesti,"['*...In quegli anni uno dei quotidiani a più larga diffusione era il Budapesti Hirlap, giornale nazionalista e conservatore che cessò le pubblicazioni nel 1939....', '*...Università di Óbuda, Università tecnica fondata nel 2000 come ""Budapest Tech"" (Budapesti Műszaki Főiskola) dall\'unione di tre istituti politecnici ;...']","Budapesti Temetkezési Intézet, 8-10, Kozma utca, Keresztúridűlő, X. kerület, Budapest, Ungheria Centrale, 1108, Ungheria","{""coordinates"": [19.17935, 47.473022], ""type"": ""Point""}","Budapesti Temetkezési Intézet, 8-10, Kozma utca, Keresztúridűlő, X. kerület, Budapest, Ungheria Centrale, 1108, Ungheria",office,company
11,Palazzo delle Arti,Palazzo delle Arti,"[""*...Budapest ha edifici architettonicamente degni di nota in un'ampia gamma di stili e di periodi di tempo distinti, dall'antichità come la città romana di Aquincum a Óbuda (Distretto III), che risale intorno all'89 d.C., al più moderno Palazzo delle Arti, il contemporaneo Museo d'arte e sala da concerto...."", ""*...Numerosi punti di riferimento sono stati creati nell'ultimo decennio a Budapest, come il Teatro Nazionale, il Palazzo delle Arti, il ponte Rákóczi, il ponte Megyeri, lo Sky Court dell'Aeroporto di Budapest, tra gli altri, e milioni di metri quadrati di nuovi edifici per uffici e appartamenti....""]","palazzo delle arti, 37, Dózsa György út, Városliget, Budapest, XIV. kerület, Ungheria Centrale, 1146, Ungheria","{""coordinates"": [19.078903, 47.513914], ""type"": ""Point""}","palazzo delle arti, 37, Dózsa György út, Városliget, Budapest, XIV. kerület, Ungheria Centrale, 1146, Ungheria",tourism,museum
17,Yemen,Yemen,"['*...A un certo punto la distinta piazza centrale in pendenza di Budapest divenne un vivace bazar orientale, pieno del ""chiacchierio delle carovane di cammelli in viaggio verso lo Yemen e l\'India""....']","Yemen, 179/a, Bimbó út, Törökvész, II. kerület, Budapest, Ungheria Centrale, 1026, Ungheria","{""coordinates"": [18.999379, 47.524653], ""type"": ""Point""}","Yemen, 179/a, Bimbó út, Törökvész, II. kerület, Budapest, Ungheria Centrale, 1026, Ungheria",office,diplomatic
18,India,India,"['*...A un certo punto la distinta piazza centrale in pendenza di Budapest divenne un vivace bazar orientale, pieno del ""chiacchierio delle carovane di cammelli in viaggio verso lo Yemen e l\'India""....']","India, 14, Búzavirág utca, Vérhalom, II. kerület, Budapest, Ungheria Centrale, 1025, Ungheria","{""coordinates"": [19.016157, 47.525615], ""type"": ""Point""}","India, 14, Búzavirág utca, Vérhalom, II. kerület, Budapest, Ungheria Centrale, 1025, Ungheria",office,diplomatic
20,Szechenyi,Szechenyi,"[""*...Un precedente per mostrare l'autocoscienza della città è la sezione superiore della piazza principale della città, chiamata Szechenyi....""]","Széchenyi Gyógyfürdő és Uszoda, 9-11, Állatkerti körút, Városliget, Budapest, XIV. kerület, Ungheria Centrale, 1146, Ungheria","{""coordinates"": [19.082522, 47.518435], ""type"": ""Point""}","Széchenyi Gyógyfürdő és Uszoda, 9-11, Állatkerti körút, Városliget, Budapest, XIV. kerület, Ungheria Centrale, 1146, Ungheria",tourism,attraction
21,Mecca,Mecca,"['*...""due nicchie di preghiera sopravvissute di fronte alla Mecca e un simbolo ecumenico in cima alla sua cupola:...']","MECCA - Hungarian Mecca of Budybuilding, 21-27, Béke utca, Országbíró utcai lakótelep, Angyalföld, XIII. kerület, Budapest, Ungheria Centrale, 1135, Ungheria","{""coordinates"": [19.082665, 47.534273], ""type"": ""Point""}","MECCA - Hungarian Mecca of Budybuilding, 21-27, Béke utca, Országbíró utcai lakótelep, Angyalföld, XIII. kerület, Budapest, Ungheria Centrale, 1135, Ungheria",leisure,fitness_centre
