,entity,to_search,snippet,address,coordinates,name_location,class,type
0,Frankfurt am Main,Frankfurt am Main,"[""*...Frankfurt am Main ), o semplicemente Francoforte, è una città extracircondariale della Germania sud-occidentale, situata nello Stato federato dell'Assia, la quinta tedesca per numero di abitanti dopo Berlino, Amburgo, Monaco e Colonia...."", ""...A Francoforte hanno sede l'Università Goethe di Francoforte, la Frankfurt University of Applied Sciences, la Frankfurt School of Finance and Management e la Pädagogische Akademie Frankfurt am Main...."", '*...Soprannominata anche ""Bankfurt"", ""Mainhattan"" (gioco di parole tra Main, il fiume Meno, e Manhattan, cuore finanziario di New York) o ""Big Äppel"" (altro riferimento a New York, dove l\'Äppelwoi è un tipico prodotto locale), è il centro finanziario della Germania e uno dei principali al mondo essendo sede della Banca centrale europea, della Banca Federale Tedesca e della Borsa di Francoforte (terza al mondo per volume di scambi azionari)....', ""...Uno dei pochi grattacieli aperti al pubblico è il Main Tower, con una piattaforma di prospettiva a 200 metri d'altezza....""]","Eiserner Steg, Sachsenhausen, Sachsenhausen Nord, Süd, Francoforte sul Meno, Assia, 60594, Germania","{""coordinates"": [8.682145, 50.108054], ""type"": ""Point""}","Eiserner Steg, Sachsenhausen, Sachsenhausen Nord, Süd, Francoforte sul Meno, Assia, 60594, Germania",tourism,attraction
1,Germania,Germania,"[""*...Frankfurt am Main ), o semplicemente Francoforte, è una città extracircondariale della Germania sud-occidentale, situata nello Stato federato dell'Assia, la quinta tedesca per numero di abitanti dopo Berlino, Amburgo, Monaco e Colonia...."", '*...Soprannominata anche ""Bankfurt"", ""Mainhattan"" (gioco di parole tra Main, il fiume Meno, e Manhattan, cuore finanziario di New York) o ""Big Äppel"" (altro riferimento a New York, dove l\'Äppelwoi è un tipico prodotto locale), è il centro finanziario della Germania e uno dei principali al mondo essendo sede della Banca centrale europea, della Banca Federale Tedesca e della Borsa di Francoforte (terza al mondo per volume di scambi azionari)....', '*...Inoltre la città è famosa anche per avere la foresta urbana più estesa di Germania, oltre che per il suo importantissimo zoo....', '*...Francoforte è situata pressappoco al centro della Germania....', ""*...Nei pressi dell'attuale città sorsero almeno tre forti militari in epoca romana fin dalla dinastia dei Flavi (vedi campagne germaniche di Domiziano), facente oggi parte del limes germanico-retico in Germania patrimonio dell'UNESCO...."", ""*...Nel 1949 la città perse però la votazione per la capitale della Germania dell'ovest che divenne Bonn, favorita dal primo cancelliere tedesco Konrad Adenauer...."", ""*...Pur non essendo capitale della Germania dell'ovest Francoforte vide un forte sviluppo economico nel dopoguerra diventando centro bancario, finanziario e fieristico della Germania oltre a nodo principale del traffico stradale, ferroviario e aereo...."", '*...Nel quartiere Westend sorge la Sinagoga Westend, inaugurata nel 1910, uno degli edifici di culto ebraici più grandi e imponenti della Germania, uno dei pochi ad essere sopravvissuto alle distruzioni del periodo nazista....', '*...Francoforte è conosciuta come il centro finanziario tedesco, ospitando le sedi centrali di numerose fra le banche più importanti in Germania, varie banche estere, la borsa più importante in Germania, nonché la BCE - Banca Centrale Europea....', ""*...La Stazione di Francoforte sul Meno Hauptbahnhof è la più grande dell'Assia e una delle più grandi di tutta la Germania, ma soprattutto è la maggiore per transito passeggeri in Europa, rivestendo dunque una certa importanza per la città....""]","Zur Germania, 16, Textorstraße, Sachsenhausen, Sachsenhausen Nord, Süd, Francoforte sul Meno, Assia, 60594, Germania","{""coordinates"": [8.688871, 50.102554], ""type"": ""Point""}","Zur Germania, 16, Textorstraße, Sachsenhausen, Sachsenhausen Nord, Süd, Francoforte sul Meno, Assia, 60594, Germania",amenity,restaurant
4,Monaco,Monaco,"[""*...Frankfurt am Main ), o semplicemente Francoforte, è una città extracircondariale della Germania sud-occidentale, situata nello Stato federato dell'Assia, la quinta tedesca per numero di abitanti dopo Berlino, Amburgo, Monaco e Colonia....""]","Honorarkonsulat von Monaco, 86, Frauenlobstraße, Bockenheim, Innenstadt 2, Francoforte sul Meno, Assia, 60487, Germania","{""coordinates"": [8.648028, 50.131462], ""type"": ""Point""}","Honorarkonsulat von Monaco, 86, Frauenlobstraße, Bockenheim, Innenstadt 2, Francoforte sul Meno, Assia, 60487, Germania",office,diplomatic
5,Manhattan,Manhattan,"['*...Soprannominata anche ""Bankfurt"", ""Mainhattan"" (gioco di parole tra Main, il fiume Meno, e Manhattan, cuore finanziario di New York) o ""Big Äppel"" (altro riferimento a New York, dove l\'Äppelwoi è un tipico prodotto locale), è il centro finanziario della Germania e uno dei principali al mondo essendo sede della Banca centrale europea, della Banca Federale Tedesca e della Borsa di Francoforte (terza al mondo per volume di scambi azionari)....', '*...Per il suo particolare skyline Francoforte viene anche soprannominata Mainhattan, alludendo alla vera Manhattan di New York....']","Manhattan Hotel, Düsseldorfer Straße, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania","{""coordinates"": [8.662538, 50.108786], ""type"": ""Point""}","Manhattan Hotel, Düsseldorfer Straße, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania",tourism,hotel
6,New York,New York,"['*...Soprannominata anche ""Bankfurt"", ""Mainhattan"" (gioco di parole tra Main, il fiume Meno, e Manhattan, cuore finanziario di New York) o ""Big Äppel"" (altro riferimento a New York, dove l\'Äppelwoi è un tipico prodotto locale), è il centro finanziario della Germania e uno dei principali al mondo essendo sede della Banca centrale europea, della Banca Federale Tedesca e della Borsa di Francoforte (terza al mondo per volume di scambi azionari)....', '*...Per il suo particolare skyline Francoforte viene anche soprannominata Mainhattan, alludendo alla vera Manhattan di New York....']","Harry's New York Bar, Walther-von-Cronberg-Platz, Sachsenhausen, Sachsenhausen Nord, Süd, Francoforte sul Meno, Assia, 60594, Germania","{""coordinates"": [8.695621, 50.106109], ""type"": ""Point""}","Harry's New York Bar, Walther-von-Cronberg-Platz, Sachsenhausen, Sachsenhausen Nord, Süd, Francoforte sul Meno, Assia, 60594, Germania",amenity,bar
7,Äppelwoi,Äppelwoi,"['*...Soprannominata anche ""Bankfurt"", ""Mainhattan"" (gioco di parole tra Main, il fiume Meno, e Manhattan, cuore finanziario di New York) o ""Big Äppel"" (altro riferimento a New York, dove l\'Äppelwoi è un tipico prodotto locale), è il centro finanziario della Germania e uno dei principali al mondo essendo sede della Banca centrale europea, della Banca Federale Tedesca e della Borsa di Francoforte (terza al mondo per volume di scambi azionari)....']","Äppelwoi-Stübche Grillmayer, 15, Zur Obermühle, Nieder-Erlenbach, Francoforte sul Meno, Assia, 60437, Germania","{""coordinates"": [8.710439, 50.204094], ""type"": ""Point""}","Äppelwoi-Stübche Grillmayer, 15, Zur Obermühle, Nieder-Erlenbach, Francoforte sul Meno, Assia, 60437, Germania",amenity,restaurant
11,Taunus,Taunus,"['*...A pochi chilometri a nord della città sorge la catena montuosa del Taunus....', '*...A causa della vicinanza con le montagne del Taunus in inverno le temperature massime a volte non superano gli ....']","Taunusstraße, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania","{""coordinates"": [8.664753, 50.108452], ""type"": ""Point""}","Taunusstraße, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania",highway,secondary
16,Darmstadt,Darmstadt,"['*...Città vicine sono Magonza e Wiesbaden, a circa 20 chilometri ad ovest, la confinante Offenbach e Darmstadt, sita 25 chilometri a sud....']","Finanzservicestelle (EG) / Regierungspräsidium Darmstadt, Abtlg. Arbeitsschutz und Umwelt Frankfurt, 114, Gutleutstraße, Gutleutviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60327, Germania","{""coordinates"": [8.660547, 50.104235], ""type"": ""Point""}","Finanzservicestelle (EG) / Regierungspräsidium Darmstadt, Abtlg. Arbeitsschutz und Umwelt Frankfurt, 114, Gutleutstraße, Gutleutviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60327, Germania",building,office
19,Bonames,Bonames,['*...Il quartiere Bonames nel X distretto prende il suo nome dal latino bona mansio....'],"Frankfurt Frankfurter Berg, Homburger Landstraße, Frankfurter Berg, Nord-Ost, Francoforte sul Meno, Assia, 60433, Germania","{""coordinates"": [8.677427, 50.170236], ""type"": ""Point""}","Frankfurt Frankfurter Berg, Homburger Landstraße, Frankfurter Berg, Nord-Ost, Francoforte sul Meno, Assia, 60433, Germania",railway,stop
31,Bonn,Bonn,"[""*...Nel 1949 la città perse però la votazione per la capitale della Germania dell'ovest che divenne Bonn, favorita dal primo cancelliere tedesco Konrad Adenauer....""]","Villa Bonn, 44, Untermainkai, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania","{""coordinates"": [8.669872, 50.104786], ""type"": ""Point""}","Villa Bonn, 44, Untermainkai, Bahnhofsviertel, Innenstadt 1, Francoforte sul Meno, Assia, 60329, Germania",historic,manor
