,entity,to_search,snippet,address,coordinates,name_location,class,type
4,Irwell,Irwell,"['*...Quella che oggi è conosciuta come Inghilterra del nord, un tempo era occupata dalla tribù celtica dei Briganti, i quali avevano una roccaforte su di uno sperone di arenaria, di fronte alle rive del fiume Irwell, luogo che attualmente ospita la cattedrale di Manchester....', ""*...Con l'arrivo dei Sassoni il centro dell'insediamento si spostò nei pressi della confluenza dei fiumi Irwell ed Irk...."", '*...Salford Quays: vecchia area del porto fluviale sul fiume Irwell, oggi restaurata e ristrutturata come per i Docks londinesi ;...']","Irwell Street, St. Johns, City Centre, Manchester, Grande Manchester, Inghilterra, M60 9HL, Regno Unito","{""coordinates"": [-2.255828, 53.480568], ""type"": ""Point""}","Irwell Street, St. Johns, City Centre, Manchester, Grande Manchester, Inghilterra, M60 9HL, Regno Unito",highway,primary
7,York,York,"['*...In seguito alla conquista della Britannia del I secolo, il governatore romano Giulio Agricola ordinò la costruzione di un forte chiamato Mancunium (collina a forma di seno) nel 79 d.C., in modo da proteggere dai Briganti gli insediamenti romani di Deva Victrix (Chester) ed Eburacum (York)....']","York Street, Central Retail District, City Centre, Manchester, Grande Manchester, Inghilterra, M2 2AW, Regno Unito","{""coordinates"": [-2.241173, 53.480907], ""type"": ""Point""}","York Street, Central Retail District, City Centre, Manchester, Grande Manchester, Inghilterra, M2 2AW, Regno Unito",highway,tertiary
8,Irk,Irk,"[""*...Con l'arrivo dei Sassoni il centro dell'insediamento si spostò nei pressi della confluenza dei fiumi Irwell ed Irk....""]","Irk Street, Medieval Quarter, Strangeways, Manchester, Grande Manchester, Inghilterra, M4 4JT, Regno Unito","{""coordinates"": [-2.235349, 53.490035], ""type"": ""Point""}","Irk Street, Medieval Quarter, Strangeways, Manchester, Grande Manchester, Inghilterra, M4 4JT, Regno Unito",highway,residential
9,Liverpool,Liverpool,"['*...Lo sviluppo industriale fu favorito anche dalla vicinanza di giacimenti di carbon fossile e dalla relativa vicinanza con il porto di Liverpool, collegato tramite ferrovia dal 1830....', '*...Motorway M62: collega a Liverpool e Leeds e alla Motorway M6 ;...']","Liverpool Road, Castlefield, City Centre, Manchester, Grande Manchester, Inghilterra, M3 4NQ, Regno Unito","{""coordinates"": [-2.25362, 53.476353], ""type"": ""Point""}","Liverpool Road, Castlefield, City Centre, Manchester, Grande Manchester, Inghilterra, M3 4NQ, Regno Unito",highway,primary
10,Manchester Ship Canal,Manchester Ship Canal,"['*...Con la costruzione del Manchester Ship Canal, ultimato nel 1894, Manchester divenne il terzo porto commerciale inglese, nonostante si trovi a circa 60\xa0km dal mare....', '*...Il Porto di Manchester fu attivo dal 1894 fino al 1985 ed è collegato al mare dal Manchester Ship Canal....']","Manchester Ship Canal, Trafford Road, Ordsall, Salford, Grande Manchester, Inghilterra, M50 3XB, Regno Unito","{""coordinates"": [-2.282671, 53.471794], ""type"": ""Point""}","Manchester Ship Canal, Trafford Road, Ordsall, Salford, Grande Manchester, Inghilterra, M50 3XB, Regno Unito",historic,memorial
11,Market Street,Market Street,"[""*...Manchester fu sconvolta dall'esplosione di un camion-bomba dell'IRA, il 15 giugno 1996, che causò circa 200 feriti e la distruzione di notevoli edifici nell'area di Market Street....""]","Market Street, Central Retail District, City Centre, Manchester, Grande Manchester, Inghilterra, M4 3AD, Regno Unito","{""coordinates"": [-2.243506, 53.482965], ""type"": ""Point""}","Market Street, Central Retail District, City Centre, Manchester, Grande Manchester, Inghilterra, M4 3AD, Regno Unito",highway,pedestrian
12,Urbis,Urbis,"[""*...L'evento diede il via a una notevole azione di riqualificazione urbana nel centro della città, simboleggiata dalla costruzione del centro espositivo Urbis, progettato dall'architetto Ian Simpson e inaugurato nel 2002....""]","National Football Museum, Todd Street, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M4 3BG, Regno Unito","{""coordinates"": [-2.242112, 53.485768], ""type"": ""Point""}","National Football Museum, Todd Street, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M4 3BG, Regno Unito",tourism,museum
13,Manchester Arena,Manchester Arena,"['*...La sera del 22 maggio 2017 un attentato kamikaze ha avuto luogo alla Manchester Arena, al termine del concerto della cantante statunitense Ariana Grande....']","AO Arena, Hunts Bank, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M3 1AR, Regno Unito","{""coordinates"": [-2.244172, 53.488087], ""type"": ""Point""}","AO Arena, Hunts Bank, Medieval Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M3 1AR, Regno Unito",tourism,attraction
14,Lancashire,Lancashire,"['*...Semplice località del Lancashire, non era sede di diocesi e anche a livello locale doveva fare riferimento alla vicina Salford....', '*...Motorway M66: collega a Bury e il Lancashire ;...']","East Lancashire Road, Swinton Park, Swinton, Salford, Grande Manchester, Inghilterra, M27 5WX, Regno Unito","{""coordinates"": [-2.334302, 53.502853], ""type"": ""Point""}","East Lancashire Road, Swinton Park, Swinton, Salford, Grande Manchester, Inghilterra, M27 5WX, Regno Unito",highway,trunk
16,Baguley,Baguley,['*...Baguley ;...'],"Baguley, Altrincham Road / near Hall Lane, Altrincham Road, Benchill, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M23 9AA, Regno Unito","{""coordinates"": [-2.27879, 53.400758], ""type"": ""Point""}","Baguley, Altrincham Road / near Hall Lane, Altrincham Road, Benchill, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M23 9AA, Regno Unito",highway,bus_stop
17,Charlestown,Charlestown,['*...Charlestown ;...'],"Charlestown, Charlestown Road / opposite Grange Park Road, Charlestown Road, Charlestown, Manchester, Grande Manchester, Inghilterra, M9 7AD, Regno Unito","{""coordinates"": [-2.200149, 53.52363], ""type"": ""Point""}","Charlestown, Charlestown Road / opposite Grange Park Road, Charlestown Road, Charlestown, Manchester, Grande Manchester, Inghilterra, M9 7AD, Regno Unito",highway,bus_stop
18,Chorlton Park,Chorlton Park,['*...Chorlton Park ;...'],"Chorlton Park Primary School, Mauldeth Road West, Chorlton-cum-Hardy, Manchester, Grande Manchester, Inghilterra, M21 7SA, Regno Unito","{""coordinates"": [-2.270141, 53.433647], ""type"": ""Point""}","Chorlton Park Primary School, Mauldeth Road West, Chorlton-cum-Hardy, Manchester, Grande Manchester, Inghilterra, M21 7SA, Regno Unito",building,school
19,Didsbury East,Didsbury East,"['*...Didsbury East ;...', '*...Motorway M66: collega a Bury e il Lancashire ;...', '*...Il metrolink oggi serve la città di Manchester e la sua area metropolitana, permettendo il collegamento tra il centro e le città di Bury, Altrincham, Salford, Rochdale, ed Eccles....']","East Didsbury, Parrs Wood Road / near Ruabon Road, Parrs Wood Road, Didsbury, Manchester, Grande Manchester, Inghilterra, M20 5WA, Regno Unito","{""coordinates"": [-2.222572, 53.412948], ""type"": ""Point""}","East Didsbury, Parrs Wood Road / near Ruabon Road, Parrs Wood Road, Didsbury, Manchester, Grande Manchester, Inghilterra, M20 5WA, Regno Unito",highway,bus_stop
20,Didsbury West,Didsbury West,['*...Didsbury West ;...'],"West Didsbury, Princess Road (Stop B), Princess Road, West Didsbury, Manchester, Grande Manchester, Inghilterra, M20 1JZ, Regno Unito","{""coordinates"": [-2.249761, 53.431357], ""type"": ""Point""}","West Didsbury, Princess Road (Stop B), Princess Road, West Didsbury, Manchester, Grande Manchester, Inghilterra, M20 1JZ, Regno Unito",highway,bus_stop
21,Fallowfield,Fallowfield,['*...Fallowfield ;...'],"Fallowfield, Wilmslow Road, Ladybarn, Fallowfield, Manchester, Grande Manchester, Inghilterra, M14 6NL, Regno Unito","{""coordinates"": [-2.218743, 53.441005], ""type"": ""Point""}","Fallowfield, Wilmslow Road, Ladybarn, Fallowfield, Manchester, Grande Manchester, Inghilterra, M14 6NL, Regno Unito",railway,site
22,Gorton South,Gorton South,['*...Gorton South ;...'],"Gorton Junction to Throstle Nest South Junction Line, Chester Road, Wharfside, Gorse Hill, Trafford, Grande Manchester, Inghilterra, M16 9UA, Regno Unito","{""coordinates"": [-2.277649, 53.464442], ""type"": ""Point""}","Gorton Junction to Throstle Nest South Junction Line, Chester Road, Wharfside, Gorse Hill, Trafford, Grande Manchester, Inghilterra, M16 9UA, Regno Unito",railway,razed
24,Sharston,Sharston,['*...Sharston ;...'],"Sharston, Sharston Road / near Longley Lane, Sharston Road, Sharston Industrial Area, Benchill, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M22 4SY, Regno Unito","{""coordinates"": [-2.253915, 53.401029], ""type"": ""Point""}","Sharston, Sharston Road / near Longley Lane, Sharston Road, Sharston Industrial Area, Benchill, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M22 4SY, Regno Unito",highway,bus_stop
25,Ringway,Ringway,"[""*...L'unica parrocchia civile del distretto è Ringway, all’estremità meridionale del territorio e a ridosso dell’Aeroporto di Manchester, la cui gestione è tuttavia al momento integralmente devoluta al Consiglio comunale di Manchester a causa dell'impossibilità di procedere a elezioni parrocchiali per carenza di candidati....""]","Manchester Airport, Cornishway, Woodhouse Park, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M90 1QX, Regno Unito","{""coordinates"": [-2.280369, 53.350342], ""type"": ""Point""}","Manchester Airport, Cornishway, Woodhouse Park, Wythenshawe, Manchester, Grande Manchester, Inghilterra, M90 1QX, Regno Unito",aeroway,aerodrome
29,Burnage,Burnage,"['...Burnage ;...', ""*...Il successo di quest'ultimo filone fu determinante per lo sviluppo, negli anni '90, della scena Britpop, di cui gli Oasis, originari di Burnage, sobborgo di Manchester, sono il gruppo più rappresentativo....""]","Burnage, Burnage Lane / opposite Acacias School, Slade Lane, Levenshulme, Manchester, Grande Manchester, Inghilterra, M19 2WN, Regno Unito","{""coordinates"": [-2.200226, 53.437491], ""type"": ""Point""}","Burnage, Burnage Lane / opposite Acacias School, Slade Lane, Levenshulme, Manchester, Grande Manchester, Inghilterra, M19 2WN, Regno Unito",highway,bus_stop
30,Elbow,Elbow,['*...Elbow ;...'],"Elbow Street, Levenshulme, Manchester, Grande Manchester, Inghilterra, M19 3PY, Regno Unito","{""coordinates"": [-2.190102, 53.443575], ""type"": ""Point""}","Elbow Street, Levenshulme, Manchester, Grande Manchester, Inghilterra, M19 3PY, Regno Unito",highway,residential
33,Outfield,Outfield,['*...Outfield ....'],"Outfield Close, Seedley, Eccles, Salford, Grande Manchester, Inghilterra, M6 8DJ, Regno Unito","{""coordinates"": [-2.309192, 53.488021], ""type"": ""Point""}","Outfield Close, Seedley, Eccles, Salford, Grande Manchester, Inghilterra, M6 8DJ, Regno Unito",highway,residential
34,Chorlton-cum-Hardy,Chorlton-cum-Hardy,"[""*...Negli anni '60 le band di Manchester che ascesero alla fama furono Hollies, Herman's Hermits e Davy Jones dei Monkees (noti dalla metà degli anni '60 non solo per la loro musica, ma anche per la loro trasmissione sulla TV statunitense) e i primi Bee Gees, che crebbero a Chorlton-cum-Hardy....""]","Chorlton-Cum-Hardy Post Office, 543, Wilbraham Road, Chorlton-cum-Hardy, Manchester, Grande Manchester, Inghilterra, M21 9PP, Regno Unito","{""coordinates"": [-2.275248, 53.442289], ""type"": ""Point""}","Chorlton-Cum-Hardy Post Office, 543, Wilbraham Road, Chorlton-cum-Hardy, Manchester, Grande Manchester, Inghilterra, M21 9PP, Regno Unito",amenity,post_office
35,Greater Manchester,Greater Manchester,['*...È originaria di Greater Manchester anche la cantautrice Ren Harvieu....'],"Greater Manchester Chambers of Commerce, 151, Deansgate, Civic Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M3 3WD, Regno Unito","{""coordinates"": [-2.248824, 53.479278], ""type"": ""Point""}","Greater Manchester Chambers of Commerce, 151, Deansgate, Civic Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M3 3WD, Regno Unito",office,yes
36,Piccadilly Gardens,Piccadilly Gardens,['*...Piccadilly Gardens ;...'],"Piccadilly Gardens (Stand H), Piccadilly Plaza, Piccadilly, City Centre, Manchester, Grande Manchester, Inghilterra, M1 4AH, Regno Unito","{""coordinates"": [-2.238325, 53.480677], ""type"": ""Point""}","Piccadilly Gardens (Stand H), Piccadilly Plaza, Piccadilly, City Centre, Manchester, Grande Manchester, Inghilterra, M1 4AH, Regno Unito",highway,bus_stop
39,Motorway M60,Motorway M60,"[""*...L'autostrada più importante per la città è la Motorway M60 che è la tangenziale di Manchester...."", '*...Motorway M602: collega il centro di Manchester alla tangenziale M60 e la M62 ;...', '*...Motorway M56: collega a Chester e alla Motorway M6 direzione sud ;...', '*...Motorway M61: collega a Preston e alla Motorway M6 direzione nord ;...', '*...Motorway M62: collega a Liverpool e Leeds e alla Motorway M6 ;...']","Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito","{""coordinates"": [-2.569831, 53.595501], ""type"": ""Point""}","Manchester - Preston Motorway, Horwich, Blackrod, Bolton, Grande Manchester, Inghilterra, BL6 5GU, Regno Unito",highway,motorway
40,Preston,Preston,['*...Motorway M61: collega a Preston e alla Motorway M6 direzione nord ;...'],"Preston Street, Openshaw, Manchester, Grande Manchester, Inghilterra, M18 8DA, Regno Unito","{""coordinates"": [-2.180571, 53.469584], ""type"": ""Point""}","Preston Street, Openshaw, Manchester, Grande Manchester, Inghilterra, M18 8DA, Regno Unito",highway,residential
41,Leeds,Leeds,['*...Motorway M62: collega a Liverpool e Leeds e alla Motorway M6 ;...'],"Leeds Building Society, 47, Cross Street, Civic Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M2 4JF, Regno Unito","{""coordinates"": [-2.244842, 53.480567], ""type"": ""Point""}","Leeds Building Society, 47, Cross Street, Civic Quarter, City Centre, Manchester, Grande Manchester, Inghilterra, M2 4JF, Regno Unito",amenity,bank
42,Hyde,Hyde,['*...Motorway M67: collega a Hyde e il Peak District ;...'],"Hyde, Manchester Road / opposite Mill Lane, Manchester Road, Kingston, Hyde, Tameside, Grande Manchester, Inghilterra, SK14 2DE, Regno Unito","{""coordinates"": [-2.088064, 53.452952], ""type"": ""Point""}","Hyde, Manchester Road / opposite Mill Lane, Manchester Road, Kingston, Hyde, Tameside, Grande Manchester, Inghilterra, SK14 2DE, Regno Unito",highway,bus_stop
44,M62,M62,"['...Motorway M62: collega a Liverpool e Leeds e alla Motorway M6 ;...', '*...Motorway M602: collega il centro di Manchester alla tangenziale M60 e la M62 ;...']","M60, Ashton upon Mersey, Stretford, Trafford, Grande Manchester, Inghilterra, M32 8AL, Regno Unito","{""coordinates"": [-2.324728, 53.439205], ""type"": ""Point""}","M60, Ashton upon Mersey, Stretford, Trafford, Grande Manchester, Inghilterra, M32 8AL, Regno Unito",highway,motorway
48,Altrincham,Altrincham,"['*...Il metrolink oggi serve la città di Manchester e la sua area metropolitana, permettendo il collegamento tra il centro e le città di Bury, Altrincham, Salford, Rochdale, ed Eccles....']","Altrincham, Barrington Road / near Hazel Road, Barrington Road, Broadheath, Altrincham, Trafford, Grande Manchester, Inghilterra, WA14 1HP, Regno Unito","{""coordinates"": [-2.348251, 53.392081], ""type"": ""Point""}","Altrincham, Barrington Road / near Hazel Road, Barrington Road, Broadheath, Altrincham, Trafford, Grande Manchester, Inghilterra, WA14 1HP, Regno Unito",highway,bus_stop
49,Rochdale,Rochdale,"['*...Il metrolink oggi serve la città di Manchester e la sua area metropolitana, permettendo il collegamento tra il centro e le città di Bury, Altrincham, Salford, Rochdale, ed Eccles....']","St Thomas More Roman Catholic Primary School, Middleton, Rochdale, Evesham Road, Middleton, Rochdale, Grande Manchester, Inghilterra, M24 1PY, Regno Unito","{""coordinates"": [-2.191767, 53.533557], ""type"": ""Point""}","St Thomas More Roman Catholic Primary School, Middleton, Rochdale, Evesham Road, Middleton, Rochdale, Grande Manchester, Inghilterra, M24 1PY, Regno Unito",amenity,school
50,Trafford Centre,Trafford Centre,"[""*...Per il 2020 è prevista l'apertura di una nuova linea, quella per Trafford Centre....""]","Trafford Centre, Manchester, Barton Dock Road, Dumplington, Urmston, Trafford, Grande Manchester, Inghilterra, M41 7GD, Regno Unito","{""coordinates"": [-2.34421, 53.464971], ""type"": ""Point""}","Trafford Centre, Manchester, Barton Dock Road, Dumplington, Urmston, Trafford, Grande Manchester, Inghilterra, M41 7GD, Regno Unito",amenity,charging_station
52,city airport,city airport,['*...La città è servita anche dal piccolo Aeroporto di Manchester-Barton che funge da city airport....'],"City Airport and Heliport, Liverpool Road, Peel Green, Irlam, Salford, Grande Manchester, Inghilterra, M30 7SA, Regno Unito","{""coordinates"": [-2.391131, 53.47124], ""type"": ""Point""}","City Airport and Heliport, Liverpool Road, Peel Green, Irlam, Salford, Grande Manchester, Inghilterra, M30 7SA, Regno Unito",aeroway,aerodrome
53,Salford Quays,Salford Quays,"['...Salford Quays: vecchia area del porto fluviale sul fiume Irwell, oggi restaurata e ristrutturata come per i Docks londinesi ;...', ""*...La zona dell'ex porto Salford Quays è stata recentemente riconvertita a zona residenziale e ospita un Museo dedicato al maggiore pittore mancuniano del XX secolo, L. S. Lowry...."", '*...Semplice località del Lancashire, non era sede di diocesi e anche a livello locale doveva fare riferimento alla vicina Salford....', '*...Molto famoso a cavallo degli anni ottanta e primi anni novanta, fu il club locale The Haçienda, dove si sono esibiti alcuni tra i più importanti artisti inglesi e internazionali del tempo (uno su tutti, i Joy Division, gruppo originario di Salford, comune a pochi km....', '...Stazione di Salford Central ;...', '*...Il metrolink oggi serve la città di Manchester e la sua area metropolitana, permettendo il collegamento tra il centro e le città di Bury, Altrincham, Salford, Rochdale, ed Eccles....']","Salford Quays, Waterfront Quay, Ordsall, Salford, Grande Manchester, Inghilterra, M50 3WL, Regno Unito","{""coordinates"": [-2.283965, 53.470547], ""type"": ""Point""}","Salford Quays, Waterfront Quay, Ordsall, Salford, Grande Manchester, Inghilterra, M50 3WL, Regno Unito",railway,tram_stop
54,Old Trafford,Old Trafford,"['...Old Trafford ;...', ""*...Il Manchester Utd, che gioca all'Old Trafford, e il Manchester City, che gioca all'Etihad Stadium (City of Manchester Stadium è la vecchia denominazione)...."", ""*...L'Old Trafford, situato appena fuori dalla città, è il secondo campo da gioco più grande d'Inghilterra, dopo lo stadio di Wembley di Londra:...""]","Old Trafford, Chester Road / adjacent White City, Chester Road, Wharfside, Gorse Hill, Trafford, Grande Manchester, Inghilterra, M16 0SN, Regno Unito","{""coordinates"": [-2.284885, 53.462128], ""type"": ""Point""}","Old Trafford, Chester Road / adjacent White City, Chester Road, Wharfside, Gorse Hill, Trafford, Grande Manchester, Inghilterra, M16 0SN, Regno Unito",highway,bus_stop
55,Etihad Stadium,Etihad Stadium,"[""*...Il Manchester Utd, che gioca all'Old Trafford, e il Manchester City, che gioca all'Etihad Stadium (City of Manchester Stadium è la vecchia denominazione)....""]","Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Grande Manchester, Inghilterra, M11 3FF, Regno Unito","{""coordinates"": [-2.200252, 53.483091], ""type"": ""Point""}","Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Grande Manchester, Inghilterra, M11 3FF, Regno Unito",leisure,stadium
56,City of Manchester Stadium,City of Manchester Stadium,"[""*...Il Manchester Utd, che gioca all'Old Trafford, e il Manchester City, che gioca all'Etihad Stadium (City of Manchester Stadium è la vecchia denominazione)....""]","Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Grande Manchester, Inghilterra, M11 3FF, Regno Unito","{""coordinates"": [-2.200252, 53.483091], ""type"": ""Point""}","Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Grande Manchester, Inghilterra, M11 3FF, Regno Unito",leisure,stadium
